timestamp,tension (N)
1765493372.872161,-0.480000
1765493372.874868,-0.480000
1765493372.877610,-0.480000
1765493372.880384,-0.480000
1765493372.883129,-0.480000
1765493372.887391,-0.480000
1765493372.890137,-0.480000
1765493372.892833,-0.480000
1765493372.895609,-0.480000
1765493372.898399,-0.480000
1765493372.901428,-0.480000
1765493372.904648,-0.480000
1765493372.908159,-0.480000
1765493372.910872,-0.480000
1765493372.913616,-0.480000
1765493372.916399,-0.480000
1765493372.919099,-0.480000
1765493372.922385,-0.480000
1765493372.925081,-0.480000
1765493372.927823,-0.480000
1765493372.930634,-0.480000
1765493372.933339,-0.480000
1765493372.936100,-0.480000
1765493372.938869,-0.480000
1765493372.942017,-0.480000
1765493372.944705,-0.480000
1765493372.947428,-0.480000
1765493372.950196,-0.480000
1765493372.952889,-0.480000
1765493372.955603,-0.480000
1765493372.958384,-0.480000
1765493372.961107,-0.480000
1765493372.963853,-0.480000
1765493372.966616,-0.480000
1765493372.969407,-0.480000
1765493372.972179,-0.480000
1765493372.974946,-0.480000
1765493372.977775,-0.480000
1765493372.980602,-0.480000
1765493372.983257,-0.480000
1765493372.986027,-0.480000
1765493372.988753,-0.480000
1765493372.991468,-0.480000
1765493372.994229,-0.480000
1765493372.996912,-0.480000
1765493372.999662,-0.480000
1765493373.002458,-0.480000
1765493373.005199,-0.480000
1765493373.007918,-0.480000
1765493373.010612,-0.480000
1765493373.013581,-0.480000
1765493373.016401,-0.480000
1765493373.019165,-0.480000
1765493373.021855,-0.480000
1765493373.024606,-0.480000
1765493373.027388,-0.480000
1765493373.030073,-0.480000
1765493373.032841,-0.480000
1765493373.035535,-0.480000
1765493373.038252,-0.480000
1765493373.041045,-0.480000
1765493373.045009,-0.480000
1765493373.047818,-0.480000
1765493373.050612,-0.480000
1765493373.054160,-0.480000
1765493373.057523,-0.480000
1765493373.060737,-0.480000
1765493373.064217,-0.480000
1765493373.066900,-0.480000
1765493373.069620,-0.480000
1765493373.072425,-0.480000
1765493373.075161,-0.480000
1765493373.078512,-0.480000
1765493373.081215,-0.480000
1765493373.083939,-0.480000
1765493373.086700,-0.480000
1765493373.089405,-0.480000
1765493373.092154,-0.480000
1765493373.094837,-0.480000
1765493373.098080,-0.480000
1765493373.100773,-0.480000
1765493373.103530,-0.460000
1765493373.106272,-0.460000
1765493373.109014,-0.460000
1765493373.111789,-0.440000
1765493373.114574,-0.220000
1765493373.117312,-0.140000
1765493373.119976,-0.100000
1765493373.122612,-0.040000
1765493373.125245,-0.020000
1765493373.127639,0.000000
1765493373.130200,0.020000
1765493373.132681,0.000000
1765493373.135269,0.020000
1765493373.137958,0.020000
1765493373.140498,0.000000
1765493373.143148,0.020000
1765493373.145796,-0.020000
1765493373.148414,0.020000
1765493373.150821,0.000000
1765493373.153245,0.000000
1765493373.155816,0.020000
1765493373.158538,-0.220000
1765493373.161174,-0.200000
1765493373.163784,-0.200000
1765493373.166543,-0.180000
1765493373.169262,-0.180000
1765493373.172055,-0.180000
1765493373.174755,-0.160000
1765493373.177482,-0.160000
1765493373.180307,-0.160000
1765493373.183009,-0.140000
1765493373.185800,-0.140000
1765493373.188543,-0.140000
1765493373.191269,-0.120000
1765493373.194093,-0.120000
1765493373.196858,-0.120000
1765493373.199582,-0.120000
1765493373.202178,-0.100000
1765493373.204872,-0.100000
1765493373.207533,-0.100000
1765493373.210142,-0.100000
1765493373.212867,-0.100000
1765493373.215478,-0.080000
1765493373.218093,-0.080000
1765493373.222168,-0.080000
1765493373.224805,-0.080000
1765493373.227466,-0.080000
1765493373.230130,-0.060000
1765493373.232836,-0.060000
1765493373.236018,-0.060000
1765493373.239030,-0.060000
1765493373.242506,-0.060000
1765493373.245209,-0.060000
1765493373.247903,-0.060000
1765493373.250520,-0.060000
1765493373.253286,-0.040000
1765493373.256762,-0.040000
1765493373.259538,-0.040000
1765493373.262316,-0.040000
1765493373.265856,-0.040000
1765493373.268478,-0.040000
1765493373.271128,-0.040000
1765493373.274490,-0.040000
1765493373.277151,-0.040000
1765493373.279789,-0.020000
1765493373.283192,-0.020000
1765493373.285875,-0.020000
1765493373.288589,-0.020000
1765493373.291291,-0.020000
1765493373.293951,-0.020000
1765493373.296664,-0.020000
1765493373.299457,-0.020000
1765493373.302149,-0.020000
1765493373.304937,-0.020000
1765493373.307564,-0.020000
1765493373.310258,-0.020000
1765493373.312963,-0.020000
1765493373.315562,-0.020000
1765493373.318204,-0.020000
1765493373.320895,-0.020000
1765493373.323525,-0.020000
1765493373.326292,-0.020000
1765493373.329018,-0.020000
1765493373.331806,-0.020000
1765493373.334534,-0.020000
1765493373.337311,-0.020000
1765493373.340014,-0.020000
1765493373.342388,0.000000
1765493373.345054,-0.020000
1765493373.347428,0.000000
1765493373.349890,0.000000
1765493373.352292,0.000000
1765493373.354686,0.000000
1765493373.357128,0.000000
1765493373.359518,0.000000
1765493373.362019,0.000000
1765493373.364497,0.000000
1765493373.366879,0.000000
1765493373.369371,0.000000
1765493373.371785,0.000000
1765493373.374247,0.000000
1765493373.376841,0.000000
1765493373.379254,0.000000
1765493373.381790,0.000000
1765493373.384374,0.000000
1765493373.389011,0.000000
1765493373.391398,0.000000
1765493373.393846,0.000000
1765493373.396318,0.000000
1765493373.398762,0.000000
1765493373.401897,0.000000
1765493373.404935,0.000000
1765493373.408170,0.000000
1765493373.410556,0.000000
1765493373.412930,0.000000
1765493373.415381,0.000000
1765493373.417956,0.000000
1765493373.421261,0.000000
1765493373.423784,0.000000
1765493373.426257,0.000000
1765493373.428669,0.000000
1765493373.431217,0.000000
1765493373.433706,0.000000
1765493373.436126,0.000000
1765493373.438563,0.000000
1765493373.440968,0.000000
1765493373.443498,0.000000
1765493373.445860,0.000000
1765493373.449074,0.000000
1765493373.451499,0.000000
1765493373.454013,0.000000
1765493373.456522,0.000000
1765493373.459028,0.000000
1765493373.461483,0.000000
1765493373.463947,0.000000
1765493373.466386,0.000000
1765493373.468837,0.000000
1765493373.471281,0.000000
1765493373.473706,0.000000
1765493373.476214,0.000000
1765493373.478638,0.000000
1765493373.481103,0.000000
1765493373.483500,0.000000
1765493373.485863,0.000000
1765493373.488254,0.000000
1765493373.490555,0.000000
1765493373.493298,0.000000
1765493373.495694,0.000000
1765493373.498096,0.000000
1765493373.500484,0.000000
1765493373.502901,0.000000
1765493373.505209,0.000000
1765493373.507698,0.000000
1765493373.510071,0.000000
1765493373.512490,0.000000
1765493373.514931,0.000000
1765493373.517373,0.000000
1765493373.519712,0.000000
1765493373.522179,0.000000
1765493373.524624,0.000000
1765493373.527055,0.000000
1765493373.529475,0.000000
1765493373.531821,0.000000
1765493373.534310,0.000000
1765493373.536702,0.000000
1765493373.539011,0.000000
1765493373.541455,0.000000
1765493373.543810,0.000000
1765493373.546319,0.000000
1765493373.548778,0.000000
1765493373.551216,0.000000
1765493373.553677,0.000000
1765493373.557984,0.000000
1765493373.560462,0.000000
1765493373.562901,0.000000
1765493373.565230,0.000000
1765493373.567609,0.000000
1765493373.570556,0.000000
1765493373.573569,0.000000
1765493373.576902,0.000000
1765493373.579211,0.000000
1765493373.581714,0.000000
1765493373.584044,0.000000
1765493373.586448,0.000000
1765493373.589693,0.000000
1765493373.592029,0.000000
1765493373.594424,0.000000
1765493373.596799,0.000000
1765493373.599153,0.000000
1765493373.601399,0.000000
1765493373.603661,0.000000
1765493373.605983,0.000000
1765493373.608267,0.000000
1765493373.610643,0.000000
1765493373.612952,0.000000
1765493373.615458,0.000000
1765493373.617851,0.000000
1765493373.620161,0.000000
1765493373.622520,0.000000
1765493373.624835,0.000000
1765493373.627202,0.000000
1765493373.629530,0.000000
1765493373.631798,0.000000
1765493373.634178,0.000000
1765493373.636750,0.000000
1765493373.639086,0.000000
1765493373.641434,0.000000
1765493373.643901,0.000000
1765493373.646401,0.000000
1765493373.648816,0.000000
1765493373.651196,0.000000
1765493373.653636,0.000000
1765493373.656144,0.000000
1765493373.658598,0.000000
1765493373.661161,0.000000
1765493373.663546,0.000000
1765493373.665999,0.000000
1765493373.668423,0.000000
1765493373.670704,0.000000
1765493373.673208,0.000000
1765493373.675685,0.000000
1765493373.678146,0.000000
1765493373.680476,0.000000
1765493373.682817,0.000000
1765493373.685220,0.000000
1765493373.687659,0.000000
1765493373.690005,0.000000
1765493373.692372,0.000000
1765493373.694823,0.000000
1765493373.697143,0.000000
1765493373.699732,0.000000
1765493373.704236,0.000000
1765493373.706553,0.000000
1765493373.708838,0.000000
1765493373.711228,0.000000
1765493373.713847,0.000000
1765493373.716883,0.000000
1765493373.719878,0.000000
1765493373.723128,0.000000
1765493373.725501,0.000000
1765493373.727950,0.000000
1765493373.730385,0.000000
1765493373.732968,0.000000
1765493373.736288,0.000000
1765493373.738662,0.000000
1765493373.741075,0.000000
1765493373.743561,0.000000
1765493373.745964,0.000000
1765493373.748405,0.000000
1765493373.750947,0.000000
1765493373.753391,0.000000
1765493373.755803,0.000000
1765493373.758095,0.000000
1765493373.760592,0.000000
1765493373.762976,0.000000
1765493373.765401,0.000000
1765493373.767804,0.000000
1765493373.770168,0.000000
1765493373.772623,0.000000
1765493373.775095,0.000000
1765493373.777485,0.000000
1765493373.779820,0.000000
1765493373.782318,0.000000
1765493373.784732,0.000000
1765493373.787197,0.000000
1765493373.789568,0.000000
1765493373.792000,0.000000
1765493373.794400,0.000000
1765493373.796879,0.000000
1765493373.799387,0.000000
1765493373.801797,0.000000
1765493373.804285,0.000000
1765493373.806619,0.000000
1765493373.809024,0.000000
1765493373.811460,0.000000
1765493373.813915,0.000000
1765493373.816299,0.000000
1765493373.818629,0.000000
1765493373.821057,0.000000
1765493373.823381,0.000000
1765493373.825857,0.000000
1765493373.828173,0.000000
1765493373.830571,0.000000
1765493373.832871,0.000000
1765493373.835155,0.000000
1765493373.837632,0.000000
1765493373.839921,0.000000
1765493373.842377,0.000000
1765493373.844812,0.000000
1765493373.847242,0.000000
1765493373.849577,0.000000
1765493373.851989,0.000000
1765493373.854373,0.000000
1765493373.856809,0.000000
1765493373.859275,0.000000
1765493373.861672,0.000000
1765493373.864030,0.000000
1765493373.866388,0.000000
1765493373.868806,0.000000
1765493373.871199,0.000000
1765493373.873687,0.000000
1765493373.878041,0.000000
1765493373.880370,0.000000
1765493373.882862,0.000000
1765493373.885194,0.000000
1765493373.887686,0.000000
1765493373.890756,0.000000
1765493373.893760,0.000000
1765493373.897041,0.000000
1765493373.899541,0.000000
1765493373.901886,0.000000
1765493373.904262,0.000000
1765493373.906635,0.000000
1765493373.910367,0.000000
1765493373.912856,0.000000
1765493373.915227,0.000000
1765493373.918287,0.000000
1765493373.920611,0.000000
1765493373.922917,0.000000
1765493373.925251,0.000000
1765493373.927538,0.000000
1765493373.929967,0.000000
1765493373.932387,0.000000
1765493373.934765,0.000000
1765493373.937186,0.000000
1765493373.939586,0.000000
1765493373.941942,0.000000
1765493373.944301,0.000000
1765493373.946771,0.000000
1765493373.949131,0.000000
1765493373.951408,0.000000
1765493373.953910,0.000000
1765493373.956311,0.000000
1765493373.958806,0.000000
1765493373.961204,0.000000
1765493373.963695,0.000000
1765493373.966177,0.000000
1765493373.968632,0.000000
1765493373.971058,0.000000
1765493373.973458,0.000000
1765493373.975972,0.000000
1765493373.978429,0.000000
1765493373.980893,0.000000
1765493373.983242,0.000000
1765493373.985557,0.000000
1765493373.987887,0.000000
1765493373.990383,0.000000
1765493373.992936,0.000000
1765493373.995752,0.000000
1765493373.998326,0.000000
1765493374.000866,0.000000
1765493374.003321,0.000000
1765493374.005766,0.000000
1765493374.008093,0.000000
1765493374.010674,0.000000
1765493374.013299,0.000000
1765493374.015753,0.000000
1765493374.018278,0.000000
1765493374.020721,0.000000
1765493374.023152,0.000000
1765493374.025603,0.000000
1765493374.028151,0.000000
1765493374.030650,0.000000
1765493374.033067,0.000000
1765493374.035715,0.000000
1765493374.038141,0.000000
1765493374.040572,0.000000
1765493374.043071,0.000000
1765493374.046927,0.000000
1765493374.049306,0.000000
1765493374.051728,0.000000
1765493374.054177,0.000000
1765493374.056771,0.000000
1765493374.059774,0.000000
1765493374.062713,0.000000
1765493374.065967,0.000000
1765493374.068334,0.000000
1765493374.070785,0.000000
1765493374.073173,0.000000
1765493374.075669,0.000000
1765493374.078989,0.000000
1765493374.081417,0.000000
1765493374.083904,0.000000
1765493374.086296,0.000000
1765493374.088770,0.000000
1765493374.091210,0.000000
1765493374.093690,0.000000
1765493374.096173,0.000000
1765493374.098574,0.000000
1765493374.101005,0.000000
1765493374.103454,0.000000
1765493374.105805,0.000000
1765493374.108217,0.000000
1765493374.110701,0.000000
1765493374.113080,0.000000
1765493374.115572,0.000000
1765493374.117950,0.000000
1765493374.120392,0.000000
1765493374.122935,0.000000
1765493374.125247,0.000000
1765493374.127729,0.000000
1765493374.130136,0.000000
1765493374.132572,0.000000
1765493374.134953,0.000000
1765493374.137403,0.000000
1765493374.139780,0.000000
1765493374.142161,0.000000
1765493374.144572,0.000000
1765493374.147013,0.000000
1765493374.149378,0.000000
1765493374.151859,0.000000
1765493374.154257,0.000000
1765493374.156741,0.000000
1765493374.159226,0.000000
1765493374.161643,0.000000
1765493374.164051,0.000000
1765493374.166408,0.000000
1765493374.168883,0.000000
