timestamp,tension (N)
1765493372.681472,-0.620000
1765493372.684284,-0.620000
1765493372.687076,-0.620000
1765493372.689936,-0.620000
1765493372.692840,-0.620000
1765493372.695686,-0.640000
1765493372.698490,-0.620000
1765493372.701431,-0.620000
1765493372.706345,-0.620000
1765493372.709127,-0.620000
1765493372.712078,-0.620000
1765493372.715507,-0.620000
1765493372.718842,-0.620000
1765493372.722095,-0.620000
1765493372.725568,-0.620000
1765493372.728447,-0.620000
1765493372.731251,-0.620000
1765493372.734683,-0.620000
1765493372.738049,-0.620000
1765493372.740891,-0.620000
1765493372.743667,-0.620000
1765493372.747009,-0.620000
1765493372.749921,-0.620000
1765493372.752763,-0.620000
1765493372.756063,-0.620000
1765493372.758927,-0.620000
1765493372.761711,-0.620000
1765493372.765045,-0.620000
1765493372.767880,-0.620000
1765493372.770924,-0.620000
1765493372.773875,-0.620000
1765493372.776731,-0.620000
1765493372.779613,-0.620000
1765493372.782444,-0.620000
1765493372.785315,-0.620000
1765493372.788203,-0.620000
1765493372.791204,-0.620000
1765493372.794154,-0.620000
1765493372.797098,-0.620000
1765493372.799932,-0.620000
1765493372.802872,-0.620000
1765493372.805802,-0.620000
1765493372.808652,-0.620000
1765493372.811469,-0.620000
1765493372.814218,-0.620000
1765493372.817113,-0.620000
1765493372.819965,-0.620000
1765493372.822806,-0.620000
1765493372.825605,-0.620000
1765493372.828586,-0.620000
1765493372.831541,-0.620000
1765493372.834433,-0.620000
1765493372.837274,-0.620000
1765493372.840173,-0.620000
1765493372.842982,-0.620000
1765493372.845858,-0.620000
1765493372.848638,-0.620000
1765493372.851405,-0.620000
1765493372.854177,-0.620000
1765493372.856898,-0.620000
1765493372.859712,-0.620000
1765493372.862534,-0.620000
1765493372.865332,-0.620000
1765493372.868149,-0.620000
1765493372.872232,-0.620000
1765493372.875090,-0.620000
1765493372.877810,-0.620000
1765493372.881330,-0.620000
1765493372.884636,-0.620000
1765493372.887827,-0.620000
1765493372.891396,-0.620000
1765493372.894111,-0.620000
1765493372.896923,-0.620000
1765493372.900480,-0.620000
1765493372.903900,-0.620000
1765493372.906687,-0.620000
1765493372.909482,-0.620000
1765493372.913027,-0.620000
1765493372.915766,-0.620000
1765493372.918437,-0.620000
1765493372.921861,-0.640000
1765493372.924614,-0.640000
1765493372.927330,-0.640000
1765493372.930815,-0.640000
1765493372.933504,-0.640000
1765493372.936278,-0.640000
1765493372.939043,-0.640000
1765493372.941764,-0.640000
1765493372.944532,-0.640000
1765493372.947255,-0.640000
1765493372.950003,-0.640000
1765493372.952806,-0.640000
1765493372.955517,-0.640000
1765493372.958320,-0.620000
1765493372.961110,-0.620000
1765493372.963865,-0.620000
1765493372.966562,-0.620000
1765493372.969356,-0.620000
1765493372.972206,-0.620000
1765493372.974975,-0.620000
1765493372.977749,-0.620000
1765493372.980521,-0.620000
1765493372.983449,-0.620000
1765493372.986276,-0.620000
1765493372.989117,-0.620000
1765493372.991843,-0.620000
1765493372.994569,-0.620000
1765493372.997302,-0.640000
1765493373.000148,-0.640000
1765493373.002833,-0.640000
1765493373.005560,-0.640000
1765493373.008459,-0.640000
1765493373.011139,-0.640000
1765493373.013969,-0.640000
1765493373.016713,-0.640000
1765493373.019472,-0.640000
1765493373.022228,-0.640000
1765493373.025088,-0.640000
1765493373.027870,-0.640000
1765493373.030559,-0.620000
1765493373.033481,-0.620000
1765493373.038172,-0.620000
1765493373.041089,-0.620000
1765493373.043860,-0.620000
1765493373.047273,-0.620000
1765493373.050614,-0.620000
1765493373.053776,-0.620000
1765493373.057326,-0.620000
1765493373.060155,-0.620000
1765493373.063011,-0.640000
1765493373.066416,-0.640000
1765493373.069867,-0.640000
1765493373.072665,-0.640000
1765493373.075511,-0.640000
1765493373.078862,-0.640000
1765493373.081552,-0.640000
1765493373.084483,-0.640000
1765493373.087795,-0.640000
1765493373.090539,-0.640000
1765493373.093678,-0.640000
1765493373.096781,-0.640000
1765493373.099487,-0.640000
1765493373.102313,-0.640000
1765493373.105040,-0.640000
1765493373.107861,-0.640000
1765493373.110622,-0.640000
1765493373.113470,-0.640000
1765493373.116211,-0.640000
1765493373.118932,-0.640000
1765493373.121710,-0.640000
1765493373.124561,-0.640000
1765493373.127473,-0.640000
1765493373.130255,-0.640000
1765493373.133184,-0.640000
1765493373.135937,-0.640000
1765493373.138736,-0.640000
1765493373.141481,-0.640000
1765493373.144238,-0.640000
1765493373.147173,-0.660000
1765493373.149936,-0.660000
1765493373.152720,-0.660000
1765493373.155507,-0.680000
1765493373.158291,-0.940000
1765493373.161073,-1.060000
1765493373.163815,-1.060000
1765493373.166545,-0.980000
1765493373.169466,-1.140000
1765493373.172312,-1.120000
1765493373.175096,-1.200000
1765493373.177920,-1.240000
1765493373.180707,-1.240000
1765493373.183470,-1.380000
1765493373.186289,-1.300000
1765493373.189131,-1.380000
1765493373.192161,-1.520000
1765493373.195086,-1.560000
1765493373.198020,-1.660000
1765493373.200884,-1.820000
1765493373.205021,-1.960000
1765493373.207929,-2.080000
1765493373.211536,-2.220000
1765493373.214930,-2.380000
1765493373.218441,-2.600000
1765493373.222080,-2.740000
1765493373.225061,-2.860000
1765493373.227944,-2.980000
1765493373.230812,-2.980000
1765493373.233714,-3.100000
1765493373.237146,-3.260000
1765493373.239993,-3.300000
1765493373.242914,-3.460000
1765493373.245780,-3.540000
1765493373.248650,-3.620000
1765493373.251583,-3.820000
1765493373.254456,-3.900000
1765493373.257664,-3.940000
1765493373.260498,-4.120000
1765493373.263462,-4.200000
1765493373.267175,-4.320000
1765493373.270118,-4.540000
1765493373.272928,-4.600000
1765493373.275876,-4.760000
1765493373.278789,-4.960000
1765493373.281626,-5.040000
1765493373.284552,-5.260000
1765493373.287505,-5.320000
1765493373.290422,-5.420000
1765493373.293359,-5.660000
1765493373.296225,-5.800000
1765493373.299179,-5.900000
1765493373.302191,-6.120000
1765493373.305075,-6.180000
1765493373.308040,-6.280000
1765493373.311052,-6.480000
1765493373.313884,-6.520000
1765493373.316847,-6.700000
1765493373.319825,-6.780000
1765493373.322695,-6.860000
1765493373.325636,-6.980000
1765493373.328490,-7.080000
1765493373.331300,-7.180000
1765493373.334303,-7.360000
1765493373.337317,-7.420000
1765493373.340196,-7.520000
1765493373.343187,-7.680000
1765493373.346160,-7.800000
1765493373.349223,-7.940000
1765493373.352038,-8.060000
1765493373.356929,-8.260000
1765493373.359768,-8.380000
1765493373.362633,-8.520000
1765493373.365802,-8.760000
1765493373.368803,-8.840000
1765493373.371790,-8.920000
1765493373.375201,-9.180000
1765493373.378928,-9.340000
1765493373.381823,-9.360000
1765493373.384731,-9.600000
1765493373.388480,-9.780000
1765493373.392125,-9.920000
1765493373.395086,-9.940000
1765493373.398232,-10.160000
1765493373.401919,-10.280000
1765493373.405042,-10.340000
1765493373.408189,-10.440000
1765493373.411808,-10.660000
1765493373.414957,-10.760000
1765493373.418082,-10.880000
1765493373.421457,-11.000000
1765493373.424554,-11.180000
1765493373.427736,-11.300000
