timestamp,tension (N)
1765493372.887048,-0.460000
1765493372.889773,-0.460000
1765493372.892988,-0.460000
1765493372.896418,-0.460000
1765493372.899513,-0.460000
1765493372.903030,-0.460000
1765493372.905866,-0.460000
1765493372.908603,-0.460000
1765493372.911313,-0.460000
1765493372.914061,-0.460000
1765493372.917392,-0.460000
1765493372.920130,-0.460000
1765493372.922830,-0.460000
1765493372.925560,-0.460000
1765493372.928322,-0.460000
1765493372.931044,-0.460000
1765493372.933817,-0.460000
1765493372.936955,-0.460000
1765493372.939659,-0.460000
1765493372.942383,-0.460000
1765493372.945117,-0.460000
1765493372.947823,-0.460000
1765493372.950529,-0.460000
1765493372.953391,-0.460000
1765493372.956113,-0.460000
1765493372.958793,-0.460000
1765493372.961539,-0.460000
1765493372.964230,-0.460000
1765493372.967142,-0.460000
1765493372.969849,-0.460000
1765493372.972537,-0.460000
1765493372.975263,-0.460000
1765493372.977978,-0.460000
1765493372.980724,-0.460000
1765493372.983448,-0.460000
1765493372.986176,-0.460000
1765493372.988953,-0.460000
1765493372.991681,-0.460000
1765493372.994402,-0.460000
1765493372.997142,-0.460000
1765493372.999923,-0.460000
1765493373.002645,-0.460000
1765493373.005400,-0.460000
1765493373.008143,-0.460000
1765493373.010836,-0.460000
1765493373.013572,-0.460000
1765493373.016306,-0.460000
1765493373.019061,-0.460000
1765493373.022245,-0.460000
1765493373.024998,-0.460000
1765493373.027789,-0.460000
1765493373.030471,-0.460000
1765493373.033142,-0.460000
1765493373.035822,-0.460000
1765493373.038565,-0.460000
1765493373.042539,-0.460000
1765493373.045240,-0.460000
1765493373.047996,-0.460000
1765493373.050796,-0.460000
1765493373.053530,-0.460000
1765493373.056645,-0.460000
1765493373.059891,-0.460000
1765493373.063396,-0.460000
1765493373.066143,-0.460000
1765493373.068907,-0.460000
1765493373.071620,-0.460000
1765493373.074417,-0.460000
1765493373.077979,-0.460000
1765493373.080748,-0.460000
1765493373.083407,-0.460000
1765493373.086765,-0.460000
1765493373.089503,-0.460000
1765493373.092244,-0.460000
1765493373.094931,-0.460000
1765493373.097748,-0.460000
1765493373.100474,-0.460000
1765493373.103130,-0.460000
1765493373.106457,-0.460000
1765493373.109182,-0.460000
1765493373.111940,-0.460000
