timestamp,phase_index,home1,target1_rad,abs_angle1_rad,rel_angle1_rad,velocity1_rad_s,torque1_Nm,home2,target2_rad,abs_angle2_rad,rel_angle2_rad,velocity2_rad_s,torque2_Nm,home3,target3_rad,abs_angle3_rad,rel_angle3_rad,velocity3_rad_s,torque3_Nm,home4,target4_rad,abs_angle4_rad,rel_angle4_rad,velocity4_rad_s,torque4_Nm
1765493373.187772,1.000000,0.541505,2.766799,0.613222,0.071717,0.828107,0.006775,0.617037,0.878836,0.654421,0.037385,0.816205,-0.000183,-1.149958,-3.767952,-1.170176,-0.020218,-0.701762,-0.226505,-0.721942,-0.460143,-0.721561,0.000381,0.101167,0.117006
1765493373.191153,1.000000,0.541505,2.766799,0.615129,0.073625,0.764935,-0.000183,0.617037,0.878836,0.656329,0.039292,0.889448,0.009339,-1.149958,-3.767952,-1.171702,-0.021744,-0.692607,-0.123964,-0.721942,-0.460143,-0.721180,0.000763,0.198215,0.115175
1765493373.193350,1.000000,0.541505,2.766799,0.617037,0.075532,0.867475,-0.000183,0.617037,0.878836,0.657855,0.040818,0.799725,-0.000183,-1.149958,-3.767952,-1.173228,-0.023270,-0.748455,-0.000183,-0.721942,-0.460143,-0.720417,0.001526,0.324559,-0.000183
1765493373.195443,1.000000,0.541505,2.766799,0.618944,0.077440,0.998398,-0.000183,0.617037,0.878836,0.660143,0.043107,0.887617,-0.078187,-1.149958,-3.767952,-1.174754,-0.024796,-0.710002,-0.000183,-0.721942,-0.460143,-0.719272,0.002670,0.470130,0.217716
1765493373.197401,1.000000,0.541505,2.766799,0.620851,0.079347,0.950790,-0.000183,0.617037,0.878836,0.661669,0.044633,0.965438,-0.000183,-1.149958,-3.767952,-1.175898,-0.025940,-0.764935,-0.069032,-0.721942,-0.460143,-0.718128,0.003815,0.655070,-0.000183
1765493373.199329,1.000000,0.541505,2.766799,0.622759,0.081254,0.948959,-0.000183,0.617037,0.878836,0.663958,0.046921,1.087205,-0.000183,-1.149958,-3.767952,-1.177806,-0.027848,-0.727398,-0.071595,-0.721942,-0.460143,-0.716602,0.005341,0.634928,0.046326
1765493373.201406,1.000000,0.541505,2.766799,0.624666,0.083162,0.882124,-0.035706,0.617037,0.878836,0.666247,0.049210,1.110094,-0.000183,-1.149958,-3.767952,-1.178950,-0.028992,-0.708171,-0.150698,-0.721942,-0.460143,-0.715457,0.006485,0.597391,-0.000183
1765493373.203403,1.000000,0.541505,2.766799,0.626574,0.085069,0.969100,0.113710,0.617037,0.878836,0.667773,0.050736,0.994736,-0.000183,-1.149958,-3.767952,-1.180476,-0.030518,-0.721904,-0.096498,-0.721942,-0.460143,-0.713931,0.008011,0.736553,-0.000183
1765493373.205580,1.000000,0.541505,2.766799,0.628862,0.087358,1.032273,0.040833,0.617037,0.878836,0.670062,0.053025,0.918746,0.086610,-1.149958,-3.767952,-1.182002,-0.032044,-0.678874,-0.061341,-0.721942,-0.460143,-0.712406,0.009537,0.769512,-0.000183
1765493373.207618,1.000000,0.541505,2.766799,0.630388,0.088884,0.981918,-0.000183,0.617037,0.878836,0.671969,0.054932,0.929732,-0.000183,-1.149958,-3.767952,-1.183528,-0.033570,-0.731060,-0.056947,-0.721942,-0.460143,-0.710498,0.011444,0.941634,0.086976
1765493373.209812,1.000000,0.541505,2.766799,0.632677,0.091173,0.951705,0.016663,0.617037,0.878836,0.673877,0.056840,0.892195,0.105287,-1.149958,-3.767952,-1.185435,-0.035477,-0.750286,-0.023987,-0.721942,-0.460143,-0.708591,0.013352,0.856489,-0.000183
