timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1765493599.484169,-0.003035,0.002471,-0.021254,-0.000001,-0.000013,0.000132
1765493599.499118,-0.003133,-0.003520,-0.032511,0.000001,0.000047,0.000280
1765493599.499323,-0.000597,-0.002719,0.010788,0.000002,-0.000002,-0.000142
1765493599.514853,-0.001002,-0.000380,-0.008371,0.000023,-0.000004,-0.000017
1765493599.515065,-0.001110,0.001161,-0.047702,0.000054,0.000096,0.000330
1765493599.515139,-0.001455,0.002354,-0.004898,0.000000,0.000077,-0.000010
1765493599.530706,-0.003371,0.000910,0.009130,0.000065,0.000034,-0.000175
1765493599.530898,-0.002734,0.002000,-0.040304,0.000013,0.000099,0.000238
1765493599.530995,-0.002749,0.000395,-0.021833,-0.000023,0.000115,0.000113
1765493599.546700,-0.003826,0.001135,0.012555,0.000029,0.000081,-0.000215
1765493599.546869,-0.003524,-0.001104,-0.029516,0.000008,0.000073,0.000096
1765493599.546950,-0.002732,0.002070,-0.045836,0.000062,0.000137,0.000255
1765493599.547018,-0.002672,0.001490,0.004421,0.000029,0.000142,-0.000168
1765493599.562682,-0.005932,0.003575,-0.011293,-0.000008,0.000134,-0.000054
1765493599.562884,-0.007193,0.001902,-0.049939,0.000025,0.000129,0.000297
1765493599.562966,-0.005123,0.000649,-0.009254,0.000024,0.000146,-0.000091
1765493599.577863,-0.003533,0.000483,0.005882,-0.000055,0.000126,-0.000180
1765493599.578020,-0.009212,0.003006,-0.048133,0.000024,0.000155,0.000199
1765493599.578101,-0.007590,-0.000100,-0.029035,0.000028,0.000166,0.000038
1765493599.593596,-0.005457,0.003573,0.005521,0.000044,0.000133,-0.000236
1765493599.593819,-0.008433,0.005270,-0.033163,-0.000019,0.000205,0.000071
1765493599.593907,-0.008427,0.003574,-0.052128,0.000016,0.000169,0.000257
1765493599.608836,-0.005950,0.002950,-0.001906,0.000001,0.000193,-0.000201
1765493599.609059,-0.008378,0.002673,-0.018912,0.000008,0.000170,-0.000048
1765493599.609139,-0.007646,0.002186,-0.056937,0.000056,0.000225,0.000257
1765493599.624288,-0.007113,0.005774,-0.012887,0.000065,0.000195,-0.000088
1765493599.624487,-0.009138,0.004461,-0.002070,0.000062,0.000227,-0.000200
1765493599.624564,-0.008858,0.005191,-0.052392,0.000037,0.000252,0.000148
1765493599.640309,-0.009261,0.003828,-0.034613,0.000003,0.000248,0.000035
1765493599.640504,-0.009996,0.004898,0.000652,0.000007,0.000254,-0.000246
1765493599.640593,-0.008795,0.006515,-0.032612,0.000057,0.000245,0.000059
1765493599.656048,-0.007593,0.008318,-0.053847,0.000073,0.000233,0.000162
1765493599.656219,-0.009141,0.004430,-0.002150,0.000072,0.000242,-0.000235
1765493599.656306,-0.010019,0.005103,-0.022614,0.000053,0.000282,-0.000122
1765493599.656371,-0.008965,0.005324,-0.062482,-0.000032,0.000305,0.000219
1765493599.671288,-0.009238,0.005594,-0.020480,0.000026,0.000295,-0.000116
1765493599.671458,-0.011600,0.006421,-0.004243,0.000046,0.000290,-0.000228
1765493599.671531,-0.012118,0.005740,-0.055235,0.000043,0.000314,0.000137
1765493599.686711,-0.008474,0.007251,-0.038237,0.000062,0.000365,-0.000009
1765493599.686870,-0.011638,0.008330,0.000516,0.000019,0.000346,-0.000274
1765493599.686942,-0.010868,0.005261,-0.038272,0.000043,0.000294,-0.000016
1765493599.701987,-0.012596,0.008983,-0.059986,0.000003,0.000396,0.000169
1765493599.702154,-0.010787,0.008288,-0.011240,0.000045,0.000279,-0.000255
1765493599.702229,-0.012028,0.006824,-0.024792,0.000075,0.000309,-0.000127
1765493599.717499,-0.013374,0.010481,-0.064887,0.000051,0.000411,0.000187
1765493599.717691,-0.013665,0.007321,-0.020673,0.000051,0.000336,-0.000138
1765493599.717778,-0.011241,0.008112,-0.009207,0.000065,0.000381,-0.000284
1765493599.733557,-0.013815,0.008664,-0.064284,0.000003,0.000401,0.000105
1765493599.733750,-0.013775,0.007454,-0.041785,-0.000020,0.000366,-0.000049
1765493599.733822,-0.011636,0.006363,-0.001049,0.000087,0.000399,-0.000350
1765493599.749528,-0.015705,0.010129,-0.042033,0.000076,0.000374,-0.000059
1765493599.749779,-0.013804,0.005795,-0.061459,0.000026,0.000390,0.000121
1765493599.749876,-0.014894,0.006009,-0.013392,0.000086,0.000418,-0.000285
1765493599.764977,-0.012490,0.011012,-0.031766,0.000080,0.000423,-0.000135
1765493599.765182,-0.016646,0.010029,-0.070433,0.000022,0.000434,0.000182
1765493599.765269,-0.014495,0.010213,-0.027861,0.000108,0.000449,-0.000223
1765493599.781059,-0.014085,0.011794,-0.012762,0.000060,0.000435,-0.000282
1765493599.781256,-0.016220,0.007759,-0.061682,0.000079,0.000469,0.000075
1765493599.781330,-0.015387,0.011446,-0.039876,0.000054,0.000491,-0.000053
1765493599.781390,-0.016892,0.009500,-0.009524,0.000060,0.000410,-0.000370
1765493599.796961,-0.015808,0.011717,-0.046765,0.000055,0.000504,-0.000040
1765493599.797178,-0.018242,0.008530,-0.067921,0.000085,0.000480,0.000094
1765493599.797262,-0.016941,0.011597,-0.014295,0.000091,0.000522,-0.000328
1765493599.812449,-0.016987,0.011306,-0.028426,0.000057,0.000509,-0.000176
1765493599.812644,-0.017497,0.012451,-0.076760,0.000017,0.000505,0.000144
1765493599.812714,-0.016581,0.008122,-0.031263,0.000098,0.000516,-0.000224
1765493599.827960,-0.016523,0.012242,-0.019866,0.000074,0.000475,-0.000344
1765493599.828187,-0.017872,0.011641,-0.066723,0.000094,0.000571,0.000020
1765493599.828271,-0.019403,0.011377,-0.046412,0.000097,0.000510,-0.000139
1765493599.843217,-0.020148,0.013500,-0.013877,0.000126,0.000560,-0.000391
1765493599.843472,-0.019463,0.010517,-0.050401,0.000082,0.000562,-0.000099
1765493599.843540,-0.019927,0.012448,-0.071443,0.000050,0.000578,0.000073
1765493599.858998,-0.018980,0.012259,-0.020699,0.000087,0.000549,-0.000396
1765493599.859279,-0.019005,0.012467,-0.036888,0.000065,0.000518,-0.000220
1765493599.859362,-0.019944,0.013016,-0.077635,0.000082,0.000628,0.000097
1765493599.875036,-0.019792,0.010550,-0.031494,0.000135,0.000566,-0.000263
1765493599.875181,-0.019844,0.012387,-0.019900,0.000079,0.000627,-0.000362
1765493599.875253,-0.020728,0.013350,-0.070225,0.000057,0.000592,0.000016
1765493599.891147,-0.021129,0.011937,-0.053316,0.000063,0.000631,-0.000167
1765493599.891290,-0.019370,0.013464,-0.016671,0.000115,0.000583,-0.000425
1765493599.891379,-0.018268,0.016118,-0.053262,0.000103,0.000649,-0.000107
1765493599.891448,-0.021177,0.016569,-0.073675,0.000046,0.000668,0.000029
1765493599.906430,-0.023440,0.012586,-0.022182,0.000104,0.000612,-0.000402
1765493599.906569,-0.021084,0.015220,-0.040457,0.000084,0.000652,-0.000248
1765493599.906637,-0.023569,0.016620,-0.086148,0.000086,0.000647,0.000066
1765493599.921868,-0.021440,0.014428,-0.039951,0.000139,0.000640,-0.000300
1765493599.922008,-0.021009,0.016905,-0.025078,0.000136,0.000658,-0.000434
1765493599.922081,-0.024855,0.015438,-0.072364,0.000053,0.000749,0.000005
1765493599.937881,-0.023138,0.013683,-0.055457,0.000084,0.000659,-0.000154
1765493599.938026,-0.025116,0.013051,-0.024419,0.000099,0.000703,-0.000483
1765493599.938094,-0.023555,0.016351,-0.057595,0.000080,0.000694,-0.000164
1765493599.953655,-0.023982,0.015852,-0.080126,0.000123,0.000714,-0.000023
1765493599.953821,-0.021463,0.016728,-0.022250,0.000116,0.000717,-0.000429
1765493599.953917,-0.025518,0.016940,-0.042764,0.000118,0.000708,-0.000287
1765493599.968860,-0.026434,0.016007,-0.080688,0.000116,0.000757,0.000047
1765493599.969006,-0.023116,0.017839,-0.037252,0.000092,0.000722,-0.000328
1765493599.969074,-0.025902,0.016949,-0.033451,0.000111,0.000702,-0.000450
1765493599.984183,-0.022866,0.015658,-0.081403,0.000082,0.000798,-0.000034
1765493599.984337,-0.027204,0.017560,-0.059899,0.000101,0.000762,-0.000227
1765493599.984422,-0.026689,0.017910,-0.025263,0.000128,0.000722,-0.000474
1765493600.000277,-0.025587,0.018080,-0.061226,0.000122,0.000776,-0.000203
1765493600.000464,-0.026130,0.018086,-0.080806,0.000040,0.000838,-0.000056
1765493600.000544,-0.027980,0.016346,-0.029983,0.000120,0.000808,-0.000451
1765493600.015927,-0.024776,0.017398,-0.047624,0.000090,0.000765,-0.000332
1765493600.016079,-0.026893,0.017649,-0.088338,0.000066,0.000781,0.000009
1765493600.016150,-0.025142,0.019130,-0.042906,0.000150,0.000805,-0.000338
1765493600.016212,-0.026783,0.019895,-0.030744,0.000081,0.000812,-0.000484
1765493600.031209,-0.028880,0.016879,-0.082350,0.000115,0.000807,-0.000062
1765493600.031356,-0.026444,0.018148,-0.062684,0.000153,0.000886,-0.000238
1765493600.031433,-0.027202,0.019634,-0.028076,0.000090,0.000853,-0.000531
1765493600.046741,-0.030036,0.019282,-0.068988,0.000113,0.000788,-0.000230
1765493600.046883,-0.028429,0.019024,-0.086638,0.000165,0.000803,-0.000078
1765493600.046953,-0.030006,0.018038,-0.034243,0.000122,0.000835,-0.000473
1765493600.062031,-0.027647,0.019243,-0.055286,0.000133,0.000886,-0.000319
1765493600.062229,-0.030164,0.021632,-0.096762,0.000092,0.000899,0.000006
1765493600.062298,-0.030828,0.020046,-0.050648,0.000082,0.000791,-0.000377
1765493600.077361,-0.029955,0.018038,-0.035709,0.000180,0.000823,-0.000473
1765493600.077509,-0.028096,0.020828,-0.085189,0.000156,0.000914,-0.000066
1765493600.077576,-0.031674,0.021730,-0.067757,0.000129,0.000874,-0.000270
1765493600.092710,-0.031245,0.019182,-0.033048,0.000111,0.000885,-0.000553
1765493600.092898,-0.028949,0.020174,-0.070907,0.000097,0.000951,-0.000213
1765493600.092984,-0.030626,0.021304,-0.091422,0.000073,0.000978,-0.000111
1765493600.108613,-0.030039,0.023826,-0.037878,0.000116,0.000923,-0.000521
1765493600.108777,-0.031680,0.021564,-0.051441,0.000112,0.000906,-0.000411
1765493600.108848,-0.030155,0.019691,-0.094145,0.000161,0.000953,-0.000054
1765493600.124627,-0.030907,0.022174,-0.052028,0.000134,0.000981,-0.000370
1765493600.124790,-0.030898,0.020933,-0.038464,0.000071,0.000923,-0.000523
1765493600.124879,-0.034978,0.023424,-0.091030,0.000119,0.000939,-0.000144
1765493600.140022,-0.031289,0.021045,-0.072633,0.000174,0.000933,-0.000287
1765493600.140201,-0.033661,0.022130,-0.032567,0.000160,0.000970,-0.000587
1765493600.140290,-0.032176,0.020215,-0.069695,0.000141,0.001012,-0.000248
1765493600.155425,-0.033077,0.022871,-0.090803,0.000104,0.001080,-0.000110
1765493600.156245,-0.034900,0.023388,-0.042159,0.000128,0.000966,-0.000544
1765493600.156353,-0.032133,0.021904,-0.058961,0.000113,0.000965,-0.000381
1765493600.156433,-0.033445,0.022622,-0.101177,0.000131,0.001032,-0.000086
1765493600.170852,-0.032082,0.024770,-0.055802,0.000200,0.001023,-0.000450
1765493600.171149,-0.034916,0.025836,-0.042202,0.000132,0.001016,-0.000549
1765493600.171256,-0.035405,0.023713,-0.091045,0.000131,0.000991,-0.000150
1765493600.185927,-0.034999,0.021336,-0.076815,0.000130,0.001003,-0.000310
1765493600.186081,-0.033662,0.025518,-0.040958,0.000179,0.001002,-0.000596
1765493600.186165,-0.035048,0.023308,-0.081616,0.000102,0.001049,-0.000302
1765493600.201123,-0.036657,0.024955,-0.095913,0.000120,0.001042,-0.000160
1765493600.201290,-0.033659,0.026152,-0.039500,0.000232,0.001064,-0.000538
1765493600.201383,-0.037012,0.026266,-0.064781,0.000114,0.001062,-0.000447
1765493600.216821,-0.035865,0.024159,-0.104744,0.000182,0.001100,-0.000085
1765493600.216999,-0.033792,0.025766,-0.061261,0.000118,0.001073,-0.000454
1765493600.217091,-0.038232,0.027331,-0.050515,0.000075,0.001085,-0.000564
1765493600.232394,-0.037463,0.025962,-0.090491,0.000157,0.001108,-0.000184
1765493600.232543,-0.034978,0.026209,-0.076971,0.000178,0.001069,-0.000319
1765493600.232630,-0.038118,0.028248,-0.039719,0.000180,0.001071,-0.000606
1765493600.248028,-0.036627,0.025763,-0.078303,0.000147,0.001084,-0.000307
1765493600.248166,-0.037971,0.025298,-0.102821,0.000113,0.001178,-0.000183
1765493600.248250,-0.038596,0.026562,-0.046597,0.000151,0.001118,-0.000635
1765493600.263525,-0.039417,0.026804,-0.071145,0.000178,0.001108,-0.000458
1765493600.263713,-0.038322,0.028058,-0.109759,0.000187,0.001190,-0.000123
1765493600.263787,-0.038627,0.028243,-0.060142,0.000167,0.001159,-0.000493
1765493600.279509,-0.038147,0.027340,-0.050757,0.000213,0.001115,-0.000599
1765493600.279702,-0.039567,0.025254,-0.102950,0.000124,0.001169,-0.000217
1765493600.279776,-0.039064,0.029064,-0.082013,0.000130,0.001118,-0.000386
1765493600.295513,-0.037796,0.029473,-0.046621,0.000147,0.001147,-0.000633
1765493600.295739,-0.037861,0.027518,-0.082566,0.000188,0.001174,-0.000329
1765493600.295837,-0.040302,0.027721,-0.099589,0.000188,0.001167,-0.000188
1765493600.311105,-0.039398,0.028568,-0.050771,0.000182,0.001156,-0.000610
1765493600.311305,-0.040283,0.029685,-0.071244,0.000137,0.001179,-0.000508
1765493600.311390,-0.041160,0.028730,-0.110603,0.000164,0.001199,-0.000174
1765493600.311452,-0.041076,0.030703,-0.069311,0.000203,0.001249,-0.000532
1765493600.327058,-0.042243,0.028775,-0.053010,0.000177,0.001187,-0.000668
1765493600.327245,-0.039609,0.027754,-0.102981,0.000139,0.001269,-0.000222
1765493600.327319,-0.043518,0.031350,-0.082838,0.000157,0.001204,-0.000384
1765493600.343047,-0.042254,0.027813,-0.050145,0.000142,0.001160,-0.000645
1765493600.343241,-0.040768,0.030200,-0.089586,0.000147,0.001267,-0.000373
1765493600.343328,-0.043191,0.029931,-0.105912,0.000164,0.001249,-0.000220
1765493600.358541,-0.043044,0.031208,-0.055116,0.000171,0.001191,-0.000654
