timestamp,tension (N)
1765493599.238407,-1.660000
1765493599.241379,-1.660000
1765493599.244323,-1.660000
1765493599.247361,-1.660000
1765493599.250303,-1.660000
1765493599.253303,-1.660000
1765493599.256281,-1.660000
1765493599.259242,-1.660000
1765493599.262146,-1.660000
1765493599.265155,-1.660000
1765493599.268182,-1.660000
1765493599.271123,-1.660000
1765493599.273982,-1.660000
1765493599.276905,-1.660000
1765493599.279934,-1.660000
1765493599.282932,-1.660000
1765493599.285708,-1.660000
1765493599.288486,-1.660000
1765493599.291280,-1.660000
1765493599.294171,-1.660000
1765493599.297010,-1.660000
1765493599.299826,-1.660000
1765493599.302745,-1.660000
1765493599.305592,-1.660000
1765493599.308389,-1.660000
1765493599.311292,-1.660000
1765493599.314218,-1.660000
1765493599.317163,-1.660000
1765493599.320031,-1.660000
1765493599.322902,-1.660000
1765493599.325805,-1.660000
1765493599.328632,-1.660000
1765493599.331518,-1.660000
1765493599.335573,-1.660000
1765493599.338423,-1.660000
1765493599.341928,-1.660000
1765493599.345436,-1.660000
1765493599.348596,-1.660000
1765493599.352204,-1.660000
1765493599.355017,-1.660000
1765493599.357875,-1.660000
1765493599.360685,-1.660000
1765493599.363467,-1.660000
1765493599.366800,-1.660000
1765493599.369708,-1.660000
1765493599.372572,-1.660000
1765493599.376551,-1.660000
1765493599.379457,-1.660000
1765493599.382373,-1.660000
1765493599.385278,-1.660000
1765493599.388210,-1.660000
1765493599.391044,-1.660000
1765493599.394483,-1.660000
1765493599.397288,-1.660000
1765493599.400101,-1.660000
1765493599.402983,-1.660000
1765493599.405877,-1.660000
1765493599.408820,-1.660000
1765493599.411675,-1.660000
1765493599.414557,-1.660000
1765493599.417349,-1.660000
1765493599.420280,-1.660000
1765493599.423239,-1.660000
1765493599.426153,-1.660000
1765493599.429028,-1.660000
1765493599.431912,-1.660000
1765493599.434738,-1.660000
1765493599.437708,-1.660000
1765493599.440723,-1.660000
1765493599.443611,-1.660000
1765493599.446519,-1.660000
1765493599.449355,-1.660000
1765493599.452229,-1.660000
1765493599.455111,-1.660000
1765493599.457931,-1.660000
1765493599.460941,-1.660000
1765493599.463886,-1.660000
1765493599.466977,-1.660000
1765493599.469935,-1.660000
1765493599.472873,-1.660000
1765493599.475833,-1.660000
1765493599.478837,-1.660000
1765493599.481810,-1.660000
1765493599.485826,-1.660000
1765493599.488724,-1.660000
1765493599.492369,-1.660000
1765493599.495447,-1.660000
1765493599.498857,-1.660000
1765493599.502410,-1.660000
1765493599.505222,-1.660000
1765493599.508252,-1.660000
1765493599.511723,-1.660000
1765493599.515540,-1.660000
1765493599.518360,-1.660000
1765493599.521276,-1.660000
1765493599.524653,-1.660000
1765493599.527497,-1.660000
1765493599.530317,-1.660000
1765493599.533825,-1.660000
1765493599.536695,-1.660000
1765493599.539515,-1.660000
1765493599.543022,-1.660000
1765493599.545893,-1.660000
1765493599.548765,-1.660000
1765493599.551625,-1.640000
1765493599.554548,-1.640000
1765493599.557499,-1.340000
1765493599.560466,-1.280000
1765493599.563394,-1.220000
1765493599.566234,-1.140000
1765493599.569134,-1.100000
1765493599.571966,-1.060000
1765493599.575021,-1.100000
1765493599.577938,-1.160000
1765493599.580784,-1.160000
1765493599.583627,-1.460000
1765493599.586413,-1.460000
