timestamp,tension (N)
1765493599.312328,-1.220000
1765493599.315180,-1.220000
1765493599.317967,-1.220000
1765493599.320822,-1.220000
1765493599.323562,-1.220000
1765493599.326321,-1.220000
1765493599.329149,-1.220000
1765493599.331992,-1.220000
1765493599.334898,-1.220000
1765493599.337691,-1.220000
1765493599.340594,-1.220000
1765493599.343823,-1.220000
1765493599.346720,-1.220000
1765493599.349548,-1.220000
1765493599.352381,-1.220000
1765493599.355193,-1.220000
1765493599.359917,-1.220000
1765493599.362715,-1.220000
1765493599.366236,-1.220000
1765493599.369609,-1.220000
1765493599.372895,-1.220000
1765493599.376511,-1.220000
1765493599.379339,-1.220000
1765493599.382171,-1.220000
1765493599.384953,-1.220000
1765493599.387841,-1.220000
1765493599.391151,-1.220000
1765493599.393954,-1.220000
1765493599.396766,-1.220000
1765493599.399591,-1.220000
1765493599.402419,-1.220000
1765493599.405211,-1.220000
1765493599.408028,-1.220000
1765493599.411281,-1.220000
1765493599.414160,-1.220000
1765493599.417000,-1.220000
1765493599.420468,-1.220000
1765493599.423264,-1.220000
1765493599.426050,-1.220000
1765493599.428862,-1.220000
1765493599.431669,-1.220000
1765493599.434516,-1.220000
1765493599.437346,-1.220000
1765493599.440211,-1.220000
1765493599.443062,-1.220000
1765493599.445877,-1.220000
1765493599.448684,-1.220000
1765493599.451490,-1.220000
1765493599.454293,-1.220000
1765493599.457175,-1.220000
1765493599.459979,-1.220000
1765493599.462738,-1.220000
1765493599.465596,-1.220000
1765493599.468425,-1.220000
1765493599.471238,-1.220000
1765493599.474150,-1.220000
1765493599.477027,-1.220000
1765493599.479807,-1.220000
1765493599.482609,-1.220000
1765493599.485445,-1.220000
1765493599.488232,-1.220000
1765493599.491017,-1.220000
1765493599.493915,-1.220000
1765493599.496753,-1.220000
1765493599.499732,-1.220000
1765493599.502618,-1.220000
1765493599.505476,-1.220000
1765493599.508392,-1.220000
1765493599.511241,-1.220000
1765493599.514031,-1.220000
1765493599.516867,-1.220000
1765493599.519622,-1.200000
1765493599.524475,-0.920000
1765493599.527164,-0.820000
1765493599.530492,-0.700000
1765493599.533880,-0.620000
1765493599.537055,-0.520000
1765493599.540536,-0.420000
1765493599.543248,-0.340000
1765493599.545983,-0.280000
1765493599.548750,-0.200000
1765493599.551497,-0.160000
1765493599.554638,-0.100000
1765493599.557336,-0.080000
1765493599.560018,-0.040000
1765493599.562699,-0.020000
1765493599.565362,-0.020000
1765493599.567927,0.020000
1765493599.570307,0.000000
1765493599.573351,0.000000
1765493599.575947,0.020000
1765493599.578371,0.000000
1765493599.580974,0.020000
1765493599.583417,0.000000
1765493599.585968,0.020000
1765493599.588297,0.000000
1765493599.590696,0.000000
1765493599.593228,0.020000
1765493599.595608,0.000000
1765493599.598158,0.020000
1765493599.600574,0.000000
1765493599.603209,0.020000
1765493599.605841,0.020000
1765493599.608522,-0.020000
1765493599.611126,0.020000
1765493599.613556,0.000000
1765493599.615987,0.000000
1765493599.618620,0.020000
1765493599.621130,0.000000
1765493599.623743,0.020000
1765493599.626153,0.000000
1765493599.628546,0.000000
1765493599.631151,0.020000
1765493599.633881,-0.240000
1765493599.636418,0.020000
1765493599.639159,-0.220000
1765493599.641860,-0.200000
1765493599.644435,-0.200000
1765493599.647219,-0.200000
1765493599.650001,-0.180000
1765493599.652771,-0.180000
1765493599.655521,-0.180000
1765493599.658273,-0.160000
1765493599.660981,-0.160000
1765493599.663726,-0.140000
1765493599.666422,-0.140000
1765493599.669235,-0.140000
1765493599.671962,-0.140000
1765493599.674661,-0.120000
1765493599.677445,-0.120000
1765493599.680278,-0.120000
1765493599.683025,-0.120000
1765493599.685695,-0.100000
1765493599.688391,-0.100000
1765493599.691020,-0.100000
1765493599.694890,-0.080000
1765493599.697594,-0.080000
1765493599.700313,-0.080000
1765493599.703004,-0.080000
1765493599.705738,-0.080000
1765493599.708674,-0.080000
1765493599.711848,-0.060000
1765493599.715189,-0.060000
1765493599.717817,-0.060000
1765493599.721302,-0.060000
1765493599.724775,-0.060000
1765493599.727467,-0.060000
1765493599.730148,-0.060000
1765493599.732828,-0.040000
1765493599.735524,-0.040000
1765493599.738196,-0.040000
1765493599.740905,-0.040000
1765493599.744040,-0.040000
1765493599.746759,-0.040000
1765493599.749432,-0.040000
1765493599.752957,-0.040000
1765493599.755646,-0.040000
1765493599.758293,-0.040000
1765493599.761033,-0.040000
1765493599.763830,-0.040000
1765493599.766539,-0.020000
1765493599.769243,-0.020000
1765493599.771966,-0.020000
1765493599.774664,-0.020000
1765493599.777329,-0.020000
1765493599.780071,-0.020000
1765493599.782780,-0.020000
1765493599.785591,-0.020000
1765493599.788316,-0.020000
1765493599.791047,-0.020000
1765493599.793845,-0.020000
1765493599.796607,-0.020000
1765493599.799352,-0.020000
1765493599.802082,-0.020000
1765493599.804814,-0.020000
1765493599.807502,-0.020000
1765493599.810265,-0.020000
1765493599.812952,-0.020000
1765493599.815601,-0.020000
1765493599.818315,-0.020000
1765493599.821044,-0.020000
1765493599.823772,-0.020000
1765493599.826397,-0.020000
1765493599.829163,-0.020000
1765493599.831837,-0.020000
1765493599.834531,-0.020000
1765493599.837250,-0.020000
1765493599.839906,-0.020000
1765493599.842357,0.000000
1765493599.844815,0.000000
1765493599.847278,0.000000
1765493599.849725,0.000000
1765493599.852187,0.000000
1765493599.854683,0.000000
1765493599.857125,0.000000
1765493599.861034,0.000000
1765493599.863507,0.000000
1765493599.865911,0.000000
1765493599.868322,0.000000
1765493599.870857,0.000000
1765493599.874002,0.000000
1765493599.876909,0.000000
1765493599.880294,0.000000
1765493599.882637,0.000000
1765493599.885015,0.000000
1765493599.887475,0.000000
1765493599.890055,0.000000
1765493599.893426,0.000000
1765493599.895823,0.000000
1765493599.898204,0.000000
1765493599.900642,0.000000
1765493599.903048,0.000000
1765493599.905446,0.000000
1765493599.907927,0.000000
1765493599.910341,0.000000
1765493599.912766,0.000000
1765493599.915297,0.000000
1765493599.917757,0.000000
1765493599.920226,0.000000
1765493599.922663,0.000000
1765493599.925139,0.000000
1765493599.927572,0.000000
1765493599.929968,0.000000
1765493599.932405,0.000000
1765493599.934928,0.000000
1765493599.937385,0.000000
1765493599.939870,0.000000
1765493599.942355,0.000000
1765493599.944812,0.000000
1765493599.947294,0.000000
1765493599.949760,0.000000
1765493599.952129,0.000000
1765493599.954584,0.000000
1765493599.957005,0.000000
1765493599.959542,0.000000
1765493599.961885,0.000000
1765493599.964305,0.000000
1765493599.966576,0.000000
1765493599.969015,0.000000
1765493599.971425,0.000000
1765493599.973923,0.000000
1765493599.976352,0.000000
1765493599.978727,0.000000
1765493599.981229,0.000000
1765493599.983642,0.000000
1765493599.986057,0.000000
1765493599.988525,0.000000
1765493599.991011,0.000000
1765493599.993442,0.000000
1765493599.995948,0.000000
1765493599.998381,0.000000
1765493600.000807,0.000000
1765493600.003208,0.000000
1765493600.005659,0.000000
1765493600.008190,0.000000
1765493600.010665,0.000000
1765493600.013130,0.000000
1765493600.015529,0.000000
1765493600.018053,0.000000
1765493600.020494,0.000000
1765493600.022821,0.000000
1765493600.025290,0.000000
1765493600.027641,0.000000
1765493600.030164,0.000000
1765493600.032535,0.000000
1765493600.036025,0.000000
1765493600.038402,0.000000
1765493600.040795,0.000000
1765493600.043139,0.000000
1765493600.045855,0.000000
1765493600.048965,0.000000
1765493600.051927,0.000000
1765493600.055297,0.000000
1765493600.057676,0.000000
1765493600.060131,0.000000
1765493600.062599,0.000000
1765493600.065325,0.000000
1765493600.068388,0.000000
1765493600.070824,0.000000
1765493600.073300,0.000000
1765493600.075780,0.000000
1765493600.078223,0.000000
1765493600.080554,0.000000
1765493600.083092,0.000000
1765493600.086233,0.000000
1765493600.088531,0.000000
1765493600.090954,0.000000
1765493600.093385,0.000000
1765493600.095832,0.000000
1765493600.098124,0.000000
1765493600.100426,0.000000
1765493600.102834,0.000000
1765493600.105153,0.000000
1765493600.107546,0.000000
1765493600.109989,0.000000
1765493600.112457,0.000000
1765493600.114906,0.000000
1765493600.117354,0.000000
1765493600.119818,0.000000
1765493600.122268,0.000000
1765493600.124779,0.000000
1765493600.127207,0.000000
1765493600.129659,0.000000
1765493600.132131,0.000000
1765493600.134540,0.000000
1765493600.136987,0.000000
1765493600.139452,0.000000
1765493600.141768,0.000000
1765493600.144266,0.000000
1765493600.146652,0.000000
1765493600.148954,0.000000
1765493600.151408,0.000000
1765493600.153892,0.000000
1765493600.156312,0.000000
1765493600.158674,0.000000
1765493600.161130,0.000000
1765493600.163574,0.000000
1765493600.165967,0.000000
1765493600.168581,0.000000
1765493600.170915,0.000000
1765493600.173380,0.000000
1765493600.175710,0.000000
1765493600.178076,0.000000
1765493600.180375,0.000000
1765493600.182782,0.000000
1765493600.185313,0.000000
1765493600.187660,0.000000
1765493600.190155,0.000000
1765493600.192544,0.000000
1765493600.194935,0.000000
1765493600.197412,0.000000
1765493600.199814,0.000000
1765493600.202246,0.000000
1765493600.204511,0.000000
1765493600.208703,0.000000
1765493600.211153,0.000000
1765493600.213476,0.000000
1765493600.215974,0.000000
1765493600.218294,0.000000
1765493600.221301,0.000000
1765493600.224132,0.000000
1765493600.227424,0.000000
1765493600.229765,0.000000
1765493600.232040,0.000000
1765493600.234420,0.000000
1765493600.236950,0.000000
1765493600.240314,0.000000
1765493600.242676,0.000000
1765493600.245126,0.000000
1765493600.247583,0.000000
1765493600.250075,0.000000
1765493600.252384,0.000000
1765493600.254712,0.000000
1765493600.257015,0.000000
1765493600.259413,0.000000
1765493600.261850,0.000000
1765493600.264264,0.000000
1765493600.266697,0.000000
1765493600.269131,0.000000
1765493600.271492,0.000000
1765493600.273880,0.000000
1765493600.276199,0.000000
1765493600.278612,0.000000
1765493600.280894,0.000000
1765493600.283390,0.000000
1765493600.285896,0.000000
1765493600.288360,0.000000
1765493600.290694,0.000000
1765493600.293138,0.000000
1765493600.295748,0.000000
1765493600.298057,0.000000
1765493600.300406,0.000000
1765493600.302855,0.000000
1765493600.305141,0.000000
1765493600.307570,0.000000
1765493600.309842,0.000000
1765493600.312294,0.000000
1765493600.314620,0.000000
1765493600.317077,0.000000
1765493600.319532,0.000000
1765493600.321925,0.000000
1765493600.324394,0.000000
1765493600.326837,0.000000
1765493600.329285,0.000000
1765493600.331778,0.000000
1765493600.334131,0.000000
1765493600.336560,0.000000
1765493600.338976,0.000000
1765493600.341379,0.000000
1765493600.343791,0.000000
1765493600.346226,0.000000
1765493600.348643,0.000000
1765493600.351014,0.000000
1765493600.353466,0.000000
1765493600.355936,0.000000
1765493600.358376,0.000000
1765493600.360721,0.000000
1765493600.363166,0.000000
1765493600.365535,0.000000
1765493600.367838,0.000000
1765493600.370146,0.000000
1765493600.372492,0.000000
1765493600.374911,0.000000
1765493600.378488,0.000000
1765493600.380921,0.000000
1765493600.383238,0.000000
1765493600.385697,0.000000
1765493600.388155,0.000000
1765493600.391271,0.000000
1765493600.394257,0.000000
1765493600.397460,0.000000
1765493600.399746,0.000000
1765493600.402049,0.000000
1765493600.404400,0.000000
1765493600.406876,0.000000
1765493600.410082,0.000000
1765493600.412448,0.000000
1765493600.414926,0.000000
1765493600.417316,0.000000
1765493600.419744,0.000000
1765493600.422223,0.000000
1765493600.424511,0.000000
1765493600.426935,0.000000
1765493600.429379,0.000000
1765493600.431688,0.000000
1765493600.434041,0.000000
1765493600.436347,0.000000
1765493600.438771,0.000000
1765493600.441274,0.000000
1765493600.443577,0.000000
1765493600.445882,0.000000
1765493600.448198,0.000000
1765493600.450586,0.000000
1765493600.452959,0.000000
1765493600.455491,0.000000
1765493600.457833,0.000000
1765493600.460183,0.000000
1765493600.462709,0.000000
1765493600.465020,0.000000
1765493600.467460,0.000000
1765493600.469793,0.000000
1765493600.472256,0.000000
1765493600.474538,0.000000
1765493600.477012,0.000000
1765493600.479456,0.000000
1765493600.481864,0.000000
1765493600.484324,0.000000
1765493600.486746,0.000000
1765493600.489308,0.000000
1765493600.491764,0.000000
1765493600.494168,0.000000
1765493600.496655,0.000000
1765493600.498995,0.000000
1765493600.501471,0.000000
1765493600.503915,0.000000
1765493600.506197,0.000000
1765493600.508684,0.000000
1765493600.511037,0.000000
1765493600.513501,0.000000
1765493600.515867,0.000000
1765493600.518316,0.000000
1765493600.520691,0.000000
1765493600.523153,0.000000
1765493600.525586,0.000000
1765493600.527959,0.000000
1765493600.530346,0.000000
1765493600.532770,0.000000
1765493600.535156,0.000000
1765493600.537638,0.000000
1765493600.540045,0.000000
1765493600.542549,0.000000
1765493600.544953,0.000000
1765493600.549587,0.000000
1765493600.552191,0.000000
1765493600.554691,0.000000
1765493600.558037,0.000000
1765493600.561047,0.000000
1765493600.563983,0.000000
1765493600.567165,0.000000
1765493600.569567,0.000000
1765493600.571864,0.000000
1765493600.574296,0.000000
1765493600.576690,0.000000
1765493600.579972,0.000000
1765493600.582417,0.000000
1765493600.584753,0.000000
1765493600.587092,0.000000
1765493600.589379,0.000000
1765493600.591843,0.000000
1765493600.594225,0.000000
1765493600.596486,0.000000
1765493600.598790,0.000000
1765493600.601146,0.000000
1765493600.603553,0.000000
1765493600.605943,0.000000
1765493600.608222,0.000000
1765493600.610643,0.000000
1765493600.612995,0.000000
1765493600.615516,0.000000
1765493600.617970,0.000000
1765493600.620387,0.000000
1765493600.622991,0.000000
1765493600.625477,0.000000
1765493600.627966,0.000000
1765493600.630315,0.000000
1765493600.633320,0.000000
1765493600.635900,0.000000
1765493600.638319,0.000000
1765493600.640667,0.000000
1765493600.643001,0.000000
1765493600.645454,0.000000
1765493600.647834,0.000000
1765493600.650294,0.000000
1765493600.652748,0.000000
1765493600.655135,0.000000
1765493600.657535,0.000000
1765493600.659907,0.000000
1765493600.662173,0.000000
1765493600.664550,0.000000
1765493600.666911,0.000000
1765493600.669419,0.000000
1765493600.671832,0.000000
1765493600.674231,0.000000
1765493600.676580,0.000000
1765493600.678979,0.000000
1765493600.681381,0.000000
1765493600.683776,0.000000
1765493600.686144,0.000000
1765493600.688533,0.000000
1765493600.690960,0.000000
1765493600.693413,0.000000
1765493600.695920,0.000000
1765493600.698353,0.000000
1765493600.700864,0.000000
1765493600.703293,0.000000
1765493600.705735,0.000000
1765493600.708137,0.000000
1765493600.710570,0.000000
1765493600.713033,0.000000
1765493600.716965,0.000000
1765493600.719440,0.000000
1765493600.721890,0.000000
1765493600.724233,0.000000
1765493600.726722,0.000000
1765493600.729690,0.000000
1765493600.732711,0.000000
1765493600.735783,0.000000
1765493600.738293,0.000000
1765493600.740733,0.000000
1765493600.743006,0.000000
1765493600.745574,0.000000
1765493600.748800,0.000000
1765493600.751272,0.000000
1765493600.753927,0.000000
1765493600.756331,0.000000
1765493600.758785,0.000000
1765493600.761189,0.000000
1765493600.763597,0.000000
1765493600.766045,0.000000
1765493600.768513,0.000000
1765493600.770950,0.000000
1765493600.773413,0.000000
1765493600.776212,0.000000
1765493600.778738,0.000000
1765493600.781137,0.000000
1765493600.783648,0.000000
1765493600.786096,0.000000
1765493600.788433,0.000000
1765493600.790767,0.000000
1765493600.793194,0.000000
1765493600.795608,0.000000
1765493600.798142,0.000000
1765493600.800611,0.000000
1765493600.803140,0.000000
1765493600.805462,0.000000
1765493600.807906,0.000000
1765493600.810310,0.000000
1765493600.812712,0.000000
1765493600.815207,0.000000
1765493600.817663,0.000000
1765493600.820040,0.000000
1765493600.822524,0.000000
1765493600.825071,0.000000
1765493600.827385,0.000000
1765493600.829821,0.000000
1765493600.832229,0.000000
1765493600.834669,0.000000
1765493600.837011,0.000000
1765493600.839408,0.000000
1765493600.841791,0.000000
1765493600.844291,0.000000
1765493600.846677,0.000000
1765493600.849189,0.000000
1765493600.851644,0.000000
1765493600.854024,0.000000
1765493600.856485,0.000000
1765493600.858891,0.000000
1765493600.862724,0.000000
1765493600.865173,0.000000
1765493600.867638,0.000000
1765493600.869975,0.000000
1765493600.872443,0.000000
1765493600.875339,0.000000
1765493600.878327,0.000000
1765493600.881666,0.000000
1765493600.884078,0.000000
1765493600.886424,0.000000
1765493600.888883,0.000000
1765493600.891536,0.000000
1765493600.894696,0.000000
1765493600.897148,0.000000
1765493600.899547,0.000000
1765493600.902046,0.000000
1765493600.904410,0.000000
1765493600.906753,0.000000
1765493600.909022,0.000000
1765493600.911387,0.000000
1765493600.913822,0.000000
1765493600.916298,0.000000
1765493600.918633,0.000000
1765493600.921039,0.000000
1765493600.923326,0.000000
1765493600.925782,0.000000
1765493600.928292,0.000000
1765493600.930713,0.000000
1765493600.933055,0.000000
1765493600.935393,0.000000
1765493600.937698,0.000000
1765493600.940125,0.000000
1765493600.942492,0.000000
1765493600.944883,0.000000
1765493600.947211,0.000000
1765493600.949611,0.000000
1765493600.951908,0.000000
1765493600.954348,0.000000
1765493600.956639,0.000000
1765493600.959203,0.000000
1765493600.961726,0.000000
1765493600.964066,0.000000
1765493600.966570,0.000000
1765493600.968953,0.000000
1765493600.971376,0.000000
1765493600.973682,0.000000
1765493600.976002,0.000000
1765493600.978427,0.000000
1765493600.980839,0.000000
1765493600.983326,0.000000
1765493600.985608,0.000000
1765493600.988004,0.000000
1765493600.990386,0.000000
1765493600.992758,0.000000
1765493600.995168,0.000000
1765493600.997508,0.000000
1765493601.000004,0.000000
1765493601.002384,0.000000
1765493601.004771,0.000000
1765493601.007124,0.000000
1765493601.009532,0.000000
1765493601.012175,0.000000
1765493601.014432,0.000000
1765493601.016791,0.000000
1765493601.019157,0.000000
1765493601.021548,0.000000
1765493601.023845,0.000000
1765493601.026274,0.000000
1765493601.028655,0.000000
1765493601.031002,0.000000
1765493601.034688,0.000000
1765493601.037039,0.000000
1765493601.039307,0.000000
1765493601.041744,0.000000
1765493601.044301,0.000000
1765493601.047332,0.000000
1765493601.050304,0.000000
1765493601.053437,0.000000
1765493601.055717,0.000000
1765493601.058129,0.000000
1765493601.060380,0.000000
1765493601.063018,0.000000
1765493601.066316,0.000000
1765493601.068676,0.000000
1765493601.070913,0.000000
1765493601.073292,0.000000
1765493601.075666,0.000000
1765493601.078129,0.000000
1765493601.080445,0.000000
1765493601.082751,0.000000
1765493601.085204,0.000000
1765493601.087619,0.000000
1765493601.089988,0.000000
1765493601.092364,0.000000
1765493601.094771,0.000000
1765493601.097125,0.000000
1765493601.099514,0.000000
1765493601.101829,0.000000
1765493601.104269,0.000000
1765493601.106647,0.000000
1765493601.109053,0.000000
1765493601.111398,0.000000
1765493601.113797,0.000000
1765493601.116161,0.000000
1765493601.118423,0.000000
1765493601.120762,0.000000
1765493601.123155,0.000000
1765493601.125382,0.000000
1765493601.127639,0.000000
1765493601.130127,0.000000
1765493601.132567,0.000000
1765493601.134956,0.000000
1765493601.137427,0.000000
1765493601.139757,0.000000
1765493601.142285,0.000000
1765493601.144808,0.000000
1765493601.147286,0.000000
1765493601.149713,0.000000
1765493601.152047,0.000000
1765493601.154525,0.000000
1765493601.156945,0.000000
1765493601.159389,0.000000
1765493601.161727,0.000000
1765493601.164143,0.000000
1765493601.166593,0.000000
1765493601.168913,0.000000
1765493601.171275,0.000000
1765493601.173900,0.000000
1765493601.176296,0.000000
1765493601.178720,0.000000
1765493601.181287,0.000000
1765493601.183743,0.000000
1765493601.186156,0.000000
1765493601.188612,0.000000
1765493601.190917,0.000000
1765493601.193406,0.000000
1765493601.195868,0.000000
1765493601.198258,0.000000
1765493601.202271,0.000000
1765493601.204813,0.000000
1765493601.207210,0.000000
1765493601.209677,0.000000
1765493601.212143,0.000000
1765493601.215156,0.000000
1765493601.218132,0.000000
1765493601.221475,0.000000
1765493601.223878,0.000000
1765493601.226298,0.000000
1765493601.228729,0.000000
1765493601.231353,0.000000
1765493601.234610,0.000000
