timestamp,tension (N)
1765493599.283166,-1.580000
1765493599.286069,-1.580000
1765493599.288860,-1.580000
1765493599.291677,-1.580000
1765493599.294526,-1.580000
1765493599.297405,-1.580000
1765493599.300220,-1.580000
1765493599.305189,-1.580000
1765493599.308071,-1.580000
1765493599.311481,-1.580000
1765493599.314795,-1.580000
1765493599.318074,-1.580000
1765493599.321756,-1.580000
1765493599.324533,-1.580000
1765493599.327340,-1.580000
1765493599.330998,-1.580000
1765493599.334649,-1.580000
1765493599.337544,-1.580000
1765493599.340403,-1.580000
1765493599.343935,-1.580000
1765493599.346793,-1.580000
1765493599.349591,-1.580000
1765493599.353060,-1.580000
1765493599.355847,-1.580000
1765493599.358712,-1.580000
1765493599.362191,-1.580000
1765493599.365033,-1.580000
1765493599.367824,-1.580000
1765493599.370636,-1.580000
1765493599.373425,-1.580000
1765493599.376219,-1.580000
1765493599.379051,-1.580000
1765493599.381844,-1.580000
1765493599.384698,-1.580000
1765493599.387583,-1.580000
1765493599.390456,-1.580000
1765493599.393297,-1.580000
1765493599.396211,-1.580000
1765493599.399025,-1.580000
1765493599.401901,-1.580000
1765493599.404942,-1.580000
1765493599.407860,-1.580000
1765493599.410844,-1.580000
1765493599.413738,-1.580000
1765493599.416585,-1.580000
1765493599.419496,-1.580000
1765493599.422349,-1.580000
1765493599.425235,-1.580000
1765493599.428228,-1.580000
1765493599.431183,-1.580000
1765493599.434218,-1.580000
1765493599.437167,-1.580000
1765493599.440312,-1.580000
1765493599.443593,-1.580000
1765493599.446547,-1.580000
1765493599.449455,-1.580000
1765493599.452268,-1.580000
1765493599.455253,-1.580000
1765493599.458213,-1.580000
1765493599.461281,-1.580000
1765493599.464291,-1.580000
1765493599.467169,-1.580000
1765493599.470133,-1.580000
1765493599.474294,-1.580000
1765493599.477317,-1.580000
1765493599.480456,-1.580000
1765493599.483818,-1.580000
1765493599.487069,-1.580000
1765493599.490703,-1.580000
1765493599.493615,-1.580000
1765493599.496572,-1.580000
1765493599.500036,-1.580000
1765493599.503571,-1.580000
1765493599.506312,-1.580000
1765493599.509246,-1.580000
1765493599.512860,-1.580000
1765493599.515689,-1.580000
1765493599.518483,-1.560000
1765493599.522002,-1.560000
1765493599.524868,-1.560000
1765493599.527678,-1.560000
1765493599.531201,-1.560000
1765493599.534051,-1.560000
1765493599.536947,-1.560000
1765493599.539726,-1.560000
1765493599.542577,-1.560000
1765493599.545467,-1.580000
1765493599.548424,-1.580000
1765493599.551356,-1.580000
1765493599.554260,-1.600000
1765493599.557181,-1.920000
1765493599.559894,-2.040000
1765493599.563162,-2.040000
1765493599.566164,-2.160000
1765493599.569079,-2.280000
1765493599.571935,-2.340000
1765493599.575039,-2.360000
1765493599.578103,-2.420000
1765493599.580909,-2.540000
1765493599.583742,-2.600000
1765493599.586668,-2.680000
1765493599.589589,-2.660000
1765493599.592443,-2.700000
1765493599.595244,-2.720000
1765493599.598214,-2.860000
1765493599.601312,-2.880000
1765493599.604086,-3.000000
1765493599.607045,-3.140000
1765493599.610053,-3.240000
1765493599.613034,-3.300000
1765493599.615948,-3.440000
1765493599.618893,-3.560000
1765493599.621863,-3.760000
1765493599.624724,-3.860000
1765493599.627580,-3.940000
1765493599.630364,-4.100000
1765493599.633188,-4.200000
1765493599.636230,-4.400000
1765493599.640853,-4.600000
1765493599.643862,-4.680000
1765493599.646679,-4.740000
1765493599.650492,-5.020000
1765493599.653929,-5.160000
1765493599.657322,-5.320000
1765493599.661031,-5.380000
1765493599.663890,-5.600000
1765493599.666906,-5.640000
1765493599.670633,-5.860000
1765493599.674384,-6.020000
1765493599.677199,-6.140000
1765493599.680225,-6.200000
1765493599.683844,-6.380000
1765493599.686586,-6.500000
1765493599.689565,-6.700000
1765493599.693224,-6.880000
1765493599.695974,-7.000000
1765493599.698873,-7.020000
1765493599.702402,-7.220000
1765493599.705392,-7.320000
1765493599.708354,-7.380000
1765493599.711269,-7.580000
1765493599.714314,-7.780000
1765493599.717282,-7.820000
1765493599.720227,-8.040000
1765493599.723146,-8.200000
1765493599.726009,-8.240000
1765493599.728989,-8.340000
1765493599.732044,-8.580000
1765493599.735062,-8.740000
1765493599.737938,-8.760000
1765493599.740925,-8.820000
1765493599.743809,-9.060000
1765493599.746715,-9.140000
1765493599.749548,-9.280000
1765493599.752352,-9.380000
1765493599.755303,-9.420000
1765493599.758237,-9.680000
1765493599.761200,-9.700000
1765493599.764062,-9.860000
1765493599.767002,-10.000000
1765493599.770081,-10.040000
1765493599.773249,-10.280000
1765493599.776277,-10.460000
1765493599.779532,-10.380000
1765493599.782574,-10.660000
1765493599.785742,-10.780000
1765493599.790674,-11.000000
1765493599.793712,-11.120000
1765493599.797372,-11.340000
1765493599.801175,-11.560000
1765493599.804296,-11.640000
1765493599.807383,-11.800000
1765493599.811048,-11.980000
1765493599.814648,-12.200000
1765493599.818241,-12.260000
1765493599.821978,-12.440000
1765493599.825126,-12.540000
1765493599.828193,-12.680000
1765493599.832099,-12.720000
1765493599.835891,-12.900000
1765493599.838860,-13.060000
1765493599.841918,-13.180000
1765493599.845676,-13.260000
1765493599.848793,-13.540000
1765493599.851978,-13.580000
1765493599.855468,-13.720000
1765493599.858558,-13.880000
1765493599.862390,-14.060000
1765493599.865487,-14.160000
1765493599.868500,-14.200000
1765493599.871597,-14.400000
1765493599.874650,-14.560000
1765493599.877797,-14.580000
1765493599.881048,-14.760000
1765493599.884174,-14.860000
1765493599.887073,-15.000000
