timestamp,tension (N)
1765493599.277371,-1.420000
1765493599.280260,-1.420000
1765493599.283043,-1.420000
1765493599.285863,-1.420000
1765493599.288629,-1.420000
1765493599.291459,-1.420000
1765493599.294259,-1.420000
1765493599.297156,-1.420000
1765493599.300021,-1.420000
1765493599.302910,-1.420000
1765493599.305839,-1.420000
1765493599.308769,-1.420000
1765493599.311609,-1.420000
1765493599.314423,-1.420000
1765493599.319294,-1.420000
1765493599.322155,-1.420000
1765493599.325631,-1.420000
1765493599.329168,-1.420000
1765493599.332283,-1.420000
1765493599.335917,-1.420000
1765493599.338931,-1.420000
1765493599.341709,-1.420000
1765493599.345285,-1.420000
1765493599.348896,-1.420000
1765493599.351787,-1.420000
1765493599.354616,-1.420000
1765493599.358190,-1.420000
1765493599.360935,-1.420000
1765493599.363748,-1.420000
1765493599.366535,-1.420000
1765493599.369337,-1.420000
1765493599.372149,-1.420000
1765493599.375422,-1.420000
1765493599.378234,-1.420000
1765493599.381049,-1.420000
1765493599.383911,-1.420000
1765493599.386757,-1.420000
1765493599.389620,-1.420000
1765493599.392502,-1.420000
1765493599.395332,-1.420000
1765493599.398158,-1.420000
1765493599.400967,-1.420000
1765493599.403819,-1.420000
1765493599.406573,-1.420000
1765493599.409306,-1.420000
1765493599.412154,-1.420000
1765493599.415146,-1.420000
1765493599.417975,-1.420000
1765493599.420835,-1.420000
1765493599.423620,-1.420000
1765493599.426565,-1.420000
1765493599.429379,-1.420000
1765493599.432256,-1.420000
1765493599.435012,-1.420000
1765493599.437852,-1.420000
1765493599.440688,-1.420000
1765493599.443507,-1.420000
1765493599.446407,-1.420000
1765493599.449168,-1.420000
1765493599.452078,-1.420000
1765493599.454852,-1.420000
1765493599.457827,-1.420000
1765493599.460664,-1.420000
1765493599.463608,-1.420000
1765493599.466453,-1.420000
1765493599.469367,-1.420000
1765493599.472184,-1.420000
1765493599.475065,-1.420000
1765493599.479912,-1.420000
1765493599.482774,-1.420000
1765493599.486238,-1.420000
1765493599.489609,-1.420000
1765493599.492853,-1.420000
1765493599.496362,-1.440000
1765493599.499277,-1.440000
1765493599.502225,-1.440000
1765493599.505835,-1.440000
1765493599.509506,-1.440000
1765493599.512352,-1.440000
1765493599.515260,-1.440000
1765493599.518798,-1.440000
1765493599.521585,-1.440000
1765493599.524390,-1.440000
1765493599.527225,-1.440000
1765493599.530164,-1.440000
1765493599.533038,-1.420000
1765493599.535893,-1.420000
1765493599.538834,-1.420000
1765493599.541797,-1.420000
1765493599.544638,-1.440000
1765493599.547483,-1.440000
