timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1761937019.877911,0.005775,0.020943,0.489105,0.000490,-0.000827,-0.003274
1761937019.893954,-0.000652,-0.001022,-0.001587,-0.000035,0.000016,0.000034
1761937019.894128,0.001043,0.001340,0.004420,0.000047,0.000022,-0.000006
1761937019.894204,0.000195,-0.000697,0.003004,-0.000013,-0.000002,-0.000064
1761937019.909318,0.006063,0.017133,0.455201,0.000442,-0.000836,-0.003052
1761937019.909532,0.000590,-0.000410,0.001745,-0.000032,-0.000014,-0.000018
1761937019.909652,0.000242,0.000781,0.004381,0.000015,-0.000024,-0.000029
1761937019.924762,0.005404,0.002938,0.474581,0.000409,-0.000561,-0.003584
1761937019.924938,0.001807,-0.000580,-0.001630,0.000004,0.000002,0.000023
1761937019.925032,0.001857,0.001287,0.005836,0.000016,-0.000022,-0.000006
1761937019.939834,0.004898,0.017526,0.483021,0.000411,-0.000855,-0.003281
1761937019.939978,-0.000120,0.002527,-0.000405,0.000034,-0.000061,0.000036
1761937019.940062,0.000223,0.001761,0.003039,-0.000009,-0.000018,-0.000017
1761937019.955801,-0.000169,-0.000451,0.007068,0.000028,-0.000001,-0.000071
1761937019.955986,0.006843,0.018871,0.468749,0.000395,-0.000797,-0.003203
1761937019.956060,0.000596,0.000113,-0.000405,0.000020,0.000035,-0.000029
1761937019.971290,0.000167,-0.000636,0.007271,-0.000042,0.000016,-0.000030
1761937019.971568,0.005648,0.020274,0.511675,0.000448,-0.001228,-0.003305
1761937019.971652,-0.000224,-0.000326,-0.001664,-0.000012,0.000013,0.000017
1761937019.987333,-0.000988,0.001061,0.005788,-0.000002,-0.000006,-0.000017
1761937019.987519,0.005342,0.018106,0.497964,0.000427,-0.000853,-0.003387
1761937019.987594,-0.000617,0.000409,-0.001651,-0.000017,-0.000001,0.000035
1761937020.002968,-0.000191,0.000109,0.000990,0.000011,0.000001,-0.000012
1761937020.003182,0.000993,-0.000641,0.009332,-0.000023,0.000012,-0.000030
1761937020.003262,0.006956,0.018904,0.471474,0.000483,-0.000860,-0.003152
1761937020.003326,0.001453,0.001055,0.000998,0.000024,-0.000025,0.000000
1761937020.018315,0.000576,-0.000852,0.005196,-0.000014,0.000031,-0.000024
1761937020.018720,0.009818,0.026919,0.530023,0.000533,-0.001236,-0.003362
1761937020.018958,-0.002221,-0.000095,0.003109,-0.000018,-0.000004,0.000011
1761937020.034222,0.001046,0.001723,0.005816,-0.000020,-0.000050,-0.000017
1761937020.034450,0.005329,0.017677,0.497994,0.000444,-0.000819,-0.003375
1761937020.034541,-0.000178,0.001115,0.003096,0.000017,0.000001,0.000018
1761937020.050242,-0.001388,-0.001573,0.002370,0.000022,-0.000015,-0.000007
1761937020.050454,-0.000556,0.001213,0.004293,0.000008,-0.000037,-0.000058
1761937020.050552,0.004884,0.017700,0.467323,0.000449,-0.000831,-0.003175
1761937020.066231,0.000212,-0.001082,-0.001040,0.000023,-0.000001,-0.000001
1761937020.066416,0.001036,0.000310,0.005781,0.000021,-0.000001,-0.000035
1761937020.066492,-0.004543,0.028689,0.547674,0.000669,-0.001214,-0.003584
1761937020.081738,0.000656,0.001512,0.002381,-0.000002,-0.000059,0.000006
1761937020.081921,0.000222,-0.000603,0.006523,0.000027,0.000010,-0.000013
1761937020.082017,0.007790,0.017631,0.493145,0.000480,-0.000856,-0.003375
1761937020.096762,0.000167,-0.000610,-0.000209,-0.000063,-0.000027,0.000023
1761937020.096952,0.002246,0.000056,0.000337,0.000008,-0.000035,-0.000012
1761937020.097033,-0.000621,0.000295,0.007861,-0.000036,0.000009,-0.000053
1761937020.097096,0.005220,0.018264,0.447811,0.000428,-0.000807,-0.002952
1761937020.112739,-0.000136,0.001519,0.004368,0.000029,-0.000039,-0.000011
1761937020.112961,-0.000566,0.000308,0.005046,0.000023,-0.000015,-0.000035
1761937020.113033,0.088682,0.009249,0.442463,0.002681,-0.001407,-0.005112
1761937020.127983,0.001052,0.000333,0.000304,0.000030,-0.000029,0.000000
1761937020.128175,-0.000991,-0.000908,0.002309,0.000006,-0.000018,-0.000041
1761937020.128261,0.006567,0.018847,0.499324,0.000459,-0.000832,-0.003387
1761937020.143974,0.000991,0.000865,-0.004413,-0.000016,0.000001,0.000024
1761937020.144182,0.000636,-0.000424,0.001629,0.000027,-0.000016,-0.000035
1761937020.144266,-0.000136,0.002924,0.007736,0.000018,-0.000028,-0.000046
1761937020.159192,0.007352,0.019141,0.470139,0.000464,-0.000872,-0.003140
1761937020.159772,-0.001016,-0.000851,0.001725,-0.000013,-0.000005,-0.000006
1761937020.159904,0.001453,0.001017,0.004381,0.000025,-0.000015,-0.000035
1761937020.174463,0.011203,0.018124,0.563477,0.000634,-0.001375,-0.003551
1761937020.174652,0.001050,-0.000119,-0.002439,0.000047,-0.000018,0.000012
1761937020.174735,0.001418,0.000971,0.005746,-0.000014,-0.000003,-0.000070
1761937020.189930,0.007380,0.019332,0.506259,0.000452,-0.000831,-0.003381
1761937020.190134,-0.000183,0.000631,0.001068,0.000004,-0.000015,0.000029
1761937020.190206,-0.000600,-0.000170,-0.001145,0.000010,0.000002,-0.000040
1761937020.205955,-0.000225,-0.000434,0.007890,-0.000040,0.000007,-0.000053
1761937020.206469,0.005699,0.019109,0.471429,0.000437,-0.000836,-0.003192
1761937020.206615,0.001017,0.001735,-0.000377,-0.000030,-0.000034,-0.000016
1761937020.221440,0.001043,0.001233,0.006456,-0.000003,-0.000029,-0.000041
1761937020.221593,0.013378,0.021087,0.576303,0.000709,-0.001468,-0.003609
1761937020.221679,0.000603,0.000108,-0.002388,-0.000010,-0.000014,0.000006
1761937020.237453,0.000572,-0.000916,0.007265,-0.000054,-0.000003,-0.000042
1761937020.237628,0.007794,0.018006,0.505522,0.000425,-0.000889,-0.003422
1761937020.237703,0.000206,0.000867,-0.004409,-0.000016,-0.000028,0.000042
1761937020.252986,0.000624,0.000005,0.002332,-0.000020,-0.000043,-0.000046
1761937020.253196,-0.000586,-0.000167,0.007141,0.000011,0.000003,-0.000042
1761937020.253313,0.005734,0.018647,0.470709,0.000483,-0.000842,-0.003181
1761937020.253395,-0.000573,0.000350,0.003008,0.000033,0.000002,-0.000018
1761937020.268368,0.001456,-0.000501,0.005718,0.000017,-0.000037,-0.000070
1761937020.268697,0.015155,0.015792,0.663894,0.000663,-0.002774,-0.003753
1761937020.268786,0.000683,0.001519,0.000257,0.000037,-0.000060,0.000007
1761937020.284567,0.001426,0.000082,0.004485,-0.000000,-0.000013,-0.000012
1761937020.284788,0.004509,0.019932,0.468645,0.000492,-0.000802,-0.003157
1761937020.284861,-0.000597,-0.001511,0.001730,0.000041,0.000026,0.000010
1761937020.299684,0.000606,0.000046,0.003029,-0.000009,-0.000004,-0.000047
1761937020.300011,0.001081,0.002201,0.011213,0.000033,-0.000024,-0.000047
1761937020.300130,0.006076,0.018172,0.447003,0.000456,-0.000852,-0.002987
1761937020.314823,0.001013,-0.000179,0.003141,-0.000031,-0.000039,-0.000006
1761937020.315004,0.001432,0.000051,0.009982,-0.000010,-0.000019,-0.000030
1761937020.315108,0.011624,-0.086706,0.645886,0.000113,-0.002092,-0.005001
1761937020.330474,0.001405,0.000134,-0.000948,-0.000011,-0.000007,0.000023
1761937020.330772,0.001002,-0.000676,0.001029,-0.000024,-0.000022,-0.000029
1761937020.330900,0.004946,0.017780,0.502607,0.000446,-0.000830,-0.003469
1761937020.345783,0.002232,0.001050,-0.002354,-0.000016,-0.000040,0.000018
1761937020.345930,0.000203,-0.000658,0.003764,-0.000013,-0.000012,-0.000030
1761937020.346013,-0.002222,-0.000151,0.003630,0.000012,0.000033,-0.000059
1761937020.361313,0.006467,0.017608,0.479066,0.000390,-0.000829,-0.003228
1761937020.361462,-0.000184,-0.001377,0.003839,-0.000027,-0.000060,0.000005
1761937020.361533,-0.000978,0.000480,0.002945,-0.000015,-0.000046,-0.000058
1761937020.376505,0.014785,-0.086580,0.686499,0.001816,0.000003,-0.005233
1761937020.376714,0.000193,-0.001118,-0.000298,-0.000026,-0.000029,-0.000000
1761937020.376793,0.000218,0.000788,0.003722,-0.000005,-0.000013,-0.000029
1761937020.392262,0.006147,0.017663,0.497304,0.000453,-0.000830,-0.003375
1761937020.392435,0.001444,0.000570,-0.003102,0.000011,-0.000042,0.000012
1761937020.392501,-0.000607,0.001277,0.001617,-0.000011,0.000008,-0.000040
1761937020.407668,-0.001432,-0.000198,0.004388,-0.000038,0.000002,-0.000058
1761937020.407817,0.008942,0.017540,0.482466,0.000427,-0.000865,-0.003246
1761937020.407899,0.000621,0.001078,-0.001706,-0.000005,-0.000026,0.000018
1761937020.407962,-0.000157,0.000524,0.001577,0.000023,-0.000028,-0.000040
1761937020.423002,0.013160,-0.093531,0.659241,-0.000001,-0.002127,-0.005359
1761937020.423165,-0.000179,-0.000397,0.000332,-0.000002,-0.000038,-0.000000
1761937020.423263,-0.000166,0.002955,0.003610,0.000018,0.000005,-0.000045
1761937020.438530,0.005788,0.019766,0.500599,0.000466,-0.000851,-0.003409
1761937020.438699,0.001837,0.000337,-0.001729,0.000020,-0.000016,0.000000
1761937020.438776,-0.000141,-0.000012,0.004982,0.000021,-0.000051,-0.000064
1761937020.454216,-0.001383,0.001764,0.005721,0.000003,-0.000004,-0.000034
1761937020.454427,0.006099,0.018795,0.478223,0.000436,-0.000817,-0.003257
1761937020.454564,0.001426,0.000102,-0.002398,0.000009,-0.000019,0.000006
1761937020.469611,-0.000956,0.001501,0.004978,0.000030,-0.000013,-0.000046
1761937020.469866,-0.054713,0.114405,0.325599,-0.001703,-0.000913,-0.003557
1761937020.470108,-0.000604,0.000349,0.001031,-0.000017,-0.000013,0.000000
1761937020.484883,-0.001389,0.000822,0.004412,-0.000003,-0.000015,-0.000012
1761937020.485118,0.006123,0.017187,0.497327,0.000440,-0.000813,-0.003381
1761937020.485237,0.000167,0.000839,-0.003050,-0.000045,-0.000000,0.000007
1761937020.500664,0.000993,-0.000641,0.000381,-0.000024,-0.000011,-0.000012
1761937020.501019,0.000635,-0.000444,0.007874,-0.000002,-0.000032,-0.000036
1761937020.501136,0.007372,0.018530,0.483021,0.000483,-0.000852,-0.003252
1761937020.515959,0.002645,-0.001123,0.001127,0.000001,-0.000048,0.000017
1761937020.516132,0.000234,-0.000206,0.007847,-0.000000,-0.000030,-0.000042
1761937020.516216,0.028727,-0.041526,0.686223,0.001570,-0.000225,-0.005437
1761937020.531591,-0.000572,0.000370,-0.002442,0.000022,-0.000025,0.000018
1761937020.531784,-0.000606,0.000844,0.003807,-0.000024,-0.000007,0.000006
1761937020.531856,0.004497,0.017915,0.475544,0.000452,-0.000829,-0.003199
1761937020.546917,0.002709,0.001308,-0.001110,0.000083,-0.000033,0.000012
1761937020.547195,-0.001000,-0.000848,0.001699,0.000006,-0.000006,-0.000006
1761937020.547297,-0.001049,0.002056,0.005839,-0.000045,0.000045,-0.000023
1761937020.562399,0.006509,0.018818,0.457873,0.000481,-0.000833,-0.003057
1761937020.562819,0.000261,0.000271,0.000944,0.000011,-0.000069,-0.000017
1761937020.563059,0.000211,0.000309,0.007182,-0.000007,-0.000001,-0.000035
1761937020.563133,-0.123993,0.013857,0.395908,-0.001092,-0.000392,-0.002483
1761937020.578165,-0.000575,0.001805,-0.002500,0.000020,-0.000009,0.000001
1761937020.578315,-0.000555,0.001740,0.006354,0.000031,-0.000004,-0.000052
1761937020.578531,0.004137,0.017496,0.492597,0.000433,-0.000873,-0.003299
1761937020.593487,0.001437,0.001089,-0.003792,0.000024,-0.000014,0.000018
1761937020.593631,0.001006,-0.000142,0.003132,-0.000011,-0.000005,-0.000006
1761937020.593715,0.001018,-0.000711,0.005819,-0.000024,-0.000034,-0.000047
1761937020.609469,0.006166,0.018309,0.472720,0.000472,-0.000895,-0.003210
1761937020.609609,-0.000613,-0.000123,0.001028,-0.000010,0.000003,-0.000006
1761937020.609695,0.000252,0.000287,0.007181,0.000002,-0.000052,-0.000018
1761937020.625021,-0.014062,0.009531,0.310947,0.002034,-0.001851,-0.002596
1761937020.625231,-0.000198,-0.000382,0.000353,-0.000012,-0.000021,-0.000000
1761937020.625316,-0.000175,0.001072,0.001630,0.000026,0.000006,-0.000017
1761937020.640585,0.006546,0.017138,0.475562,0.000465,-0.000874,-0.003199
1761937020.641662,0.001854,0.000817,0.001026,0.000022,-0.000027,0.000006
1761937020.642052,0.000637,-0.000456,0.004416,-0.000003,-0.000043,-0.000035
1761937020.656136,-0.000569,0.001254,0.008495,-0.000001,-0.000020,-0.000041
1761937020.656375,0.005671,0.017214,0.478384,0.000437,-0.000796,-0.003200
1761937020.656498,0.000200,-0.000634,0.003164,-0.000033,-0.000034,0.000005
1761937020.656580,0.001045,0.001710,0.008442,0.000020,0.000004,-0.000070
1761937020.671785,0.056299,-0.018143,0.423343,0.000265,-0.001327,-0.002032
1761937020.671983,0.000620,0.000576,-0.004525,0.000012,-0.000015,-0.000005
1761937020.687716,-0.001387,-0.000162,0.004347,0.000021,0.000001,-0.000041
1761937020.687869,0.004531,0.018242,0.488390,0.000466,-0.000826,-0.003316
1761937020.687936,0.000634,0.000159,0.001097,0.000020,-0.000020,0.000040
1761937020.688000,0.001087,0.000309,0.005111,0.000040,-0.000057,-0.000001
1761937020.702724,-0.000990,-0.000933,0.002271,0.000006,-0.000018,-0.000059
1761937020.702911,0.006928,0.018319,0.478979,0.000442,-0.000849,-0.003228
1761937020.703015,-0.001004,0.001114,0.003064,0.000008,0.000022,0.000000
1761937020.718097,0.000203,0.000301,0.004430,-0.000017,-0.000007,-0.000035
1761937020.718577,-0.062804,0.005026,0.311148,0.002243,-0.001626,-0.002634
1761937020.719037,-0.000196,-0.001360,-0.001742,0.000002,-0.000022,-0.000012
1761937020.733765,-0.000607,0.001321,0.003722,-0.000001,0.000025,-0.000023
1761937020.734210,0.004582,0.019049,0.495835,0.000442,-0.000900,-0.003374
1761937020.734325,0.000576,-0.000325,-0.000899,-0.000032,-0.000002,0.000035
1761937020.749866,0.000224,-0.000164,0.005170,-0.000011,-0.000034,-0.000006
1761937020.750074,-0.000178,0.001986,0.007071,0.000013,0.000017,-0.000058
1761937020.750152,0.006106,0.017291,0.479006,0.000388,-0.000894,-0.003240
1761937020.764974,0.001037,0.001753,-0.001752,-0.000011,-0.000045,0.000001
1761937020.765910,-0.000231,0.001077,0.006512,-0.000022,0.000046,-0.000035
1761937020.766152,0.044633,-0.005716,0.449556,0.000297,-0.001115,-0.002474
1761937020.780277,0.000606,0.001588,0.003802,-0.000001,0.000019,0.000006
1761937020.780408,0.000601,-0.000439,0.001001,-0.000022,-0.000020,-0.000035
1761937020.780500,0.006172,0.017511,0.504020,0.000444,-0.000859,-0.003463
1761937020.796471,-0.000579,0.000349,0.000298,0.000012,-0.000019,0.000000
1761937020.796806,-0.000981,-0.000404,0.000958,0.000009,-0.000029,-0.000018
1761937020.797099,0.001027,0.000728,0.003664,-0.000006,-0.000018,-0.000064
1761937020.812358,0.005738,0.019461,0.487817,0.000432,-0.000854,-0.003275
1761937020.812545,0.001844,-0.000120,0.003133,0.000027,-0.000010,0.000011
1761937020.812642,-0.000201,0.000519,0.009215,-0.000025,0.000001,-0.000059
1761937020.812729,0.012620,0.014279,0.446450,0.000555,-0.000928,-0.002949
1761937020.827299,0.001051,0.002201,0.000923,0.000002,-0.000040,-0.000028
1761937020.827459,0.001046,-0.000178,0.006551,-0.000001,-0.000045,-0.000007
1761937020.827534,0.006563,0.017855,0.497940,0.000454,-0.000844,-0.003398
1761937020.843334,-0.001390,0.001349,-0.003116,-0.000002,-0.000026,0.000030
1761937020.843523,0.001427,0.000063,0.002418,-0.000011,-0.000030,-0.000012
1761937020.843617,-0.001760,0.000986,0.005611,0.000028,-0.000020,-0.000070
1761937020.859327,0.004868,0.017778,0.466070,0.000439,-0.000825,-0.003122
1761937020.859538,0.002217,0.000037,-0.003069,-0.000032,-0.000046,-0.000011
1761937020.859657,-0.000116,0.001975,0.007723,0.000052,-0.000029,-0.000041
1761937020.875090,0.010473,0.015420,0.456849,0.000388,-0.000881,-0.003012
1761937020.875300,0.001823,0.001801,-0.001043,0.000008,0.000006,0.000001
1761937020.875369,-0.000175,0.000983,0.005733,-0.000013,-0.000028,-0.000052
1761937020.890023,0.005769,0.017855,0.501318,0.000475,-0.000829,-0.003416
1761937020.890204,0.000597,-0.000834,-0.003697,-0.000016,-0.000025,0.000029
1761937020.890331,-0.000207,0.000625,0.004469,0.000004,0.000029,-0.000006
1761937020.906034,0.000992,-0.001187,0.004409,-0.000016,0.000005,-0.000071
1761937020.906245,0.005748,0.018015,0.478175,0.000452,-0.000882,-0.003257
1761937020.906421,0.000583,-0.000417,-0.000369,-0.000022,0.000002,-0.000035
1761937020.921530,-0.000183,0.001979,0.006390,0.000003,0.000011,-0.000058
1761937020.921759,0.006898,0.017549,0.464708,0.000475,-0.000814,-0.003117
1761937020.921837,-0.000181,0.000594,-0.002428,0.000003,-0.000027,0.000012
1761937020.937588,-0.000170,0.000990,0.006414,-0.000003,-0.000022,-0.000052
1761937020.937797,0.005720,0.017938,0.502143,0.000446,-0.000788,-0.003382
1761937020.937887,0.000260,0.000811,-0.002487,0.000033,-0.000047,0.000007
1761937020.952495,0.000213,0.000787,0.000218,0.000015,0.000009,-0.000046
1761937020.952713,0.000679,0.001517,0.006498,0.000018,-0.000060,0.000006
1761937020.952868,0.005635,0.019302,0.460697,0.000407,-0.000805,-0.003069
1761937020.952952,0.001854,0.001237,0.003690,0.000016,-0.000022,-0.000040
1761937020.968507,-0.000162,0.000014,0.008462,0.000011,-0.000023,-0.000065
1761937020.968817,0.006847,0.017688,0.454628,0.000434,-0.000811,-0.003011
1761937020.968939,0.001038,0.000361,-0.001023,0.000020,-0.000023,0.000018
1761937020.984058,0.000201,-0.001669,0.009902,-0.000008,0.000004,-0.000077
1761937020.984450,0.005764,0.018331,0.499956,0.000458,-0.000840,-0.003410
1761937020.984688,-0.000573,0.000802,-0.003837,-0.000005,-0.000053,0.000007
1761937020.999417,-0.001393,0.000840,0.004408,0.000007,0.000002,-0.000012
1761937020.999612,0.001821,0.001254,0.002346,-0.000004,0.000000,-0.000040
1761937020.999691,0.006195,0.019097,0.496576,0.000470,-0.000869,-0.003357
1761937021.014651,0.000233,0.001763,0.000303,-0.000010,-0.000040,0.000001
1761937021.015123,-0.000598,0.000758,0.003742,-0.000044,-0.000041,-0.000029
1761937021.015372,0.009278,0.017941,0.465512,0.000386,-0.000854,-0.003128
1761937021.030108,-0.000593,0.000892,-0.004498,0.000025,0.000009,0.000024
1761937021.030619,-0.000195,0.001581,0.005862,-0.000010,0.000007,0.000006
1761937021.030763,0.006984,0.018561,0.507562,0.000459,-0.000835,-0.003417
1761937021.045533,0.001013,0.001277,-0.001729,-0.000023,-0.000028,-0.000005
1761937021.045740,0.000999,-0.000633,0.002495,-0.000034,-0.000027,0.000005
1761937021.045851,-0.001368,-0.000189,0.009179,0.000011,-0.000027,-0.000042
1761937021.061374,0.005303,0.017772,0.483643,0.000442,-0.000819,-0.003304
1761937021.061513,-0.000601,0.001799,0.000262,0.000001,0.000014,-0.000016
1761937021.061599,-0.000976,0.000983,0.004969,0.000008,-0.000013,-0.000069
1761937021.076909,0.008113,0.016827,0.458596,0.000468,-0.000854,-0.003082
1761937021.077058,0.000615,0.000104,-0.001661,-0.000020,-0.000042,0.000024
1761937021.077141,-0.000202,0.000080,0.003050,-0.000009,0.000001,-0.000029
1761937021.092805,0.007750,0.017163,0.498086,0.000429,-0.000849,-0.003364
1761937021.092945,0.000175,-0.000062,-0.000889,-0.000031,0.000000,0.000046
1761937021.093025,0.000245,0.001753,0.003060,-0.000010,-0.000052,0.000001
1761937021.093096,0.000611,0.000523,0.007882,-0.000026,-0.000015,-0.000041
1761937021.108835,0.004963,0.019447,0.491174,0.000463,-0.000856,-0.003293
1761937021.108971,-0.000170,0.000539,0.006537,-0.000026,-0.000054,-0.000006
1761937021.109044,0.001802,-0.000200,0.010659,-0.000021,0.000018,-0.000059
1761937021.124842,0.006828,0.016096,0.458018,0.000377,-0.000851,-0.003082
1761937021.125266,-0.001031,0.001083,-0.003800,-0.000033,0.000000,0.000001
1761937021.125519,0.000646,0.002501,0.002996,0.000024,-0.000004,-0.000016
1761937021.140038,0.005379,0.017192,0.505523,0.000491,-0.000826,-0.003383
1761937021.140193,0.004412,0.167714,-0.023225,0.000913,0.000366,0.002126
1761937021.140293,-0.001814,0.000597,-0.000446,0.000005,0.000015,-0.000023
1761937021.155121,-0.000208,0.000035,0.005754,-0.000018,0.000006,-0.000064
