timestamp,tension (N)
1761937019.697729,-3.820000
1761937019.700508,-3.820000
1761937019.703763,-3.820000
1761937019.706681,-3.820000
1761937019.709527,-3.820000
1761937019.712426,-3.820000
1761937019.715281,-3.820000
1761937019.718188,-3.820000
1761937019.721208,-3.820000
1761937019.724190,-3.820000
1761937019.727089,-3.820000
1761937019.729987,-3.820000
1761937019.732869,-3.820000
1761937019.735865,-3.820000
1761937019.738847,-3.820000
1761937019.741888,-3.820000
1761937019.744792,-3.820000
1761937019.747758,-3.820000
1761937019.750729,-3.820000
1761937019.753624,-3.820000
1761937019.756619,-3.820000
1761937019.759627,-3.820000
1761937019.762492,-3.820000
1761937019.765421,-3.820000
1761937019.768297,-3.820000
1761937019.771246,-3.820000
1761937019.774106,-3.820000
1761937019.776883,-3.820000
1761937019.779642,-3.820000
1761937019.782448,-3.820000
1761937019.785342,-3.820000
1761937019.788380,-3.820000
1761937019.791348,-3.820000
1761937019.794278,-3.820000
1761937019.797333,-3.820000
1761937019.800217,-3.820000
1761937019.803083,-3.820000
1761937019.806036,-3.820000
1761937019.808967,-3.820000
1761937019.811792,-3.820000
1761937019.814765,-3.820000
1761937019.817610,-3.820000
1761937019.820436,-3.820000
1761937019.823301,-3.820000
1761937019.826201,-3.820000
1761937019.829068,-3.820000
1761937019.834082,-3.820000
1761937019.836902,-3.820000
1761937019.839750,-3.820000
1761937019.843423,-3.820000
1761937019.846698,-3.820000
1761937019.849891,-3.820000
1761937019.853566,-3.820000
1761937019.856454,-3.820000
1761937019.859428,-3.820000
1761937019.862978,-3.820000
1761937019.866426,-3.820000
1761937019.869268,-3.820000
1761937019.872034,-3.820000
1761937019.875647,-3.820000
1761937019.878453,-3.820000
1761937019.881263,-3.820000
1761937019.884779,-3.820000
1761937019.887642,-3.820000
1761937019.890429,-3.820000
1761937019.893894,-3.820000
1761937019.896654,-3.820000
1761937019.899490,-3.820000
1761937019.902394,-3.820000
1761937019.905362,-3.820000
1761937019.908346,-3.820000
1761937019.911207,-3.820000
1761937019.914175,-3.820000
1761937019.916987,-3.840000
1761937019.919925,-3.840000
1761937019.922755,-3.840000
1761937019.925647,-3.840000
1761937019.928549,-3.820000
1761937019.931398,-3.820000
1761937019.934243,-3.820000
1761937019.937126,-3.820000
1761937019.939953,-3.820000
1761937019.942712,-3.820000
1761937019.945499,-3.820000
1761937019.948369,-3.820000
1761937019.951175,-3.820000
1761937019.954117,-3.820000
1761937019.956935,-3.820000
1761937019.959799,-3.820000
1761937019.962627,-3.820000
1761937019.965521,-3.820000
1761937019.968325,-3.820000
1761937019.971084,-3.820000
1761937019.973917,-3.820000
1761937019.976787,-3.820000
1761937019.979702,-3.820000
