time (us),x(mdps),y(mdps),z(mdps)
1765493934349750,227.5,-1058.75,-560,
1765493934352264,367.5,-805,-8.75,
1765493934355842,455,-971.25,-280,
1765493934358821,-96.25,-787.5,-376.25,
1765493934362254,271.25,-1050,-350,
1765493934365994,656.25,-848.75,-192.5,
1765493934368700,288.75,-778.75,-525,
1765493934372048,323.75,-848.75,-148.75,
1765493934375428,271.25,-892.5,-577.5,
1765493934379079,315,-953.75,-463.75,
1765493934381994,122.5,-1120,-385,
1765493934385368,525,-796.25,-498.75,
1765493934388827,358.75,-980,-323.75,
1765493934392867,332.5,-848.75,-463.75,
1765493934395495,-26.25,-883.75,-472.5,
1765493934398729,446.25,-866.25,-481.25,
1765493934401992,288.75,-936.25,-498.75,
1765493934405448,218.75,-822.5,-437.5,
1765493934408700,735,-892.5,-455,
1765493934412237,376.25,-630,-463.75,
1765493934415699,542.5,-1198.75,-288.75,
1765493934418961,201.25,-883.75,-586.25,
1765493934422564,210,-936.25,-647.5,
1765493934425658,490,-577.5,-148.75,
1765493934428769,-8.75,-875,-332.5,
1765493934432037,595,-805,-358.75,
1765493934435367,-52.5,-962.5,-446.25,
1765493934440033,376.25,-1058.75,-201.25,
1765493934442224,323.75,-901.25,-525,
1765493934445704,455,-577.5,-525,
1765493934448701,708.75,-691.25,-236.25,
1765493934451993,113.75,-770,-490,
1765493934455497,87.5,-752.5,-166.25,
1765493934458743,245,-621.25,-288.75,
1765493934462111,472.5,-787.5,-402.5,
1765493934465325,490,-708.75,-463.75,
1765493934469726,315,-997.5,-411.25,
1765493934472038,358.75,-988.75,-595,
1765493934475340,122.5,-918.75,-542.5,
1765493934478810,358.75,-673.75,-630,
1765493934481994,568.75,-822.5,-472.5,
1765493934485538,358.75,-603.75,-411.25,
1765493934488555,586.25,-673.75,-682.5,
1765493934492078,568.75,-743.75,-227.5,
1765493934495400,568.75,-848.75,-743.75,
1765493934499005,603.75,-1146.25,-78.75,
1765493934502107,376.25,-980,-105,
1765493934505338,437.5,-1093.75,-175,
1765493934508575,236.25,-945,-358.75,
1765493934511994,192.5,-1076.25,-323.75,
1765493934515509,700,-892.5,-113.75,
1765493934518521,542.5,-927.5,-402.5,
1765493934521776,367.5,-892.5,-481.25,
1765493934525136,420,-586.25,52.5,
1765493934528702,446.25,-945,-96.25,
1765493934532118,183.75,-1085,-253.75,
1765493934535316,411.25,-1085,-446.25,
1765493934538675,262.5,-708.75,-245,
1765493934542025,306.25,-988.75,-218.75,
1765493934545732,446.25,-875,-516.25,
1765493934548648,-87.5,-1032.5,-323.75,
1765493934551993,227.5,-1050,-385,
1765493934555368,236.25,-1085,-271.25,
1765493934558674,708.75,-892.5,-673.75,
1765493934562847,376.25,-796.25,-551.25,
1765493934565299,490,-953.75,-630,
1765493934568700,560,-621.25,-463.75,
1765493934572028,385,-805,-498.75,
1765493934575325,201.25,-945,-201.25,
1765493934579659,568.75,-1233.75,-113.75,
1765493934582066,376.25,-866.25,-420,
1765493934585372,542.5,-971.25,-437.5,
1765493934588700,472.5,-603.75,-192.5,
1765493934591950,341.25,-831.25,-157.5,
1765493934595370,157.5,-822.5,-122.5,
1765493934598700,297.5,-1093.75,-26.25,
1765493934602176,498.75,-735,-105,
1765493934605404,411.25,-665,-297.5,
1765493934608713,332.5,-840,-218.75,
1765493934612226,402.5,-883.75,-332.5,
1765493934615368,490,-533.75,-446.25,
1765493934618700,428.75,-787.5,-315,
1765493934621972,192.5,-761.25,-253.75,
1765493934625534,385,-927.5,-516.25,
1765493934628734,297.5,-1137.5,-735,
1765493934632038,26.25,-673.75,-306.25,
1765493934635368,227.5,-761.25,-376.25,
1765493934638702,157.5,-857.5,-315,
1765493934641994,61.25,-883.75,-551.25,
1765493934645557,700,-953.75,-323.75,
1765493934648700,-52.5,-953.75,-262.5,
1765493934652034,253.75,-1041.25,87.5,
1765493934655872,341.25,-997.5,-201.25,
1765493934659224,761.25,-1120,-253.75,
1765493934662327,411.25,-708.75,-306.25,
1765493934665702,350,-551.25,-253.75,
1765493934668785,568.75,-761.25,-157.5,
1765493934672112,122.5,-927.5,-341.25,
1765493934675327,595,-953.75,-306.25,
1765493934678707,787.5,-665,-533.75,
1765493934682162,586.25,-770,-420,
1765493934685453,157.5,-1023.75,-315,
1765493934689168,210,-901.25,-910,
1765493934693070,358.75,-735,-507.5,
1765493934695668,201.25,-953.75,-367.5,
1765493934698692,8.75,-822.5,-315,
1765493934702226,218.75,-1032.5,-341.25,
1765493934705667,516.25,-717.5,-26.25,
1765493934708705,253.75,-927.5,-358.75,
1765493934712094,367.5,-936.25,-332.5,
1765493934715495,166.25,-1163.75,-455,
1765493934718791,157.5,-945,-262.5,
1765493934722119,8.75,-770,-323.75,
1765493934725535,131.25,-936.25,-148.75,
1765493934728746,8.75,-673.75,-385,
1765493934732119,288.75,-988.75,-140,
1765493934735369,542.5,-971.25,-175,
1765493934738732,350,-638.75,-323.75,
1765493934742039,227.5,-1032.5,-472.5,
1765493934745370,210,-630,-516.25,
1765493934748660,245,-647.5,-253.75,
1765493934751994,96.25,-778.75,-595,
1765493934755369,253.75,-752.5,-481.25,
1765493934758827,70,-910,-568.75,
1765493934762499,218.75,-918.75,-481.25,
1765493934765369,376.25,-875,-183.75,
1765493934768702,411.25,-831.25,-253.75,
1765493934772035,271.25,-875,-166.25,
1765493934775450,411.25,-892.5,-122.5,
1765493934778913,350,-1198.75,-332.5,
1765493934781995,332.5,-1006.25,-157.5,
1765493934785370,577.5,-901.25,-376.25,
1765493934788704,262.5,-787.5,78.75,
1765493934792226,376.25,-962.5,-463.75,
1765493934795374,253.75,-1242.5,-245,
1765493934798785,507.5,-901.25,-542.5,
1765493934802036,113.75,-883.75,-463.75,
1765493934805449,350,-778.75,-253.75,
1765493934808660,525,-805,-393.75,
1765493934812037,358.75,-988.75,-306.25,
1765493934815399,350,-997.5,-262.5,
1765493934818701,113.75,-796.25,-271.25,
1765493934821994,131.25,-945,-437.5,
1765493934825376,245,-638.75,-253.75,
1765493934828660,245,-953.75,-157.5,
1765493934832039,315,-840,-603.75,
1765493934835518,682.5,-910,-393.75,
1765493934838899,288.75,-875,-61.25,
1765493934842035,218.75,-997.5,-288.75,
1765493934845401,437.5,-1050,-306.25,
1765493934848733,358.75,-708.75,-157.5,
1765493934852067,52.5,-673.75,0,
1765493934855505,595,-945,-218.75,
1765493934858705,271.25,-595,-148.75,
1765493934862121,323.75,-612.5,-630,
1765493934865816,428.75,-953.75,-420,
1765493934869222,306.25,-953.75,-560,
1765493934872828,332.5,-927.5,-358.75,
1765493934875494,481.25,-875,-752.5,
1765493934878734,726.25,-682.5,-350,
1765493934882160,315,-988.75,-218.75,
1765493934885449,297.5,-796.25,-148.75,
1765493934889107,428.75,-1233.75,-192.5,
1765493934892074,358.75,-840,78.75,
1765493934895371,306.25,-1085,-236.25,
1765493934898757,971.25,-901.25,-70,
1765493934902162,516.25,-875,35,
1765493934905367,463.75,-866.25,-175,
1765493934908720,428.75,-743.75,-420,
1765493934912028,428.75,-1006.25,-78.75,
1765493934915399,516.25,-1032.5,-446.25,
1765493934918842,603.75,-945,-350,
1765493934921995,350,-918.75,-621.25,
1765493934925492,840,-700,-367.5,
1765493934928818,376.25,-752.5,-875,
1765493934932203,78.75,-726.25,-638.75,
1765493934935330,201.25,-997.5,-577.5,
1765493934938701,148.75,-656.25,-770,
1765493934942160,568.75,-953.75,-393.75,
1765493934945401,472.5,-945,-428.75,
1765493934949120,586.25,-813.75,-498.75,
1765493934952040,420,-1120,-210,
1765493934955345,385,-988.75,35,
1765493934958702,717.5,-743.75,113.75,
1765493934962122,350,-1032.5,87.5,
1765493934965351,525,-1111.25,-175,
1765493934970330,612.5,-770,-393.75,
1765493934972036,315,-901.25,-35,
1765493934975450,350,-866.25,-411.25,
1765493934978755,525,-901.25,-78.75,
1765493934982227,288.75,-595,-297.5,
1765493934988327,201.25,-927.5,-455,
1765493934989870,341.25,-472.5,-455,
1765493934993226,498.75,-778.75,-227.5,
