timestamp,tension (N)
1765333431.530967,-0.100000
1765333431.534071,-0.100000
1765333431.537202,-0.100000
1765333431.540379,-0.100000
1765333431.543536,-0.100000
1765333431.546663,-0.100000
1765333431.549863,-0.100000
1765333431.552987,-0.100000
1765333431.556201,-0.100000
1765333431.559308,-0.100000
1765333431.562514,-0.100000
1765333431.565603,-0.100000
1765333431.568738,-0.100000
1765333431.571924,-0.100000
1765333431.575043,-0.100000
1765333431.579805,-0.100000
1765333431.582915,-0.100000
1765333431.586071,-0.100000
1765333431.589198,-0.100000
1765333431.592606,-0.100000
1765333431.595894,-0.100000
1765333431.599318,-0.100000
1765333431.602445,-0.100000
1765333431.606313,-0.100000
1765333431.609473,-0.100000
1765333431.612627,-0.100000
1765333431.615754,-0.100000
1765333431.619017,-0.100000
1765333431.622275,-0.100000
1765333431.625495,-0.100000
1765333431.628659,-0.100000
1765333431.631746,-0.100000
1765333431.634881,-0.100000
1765333431.638053,-0.100000
1765333431.641264,-0.100000
1765333431.644381,-0.100000
1765333431.647514,-0.100000
1765333431.650602,-0.100000
1765333431.653789,-0.100000
1765333431.656898,-0.100000
1765333431.660023,-0.100000
1765333431.663160,-0.100000
1765333431.666303,-0.100000
1765333431.669572,-0.100000
1765333431.672746,-0.100000
1765333431.675932,-0.100000
1765333431.679096,-0.100000
1765333431.682324,-0.100000
1765333431.685483,-0.100000
1765333431.688715,-0.100000
1765333431.691918,-0.100000
1765333431.695103,-0.100000
1765333431.698353,-0.100000
1765333431.701687,-0.100000
1765333431.704957,-0.100000
1765333431.708259,-0.100000
1765333431.711529,-0.100000
1765333431.714830,-0.100000
1765333431.718090,-0.100000
1765333431.721356,-0.100000
1765333431.724619,-0.100000
1765333431.727887,-0.100000
1765333431.731066,-0.100000
1765333431.735368,-0.100000
1765333431.738497,-0.100000
1765333431.741652,-0.100000
1765333431.744745,-0.100000
1765333431.748063,-0.100000
1765333431.751337,-0.100000
1765333431.754887,-0.100000
1765333431.758006,-0.100000
1765333431.761163,-0.100000
1765333431.764853,-0.100000
1765333431.767966,-0.100000
1765333431.771073,-0.100000
1765333431.774265,-0.100000
1765333431.777818,-0.100000
1765333431.780921,-0.100000
1765333431.784082,-0.100000
1765333431.787382,-0.100000
1765333431.790535,-0.100000
1765333431.793678,-0.100000
1765333431.796866,-0.100000
1765333431.800035,-0.100000
1765333431.803126,-0.100000
1765333431.806257,-0.100000
1765333431.809388,-0.100000
1765333431.812489,-0.100000
1765333431.815604,-0.100000
1765333431.818708,-0.100000
1765333431.821914,-0.100000
1765333431.825084,-0.100000
1765333431.828232,-0.100000
1765333431.831339,-0.100000
1765333431.834474,-0.100000
1765333431.837695,-0.100000
1765333431.841398,-0.100000
1765333431.844603,-0.100000
1765333431.847764,-0.100000
1765333431.850878,-0.100000
1765333431.854024,-0.100000
1765333431.857174,-0.100000
1765333431.860299,-0.100000
1765333431.863470,-0.100000
1765333431.866603,-0.100000
1765333431.869777,-0.100000
1765333431.872907,-0.100000
1765333431.876037,-0.100000
1765333431.879167,-0.100000
1765333431.882289,-0.100000
1765333431.887282,-0.100000
1765333431.890403,-0.100000
1765333431.893487,-0.100000
1765333431.896742,-0.100000
1765333431.900127,-0.100000
1765333431.903334,-0.100000
1765333431.906888,-0.100000
1765333431.909955,-0.100000
1765333431.913193,-0.100000
1765333431.916855,-0.100000
1765333431.919998,-0.100000
1765333431.923133,-0.100000
1765333431.926206,-0.100000
1765333431.929788,-0.100000
1765333431.932897,-0.100000
1765333431.936009,-0.100000
1765333431.939108,-0.100000
1765333431.942236,-0.100000
1765333431.945499,-0.100000
1765333431.948690,-0.100000
1765333431.951797,-0.100000
1765333431.954947,-0.100000
1765333431.958040,-0.100000
1765333431.961179,-0.100000
1765333431.964285,-0.100000
1765333431.967395,-0.100000
1765333431.970598,-0.100000
1765333431.973719,-0.100000
1765333431.976847,-0.100000
1765333431.980013,-0.100000
1765333431.983169,-0.100000
1765333431.986260,-0.100000
1765333431.989472,-0.100000
1765333431.992602,-0.100000
1765333431.995757,-0.100000
1765333431.998947,-0.100000
1765333432.002120,-0.100000
1765333432.005309,-0.100000
1765333432.008501,-0.100000
1765333432.011627,-0.100000
1765333432.014782,-0.100000
1765333432.018018,-0.100000
1765333432.021115,-0.100000
1765333432.024282,-0.100000
1765333432.027449,-0.100000
1765333432.030618,-0.100000
1765333432.033782,-0.100000
1765333432.036880,-0.100000
1765333432.040124,-0.100000
1765333432.043226,-0.100000
1765333432.046417,-0.100000
1765333432.049533,-0.100000
1765333432.052615,-0.100000
1765333432.055827,-0.100000
1765333432.059927,-0.100000
1765333432.063162,-0.100000
1765333432.066310,-0.100000
1765333432.069485,-0.100000
1765333432.072761,-0.100000
1765333432.076009,-0.100000
1765333432.079478,-0.100000
1765333432.082639,-0.100000
1765333432.085792,-0.100000
1765333432.089430,-0.100000
1765333432.092639,-0.100000
1765333432.095801,-0.100000
1765333432.098954,-0.100000
1765333432.102459,-0.100000
1765333432.105603,-0.100000
1765333432.108755,-0.100000
1765333432.111858,-0.100000
1765333432.114959,-0.100000
1765333432.118162,-0.100000
1765333432.121263,-0.100000
1765333432.124404,-0.100000
