timestamp,tension (N)
1765333431.559614,-0.025000
1765333431.562777,-0.025000
1765333431.565883,-0.025000
1765333431.568983,-0.025000
1765333431.572122,-0.025000
1765333431.575227,-0.025000
1765333431.578358,-0.025000
1765333431.581456,-0.025000
1765333431.584605,-0.025000
1765333431.587716,-0.025000
1765333431.590818,-0.025000
1765333431.593923,-0.025000
1765333431.597015,-0.025000
1765333431.600152,-0.025000
1765333431.603263,-0.025000
1765333431.606348,-0.025000
1765333431.609478,-0.025000
1765333431.612640,-0.025000
1765333431.615807,-0.025000
1765333431.618992,-0.025000
1765333431.622313,-0.025000
1765333431.625506,-0.025000
1765333431.628973,-0.025000
1765333431.632098,-0.025000
1765333431.635215,-0.025000
1765333431.638440,-0.025000
1765333431.641621,-0.025000
1765333431.644731,-0.025000
1765333431.647795,-0.025000
1765333431.650951,-0.025000
1765333431.654075,-0.025000
1765333431.657214,-0.025000
1765333431.660303,-0.025000
1765333431.663424,-0.025000
1765333431.666651,-0.025000
1765333431.669841,-0.025000
1765333431.672997,-0.025000
1765333431.676155,-0.025000
1765333431.679283,-0.025000
1765333431.684019,-0.025000
1765333431.687156,-0.025000
1765333431.690337,-0.025000
1765333431.693499,-0.025000
1765333431.696803,-0.025000
1765333431.700137,-0.025000
1765333431.703792,-0.025000
1765333431.707085,-0.025000
1765333431.710384,-0.025000
1765333431.713666,-0.025000
1765333431.716959,-0.025000
1765333431.720204,-0.025000
1765333431.723436,-0.025000
1765333431.726753,-0.025000
1765333431.730005,-0.025000
1765333431.733188,-0.025000
1765333431.736323,-0.025000
1765333431.739444,-0.025000
1765333431.742654,-0.025000
1765333431.746252,-0.025000
1765333431.749364,-0.025000
1765333431.752470,-0.025000
1765333431.755602,-0.025000
1765333431.758810,-0.025000
1765333431.762010,-0.025000
1765333431.765123,-0.025000
1765333431.768325,-0.025000
1765333431.771420,-0.025000
1765333431.774602,-0.025000
1765333431.777687,-0.025000
1765333431.780805,-0.025000
1765333431.783947,-0.025000
1765333431.787096,-0.025000
1765333431.790229,-0.025000
1765333431.793324,-0.025000
1765333431.796463,-0.025000
1765333431.799605,-0.025000
1765333431.802693,-0.025000
1765333431.805874,-0.025000
1765333431.809028,-0.025000
1765333431.812157,-0.025000
1765333431.815348,-0.025000
1765333431.818440,-0.020000
1765333431.821607,-0.020000
1765333431.824678,-0.020000
1765333431.827734,-0.020000
1765333431.830851,-0.020000
1765333431.833949,-0.020000
1765333431.837076,-0.020000
1765333431.840208,-0.020000
1765333431.843315,-0.020000
1765333431.846419,-0.020000
1765333431.849517,-0.025000
1765333431.852687,-0.020000
1765333431.857919,-0.020000
1765333431.861040,-0.020000
1765333431.864236,-0.020000
1765333431.867367,-0.020000
1765333431.870600,-0.025000
1765333431.873852,-0.025000
1765333431.877395,-0.025000
1765333431.880516,-0.025000
1765333431.883670,-0.025000
1765333431.886866,-0.025000
1765333431.890466,-0.025000
