timestamp,phase_index,target1_rad,angle1_rad,velocity1_rad_s,torque1_Nm,target2_rad,angle2_rad,velocity2_rad_s,torque2_Nm
1765332340.917877,1.000000,-0.500229,-0.817121,0.037995,-0.000183,-0.445067,nan,nan,nan
1765332340.918590,1.000000,-0.500229,-0.002670,-0.002289,-0.059510,-0.445067,0.000763,0.081025,-0.000183
1765332340.918877,1.000000,-0.500229,nan,nan,nan,-0.445067,0.814450,-0.069123,-0.190616
1765332340.919339,1.000000,-0.500229,-0.816739,0.014191,-0.000183,-0.445067,nan,nan,nan
1765332340.919841,1.000000,-0.500229,-0.816739,0.022431,-0.000183,-0.445067,0.814450,-0.079194,-0.000183
1765332340.920081,1.000000,-0.500229,nan,nan,nan,-0.445067,0.814450,-0.075532,-0.000183
1765332340.920856,1.000000,-0.500229,-0.817121,0.019684,-0.018494,-0.445067,nan,nan,nan
1765332340.921314,1.000000,-0.500229,-0.816739,-0.016938,-0.000183,-0.445067,0.814450,-0.114900,-0.089174
1765332340.921554,1.000000,-0.500229,nan,nan,nan,-0.445067,0.814069,-0.059052,-0.000183
1765332340.922133,1.000000,-0.500229,-0.816739,0.100252,0.043397,-0.445067,0.814069,-0.119478,-0.000183
1765332340.922702,1.000000,-0.500229,-0.003433,-0.054475,-0.000183,-0.445067,0.000763,0.146029,0.053651
1765332340.923803,1.000000,-0.500229,-0.003052,-0.035248,-0.000183,-0.445067,0.000763,0.019684,-0.000183
1765332340.924815,1.000000,-0.500229,-0.003433,-0.038911,-0.027649,-0.445067,0.001144,0.069123,-0.000183
1765332340.925876,1.000000,-0.500229,-0.003433,-0.160678,-0.120668,-0.445067,0.001144,0.001373,-0.000183
1765332340.926847,1.000000,-0.500229,-0.003815,-0.185397,-0.006409,-0.445067,0.000763,0.099336,0.025452
1765332340.927815,1.000000,-0.500229,-0.003815,-0.104829,-0.000183,-0.445067,0.001144,0.025177,-0.000183
1765332340.928826,1.000000,-0.500229,-0.003815,-0.124056,-0.000183,-0.445067,0.001144,-0.007782,-0.000183
1765332340.929837,1.000000,-0.500229,-0.003815,-0.003204,0.030579,-0.445067,0.001144,0.086519,-0.000183
1765332340.930810,1.000000,-0.500229,-0.004196,-0.222019,-0.000183,-0.445067,0.001144,0.014191,0.104555
1765332340.931830,1.000000,-0.500229,-0.004196,-0.199130,-0.000183,-0.445067,0.001144,-0.030671,0.038270
1765332340.933167,1.000000,-0.500229,-0.004578,-0.313573,-0.000183,-0.445067,0.001144,0.043488,-0.000183
1765332340.934204,1.000000,-0.500229,-0.004959,-0.215610,-0.000183,-0.445067,0.001144,-0.099336,-0.000183
1765332340.935187,1.000000,-0.500229,-0.004959,-0.156100,-0.000183,-0.445067,0.001144,0.055390,-0.000183
1765332340.936184,1.000000,-0.500229,-0.005341,-0.158846,-0.000183,-0.445067,0.001144,0.025177,0.010803
