timestamp,phase_index,target1_rad,angle1_rad,velocity1_rad_s,torque1_Nm,target2_rad,angle2_rad,velocity2_rad_s,torque2_Nm
1765332467.196387,0.000000,0.272183,-1.139086,0.070954,-0.000183,-0.866903,1.140612,-0.001373,-0.093202
1765332467.273965,0.000000,0.272183,-1.139086,0.019684,-0.000183,-0.866903,1.140612,0.001373,-0.000183
1765332467.352539,0.000000,0.272183,-1.139467,-0.004120,-0.000183,-0.866903,1.140993,0.013275,-0.000183
1765332467.431157,0.000000,0.272183,-1.139467,-0.042573,-0.000183,-0.866903,1.140612,0.044404,-0.000183
1765332467.509332,0.000000,0.272183,-1.139086,0.027924,-0.000183,-0.866903,1.140230,0.003204,-0.000183
1765332467.587061,0.000000,0.272183,-1.139086,0.006867,-0.000183,-0.866903,1.140230,-0.013275,-0.032776
1765332467.664711,0.000000,0.272183,-1.139467,-0.023346,-0.000183,-0.866903,1.139849,-0.061799,-0.000183
1765332467.742700,0.000000,0.272183,-1.139467,0.012360,-0.000183,-0.866903,1.140230,-0.086519,-0.000183
1765332467.820920,0.000000,0.272183,-1.139467,-0.039826,-0.000183,-0.866903,1.140230,-0.067292,-0.000183
1765332467.897990,0.000000,0.272183,-1.139467,-0.002289,-0.000183,-0.866903,1.140230,-0.003204,-0.098695
1765332467.975421,0.000000,0.272183,-1.139086,0.030671,-0.000183,-0.866903,1.140230,0.076448,0.027649
1765332468.053014,0.000000,0.272183,-1.139467,-0.070954,-0.000183,-0.866903,1.140230,-0.053559,-0.000183
1765332468.130173,0.000000,0.272183,-1.139467,-0.056306,-0.000183,-0.866903,1.139849,0.000458,-0.000183
1765332468.208361,0.000000,0.272183,-1.139467,0.042573,-0.000183,-0.866903,1.139849,-0.006867,-0.000183
1765332468.286372,0.000000,0.272183,-1.139467,-0.046235,-0.000183,-0.866903,1.139849,0.062715,-0.000183
1765332468.363868,0.000000,0.272183,-1.139086,0.013275,0.023255,-0.866903,1.139849,0.012360,-0.000183
1765332468.440701,0.000000,0.272183,-1.139086,0.014191,-0.000183,-0.866903,1.139849,0.060883,-0.000183
1765332468.519018,0.000000,0.272183,-1.139467,0.037995,-0.000183,-0.866903,1.139467,-0.047150,-0.000183
1765332468.596702,0.000000,0.272183,-1.139467,-0.092012,-0.000183,-0.866903,1.139467,0.050813,-0.019226
