timestamp,phase_index,target1_rad,angle1_rad,velocity1_rad_s,torque1_Nm,target2_rad,angle2_rad,velocity2_rad_s,torque2_Nm
1765333431.716102,0.000000,-0.111124,-0.823987,0.028840,-0.000183,-0.062447,0.823224,0.043488,-0.000183
1765333431.716789,0.000000,-0.111124,-0.823987,0.026093,-0.000183,-0.062447,0.823224,-0.059052,-0.000183
1765333431.717754,0.000000,-0.111124,-0.000763,-0.058137,-0.000183,-0.062447,0.000000,-0.046235,-0.000183
1765333431.719169,0.000000,-0.111124,-0.000763,-0.075532,-0.000183,-0.062447,0.000381,0.069123,0.233463
1765333431.720559,0.000000,-0.111124,-0.000763,0.012360,-0.054017,-0.062447,0.000381,0.120394,-0.000183
1765333431.722003,0.000000,-0.111124,-0.000763,0.001373,-0.000183,-0.062447,0.000381,0.067292,-0.000183
1765333431.723402,0.000000,-0.111124,-0.000763,-0.025177,-0.074159,-0.062447,0.000381,0.003204,-0.000183
1765333431.724654,0.000000,-0.111124,-0.000763,0.012360,-0.000183,-0.062447,0.000381,-0.024262,0.053285
1765333431.725925,0.000000,-0.111124,-0.000763,-0.025177,-0.096132,-0.062447,0.000381,0.070954,0.058412
1765333431.727089,0.000000,-0.111124,-0.000763,-0.033417,-0.043030,-0.062447,0.000381,0.026093,0.005676
1765333431.728531,0.000000,-0.111124,-0.000763,0.066377,-0.000183,-0.062447,0.000381,-0.049897,0.028748
1765333431.729849,0.000000,-0.111124,-0.000763,-0.013275,-0.103822,-0.062447,0.000381,0.120394,0.032410
1765333431.730981,0.000000,-0.111124,-0.000763,0.032502,-0.060609,-0.062447,0.000763,0.073701,-0.000183
1765333431.732078,0.000000,-0.111124,-0.000763,0.029755,-0.088075,-0.062447,0.000381,-0.072786,-0.000183
1765333431.733090,0.000000,-0.111124,-0.000763,-0.008698,-0.000183,-0.062447,0.000763,0.145113,0.084413
1765333431.734165,0.000000,-0.111124,-0.000763,0.033417,-0.095766,-0.062447,0.000381,0.018769,-0.000183
1765333431.735273,0.000000,-0.111124,-0.000763,0.014191,-0.110414,-0.062447,0.000763,-0.059052,0.086244
1765333431.736281,0.000000,-0.111124,-0.000763,-0.097505,-0.071229,-0.062447,0.000763,0.033417,0.090272
1765333431.737285,0.000000,-0.111124,-0.000763,0.065461,-0.044495,-0.062447,0.000763,-0.048066,-0.000183
1765333431.738361,0.000000,-0.111124,-0.000763,0.011444,-0.104555,-0.062447,0.000763,-0.021515,-0.000183
1765333431.739530,0.000000,-0.111124,-0.000763,0.008698,-0.074525,-0.062447,0.000763,0.086519,0.106752
1765333431.740600,0.000000,-0.111124,-0.000763,0.014191,-0.017395,-0.062447,0.000763,0.043488,-0.000183
1765333431.741530,0.000000,-0.111124,-0.000763,-0.066377,-0.006775,-0.062447,0.000763,0.104829,0.055482
1765333431.742533,0.000000,-0.111124,-0.000763,0.027924,-0.040467,-0.062447,0.000763,0.016938,0.048524
1765333431.743696,0.000000,-0.111124,-0.000763,-0.016022,-0.071962,-0.062447,0.000763,-0.034333,-0.000183
1765333431.744773,0.000000,-0.111124,-0.000763,-0.035248,-0.086610,-0.062447,0.000763,0.026093,0.028016
1765333431.746024,0.000000,-0.111124,-0.000763,-0.021515,-0.055482,-0.062447,0.001144,0.022431,0.089540
1765333431.747035,0.000000,-0.111124,-0.000763,0.021515,-0.000183,-0.062447,0.001144,0.049897,0.029847
1765333431.748303,0.000000,-0.111124,-0.000763,-0.048066,-0.000183,-0.062447,0.001526,0.023346,-0.000183
1765333431.749455,0.000000,-0.111124,-0.000763,-0.008698,-0.121767,-0.062447,0.001526,0.081025,-0.000183
1765333431.750697,0.000000,-0.111124,-0.000763,-0.015106,-0.000183,-0.062447,0.001526,0.039826,0.073793
1765333431.751691,0.000000,-0.111124,-0.000763,-0.004120,-0.107118,-0.062447,0.001144,-0.009613,0.021057
1765333431.752767,0.000000,-0.111124,-0.000763,-0.013275,-0.000183,-0.062447,0.001144,0.059968,-0.000183
1765333431.753755,0.000000,-0.111124,-0.000763,0.025177,-0.000183,-0.062447,0.001526,0.103914,-0.000183
1765333431.754814,0.000000,-0.111124,-0.000763,0.062715,-0.098329,-0.062447,0.001526,0.040742,0.054749
1765333431.755782,0.000000,-0.111124,-0.000763,-0.027924,-0.075624,-0.062447,0.001144,-0.085603,-0.000183
