timestamp,phase_index,target1_rad,angle1_rad,velocity1_rad_s,torque1_Nm,target2_rad,angle2_rad,velocity2_rad_s,torque2_Nm
1765332962.524429,-1.000000,0.027276,0.217441,0.031586,-0.000183,0.027276,0.000381,0.007782,-0.000183
1765332962.601680,-1.000000,0.027276,0.210193,-0.109407,-0.000183,0.027276,0.001144,0.007782,-0.000183
1765332962.679493,-1.000000,0.027276,0.205234,-0.027008,-0.089540,0.027276,0.001144,0.053559,-0.000183
1765332962.758165,-1.000000,0.027276,0.204852,-0.102998,-0.140444,0.027276,0.001526,-0.039826,-0.000183
1765332962.835729,-1.000000,0.027276,0.204471,-0.074617,-0.164981,0.027276,0.001144,-0.048066,-0.000183
1765332962.914160,-1.000000,0.027276,0.203708,0.008698,-0.131289,0.027276,0.000763,0.035248,-0.068299
1765332962.992097,-1.000000,0.027276,0.202945,0.090181,-0.148501,0.027276,0.001526,-0.006867,-0.000183
1765332963.069993,-1.000000,0.027276,0.200656,-0.067292,-0.056580,0.027276,0.001144,-0.017853,-0.000183
1765332963.147928,-1.000000,0.027276,0.194553,-0.053559,-0.000183,0.027276,0.001526,-0.001373,-0.043763
1765332963.225487,-1.000000,0.027276,0.188830,-0.161593,-0.018860,0.027276,0.001526,-0.064546,-0.000183
1765332963.304508,-1.000000,0.027276,0.001144,0.004120,-0.019593,0.027276,0.181201,-0.134127,-0.000183
1765332963.382783,-1.000000,0.027276,0.166705,-0.200961,-0.040467,0.027276,0.001144,0.010529,-0.058778
1765332963.460921,-1.000000,0.027276,0.151446,-0.332799,-0.043763,0.027276,0.001144,-0.056306,-0.000183
1765332963.539828,-1.000000,0.027276,0.138476,-0.155184,-0.152163,0.027276,0.001144,0.047150,-0.125429
1765332963.618085,-1.000000,0.027276,0.133898,-0.093843,-0.109316,0.027276,0.001144,0.039826,-0.031678
1765332963.696173,-1.000000,0.027276,0.001144,0.002289,-0.000183,0.027276,0.123980,-0.087434,-0.193912
1765332963.772217,-1.000000,0.027276,0.109483,-0.233005,-0.000183,0.027276,0.001144,0.092927,-0.000183
1765332963.850875,-1.000000,0.027276,0.091936,-0.312657,-0.000183,0.027276,0.001144,-0.007782,-0.000183
1765332963.929172,-1.000000,0.027276,0.076295,-0.147860,-0.000183,0.027276,0.001144,0.047150,-0.000183
1765332964.006625,-1.000000,0.027276,0.062943,-0.233921,-0.000183,0.027276,0.001144,0.014191,-0.017395
1765332964.084917,-1.000000,0.027276,0.057221,-0.139620,-0.074891,0.027276,0.001144,0.012360,-0.000183
1765332964.161086,-1.000000,0.027276,0.040055,-0.362097,-0.085878,0.027276,0.001144,0.037995,-0.000183
1765332964.239166,-1.000000,0.027276,0.022507,-0.146944,-0.000183,0.027276,0.000763,-0.037995,-0.014466
1765332964.317132,-1.000000,0.027276,0.008011,-0.193637,-0.000183,0.027276,0.001144,0.037079,-0.000183
1765332964.392778,-1.000000,0.027276,0.001907,0.051728,-0.000183,0.027276,0.000763,-0.019684,-0.000183
1765332964.470984,-1.000000,0.027276,0.000763,0.005951,-0.002014,0.027276,0.001526,0.003204,-0.077455
1765332964.548280,0.000000,-0.409057,0.001526,0.018769,-0.015198,0.463608,-0.002289,-0.178073,-0.000183
1765332964.549111,0.000000,-0.409057,-0.002289,-0.204623,-0.000183,0.463608,0.001526,0.010529,-0.000183
1765332964.550755,0.000000,-0.409057,-0.002670,-0.174411,-0.000183,0.463608,0.001526,0.082856,-0.000183
1765332964.551976,0.000000,-0.409057,-0.003052,-0.152438,-0.069764,0.463608,0.001526,0.037079,-0.000183
1765332964.553094,0.000000,-0.409057,-0.003052,-0.148775,-0.000183,0.463608,0.001526,0.068208,-0.000183
1765332964.554298,0.000000,-0.409057,-0.003433,-0.134127,-0.000183,0.463608,0.001907,0.068208,-0.000183
1765332964.555684,0.000000,-0.409057,-0.003433,-0.168917,-0.000183,0.463608,0.001907,0.084688,-0.000183
1765332964.556783,0.000000,-0.409057,-0.003815,-0.176242,-0.000183,0.463608,0.001907,0.072786,-0.015930
1765332964.557919,0.000000,-0.409057,-0.003815,-0.063630,-0.000183,0.463608,0.001907,0.062715,-0.000183
1765332964.559003,0.000000,-0.409057,-0.004196,-0.140536,-0.000183,0.463608,0.001907,0.066377,-0.000183
1765332964.560055,0.000000,-0.409057,-0.004196,-0.120394,-0.047791,0.463608,0.001907,0.097505,-0.000183
1765332964.561341,0.000000,-0.409057,-0.004578,-0.114900,-0.051453,0.463608,0.002289,0.059052,-0.000183
1765332964.562386,0.000000,-0.409057,-0.004578,-0.169833,-0.000183,0.463608,0.002289,0.007782,-0.000183
1765332964.563408,0.000000,-0.409057,-0.004578,-0.159762,-0.000183,0.463608,0.002289,0.071870,-0.000183
1765332964.564529,0.000000,-0.409057,-0.004578,-0.102998,-0.003479,0.463608,0.002289,0.048066,-0.000183
1765332964.565516,0.000000,-0.409057,-0.004959,-0.068208,-0.014099,0.463608,0.002289,0.096590,-0.000183
1765332964.566572,0.000000,-0.409057,-0.004959,-0.157931,-0.000183,0.463608,0.002289,0.030671,-0.000183
1765332964.567549,0.000000,-0.409057,-0.004959,-0.104829,-0.000183,0.463608,0.002289,0.074617,-0.000183
1765332964.568499,0.000000,-0.409057,-0.005341,-0.099336,-0.071229,0.463608,0.002289,0.028840,-0.000183
1765332964.569531,0.000000,-0.409057,-0.005722,-0.133211,-0.022156,0.463608,0.002289,0.019684,-0.000183
1765332964.570505,0.000000,-0.409057,-0.005722,-0.122225,-0.000183,0.463608,0.002670,0.050813,-0.000183
1765332964.571607,0.000000,-0.409057,-0.005341,-0.085603,-0.095766,0.463608,0.002289,-0.004120,0.019959
1765332964.572741,0.000000,-0.409057,-0.005722,-0.114900,-0.059876,0.463608,0.002670,0.036164,-0.000183
1765332964.573671,0.000000,-0.409057,-0.005722,-0.111238,-0.000183,0.463608,0.002670,0.033417,-0.000183
1765332964.574699,0.000000,-0.409057,-0.005722,-0.045319,-0.055482,0.463608,0.002670,0.017853,-0.000183
1765332964.575733,0.000000,-0.409057,-0.005722,-0.058137,-0.029114,0.463608,0.002670,-0.000458,-0.000183
1765332964.576662,0.000000,-0.409057,-0.006104,-0.100252,-0.194644,0.463608,0.002670,0.017853,-0.000183
1765332964.577715,0.000000,-0.409057,-0.006104,-0.103914,-0.041566,0.463608,0.002670,0.004120,-0.000183
1765332964.579018,0.000000,-0.409057,-0.006104,-0.073701,-0.087709,0.463608,0.002670,-0.002289,-0.000183
1765332964.580021,0.000000,-0.409057,-0.006104,-0.062715,-0.000183,0.463608,0.002670,0.060883,-0.000183
1765332964.581100,0.000000,-0.409057,-0.006104,-0.037995,-0.018860,0.463608,0.002670,0.016938,-0.000183
1765332964.582087,0.000000,-0.409057,-0.006104,-0.002289,-0.000183,0.463608,0.002670,0.102998,-0.000183
1765332964.583172,0.000000,-0.409057,-0.006104,-0.067292,-0.147036,0.463608,0.003052,0.072786,-0.000183
