timestamp,tension (N)
1768344898.881957,-0.520000
1768344898.884639,-0.520000
1768344898.887387,-0.520000
1768344898.890080,-0.520000
1768344898.892733,-0.520000
1768344898.895465,-0.520000
1768344898.898174,-0.520000
1768344898.900991,-0.520000
1768344898.903704,-0.520000
1768344898.906411,-0.520000
1768344898.909093,-0.520000
1768344898.911980,-0.520000
1768344898.914818,-0.520000
1768344898.917668,-0.520000
1768344898.920409,-0.520000
1768344898.923246,-0.520000
1768344898.926125,-0.520000
1768344898.929000,-0.520000
1768344898.931751,-0.520000
1768344898.934620,-0.520000
1768344898.937507,-0.520000
1768344898.940381,-0.520000
1768344898.943130,-0.520000
1768344898.946035,-0.520000
1768344898.948871,-0.520000
1768344898.951785,-0.520000
1768344898.954689,-0.520000
1768344898.957425,-0.520000
1768344898.960088,-0.520000
1768344898.962819,-0.520000
1768344898.965614,-0.520000
1768344898.968333,-0.520000
1768344898.971093,-0.520000
1768344898.973860,-0.520000
1768344898.976540,-0.520000
1768344898.979333,-0.520000
1768344898.982072,-0.520000
1768344898.984809,-0.520000
1768344898.987493,-0.520000
1768344898.990219,-0.520000
1768344898.992941,-0.520000
1768344898.995682,-0.520000
1768344898.998393,-0.520000
1768344899.001098,-0.520000
1768344899.003897,-0.520000
1768344899.007902,-0.520000
1768344899.010642,-0.520000
1768344899.013408,-0.520000
1768344899.016996,-0.520000
1768344899.020351,-0.520000
1768344899.023664,-0.520000
1768344899.027195,-0.520000
1768344899.029981,-0.520000
1768344899.032691,-0.520000
1768344899.036355,-0.520000
1768344899.039907,-0.520000
1768344899.042606,-0.520000
1768344899.045389,-0.520000
1768344899.048898,-0.520000
1768344899.051590,-0.520000
1768344899.054339,-0.520000
1768344899.056978,-0.520000
1768344899.059708,-0.520000
1768344899.062478,-0.520000
1768344899.065178,-0.520000
1768344899.068419,-0.520000
1768344899.071303,-0.540000
1768344899.074064,-0.540000
1768344899.076769,-0.560000
1768344899.079514,-0.560000
1768344899.082265,-0.820000
1768344899.085052,-0.880000
1768344899.087810,-0.920000
1768344899.090592,-0.980000
1768344899.093319,-1.060000
1768344899.096042,-1.080000
1768344899.098824,-1.140000
1768344899.101540,-1.180000
1768344899.104308,-1.260000
1768344899.107089,-1.320000
1768344899.109896,-1.360000
1768344899.112737,-1.420000
