timestamp,tension (N)
1768344898.771260,-0.540000
1768344898.774248,-0.540000
1768344898.777129,-0.540000
1768344898.780042,-0.540000
1768344898.783050,-0.540000
1768344898.785925,-0.540000
1768344898.788737,-0.540000
1768344898.791591,-0.540000
1768344898.794584,-0.540000
1768344898.797457,-0.520000
1768344898.800295,-0.520000
1768344898.803185,-0.520000
1768344898.806095,-0.520000
1768344898.808922,-0.520000
1768344898.811838,-0.520000
1768344898.814800,-0.520000
1768344898.817729,-0.520000
1768344898.820645,-0.520000
1768344898.823531,-0.520000
1768344898.826373,-0.520000
1768344898.829172,-0.520000
1768344898.832129,-0.520000
1768344898.834965,-0.520000
1768344898.837737,-0.520000
1768344898.841989,-0.520000
1768344898.844763,-0.520000
1768344898.847519,-0.520000
1768344898.851055,-0.520000
1768344898.854375,-0.520000
1768344898.857647,-0.520000
1768344898.861130,-0.520000
1768344898.863942,-0.520000
1768344898.866760,-0.520000
1768344898.870204,-0.520000
1768344898.873717,-0.520000
1768344898.876541,-0.520000
1768344898.879292,-0.520000
1768344898.882627,-0.520000
1768344898.885490,-0.520000
1768344898.888261,-0.520000
1768344898.891505,-0.520000
1768344898.894352,-0.520000
1768344898.897072,-0.520000
1768344898.900506,-0.520000
1768344898.903333,-0.540000
1768344898.906041,-0.520000
1768344898.908740,-0.540000
1768344898.911536,-0.540000
1768344898.914264,-0.540000
1768344898.916971,-0.540000
1768344898.919734,-0.540000
1768344898.922587,-0.540000
1768344898.925490,-0.520000
1768344898.928293,-0.520000
1768344898.931094,-0.520000
1768344898.933919,-0.520000
1768344898.936841,-0.520000
1768344898.939613,-0.520000
1768344898.942449,-0.540000
1768344898.945236,-0.520000
1768344898.948087,-0.520000
1768344898.950907,-0.520000
1768344898.953725,-0.520000
1768344898.956605,-0.520000
1768344898.959513,-0.520000
1768344898.962319,-0.520000
1768344898.965162,-0.520000
1768344898.967944,-0.520000
1768344898.970790,-0.520000
1768344898.973641,-0.520000
1768344898.976435,-0.520000
1768344898.979239,-0.520000
1768344898.981980,-0.520000
1768344898.984986,-0.520000
1768344898.987801,-0.520000
1768344898.990603,-0.520000
1768344898.993380,-0.520000
1768344898.996206,-0.520000
1768344898.998952,-0.520000
1768344899.001749,-0.520000
1768344899.004544,-0.520000
1768344899.008968,-0.520000
1768344899.011740,-0.520000
1768344899.014493,-0.520000
1768344899.018032,-0.520000
1768344899.021374,-0.520000
1768344899.024567,-0.520000
1768344899.028038,-0.520000
1768344899.030760,-0.520000
1768344899.033615,-0.520000
1768344899.037221,-0.520000
1768344899.040660,-0.520000
1768344899.043416,-0.520000
1768344899.046137,-0.520000
1768344899.049655,-0.520000
1768344899.052389,-0.520000
1768344899.055160,-0.520000
1768344899.058578,-0.520000
1768344899.061296,-0.520000
1768344899.064068,-0.520000
1768344899.067538,-0.520000
1768344899.070295,-0.520000
1768344899.073014,-0.520000
1768344899.075764,-0.520000
1768344899.078483,-0.520000
1768344899.081373,-0.520000
1768344899.084244,-0.520000
1768344899.087048,-0.520000
1768344899.089835,-0.520000
1768344899.092587,-0.520000
1768344899.095347,-0.520000
1768344899.098142,-0.520000
1768344899.100990,-0.520000
1768344899.103784,-0.520000
1768344899.106553,-0.520000
1768344899.109137,-0.500000
1768344899.111834,-0.500000
1768344899.114524,-0.200000
1768344899.117424,-0.480000
1768344899.120238,-0.220000
1768344899.122986,-0.460000
1768344899.125773,-0.160000
1768344899.128614,-0.160000
1768344899.131336,-0.100000
1768344899.134190,-0.180000
1768344899.136951,-0.400000
1768344899.139713,-0.120000
1768344899.142601,-0.380000
1768344899.145383,-0.120000
1768344899.148211,-0.360000
1768344899.151126,-0.340000
1768344899.153938,-0.340000
1768344899.156711,-0.320000
1768344899.159449,-0.320000
1768344899.162388,-0.320000
1768344899.165179,-0.320000
1768344899.167960,-0.320000
1768344899.172979,-0.320000
1768344899.175711,-0.300000
1768344899.178492,-0.320000
