timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1768344845.498343,-0.005450,0.006525,0.592598,0.000269,0.000213,-0.005042
1768344845.513780,-0.003169,0.030226,1.935791,0.001162,0.000539,-0.016575
1768344845.513984,-0.009919,-0.003043,-0.868559,-0.000568,0.000031,0.007048
1768344845.514055,-0.030202,0.027652,0.390605,0.000095,0.000542,-0.003631
1768344845.530384,-0.017722,0.027718,1.809908,0.000871,0.000523,-0.015436
1768344845.530582,-0.016748,0.016336,-0.357764,-0.000409,0.000561,0.002663
1768344845.530657,-0.006963,0.006639,0.089376,0.000039,0.000228,-0.000885
1768344845.546397,-0.005626,0.005069,1.285222,0.000813,-0.000015,-0.010792
1768344845.546614,-0.002119,0.008714,0.477203,0.000395,-0.000089,-0.004279
1768344845.546694,-0.014406,0.012139,-0.467482,-0.000429,0.000311,0.003653
1768344845.561841,-0.010686,0.013041,0.598942,0.000344,0.000378,-0.005178
1768344845.562049,-0.004110,0.016659,1.931873,0.001445,0.000327,-0.016375
1768344845.562127,-0.006994,0.009213,-0.810343,-0.000528,0.000186,0.006584
1768344845.562193,-0.026349,0.017673,0.377919,0.000157,0.000149,-0.003432
1768344845.577201,-0.010974,0.010594,1.773987,0.001200,0.000192,-0.015078
1768344845.577410,-0.013966,0.003018,-0.392505,-0.000434,0.000379,0.002753
1768344845.577479,-0.015114,0.013490,0.084180,0.000018,0.000399,-0.000956
1768344845.593325,-0.006282,-0.000678,1.268657,0.000974,-0.000147,-0.010707
1768344845.593527,0.013607,-0.016856,0.521153,0.000570,-0.000643,-0.004253
1768344845.593599,-0.015082,0.008738,-0.485360,-0.000363,0.000119,0.003752
1768344845.608859,-0.015657,-0.000388,0.579778,0.000413,-0.000102,-0.005020
1768344845.609045,-0.012312,0.004122,1.922865,0.001486,-0.000136,-0.016293
1768344845.609149,-0.001332,0.002276,-0.848276,-0.000443,0.000079,0.006879
1768344845.624742,-0.009792,0.009138,0.396178,0.000281,0.000186,-0.003481
1768344845.624962,-0.004419,0.005172,1.785997,0.001212,0.000018,-0.015025
1768344845.625035,-0.011478,0.012542,-0.404580,-0.000377,0.000385,0.003026
1768344845.639922,-0.012131,0.009220,0.094437,0.000110,0.000248,-0.000983
1768344845.640096,-0.011252,0.020549,1.282538,0.000849,0.000146,-0.010876
1768344845.640168,-0.000821,-0.022281,0.525973,0.000672,-0.000658,-0.004425
1768344845.655508,-0.015200,0.011167,-0.483744,-0.000525,0.000134,0.003783
1768344845.655736,-0.013928,0.014960,0.589222,0.000298,0.000351,-0.005170
1768344845.655874,-0.005044,0.016706,1.927006,0.001159,0.000178,-0.016199
1768344845.670474,-0.012734,0.007872,-0.824762,-0.000591,0.000218,0.006620
1768344845.670783,-0.011908,0.011206,0.381427,0.000253,0.000279,-0.003276
1768344845.670887,-0.007522,0.009088,1.805564,0.001103,-0.000190,-0.015180
1768344845.670979,-0.013509,0.014906,-0.432015,-0.000365,0.000375,0.003170
1768344845.686632,-0.016687,0.017752,0.080723,-0.000065,0.000281,-0.000917
1768344845.686872,-0.002787,0.010099,1.280838,0.000879,0.000067,-0.010859
1768344845.686939,0.020446,-0.010662,0.578544,0.000553,-0.000434,-0.004928
1768344845.702468,-0.011963,0.009401,-0.494724,-0.000383,0.000227,0.003829
1768344845.702695,-0.007410,0.009249,0.597014,0.000436,0.000360,-0.005123
1768344845.702768,-0.006689,0.020447,1.943225,0.001385,0.000568,-0.016589
1768344845.717830,-0.009838,0.007985,-0.813958,-0.000512,0.000222,0.006525
1768344845.718309,-0.014036,0.012900,0.370352,0.000176,0.000352,-0.003314
1768344845.718516,-0.003348,0.000812,1.807491,0.001317,-0.000233,-0.015232
