timestamp,tension (N)
1768344845.459155,-0.340000
1768344845.462655,-0.340000
1768344845.465553,-0.340000
1768344845.468481,-0.340000
1768344845.471869,-0.340000
1768344845.475336,-0.340000
1768344845.478203,-0.340000
1768344845.481112,-0.340000
1768344845.484420,-0.340000
1768344845.487312,-0.340000
1768344845.490146,-0.340000
1768344845.493451,-0.340000
1768344845.496358,-0.340000
1768344845.499219,-0.340000
1768344845.502556,-0.340000
1768344845.505461,-0.340000
1768344845.508375,-0.340000
1768344845.511359,-0.340000
1768344845.514315,-0.340000
1768344845.517071,-0.340000
1768344845.520042,-0.340000
1768344845.522877,-0.340000
1768344845.525791,-0.340000
1768344845.528593,-0.340000
1768344845.531295,-0.340000
1768344845.534132,-0.340000
1768344845.536878,-0.340000
1768344845.539710,-0.340000
1768344845.542445,-0.340000
1768344845.545227,-0.340000
1768344845.547963,-0.340000
1768344845.550696,-0.340000
1768344845.553505,-0.340000
1768344845.556288,-0.340000
1768344845.558995,-0.340000
1768344845.561793,-0.340000
1768344845.564591,-0.340000
1768344845.567280,-0.340000
1768344845.569963,-0.340000
1768344845.572814,-0.340000
1768344845.575624,-0.340000
1768344845.578407,-0.340000
1768344845.581239,-0.340000
1768344845.584001,-0.340000
1768344845.586823,-0.340000
1768344845.589593,-0.340000
1768344845.592339,-0.340000
1768344845.595085,-0.340000
1768344845.597816,-0.340000
1768344845.600579,-0.340000
1768344845.603380,-0.340000
1768344845.607392,-0.340000
1768344845.610219,-0.340000
1768344845.612955,-0.340000
1768344845.616596,-0.340000
1768344845.620020,-0.340000
1768344845.623185,-0.340000
1768344845.626685,-0.340000
1768344845.629522,-0.340000
1768344845.632271,-0.340000
1768344845.635957,-0.340000
1768344845.639404,-0.340000
1768344845.642184,-0.340000
1768344845.645023,-0.340000
1768344845.648518,-0.340000
1768344845.651411,-0.340000
1768344845.654337,-0.340000
1768344845.657610,-0.340000
1768344845.660491,-0.340000
1768344845.663396,-0.340000
1768344845.666626,-0.340000
1768344845.669433,-0.340000
1768344845.672361,-0.340000
1768344845.675141,-0.340000
1768344845.677904,-0.340000
1768344845.680663,-0.340000
1768344845.683623,-0.340000
1768344845.686540,-0.340000
1768344845.689440,-0.340000
1768344845.692847,-0.340000
1768344845.695727,-0.340000
1768344845.698501,-0.340000
1768344845.701392,-0.340000
1768344845.704462,-0.340000
1768344845.707359,-0.340000
1768344845.710261,-0.340000
1768344845.713321,-0.340000
1768344845.716203,-0.340000
1768344845.718960,-0.340000
1768344845.721844,-0.340000
1768344845.724740,-0.340000
1768344845.727653,-0.340000
1768344845.730619,-0.340000
1768344845.733436,-0.340000
1768344845.736414,-0.340000
1768344845.739155,-0.340000
1768344845.741930,-0.340000
1768344845.744920,-0.340000
1768344845.747863,-0.340000
1768344845.750713,-0.340000
1768344845.753744,-0.340000
1768344845.756785,-0.340000
1768344845.759842,-0.340000
1768344845.762737,-0.340000
1768344845.765533,-0.360000
1768344845.768485,-0.360000
1768344845.771338,-0.660000
1768344845.775910,-0.800000
1768344845.778805,-0.920000
1768344845.781754,-1.020000
1768344845.784935,-1.140000
1768344845.788279,-1.260000
1768344845.791553,-1.380000
1768344845.795095,-1.520000
1768344845.798175,-1.660000
1768344845.801107,-1.800000
1768344845.804755,-1.940000
1768344845.808558,-2.160000
1768344845.811528,-2.300000
1768344845.814522,-2.460000
1768344845.818174,-2.640000
1768344845.821009,-2.780000
1768344845.823973,-2.860000
1768344845.826832,-2.920000
1768344845.830150,-2.960000
1768344845.833079,-2.980000
1768344845.836084,-3.020000
1768344845.839122,-3.020000
1768344845.841890,-3.000000
1768344845.844787,-3.020000
1768344845.847846,-2.980000
1768344845.850931,-2.940000
1768344845.853922,-2.980000
1768344845.856930,-2.920000
1768344845.859908,-2.880000
1768344845.862814,-2.880000
1768344845.865760,-2.860000
1768344845.868719,-2.820000
1768344845.871658,-2.840000
1768344845.874522,-2.780000
1768344845.877436,-2.780000
1768344845.880428,-2.760000
1768344845.883321,-2.720000
1768344845.886269,-2.720000
1768344845.889201,-2.700000
1768344845.892302,-2.640000
1768344845.895230,-2.600000
1768344845.898061,-2.620000
1768344845.901036,-2.340000
1768344845.903893,-2.360000
1768344845.907087,-2.360000
1768344845.910065,-2.360000
1768344845.912966,-2.380000
1768344845.915868,-2.380000
1768344845.918733,-2.380000
1768344845.922987,-2.380000
1768344845.925843,-2.380000
1768344845.928715,-2.360000
1768344845.932363,-2.360000
1768344845.935738,-2.340000
1768344845.939020,-2.340000
1768344845.942632,-2.320000
1768344845.945372,-2.080000
1768344845.948266,-2.040000
1768344845.951726,-2.000000
1768344845.955319,-2.020000
1768344845.958121,-1.920000
1768344845.960965,-1.940000
1768344845.964598,-1.960000
1768344845.967339,-1.900000
1768344845.970514,-1.840000
1768344845.973746,-1.880000
1768344845.976496,-1.900000
1768344845.979314,-1.820000
1768344845.982812,-1.860000
1768344845.985651,-1.880000
1768344845.988463,-1.800000
1768344845.991335,-1.820000
1768344845.994262,-1.820000
1768344845.997113,-1.780000
1768344846.000010,-1.800000
1768344846.002857,-1.780000
1768344846.005664,-1.740000
1768344846.008482,-1.760000
1768344846.011240,-1.700000
1768344846.014111,-1.680000
1768344846.016921,-1.680000
1768344846.019843,-1.660000
1768344846.022729,-1.640000
1768344846.025734,-1.620000
1768344846.028490,-1.600000
1768344846.031303,-1.580000
1768344846.034074,-1.600000
1768344846.036970,-1.580000
1768344846.039858,-1.540000
1768344846.042721,-1.560000
1768344846.045606,-1.560000
1768344846.048675,-1.520000
1768344846.051623,-1.540000
1768344846.054608,-1.540000
1768344846.057554,-1.480000
1768344846.060230,-1.500000
1768344846.062947,-1.500000
1768344846.065880,-1.440000
1768344846.068635,-1.500000
1768344846.071482,-1.440000
1768344846.074404,-1.400000
1768344846.077317,-1.440000
1768344846.080187,-1.380000
1768344846.083109,-1.340000
1768344846.086019,-1.380000
1768344846.091319,-1.340000
1768344846.094136,-1.300000
1768344846.097651,-1.280000
1768344846.101030,-1.280000
1768344846.104335,-1.300000
1768344846.107986,-1.300000
1768344846.110784,-1.260000
1768344846.113889,-1.240000
