timestamp,tension (N)
1768344845.535409,-0.480000
1768344845.538150,-0.480000
1768344845.540916,-0.480000
1768344845.543664,-0.480000
1768344845.546453,-0.480000
1768344845.549189,-0.480000
1768344845.551915,-0.480000
1768344845.554701,-0.480000
1768344845.557395,-0.480000
1768344845.560073,-0.480000
1768344845.562850,-0.480000
1768344845.565567,-0.480000
1768344845.568229,-0.480000
1768344845.570969,-0.480000
1768344845.573906,-0.480000
1768344845.576619,-0.480000
1768344845.581845,-0.480000
1768344845.584567,-0.480000
1768344845.587261,-0.480000
1768344845.590847,-0.480000
1768344845.594162,-0.480000
1768344845.597398,-0.480000
1768344845.600858,-0.480000
1768344845.603571,-0.480000
1768344845.606261,-0.480000
1768344845.609028,-0.480000
1768344845.611820,-0.480000
1768344845.615266,-0.480000
1768344845.618056,-0.480000
1768344845.620837,-0.480000
1768344845.624297,-0.480000
1768344845.627063,-0.480000
1768344845.629830,-0.480000
1768344845.632483,-0.480000
1768344845.635185,-0.480000
1768344845.637907,-0.480000
1768344845.640657,-0.480000
1768344845.643921,-0.480000
1768344845.646665,-0.480000
1768344845.649428,-0.480000
1768344845.652187,-0.480000
1768344845.654928,-0.480000
1768344845.657644,-0.480000
1768344845.660482,-0.480000
1768344845.663247,-0.480000
1768344845.666009,-0.480000
1768344845.668792,-0.480000
1768344845.671609,-0.480000
1768344845.674363,-0.480000
1768344845.677070,-0.480000
1768344845.679777,-0.480000
1768344845.682481,-0.480000
1768344845.685330,-0.480000
1768344845.688075,-0.480000
1768344845.690918,-0.480000
1768344845.693702,-0.480000
1768344845.696400,-0.480000
1768344845.699097,-0.480000
1768344845.701881,-0.480000
1768344845.704783,-0.480000
1768344845.707565,-0.480000
1768344845.710408,-0.480000
1768344845.713240,-0.480000
1768344845.715956,-0.480000
1768344845.718694,-0.480000
1768344845.721540,-0.480000
1768344845.724264,-0.480000
1768344845.727018,-0.480000
1768344845.729698,-0.480000
1768344845.732544,-0.480000
1768344845.735332,-0.480000
1768344845.739380,-0.480000
1768344845.742066,-0.480000
1768344845.744816,-0.480000
1768344845.747768,-0.480000
1768344845.750655,-0.480000
1768344845.753477,-0.480000
1768344845.756793,-0.480000
1768344845.760201,-0.480000
1768344845.762985,-0.480000
1768344845.765793,-0.480000
1768344845.769437,-0.480000
1768344845.773029,-0.480000
1768344845.775795,-0.480000
1768344845.778570,-0.480000
1768344845.782131,-0.480000
1768344845.784923,-0.480000
1768344845.787762,-0.460000
1768344845.791176,-0.460000
1768344845.793860,-0.460000
1768344845.796707,-0.460000
1768344845.799996,-0.200000
1768344845.802707,-0.420000
1768344845.805325,-0.080000
1768344845.807965,-0.060000
1768344845.810367,0.000000
1768344845.813069,0.000000
1768344845.815463,0.000000
1768344845.818077,0.040000
1768344845.820534,0.000000
1768344845.823086,0.060000
1768344845.825562,0.000000
1768344845.828187,0.040000
1768344845.830775,0.020000
1768344845.833417,0.020000
1768344845.836146,0.040000
1768344845.838646,0.000000
