timestamp,tension (N)
1768343995.337750,-0.840000
1768343995.340693,-0.840000
1768343995.343560,-0.840000
1768343995.346356,-0.840000
1768343995.349175,-0.840000
1768343995.351941,-0.840000
1768343995.354816,-0.840000
1768343995.357671,-0.840000
1768343995.360567,-0.840000
1768343995.363401,-0.840000
1768343995.366131,-0.840000
1768343995.369079,-0.840000
1768343995.374296,-0.840000
1768343995.377166,-0.840000
1768343995.379981,-0.840000
1768343995.383433,-0.840000
1768343995.386808,-0.840000
1768343995.390005,-0.840000
1768343995.393571,-0.840000
1768343995.396426,-0.840000
1768343995.399188,-0.840000
1768343995.402685,-0.840000
1768343995.406263,-0.840000
1768343995.409075,-0.840000
1768343995.411777,-0.840000
1768343995.415159,-0.840000
1768343995.417928,-0.840000
1768343995.420688,-0.840000
1768343995.424154,-0.840000
1768343995.426932,-0.840000
1768343995.429715,-0.840000
1768343995.433241,-0.840000
1768343995.435986,-0.840000
1768343995.438769,-0.840000
1768343995.441514,-0.840000
1768343995.444250,-0.840000
1768343995.447112,-0.840000
1768343995.449947,-0.840000
1768343995.452660,-0.840000
1768343995.455496,-0.840000
1768343995.458315,-0.840000
1768343995.461109,-0.840000
1768343995.463893,-0.840000
1768343995.466714,-0.840000
1768343995.469449,-0.840000
1768343995.472311,-0.840000
1768343995.475055,-0.840000
1768343995.477764,-0.840000
1768343995.480569,-0.840000
1768343995.483406,-0.840000
1768343995.486229,-0.840000
1768343995.488985,-0.840000
1768343995.491889,-0.840000
1768343995.494730,-0.840000
1768343995.497600,-0.840000
1768343995.500456,-0.840000
1768343995.503224,-0.840000
1768343995.505972,-0.840000
1768343995.508684,-0.840000
1768343995.511542,-0.840000
1768343995.514524,-0.840000
1768343995.517481,-0.840000
1768343995.520233,-0.840000
1768343995.523016,-0.840000
1768343995.525784,-0.840000
1768343995.528617,-0.840000
1768343995.531521,-0.840000
1768343995.534409,-0.820000
1768343995.537324,-0.820000
1768343995.540190,-0.840000
1768343995.543033,-0.820000
1768343995.545808,-0.820000
1768343995.550116,-0.820000
1768343995.552872,-0.840000
1768343995.555812,-0.840000
1768343995.559308,-0.840000
1768343995.562635,-0.840000
1768343995.565817,-0.840000
1768343995.569430,-0.840000
1768343995.572150,-0.840000
1768343995.574894,-0.840000
1768343995.578591,-0.840000
1768343995.582011,-0.840000
1768343995.584799,-0.840000
1768343995.587504,-0.840000
1768343995.591063,-0.840000
1768343995.593814,-0.840000
1768343995.596624,-0.840000
1768343995.600041,-0.840000
1768343995.602925,-0.840000
1768343995.605820,-0.840000
1768343995.609097,-0.840000
1768343995.611995,-0.820000
1768343995.614863,-0.840000
1768343995.617701,-0.840000
1768343995.620505,-0.840000
1768343995.623259,-0.840000
1768343995.625949,-0.840000
1768343995.628847,-0.820000
1768343995.631582,-0.820000
1768343995.634475,-0.820000
1768343995.637374,-0.820000
1768343995.640092,-0.800000
1768343995.642852,-0.560000
1768343995.645709,-0.520000
1768343995.648464,-0.400000
1768343995.651315,-0.380000
1768343995.654146,-0.260000
1768343995.656950,-0.220000
1768343995.659730,-0.160000
1768343995.662400,-0.100000
1768343995.665423,-0.080000
1768343995.668233,-0.040000
1768343995.670826,0.000000
1768343995.673576,-0.040000
1768343995.676106,0.000000
1768343995.678793,-0.020000
1768343995.681270,0.000000
1768343995.683833,0.000000
1768343995.686575,-0.060000
1768343995.689246,0.020000
1768343995.692022,-0.040000
1768343995.694860,-0.020000
1768343995.697375,0.000000
1768343995.700124,-0.020000
1768343995.702641,0.000000
1768343995.705342,-0.020000
1768343995.708134,-0.020000
1768343995.713132,-0.020000
1768343995.715731,0.000000
1768343995.718594,-0.020000
1768343995.721819,0.000000
1768343995.725059,-0.020000
1768343995.727965,0.000000
1768343995.731730,-0.220000
1768343995.734710,-0.220000
1768343995.737428,-0.200000
1768343995.740664,-0.200000
1768343995.744232,-0.180000
1768343995.747072,-0.180000
1768343995.749866,-0.180000
1768343995.753288,-0.180000
1768343995.756160,-0.180000
1768343995.758948,-0.160000
1768343995.762374,-0.160000
1768343995.765183,-0.160000
1768343995.767977,-0.160000
1768343995.771274,-0.160000
1768343995.774147,-0.160000
1768343995.777094,-0.180000
1768343995.779983,-0.180000
1768343995.782750,-0.180000
1768343995.785583,-0.180000
1768343995.788377,-0.180000
1768343995.791517,-0.180000
1768343995.794360,-0.180000
1768343995.797160,-0.180000
1768343995.799959,-0.180000
1768343995.802707,-0.180000
1768343995.805384,-0.200000
1768343995.808084,-0.200000
1768343995.810805,-0.200000
1768343995.813509,-0.200000
1768343995.816358,-0.180000
1768343995.819283,-0.180000
1768343995.822119,-0.180000
1768343995.824948,-0.180000
1768343995.827842,-0.180000
1768343995.830767,-0.180000
1768343995.833594,-0.180000
1768343995.836308,-0.200000
1768343995.839143,-0.200000
1768343995.841859,-0.200000
1768343995.844449,-0.200000
1768343995.847112,-0.200000
1768343995.849996,-0.220000
1768343995.852809,-0.220000
1768343995.855725,-0.220000
1768343995.858548,-0.220000
1768343995.861363,-0.220000
1768343995.864205,-0.220000
1768343995.867115,-0.240000
1768343995.869962,-0.240000
1768343995.872703,-0.240000
1768343995.877215,-0.240000
1768343995.879968,-0.260000
1768343995.882720,-0.260000
1768343995.886427,-0.260000
1768343995.889850,-0.260000
1768343995.893005,-0.260000
1768343995.896465,-0.260000
1768343995.899230,-0.280000
1768343995.902024,-0.260000
1768343995.905555,-0.260000
1768343995.909019,-0.260000
1768343995.911900,-0.280000
1768343995.914724,-0.280000
1768343995.918135,-0.280000
1768343995.920894,-0.280000
1768343995.923700,-0.280000
1768343995.927138,-0.280000
1768343995.929940,-0.280000
1768343995.932737,-0.280000
1768343995.936102,-0.280000
1768343995.938839,-0.280000
1768343995.941613,-0.280000
1768343995.944477,-0.280000
1768343995.947291,-0.280000
1768343995.949972,-0.300000
1768343995.952637,-0.300000
1768343995.955348,-0.300000
1768343995.958071,-0.300000
1768343995.960840,-0.320000
1768343995.963622,-0.320000
1768343995.966453,-0.320000
