timestamp,tension (N)
1768343995.302622,0.000000
1768343995.305206,0.000000
1768343995.307780,0.000000
1768343995.311062,0.000000
1768343995.314077,0.000000
1768343995.317014,0.000000
1768343995.320298,0.000000
1768343995.322841,0.000000
1768343995.325356,0.000000
1768343995.328943,0.020000
1768343995.332225,0.000000
1768343995.335047,0.020000
1768343995.337583,0.000000
1768343995.340816,0.020000
1768343995.343330,0.000000
1768343995.345856,0.000000
1768343995.349108,0.000000
1768343995.351640,0.000000
1768343995.354130,0.000000
1768343995.357327,0.000000
1768343995.359838,0.000000
1768343995.362322,0.000000
1768343995.364910,0.000000
1768343995.367361,0.000000
1768343995.369733,0.000000
1768343995.372218,0.000000
1768343995.374835,0.000000
1768343995.377341,0.000000
1768343995.379867,0.000000
1768343995.382573,0.020000
1768343995.385234,0.000000
1768343995.387944,0.020000
1768343995.390516,0.020000
1768343995.393191,0.020000
1768343995.395925,0.020000
1768343995.398377,0.000000
1768343995.401085,0.020000
1768343995.403522,0.000000
1768343995.405982,0.000000
1768343995.408554,0.000000
1768343995.411034,0.000000
1768343995.413538,0.000000
1768343995.416038,0.000000
1768343995.418527,0.000000
1768343995.421073,0.000000
1768343995.423544,0.000000
1768343995.426047,0.000000
1768343995.428618,0.000000
1768343995.431071,0.000000
1768343995.433442,0.000000
1768343995.435876,0.000000
1768343995.438302,0.000000
1768343995.440815,0.000000
1768343995.443298,0.000000
1768343995.445771,0.000000
1768343995.448184,0.000000
1768343995.450597,0.000000
1768343995.453070,0.000000
1768343995.455500,0.000000
1768343995.457979,0.000000
1768343995.460579,0.020000
1768343995.464990,0.000000
1768343995.467606,0.020000
1768343995.470000,0.000000
1768343995.472563,0.020000
1768343995.475097,0.000000
1768343995.478115,0.000000
1768343995.481080,0.000000
1768343995.484648,0.020000
1768343995.487077,0.000000
1768343995.489626,0.020000
1768343995.492062,0.000000
1768343995.494505,0.000000
1768343995.497810,0.000000
1768343995.500185,0.000000
1768343995.502620,0.000000
1768343995.505177,0.000000
1768343995.507606,0.000000
1768343995.510070,0.000000
1768343995.512511,0.000000
1768343995.515646,0.000000
1768343995.518171,0.000000
1768343995.520793,0.020000
1768343995.523216,0.000000
1768343995.525887,0.020000
1768343995.528530,0.000000
1768343995.531253,0.020000
1768343995.533821,0.000000
1768343995.536473,0.020000
1768343995.538954,0.000000
