timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1768344062.462980,-0.004997,-0.003261,-0.121371,-0.000082,0.000083,0.001148
1768344062.479003,0.008302,-0.010621,1.454813,0.001052,-0.000378,-0.011961
1768344062.479213,-0.013538,-0.008780,-0.975468,-0.000856,-0.000061,0.008214
1768344062.494462,-0.005390,-0.011977,-0.406739,-0.000256,-0.000386,0.003577
1768344062.494735,-0.000404,-0.001271,0.765942,0.000554,0.000016,-0.006235
1768344062.494813,0.023642,-0.021717,0.334064,0.000515,-0.000625,-0.002487
1768344062.510042,-0.004863,-0.012400,-0.978928,-0.000601,-0.000139,0.008263
1768344062.510249,-0.008710,-0.007142,0.093515,0.000016,-0.000314,-0.000571
1768344062.510329,-0.017638,0.023524,1.205123,0.000899,0.000525,-0.010238
1768344062.525677,-0.004153,-0.019161,-1.318556,-0.000717,-0.000518,0.011174
1768344062.525919,-0.005510,0.006861,-0.124367,-0.000022,0.000396,0.001107
1768344062.525994,0.021148,-0.023211,1.465113,0.001361,-0.000653,-0.011988
1768344062.526059,0.005508,-0.015679,-0.969878,-0.000431,-0.000393,0.008011
1768344062.541537,-0.007149,-0.006094,-0.412301,-0.000339,-0.000220,0.003547
1768344062.541721,-0.005414,0.011699,0.720781,0.000410,0.000114,-0.005967
1768344062.541792,0.011357,-0.014482,0.318005,0.000272,-0.000568,-0.002532
1768344062.557179,-0.007742,-0.008207,-0.988410,-0.000714,-0.000165,0.008360
1768344062.557407,-0.005088,-0.001653,0.103003,0.000027,-0.000224,-0.000650
1768344062.557478,-0.012810,0.004376,1.178829,0.000766,0.000134,-0.009850
1768344062.573038,-0.001526,-0.021338,-1.314222,-0.000838,-0.000381,0.011103
1768344062.573375,-0.013077,0.002372,-0.160397,-0.000147,-0.000003,0.001429
1768344062.573598,0.007679,-0.005825,1.492732,0.001037,-0.000518,-0.012229
1768344062.588584,0.000769,-0.010545,-0.983430,-0.000716,-0.000256,0.008341
1768344062.588726,-0.004651,-0.011362,-0.398527,-0.000193,-0.000190,0.003529
1768344062.588793,-0.008414,-0.000238,0.757995,0.000645,0.000046,-0.006257
1768344062.603967,0.016297,-0.028961,0.412203,0.000630,-0.000804,-0.002970
1768344062.604186,-0.001113,-0.007967,-0.980286,-0.000630,-0.000321,0.008313
1768344062.604264,-0.005813,-0.007908,0.095652,0.000048,-0.000397,-0.000537
1768344062.619985,-0.026232,0.024386,1.108525,0.000628,0.000177,-0.009534
1768344062.620196,-0.003975,-0.007777,-1.261828,-0.000775,0.000008,0.010525
1768344062.620269,-0.009399,-0.002229,-0.164234,-0.000150,-0.000139,0.001520
1768344062.635336,0.007404,-0.009388,1.530197,0.001043,-0.000631,-0.012473
1768344062.635566,0.006422,-0.009179,-0.959702,-0.000560,-0.000030,0.008129
1768344062.635650,-0.005682,-0.004327,-0.404884,-0.000169,0.000216,0.003458
1768344062.635712,-0.009572,0.007286,0.738508,0.000363,0.000264,-0.006145
1768344062.650862,0.028469,-0.022981,0.460929,0.000660,-0.000728,-0.003176
1768344062.651009,-0.014161,-0.017236,-0.984824,-0.000662,-0.000217,0.008435
1768344062.651086,0.006217,-0.005997,0.152743,0.000230,-0.000553,-0.000596
1768344062.665883,-0.007841,-0.001698,1.088927,0.000651,0.000097,-0.009119
1768344062.666098,0.000758,-0.002986,-1.169888,-0.000891,-0.000308,0.010568
1768344062.666169,-0.020443,-0.029840,0.127445,-0.000048,0.000085,0.001424
1768344062.681901,0.020764,0.000595,1.994356,0.001127,-0.000628,-0.012471
1768344062.682144,-0.016068,-0.039704,-0.254841,-0.000386,-0.000295,0.008330
1768344062.682276,-0.010409,-0.014525,0.394143,-0.000062,-0.000370,0.003521
1768344062.697369,-0.023056,0.013099,1.572214,0.000541,-0.000757,-0.005926
1768344062.697557,-0.023519,-0.061756,1.351196,0.000919,-0.001531,-0.003719
1768344062.697628,-0.018055,-0.005196,-0.097939,-0.000613,-0.000493,0.008349
1768344062.713444,0.005544,-0.023814,1.002583,0.000441,0.000756,-0.000584
1768344062.713634,0.003610,-0.022627,1.997102,0.001036,0.001644,-0.009071
1768344062.713701,0.020074,-0.020829,-0.351086,-0.000303,0.002157,0.010337
1768344062.729377,0.003989,-0.007485,0.713847,0.000340,0.003479,0.001378
1768344062.729585,0.032185,-0.028676,2.421765,0.001843,0.004250,-0.012843
1768344062.729658,0.075185,-0.028349,-0.038349,0.000315,0.006049,0.007733
1768344062.745097,0.041771,-0.005930,0.420624,0.000159,0.007314,0.003571
1768344062.745321,0.050964,-0.004746,1.598783,0.000824,0.006617,-0.005891
1768344062.745414,0.072687,-0.031744,1.295851,0.000589,0.005913,-0.003349
1768344062.760835,0.043387,-0.011230,-0.097026,-0.000161,0.005490,0.008414
1768344062.761051,0.029178,-0.026360,0.980535,0.000640,0.005210,-0.000896
1768344062.761132,0.023304,0.019518,1.972842,0.000847,0.004753,-0.009149
1768344062.761191,0.032158,-0.031174,-0.443125,-0.000446,0.003447,0.010248
1768344062.775803,0.022630,-0.019386,0.592791,0.000192,0.002755,0.001088
1768344062.776017,0.023443,-0.005501,2.242115,0.001292,0.002087,-0.013267
1768344062.776101,0.034771,-0.031663,-0.353163,-0.000161,0.001426,0.007816
1768344062.791777,-0.024272,0.019148,0.131976,-0.000615,-0.000477,0.003850
1768344062.791998,-0.071835,-0.011204,1.286111,0.000214,-0.004298,-0.005672
1768344062.792074,-0.039865,-0.021289,1.099467,0.000111,-0.004067,-0.004057
1768344062.807215,-0.043332,-0.004774,-0.384917,-0.000611,-0.001882,0.008188
