timestamp,tension (N)
1768344062.395387,-1.080000
1768344062.398255,-1.080000
1768344062.401009,-1.080000
1768344062.404605,-1.080000
1768344062.407361,-1.080000
1768344062.410233,-1.080000
1768344062.412964,-1.080000
1768344062.415838,-1.080000
1768344062.418757,-1.080000
1768344062.421674,-1.080000
1768344062.424622,-1.080000
1768344062.427524,-1.080000
1768344062.430385,-1.080000
1768344062.433226,-1.080000
1768344062.435981,-1.080000
1768344062.438861,-1.080000
1768344062.441609,-1.080000
1768344062.444356,-1.080000
1768344062.447167,-1.080000
1768344062.449901,-1.080000
1768344062.452730,-1.080000
1768344062.455511,-1.080000
1768344062.458266,-1.080000
1768344062.461130,-1.080000
1768344062.463989,-1.080000
1768344062.466791,-1.080000
1768344062.469524,-1.080000
1768344062.472259,-1.080000
1768344062.475139,-1.080000
1768344062.477900,-1.080000
1768344062.480711,-1.080000
1768344062.483534,-1.080000
1768344062.486399,-1.080000
1768344062.489243,-1.080000
1768344062.492075,-1.080000
1768344062.494884,-1.080000
1768344062.497821,-1.080000
1768344062.500540,-1.080000
1768344062.503376,-1.080000
1768344062.506210,-1.080000
1768344062.509048,-1.080000
1768344062.511853,-1.080000
1768344062.514604,-1.080000
1768344062.517324,-1.080000
1768344062.520054,-1.080000
1768344062.522867,-1.080000
1768344062.527668,-1.080000
1768344062.530516,-1.080000
1768344062.533885,-1.080000
1768344062.537251,-1.080000
1768344062.540513,-1.080000
1768344062.544005,-1.080000
1768344062.546871,-1.080000
1768344062.549676,-1.080000
1768344062.553355,-1.080000
1768344062.556941,-1.080000
1768344062.559805,-1.080000
1768344062.562521,-1.080000
1768344062.566040,-1.080000
1768344062.568849,-1.080000
1768344062.571687,-1.080000
1768344062.575102,-1.080000
1768344062.577952,-1.080000
1768344062.580831,-1.080000
1768344062.584284,-1.080000
1768344062.587174,-1.080000
1768344062.590062,-1.080000
1768344062.592971,-1.080000
1768344062.595840,-1.080000
1768344062.598656,-1.080000
1768344062.601482,-1.080000
1768344062.604223,-1.080000
1768344062.607054,-1.080000
1768344062.609854,-1.080000
1768344062.612594,-1.080000
1768344062.615405,-1.080000
1768344062.618332,-1.080000
1768344062.621146,-1.080000
1768344062.623950,-1.080000
1768344062.626703,-1.080000
1768344062.629453,-1.080000
1768344062.632267,-1.080000
1768344062.635042,-1.080000
1768344062.637921,-1.080000
1768344062.640706,-1.080000
1768344062.643432,-1.080000
1768344062.646243,-1.060000
1768344062.648996,-1.060000
1768344062.651825,-1.040000
1768344062.654595,-0.720000
1768344062.657324,-0.620000
1768344062.659920,-0.500000
1768344062.662539,-0.400000
1768344062.665301,-0.280000
1768344062.668132,-0.220000
1768344062.670865,-0.160000
1768344062.673503,-0.100000
1768344062.676214,-0.100000
1768344062.678938,-0.060000
1768344062.681643,-0.040000
1768344062.684337,-0.040000
1768344062.689140,-0.020000
1768344062.691491,0.000000
1768344062.693895,0.000000
1768344062.696366,0.000000
1768344062.699020,0.020000
1768344062.702353,-0.020000
1768344062.705503,-0.020000
1768344062.708965,-0.020000
1768344062.711449,0.000000
1768344062.714477,-0.040000
1768344062.717872,-0.020000
1768344062.721060,0.000000
1768344062.723562,0.000000
1768344062.725954,0.000000
1768344062.728287,0.000000
1768344062.730757,0.000000
1768344062.733182,0.000000
1768344062.735571,0.000000
1768344062.737953,0.000000
1768344062.740350,0.000000
1768344062.742875,0.000000
1768344062.745535,-0.020000
1768344062.748109,0.020000
1768344062.750858,-0.020000
1768344062.753310,0.000000
1768344062.756053,-0.220000
1768344062.759008,-0.220000
1768344062.761822,-0.200000
1768344062.764558,-0.200000
1768344062.767345,-0.200000
1768344062.770205,-0.180000
1768344062.773027,-0.180000
1768344062.775859,-0.160000
1768344062.778653,-0.160000
1768344062.781555,-0.160000
1768344062.784351,-0.140000
1768344062.787138,-0.140000
1768344062.790035,-0.140000
1768344062.792875,-0.140000
1768344062.795708,-0.120000
1768344062.798565,-0.120000
1768344062.801315,-0.120000
1768344062.804040,-0.100000
1768344062.806769,-0.100000
1768344062.809401,-0.100000
1768344062.812181,-0.100000
1768344062.814943,-0.100000
1768344062.817592,-0.100000
1768344062.820360,-0.080000
1768344062.823183,-0.080000
1768344062.825978,-0.080000
1768344062.828725,-0.080000
1768344062.831468,-0.080000
1768344062.834278,-0.060000
1768344062.837169,-0.060000
1768344062.840006,-0.060000
1768344062.842736,-0.060000
1768344062.845500,-0.060000
1768344062.848260,-0.060000
1768344062.850940,-0.060000
1768344062.855415,-0.040000
1768344062.858075,-0.040000
1768344062.860768,-0.040000
1768344062.863402,-0.040000
1768344062.866052,-0.040000
1768344062.869205,-0.040000
1768344062.872309,-0.040000
1768344062.875915,-0.040000
1768344062.878601,-0.040000
1768344062.881293,-0.040000
1768344062.884984,-0.040000
1768344062.888375,-0.040000
1768344062.890996,-0.040000
1768344062.893611,-0.040000
1768344062.896268,-0.020000
1768344062.898958,-0.020000
1768344062.901664,-0.020000
1768344062.904385,-0.020000
1768344062.907577,-0.020000
1768344062.910269,-0.020000
1768344062.912948,-0.020000
1768344062.915634,-0.020000
1768344062.918287,-0.020000
1768344062.920907,-0.020000
1768344062.923572,-0.020000
1768344062.926250,-0.020000
1768344062.928964,-0.020000
1768344062.931650,-0.020000
1768344062.934344,-0.020000
1768344062.937038,-0.020000
1768344062.939694,-0.020000
1768344062.942439,-0.020000
1768344062.945147,-0.020000
1768344062.947862,-0.020000
1768344062.950536,-0.020000
1768344062.953214,-0.020000
1768344062.955923,-0.020000
1768344062.958578,-0.020000
1768344062.961280,-0.020000
1768344062.963958,-0.020000
1768344062.966561,-0.020000
1768344062.969277,-0.020000
1768344062.972043,-0.020000
1768344062.974746,-0.020000
1768344062.977498,-0.020000
1768344062.980146,-0.020000
1768344062.982848,-0.020000
1768344062.985530,-0.020000
1768344062.988204,-0.020000
1768344062.990643,0.000000
1768344062.993315,-0.020000
1768344062.996018,-0.020000
1768344062.998680,-0.020000
1768344063.003051,0.000000
1768344063.005709,-0.020000
1768344063.008217,0.000000
1768344063.010849,-0.020000
1768344063.013318,0.000000
1768344063.016270,0.000000
1768344063.019618,-0.020000
1768344063.023063,-0.020000
1768344063.025495,0.000000
1768344063.028154,-0.020000
1768344063.030558,0.000000
1768344063.032990,0.000000
1768344063.036505,-0.020000
1768344063.038906,0.000000
1768344063.041292,0.000000
1768344063.043682,0.000000
1768344063.046112,0.000000
1768344063.048540,0.000000
1768344063.050983,0.000000
1768344063.053410,0.000000
1768344063.055868,0.000000
1768344063.058310,0.000000
1768344063.060690,0.000000
1768344063.063073,0.000000
1768344063.065469,0.000000
1768344063.067837,0.000000
1768344063.070235,0.000000
1768344063.072639,0.000000
1768344063.075141,0.000000
1768344063.077597,0.000000
1768344063.080041,0.000000
1768344063.082465,0.000000
1768344063.084865,0.000000
1768344063.087359,0.000000
1768344063.090210,0.000000
1768344063.092705,0.000000
1768344063.095349,0.000000
1768344063.097722,0.000000
1768344063.100158,0.000000
1768344063.102655,0.000000
1768344063.105128,0.000000
1768344063.107533,0.000000
1768344063.109998,0.000000
1768344063.112411,0.000000
1768344063.114865,0.000000
1768344063.117288,0.000000
1768344063.119846,0.000000
1768344063.122207,0.000000
1768344063.124658,0.000000
1768344063.127060,0.000000
1768344063.129500,0.000000
1768344063.131902,0.000000
1768344063.134302,0.000000
1768344063.136768,0.000000
1768344063.139237,0.000000
1768344063.141613,0.000000
1768344063.143990,0.000000
1768344063.146395,0.000000
1768344063.148848,0.000000
1768344063.151242,0.000000
1768344063.153749,0.000000
1768344063.156182,0.000000
1768344063.158566,0.000000
1768344063.161052,0.000000
1768344063.163458,0.000000
1768344063.165977,0.000000
1768344063.168409,0.000000
1768344063.172597,0.000000
1768344063.175021,0.000000
1768344063.177433,0.000000
1768344063.179870,0.000000
1768344063.182492,0.000000
1768344063.185554,0.000000
1768344063.188509,0.000000
1768344063.191842,0.000000
1768344063.194286,0.000000
1768344063.196776,0.000000
1768344063.199261,0.000000
1768344063.201700,0.000000
1768344063.204940,0.000000
1768344063.207423,0.000000
1768344063.209851,0.000000
1768344063.212338,0.000000
1768344063.214763,0.000000
1768344063.217189,0.000000
1768344063.219541,0.000000
1768344063.221899,0.000000
1768344063.224262,0.000000
1768344063.227069,0.000000
1768344063.229561,0.000000
1768344063.232611,0.000000
1768344063.235031,0.000000
1768344063.237460,0.000000
1768344063.239841,0.000000
1768344063.242296,0.000000
1768344063.244714,0.000000
1768344063.247177,0.000000
1768344063.249610,0.000000
1768344063.252127,0.000000
1768344063.254627,0.000000
1768344063.257093,0.000000
1768344063.259563,0.000000
1768344063.262032,0.000000
1768344063.264462,0.000000
1768344063.266845,0.000000
1768344063.269359,0.000000
1768344063.271741,0.000000
1768344063.274214,0.000000
1768344063.276646,0.000000
1768344063.279075,0.000000
1768344063.281535,0.000000
1768344063.283959,0.000000
1768344063.286417,0.000000
1768344063.288849,0.000000
1768344063.291262,0.000000
1768344063.293617,0.000000
1768344063.295992,0.000000
1768344063.298394,0.000000
1768344063.300846,0.000000
1768344063.303247,0.000000
1768344063.305713,0.000000
1768344063.308158,0.000000
1768344063.310583,0.000000
1768344063.313071,0.000000
1768344063.315468,0.000000
1768344063.317912,0.000000
1768344063.320326,0.000000
1768344063.322859,0.000000
1768344063.325311,0.000000
1768344063.327753,0.000000
1768344063.330354,0.000000
1768344063.332931,0.000000
1768344063.335430,0.000000
1768344063.337920,0.000000
1768344063.340338,0.000000
1768344063.343931,0.000000
1768344063.346366,0.000000
1768344063.348746,0.000000
1768344063.351133,0.000000
1768344063.353857,0.000000
1768344063.356843,0.000000
1768344063.359843,0.000000
1768344063.363160,0.000000
1768344063.365569,0.000000
1768344063.368025,0.000000
1768344063.370469,0.000000
1768344063.372984,0.000000
1768344063.376301,0.000000
1768344063.378697,0.000000
1768344063.381153,0.000000
1768344063.383636,0.000000
1768344063.386076,0.000000
1768344063.388455,0.000000
1768344063.390851,0.000000
1768344063.393292,0.000000
1768344063.395756,0.000000
1768344063.398086,0.000000
1768344063.400505,0.000000
1768344063.402895,0.000000
1768344063.405298,0.000000
1768344063.407712,0.000000
1768344063.410141,0.000000
1768344063.412580,0.000000
1768344063.415034,0.000000
1768344063.417515,0.000000
1768344063.419914,0.000000
1768344063.422329,0.000000
1768344063.424741,0.000000
1768344063.427200,0.000000
1768344063.429610,0.000000
1768344063.432071,0.000000
1768344063.434489,0.000000
1768344063.436857,0.000000
1768344063.439240,0.000000
1768344063.441870,-0.020000
1768344063.444287,0.000000
1768344063.446967,-0.020000
1768344063.449647,-0.020000
1768344063.452408,-0.320000
1768344063.455131,-0.580000
1768344063.457901,-0.640000
1768344063.460602,-0.880000
1768344063.463397,-1.040000
1768344063.466289,-1.200000
1768344063.469086,-1.440000
1768344063.472002,-1.620000
1768344063.474912,-1.780000
1768344063.477852,-1.980000
1768344063.480873,-2.140000
1768344063.483779,-2.300000
1768344063.486561,-2.500000
1768344063.489433,-2.580000
1768344063.492252,-2.720000
1768344063.497131,-2.940000
1768344063.499953,-3.120000
1768344063.503669,-3.340000
1768344063.507281,-3.520000
1768344063.510769,-3.720000
1768344063.514421,-3.940000
1768344063.517193,-4.100000
1768344063.520132,-4.260000
1768344063.523057,-4.440000
1768344063.525925,-4.600000
1768344063.529470,-4.760000
1768344063.532316,-4.920000
1768344063.535054,-5.040000
1768344063.537932,-5.200000
1768344063.540871,-5.360000
1768344063.543646,-5.500000
1768344063.546534,-5.620000
1768344063.550176,-5.740000
1768344063.552982,-5.800000
1768344063.555887,-5.880000
1768344063.558801,-5.940000
1768344063.561524,-6.000000
1768344063.564299,-6.040000
1768344063.567103,-6.040000
1768344063.569884,-6.080000
1768344063.572711,-6.080000
1768344063.575540,-6.040000
1768344063.578403,-6.080000
1768344063.581234,-6.100000
1768344063.583976,-6.060000
1768344063.586796,-6.080000
1768344063.589685,-6.020000
1768344063.592481,-6.020000
1768344063.595295,-6.040000
1768344063.598176,-6.160000
1768344063.601260,-6.300000
1768344063.604382,-6.440000
1768344063.607334,-6.580000
1768344063.610360,-6.720000
1768344063.613407,-6.880000
1768344063.616404,-7.040000
1768344063.619551,-7.160000
1768344063.622490,-7.300000
1768344063.625455,-7.440000
1768344063.628494,-7.580000
1768344063.631473,-7.720000
1768344063.634498,-7.900000
1768344063.637414,-8.020000
1768344063.640387,-8.160000
1768344063.643310,-8.320000
1768344063.646336,-8.460000
1768344063.649299,-8.620000
1768344063.652284,-8.760000
1768344063.655372,-8.900000
1768344063.658286,-9.020000
1768344063.661342,-9.200000
1768344063.664379,-9.320000
1768344063.667430,-9.400000
1768344063.670420,-9.460000
1768344063.673448,-9.560000
1768344063.677693,-9.600000
1768344063.680662,-9.620000
1768344063.683764,-9.640000
1768344063.687781,-9.640000
1768344063.690809,-9.600000
1768344063.694234,-9.560000
1768344063.697994,-9.480000
1768344063.700941,-9.420000
1768344063.703801,-9.320000
1768344063.706660,-9.280000
1768344063.709594,-9.200000
1768344063.712940,-9.140000
1768344063.715784,-9.040000
1768344063.718487,-9.060000
1768344063.721133,-9.000000
1768344063.723851,-9.000000
1768344063.726483,-9.000000
1768344063.729266,-8.940000
1768344063.732404,-8.960000
1768344063.735203,-8.920000
1768344063.737987,-8.880000
1768344063.740823,-8.840000
1768344063.743667,-8.780000
1768344063.746428,-8.540000
1768344063.749201,-8.540000
1768344063.752068,-8.540000
1768344063.754861,-8.540000
1768344063.757678,-8.520000
1768344063.760467,-8.260000
1768344063.763297,-8.240000
1768344063.766069,-8.120000
1768344063.768876,-8.080000
