timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1768344618.899565,0.000223,0.005036,0.587652,0.000309,-0.000126,-0.004735
1768344618.899786,-0.013451,0.019610,-1.044190,-0.000877,0.000755,0.008449
1768344618.915132,-0.007002,0.007957,0.132286,0.000004,0.000075,-0.001132
1768344618.915357,-0.002014,0.019515,1.356151,0.000641,0.000424,-0.011314
1768344618.915443,-0.011451,0.002718,-1.045915,-0.000918,-0.000008,0.008267
1768344618.930347,0.002968,-0.000250,-0.119516,-0.000022,0.000019,0.001054
1768344618.930587,-0.006580,0.006500,1.110907,0.000641,-0.000150,-0.009362
1768344618.930667,-0.010498,0.026938,-0.770393,-0.000559,0.000546,0.006004
1768344618.945944,-0.001675,-0.001472,-0.659291,-0.000469,0.000140,0.005412
1768344618.946162,0.004970,0.002830,0.763084,0.000514,0.000096,-0.006334
1768344618.946244,0.001653,0.005603,0.582573,0.000373,0.000209,-0.004903
1768344618.961144,-0.022700,0.027916,-1.142901,-0.001082,0.000912,0.009126
1768344618.961347,0.001536,-0.004557,0.124647,0.000196,0.000030,-0.000919
1768344618.961426,-0.015612,0.022449,1.275995,0.000571,0.000620,-0.010937
1768344618.977113,-0.002684,0.000863,-1.033451,-0.000799,0.000261,0.008495
1768344618.977297,-0.011551,0.000598,-0.125828,-0.000241,-0.000200,0.001086
1768344618.977368,0.007003,0.004506,1.187303,0.000797,-0.000227,-0.009848
1768344618.993086,0.004423,0.002552,-0.793709,-0.000368,-0.000148,0.006294
1768344618.993319,-0.010096,0.005596,-0.671715,-0.000571,0.000005,0.005546
1768344618.993392,0.000050,0.010670,0.752449,0.000514,0.000272,-0.006375
1768344619.008600,0.009553,-0.003624,0.670478,0.000308,-0.000078,-0.005595
1768344619.008807,-0.028406,0.028701,-1.220245,-0.001177,0.000703,0.009832
1768344619.008883,-0.003957,-0.005932,0.127149,0.000075,-0.000320,-0.000983
1768344619.008945,-0.016242,0.016614,1.251117,0.000737,0.000422,-0.010527
1768344619.024329,-0.022213,0.003855,-1.068791,-0.001006,0.000254,0.008861
1768344619.024528,-0.002717,0.003232,-0.121010,-0.000046,0.000090,0.001062
1768344619.024602,0.007888,-0.006130,1.203299,0.000884,-0.000304,-0.009845
1768344619.040444,0.008991,-0.004279,-0.732415,-0.000354,-0.000245,0.006126
1768344619.040621,-0.006336,-0.001100,-0.660011,-0.000494,-0.000140,0.005506
1768344619.040691,-0.006759,0.030134,0.716911,0.000324,0.000677,-0.006150
1768344619.055936,0.005380,0.002818,0.591884,0.000267,-0.000055,-0.005130
1768344619.056119,-0.020164,0.014348,-1.250380,-0.001089,0.000311,0.010193
1768344619.056191,0.001119,0.002397,0.149504,0.000046,0.000017,-0.001253
1768344619.071849,-0.002118,0.008444,1.247046,0.000606,0.000142,-0.010409
1768344619.072058,-0.009435,-0.001988,-1.086783,-0.001104,0.000203,0.008930
1768344619.072178,-0.007454,0.011359,-0.132620,-0.000280,0.000325,0.001051
1768344619.087303,0.009507,-0.002672,1.224282,0.000779,-0.000343,-0.010077
1768344619.087525,0.017249,-0.033303,-0.639774,-0.000311,-0.000529,0.005877
1768344619.087603,-0.006164,0.007691,-0.661902,-0.000561,0.000196,0.005551
1768344619.101863,-0.011832,0.029132,0.653121,0.000331,0.000858,-0.005628
1768344619.102036,0.006261,-0.010218,0.641667,0.000688,-0.000277,-0.005255
1768344619.102128,-0.010767,0.003726,-1.275875,-0.000919,0.000134,0.010484
1768344619.117861,0.000917,0.010710,0.150178,-0.000072,0.000259,-0.001307
1768344619.118062,0.006670,0.008923,1.241667,0.000685,-0.000269,-0.010269
1768344619.118156,-0.011640,0.007440,-1.088742,-0.000753,0.000366,0.008957
1768344619.133373,-0.003699,-0.000649,-0.137399,-0.000150,0.000147,0.001357
1768344619.133530,0.019807,0.003316,1.290470,0.000866,-0.000351,-0.010753
1768344619.133602,0.008243,-0.029982,-0.608321,-0.000177,-0.000626,0.005326
1768344619.133665,-0.004529,0.007924,-0.658500,-0.000659,0.000064,0.005488
1768344619.149513,-0.009926,0.022740,0.585487,0.000250,0.000684,-0.005055
1768344619.150031,0.013185,0.009539,0.590233,0.000291,-0.000181,-0.005531
1768344619.150138,-0.012588,0.006610,-1.358544,-0.001078,0.000092,0.010550
1768344619.164966,-0.003755,0.004309,-0.010625,-0.000030,0.000230,-0.001544
1768344619.165150,0.004416,0.009576,1.009787,0.000860,-0.000239,-0.010990
1768344619.165240,0.000729,0.007381,-1.487717,-0.000907,0.000583,0.009137
1768344619.180911,-0.000877,0.008543,-0.642389,-0.000259,0.000675,0.001209
1768344619.181112,0.011026,0.006930,0.659276,0.000709,0.000238,-0.010478
1768344619.181187,0.018621,-0.027620,-1.318699,-0.000334,-0.000557,0.005016
1768344619.196611,-0.002637,0.005473,-1.607111,-0.000797,-0.000418,0.005405
1768344619.196811,-0.001926,0.033500,-0.646887,0.000005,-0.000012,-0.004369
1768344619.196892,0.003772,0.019236,-0.611761,0.000147,-0.001691,-0.006003
1768344619.212432,-0.023272,0.018021,-2.796648,-0.001710,-0.001253,0.010464
1768344619.212638,0.001703,0.040759,-1.511432,-0.000721,-0.001161,-0.001480
1768344619.212706,0.014508,0.011934,-0.447580,0.000303,-0.001961,-0.011513
1768344619.228052,-0.008950,0.025535,-3.056422,-0.001370,-0.001112,0.008968
1768344619.228270,0.003766,0.024303,-2.194099,-0.000072,-0.001784,0.001023
1768344619.228365,-0.011203,0.010403,-0.845813,0.001094,-0.002145,-0.010903
1768344619.243117,0.005913,0.036887,-2.780053,0.000009,-0.002115,0.004359
1768344619.243304,-0.021786,0.024508,-2.999002,0.000238,-0.001479,0.005443
1768344619.243382,-0.016302,0.041132,-1.943538,0.000938,-0.000407,-0.003820
1768344619.243447,0.047459,0.005537,-1.571120,0.001535,-0.001620,-0.006956
1768344619.258552,-0.001815,0.002370,-3.687454,0.000047,-0.001133,0.010633
1768344619.258734,-0.006538,0.029386,-2.272303,0.001065,-0.001389,-0.001468
1768344619.258815,-0.004596,0.009677,-1.047360,0.002377,-0.002576,-0.011911
1768344619.274608,-0.029440,0.013372,-3.626341,0.000178,-0.002693,0.009432
1768344619.274786,-0.010167,0.010934,-2.559394,0.000805,-0.002608,0.000877
1768344619.274881,0.010656,0.008961,-1.070538,0.002110,-0.002897,-0.011056
1768344619.290614,-0.004948,-0.013419,-2.887436,0.001037,-0.002854,0.003983
1768344619.290955,-0.026443,0.011685,-3.010670,0.001202,-0.002573,0.005626
1768344619.291060,-0.035245,0.047393,-1.927722,0.001829,-0.001662,-0.003368
1768344619.305821,-0.012755,0.005938,-1.463220,0.002844,-0.003117,-0.006693
1768344619.306007,-0.034168,0.011750,-3.548905,0.000966,-0.003006,0.010373
1768344619.306099,-0.042576,0.014481,-2.128318,0.001927,-0.002863,-0.001490
1768344619.321767,-0.023529,0.015983,-0.790806,0.002739,-0.002645,-0.012561
1768344619.321915,-0.023672,0.020117,-3.431477,0.000542,-0.001945,0.009187
1768344619.321996,-0.005555,-0.005241,-2.263179,0.001902,-0.001069,0.000241
1768344619.336881,-0.002730,0.005945,-0.783129,0.003271,-0.000775,-0.011725
1768344619.337057,-0.005470,-0.025372,-2.540416,0.001958,-0.001507,0.003558
1768344619.337127,-0.009370,-0.015808,-2.699032,0.001823,-0.000426,0.005040
1768344619.351997,-0.022375,0.027138,-1.738245,0.001803,0.000342,-0.002877
1768344619.352188,-0.020115,-0.001517,-1.150891,0.001708,-0.000013,-0.006880
1768344619.352274,-0.009625,0.017260,-3.208693,-0.000485,0.000381,0.010173
1768344619.367575,-0.010789,0.010354,-1.703813,0.000524,0.001285,-0.001703
1768344619.367769,0.019566,-0.001633,-0.348808,0.001574,0.001060,-0.012981
1768344619.367867,-0.024025,0.001262,-2.951692,-0.000676,0.001711,0.009069
1768344619.382531,-0.011474,0.001289,-1.865618,0.000179,0.001353,0.000443
1768344619.382704,-0.006520,-0.004269,-0.448572,0.000970,0.001694,-0.011198
1768344619.382785,-0.003162,-0.008598,-2.112814,-0.001116,0.001687,0.003234
1768344619.382845,-0.013568,0.001636,-2.351245,-0.001865,0.002561,0.005245
1768344619.398219,-0.022282,0.033389,-1.451584,-0.002006,0.003128,-0.002057
1768344619.398359,0.005941,-0.001654,-0.858074,-0.001132,0.002969,-0.006822
1768344619.413707,-0.000882,-0.001726,-2.898812,-0.002932,0.004250,0.010440
1768344619.413869,0.000177,0.011762,-1.440967,-0.001984,0.004845,-0.001232
1768344619.413967,0.006490,-0.013990,-0.046584,-0.001278,0.004625,-0.012625
1768344619.414037,0.017667,0.011157,-2.682806,-0.003874,0.006187,0.009221
1768344619.429530,0.004777,0.006342,-1.624370,-0.003895,0.007191,0.000857
1768344619.429698,0.011408,0.039133,-0.259186,-0.003884,0.007960,-0.010695
1768344619.429785,0.032915,0.012060,-1.884319,-0.005339,0.007944,0.002952
1768344619.445556,0.014820,0.018269,-2.172447,-0.006054,0.008743,0.005372
1768344619.445774,0.017789,0.022437,-1.291244,-0.005994,0.009224,-0.001782
1768344619.445873,0.026641,0.045019,-0.743804,-0.006324,0.009965,-0.006625
1768344619.460984,0.021991,0.014860,-2.778357,-0.008164,0.010127,0.010552
1768344619.461226,0.025131,0.024304,-1.369340,-0.007985,0.010198,-0.001099
1768344619.461354,0.052624,0.024278,0.120721,-0.007435,0.010536,-0.013463
1768344619.477008,0.025400,0.041611,-2.578831,-0.010008,0.010915,0.009101
1768344619.477228,0.001911,0.056277,-1.548993,-0.009837,0.011831,0.001059
1768344619.477337,0.026117,0.074306,-0.093277,-0.009133,0.012481,-0.010349
1768344619.492162,0.039550,0.013947,-1.678466,-0.010637,0.012246,0.003002
1768344619.492392,0.038832,0.041249,-1.945315,-0.011170,0.012804,0.005582
1768344619.492490,0.027982,0.039809,-1.053038,-0.011223,0.013335,-0.001883
1768344619.507657,0.041887,0.045161,-0.506089,-0.011115,0.013473,-0.006123
1768344619.507878,0.039675,0.041322,-2.615953,-0.013026,0.014182,0.010794
1768344619.507985,0.043602,0.046339,-1.192791,-0.012456,0.014713,-0.000957
1768344619.523078,0.051118,0.032946,0.216005,-0.011898,0.015088,-0.012838
1768344619.523236,0.048245,0.038620,-2.456812,-0.014203,0.014874,0.009271
1768344619.523339,0.023850,0.080137,-1.562578,-0.014573,0.016406,0.001882
1768344619.523411,0.047658,0.094778,-0.209966,-0.013785,0.016856,-0.009219
1768344619.538768,0.042088,0.030590,-1.715115,-0.014778,0.015734,0.003194
1768344619.538938,0.030451,0.047478,-1.972062,-0.015138,0.015882,0.006091
1768344619.539024,0.047904,0.054184,-1.083682,-0.014929,0.016004,-0.001190
1768344619.554790,0.068853,0.032155,-0.421932,-0.014585,0.015575,-0.006069
1768344619.555245,0.028261,0.054388,-2.524073,-0.016904,0.016250,0.011317
1768344619.555592,0.032744,0.062131,-1.055720,-0.016071,0.016393,-0.000335
1768344619.570099,0.048426,0.072142,0.429952,-0.015308,0.016645,-0.012438
1768344619.570274,0.033002,0.043339,-2.283009,-0.017327,0.016424,0.010210
1768344619.570362,0.032621,0.086672,-1.457991,-0.016995,0.017038,0.002887
1768344619.585672,0.021052,0.079706,-0.074794,-0.015878,0.017078,-0.008646
1768344619.585817,0.023312,0.053935,-1.558509,-0.017493,0.016591,0.003238
1768344619.585883,0.040570,0.074566,-1.864170,-0.017709,0.016950,0.006390
1768344619.601437,0.043158,0.051269,-0.975187,-0.017246,0.017041,-0.000932
1768344619.601619,0.070204,0.041049,-0.214744,-0.016999,0.016206,-0.006695
1768344619.601709,0.044823,0.055970,-2.458489,-0.018363,0.017064,0.011319
1768344619.616506,0.016208,0.060126,-0.969796,-0.017293,0.016436,-0.000509
1768344619.616669,0.047183,0.081373,0.406921,-0.015996,0.016536,-0.012195
1768344619.616754,0.032844,0.040592,-2.117322,-0.017416,0.016365,0.009464
1768344619.631580,0.000666,0.059890,-1.453243,-0.017324,0.016037,0.003575
1768344619.631757,0.029491,0.080437,-0.038224,-0.016575,0.016396,-0.008039
