timestamp,tension (N)
1768344618.825553,-0.400000
1768344618.828818,-0.400000
1768344618.831941,-0.400000
1768344618.835386,-0.400000
1768344618.838074,-0.400000
1768344618.840889,-0.400000
1768344618.844127,-0.400000
1768344618.847684,-0.400000
1768344618.850345,-0.400000
1768344618.853187,-0.400000
1768344618.856474,-0.400000
1768344618.859193,-0.400000
1768344618.862005,-0.400000
1768344618.865057,-0.400000
1768344618.867743,-0.400000
1768344618.870413,-0.400000
1768344618.873821,-0.400000
1768344618.876436,-0.400000
1768344618.879075,-0.400000
1768344618.881924,-0.400000
1768344618.884652,-0.400000
1768344618.887444,-0.400000
1768344618.890223,-0.400000
1768344618.892975,-0.400000
1768344618.895820,-0.400000
1768344618.898591,-0.400000
1768344618.901230,-0.400000
1768344618.903979,-0.400000
1768344618.906637,-0.400000
1768344618.909276,-0.400000
1768344618.911963,-0.400000
1768344618.914740,-0.400000
1768344618.917405,-0.400000
1768344618.920142,-0.400000
1768344618.922859,-0.400000
1768344618.925634,-0.400000
1768344618.928275,-0.400000
1768344618.930983,-0.400000
1768344618.933607,-0.400000
1768344618.936219,-0.400000
1768344618.938945,-0.400000
1768344618.941577,-0.400000
1768344618.944212,-0.400000
1768344618.946854,-0.400000
1768344618.949474,-0.400000
1768344618.952151,-0.400000
1768344618.954840,-0.400000
1768344618.957498,-0.400000
1768344618.960178,-0.400000
1768344618.962857,-0.400000
1768344618.965539,-0.400000
1768344618.968243,-0.400000
1768344618.970967,-0.400000
1768344618.973696,-0.400000
1768344618.976314,-0.400000
1768344618.979077,-0.400000
1768344618.981791,-0.400000
1768344618.984488,-0.400000
1768344618.987221,-0.400000
1768344618.989919,-0.400000
1768344618.994745,-0.400000
1768344618.997538,-0.400000
1768344619.000228,-0.400000
1768344619.003236,-0.400000
1768344619.006501,-0.400000
1768344619.009909,-0.400000
1768344619.013009,-0.400000
1768344619.015819,-0.400000
1768344619.018549,-0.400000
1768344619.021890,-0.400000
1768344619.025367,-0.400000
1768344619.027986,-0.400000
1768344619.030676,-0.400000
1768344619.034118,-0.400000
1768344619.036841,-0.400000
1768344619.039518,-0.400000
1768344619.042852,-0.400000
1768344619.045569,-0.400000
1768344619.048191,-0.400000
1768344619.051567,-0.400000
1768344619.054262,-0.400000
1768344619.056925,-0.400000
1768344619.059625,-0.400000
1768344619.062361,-0.400000
1768344619.065134,-0.400000
1768344619.067883,-0.400000
1768344619.070547,-0.400000
1768344619.073230,-0.400000
1768344619.075973,-0.400000
1768344619.078749,-0.400000
1768344619.081513,-0.400000
1768344619.084290,-0.400000
1768344619.087034,-0.400000
1768344619.089764,-0.400000
1768344619.092428,-0.400000
1768344619.095189,-0.400000
1768344619.097938,-0.400000
1768344619.100627,-0.400000
1768344619.103377,-0.400000
1768344619.106118,-0.400000
1768344619.108904,-0.400000
1768344619.111617,-0.400000
1768344619.114362,-0.400000
1768344619.117230,-0.420000
1768344619.119883,-0.400000
1768344619.122665,-0.400000
1768344619.125545,-0.420000
1768344619.128358,-0.400000
1768344619.131244,-0.420000
1768344619.134331,-0.420000
1768344619.137132,-0.420000
1768344619.139905,-0.420000
1768344619.142612,-0.440000
1768344619.145483,-0.440000
1768344619.148371,-0.680000
1768344619.151142,-0.720000
1768344619.153787,-0.800000
1768344619.158140,-0.860000
1768344619.160863,-0.920000
1768344619.163687,-0.980000
1768344619.167392,-1.040000
