timestamp,tension (N)
1768344618.793130,-0.700000
1768344618.796024,-0.720000
1768344618.799030,-0.720000
1768344618.802020,-0.720000
1768344618.805009,-0.720000
1768344618.807941,-0.720000
1768344618.810915,-0.720000
1768344618.813779,-0.720000
1768344618.816664,-0.720000
1768344618.819607,-0.720000
1768344618.824885,-0.720000
1768344618.827717,-0.700000
1768344618.830586,-0.720000
1768344618.833694,-0.700000
1768344618.837059,-0.720000
1768344618.840276,-0.700000
1768344618.843684,-0.720000
1768344618.846510,-0.700000
1768344618.849295,-0.720000
1768344618.852689,-0.720000
1768344618.856109,-0.700000
1768344618.858846,-0.700000
1768344618.861680,-0.720000
1768344618.864794,-0.700000
1768344618.867446,-0.700000
1768344618.870082,-0.700000
1768344618.873547,-0.700000
1768344618.876145,-0.700000
1768344618.879007,-0.720000
1768344618.882388,-0.720000
1768344618.885273,-0.720000
1768344618.888154,-0.720000
1768344618.891022,-0.720000
1768344618.893934,-0.720000
1768344618.896703,-0.720000
1768344618.899451,-0.720000
1768344618.902256,-0.720000
1768344618.904981,-0.720000
1768344618.907730,-0.720000
1768344618.910548,-0.720000
1768344618.913338,-0.720000
1768344618.916144,-0.720000
1768344618.918907,-0.720000
1768344618.921676,-0.720000
1768344618.924311,-0.700000
1768344618.927012,-0.720000
1768344618.929714,-0.700000
1768344618.932467,-0.720000
1768344618.935224,-0.700000
1768344618.937843,-0.700000
1768344618.940477,-0.700000
1768344618.943105,-0.700000
1768344618.945744,-0.700000
1768344618.948394,-0.700000
1768344618.951171,-0.720000
1768344618.953822,-0.700000
1768344618.956625,-0.720000
1768344618.959251,-0.700000
1768344618.962135,-0.720000
1768344618.966868,-0.700000
1768344618.969486,-0.700000
1768344618.972126,-0.700000
1768344618.974853,-0.720000
1768344618.977508,-0.700000
1768344618.980609,-0.720000
1768344618.983635,-0.700000
1768344618.987085,-0.720000
1768344618.989834,-0.720000
1768344618.992545,-0.720000
1768344618.995225,-0.720000
1768344618.997967,-0.720000
1768344619.001308,-0.700000
1768344619.004172,-0.720000
1768344619.006904,-0.700000
1768344619.010122,-0.720000
1768344619.012802,-0.700000
1768344619.015608,-0.720000
1768344619.018857,-0.700000
1768344619.021523,-0.700000
1768344619.024440,-0.720000
1768344619.027720,-0.720000
1768344619.030463,-0.720000
1768344619.033237,-0.720000
1768344619.035949,-0.700000
1768344619.038569,-0.700000
1768344619.041286,-0.700000
1768344619.043937,-0.700000
1768344619.046592,-0.700000
1768344619.049242,-0.700000
1768344619.051995,-0.720000
1768344619.054725,-0.720000
1768344619.057472,-0.720000
1768344619.060267,-0.720000
1768344619.063040,-0.720000
1768344619.065948,-0.720000
1768344619.068818,-0.720000
1768344619.071689,-0.720000
1768344619.074430,-0.720000
1768344619.077249,-0.720000
1768344619.080056,-0.720000
1768344619.082862,-0.720000
1768344619.085615,-0.720000
1768344619.088388,-0.720000
1768344619.091235,-0.720000
1768344619.093987,-0.720000
1768344619.096735,-0.720000
1768344619.099649,-0.720000
1768344619.102610,-0.720000
1768344619.105427,-0.720000
1768344619.108165,-0.720000
1768344619.110996,-0.720000
1768344619.113798,-0.720000
1768344619.116585,-0.720000
1768344619.119417,-0.720000
1768344619.122351,-0.720000
1768344619.125336,-0.720000
1768344619.128265,-0.720000
1768344619.130838,-0.700000
1768344619.135024,-0.700000
1768344619.137797,-0.700000
1768344619.140515,-0.700000
1768344619.143812,-0.700000
1768344619.147075,-0.700000
1768344619.150117,-0.700000
1768344619.153416,-0.700000
1768344619.156008,-0.700000
1768344619.158713,-0.700000
1768344619.161306,-0.700000
1768344619.163937,-0.700000
1768344619.167261,-0.700000
1768344619.170054,-0.720000
1768344619.172819,-0.720000
1768344619.176147,-0.720000
1768344619.178823,-1.000000
1768344619.181592,-1.040000
1768344619.185017,-1.060000
1768344619.187958,-1.220000
1768344619.190809,-1.200000
1768344619.194128,-1.220000
1768344619.196963,-1.300000
1768344619.199810,-1.380000
1768344619.202644,-1.400000
1768344619.205488,-1.520000
1768344619.208187,-1.500000
1768344619.211203,-1.640000
1768344619.213992,-1.660000
1768344619.216842,-1.760000
1768344619.219744,-1.760000
1768344619.222677,-1.780000
1768344619.225737,-1.820000
1768344619.228586,-1.900000
1768344619.231458,-1.840000
1768344619.234378,-1.900000
1768344619.237668,-1.880000
1768344619.240564,-1.860000
1768344619.243551,-1.920000
1768344619.246379,-1.780000
1768344619.249181,-1.900000
1768344619.252022,-1.860000
1768344619.255015,-1.800000
1768344619.257915,-1.880000
1768344619.260795,-1.780000
1768344619.263644,-1.800000
1768344619.266624,-1.740000
1768344619.269523,-1.500000
1768344619.272276,-1.500000
1768344619.275399,-1.500000
1768344619.278244,-1.520000
1768344619.281139,-1.520000
1768344619.284000,-1.520000
1768344619.286746,-1.520000
1768344619.289675,-1.520000
1768344619.292542,-1.540000
1768344619.295392,-1.540000
1768344619.300390,-1.540000
1768344619.303310,-1.540000
1768344619.306720,-1.540000
1768344619.310050,-1.540000
1768344619.313320,-1.540000
1768344619.316883,-1.540000
1768344619.319692,-1.540000
1768344619.322589,-1.540000
1768344619.326164,-1.520000
1768344619.329713,-1.520000
1768344619.332612,-1.520000
1768344619.335287,-1.500000
1768344619.338722,-1.500000
1768344619.341454,-1.500000
1768344619.344285,-1.260000
1768344619.347821,-1.220000
1768344619.350663,-1.460000
1768344619.353578,-1.460000
1768344619.356934,-1.180000
1768344619.359864,-1.440000
1768344619.362679,-1.420000
1768344619.365596,-1.120000
1768344619.368487,-1.420000
1768344619.371296,-1.400000
1768344619.374111,-1.400000
1768344619.377137,-1.400000
1768344619.380062,-1.380000
1768344619.383033,-1.140000
1768344619.385941,-1.360000
1768344619.388817,-1.120000
1768344619.391641,-1.080000
1768344619.394526,-1.340000
1768344619.397311,-1.080000
1768344619.400226,-1.320000
1768344619.403154,-1.300000
1768344619.405899,-1.040000
1768344619.408787,-1.280000
1768344619.411442,-1.000000
1768344619.414358,-1.260000
1768344619.417232,-1.260000
1768344619.420036,-1.260000
1768344619.422938,-1.240000
1768344619.425873,-1.240000
1768344619.428662,-1.220000
1768344619.431472,-1.220000
1768344619.434321,-1.220000
1768344619.437235,-1.200000
1768344619.440147,-1.200000
1768344619.443110,-1.200000
1768344619.445991,-1.180000
1768344619.448853,-1.180000
1768344619.451682,-1.180000
1768344619.454542,-1.160000
1768344619.457379,-1.160000
1768344619.460147,-0.920000
1768344619.465376,-1.140000
1768344619.468094,-0.900000
1768344619.471510,-1.120000
1768344619.474868,-1.100000
1768344619.478082,-1.100000
1768344619.481510,-1.080000
1768344619.484318,-1.080000
1768344619.487665,-1.080000
1768344619.491319,-1.060000
1768344619.494241,-1.060000
1768344619.497062,-1.060000
1768344619.500223,-1.040000
1768344619.503036,-1.040000
1768344619.505949,-1.040000
1768344619.509223,-1.020000
1768344619.512030,-1.020000
1768344619.514798,-1.020000
1768344619.518093,-1.000000
1768344619.520789,-1.000000
1768344619.523510,-1.000000
1768344619.526440,-1.000000
1768344619.529315,-0.980000
1768344619.532226,-0.980000
1768344619.535053,-0.960000
1768344619.537965,-0.720000
1768344619.540971,-0.960000
1768344619.543853,-0.940000
1768344619.546696,-0.940000
1768344619.549498,-0.920000
1768344619.552266,-0.920000
1768344619.555345,-0.680000
1768344619.558141,-0.900000
1768344619.560884,-0.900000
1768344619.563848,-0.660000
1768344619.566591,-0.880000
1768344619.569380,-0.880000
1768344619.572377,-0.860000
1768344619.575253,-0.860000
1768344619.578098,-0.840000
1768344619.580804,-0.600000
1768344619.583577,-0.600000
1768344619.586300,-0.820000
1768344619.589242,-0.820000
1768344619.592073,-0.800000
1768344619.594947,-0.560000
1768344619.597848,-0.520000
1768344619.600689,-0.520000
1768344619.603513,-0.520000
1768344619.606326,-0.740000
1768344619.609143,-0.740000
1768344619.611884,-0.720000
1768344619.614606,-0.500000
1768344619.617413,-0.720000
1768344619.620107,-0.700000
1768344619.624234,-0.680000
1768344619.626974,-0.680000
1768344619.629803,-0.440000
1768344619.633384,-0.660000
1768344619.636649,-0.660000
1768344619.639799,-0.420000
1768344619.643261,-0.380000
1768344619.646105,-0.620000
1768344619.648942,-0.340000
1768344619.652286,-0.600000
1768344619.655749,-0.360000
1768344619.658511,-0.580000
1768344619.661318,-0.280000
1768344619.664684,-0.240000
1768344619.667480,-0.540000
1768344619.670275,-0.300000
1768344619.673640,-0.260000
1768344619.676421,-0.260000
1768344619.679313,-0.240000
1768344619.682585,-0.180000
1768344619.685321,-0.180000
1768344619.688034,-0.460000
1768344619.690923,-0.440000
1768344619.693766,-0.440000
1768344619.696778,-0.420000
1768344619.699479,-0.120000
1768344619.702341,-0.420000
1768344619.705073,-0.400000
1768344619.707947,-0.380000
1768344619.710724,-0.380000
1768344619.713563,-0.360000
1768344619.716424,-0.100000
1768344619.719229,-0.360000
1768344619.721955,-0.020000
1768344619.724833,-0.340000
1768344619.727580,-0.080000
1768344619.730428,-0.320000
1768344619.733131,-0.300000
1768344619.735875,-0.020000
1768344619.738654,-0.280000
1768344619.741414,-0.060000
1768344619.744388,-0.280000
1768344619.747304,-0.260000
1768344619.750044,-0.260000
1768344619.752845,-0.240000
1768344619.755553,-0.240000
1768344619.758403,-0.220000
1768344619.761426,-0.220000
1768344619.764052,0.060000
1768344619.766815,-0.200000
1768344619.769506,0.020000
1768344619.772393,-0.180000
1768344619.775145,-0.180000
1768344619.777905,-0.180000
1768344619.780631,-0.160000
1768344619.783450,-0.160000
1768344619.787815,-0.160000
1768344619.790669,-0.140000
1768344619.793550,-0.140000
1768344619.796973,-0.140000
1768344619.800195,-0.120000
1768344619.803448,-0.120000
1768344619.806861,-0.120000
1768344619.809597,-0.100000
1768344619.812746,-0.100000
1768344619.816227,-0.100000
1768344619.818908,-0.100000
1768344619.821580,-0.100000
1768344619.825020,-0.080000
1768344619.827762,-0.080000
1768344619.830417,-0.080000
1768344619.833861,-0.080000
1768344619.836710,-0.080000
1768344619.839547,-0.060000
1768344619.842500,-0.060000
1768344619.845290,-0.060000
1768344619.848019,-0.060000
1768344619.850970,-0.060000
1768344619.853844,-0.060000
1768344619.856480,-0.060000
