timestamp,phase_index,home1,target1_rad,abs_angle1_rad,rel_angle1_rad,velocity1_rad_s,torque1_Nm,home2,target2_rad,abs_angle2_rad,rel_angle2_rad,velocity2_rad_s,torque2_Nm,home3,target3_rad,abs_angle3_rad,rel_angle3_rad,velocity3_rad_s,torque3_Nm,home4,target4_rad,abs_angle4_rad,rel_angle4_rad,velocity4_rad_s,torque4_Nm
1768344619.212845,1.000000,0.406462,-1.164334,0.338941,-0.067521,-0.875715,-0.040467,0.943961,2.514758,0.991646,0.047684,0.879377,-0.000183,-1.175135,0.160041,-1.152628,0.022507,0.887617,-0.000183,-0.690661,-2.025838,-0.690661,0.000000,-0.011444,-0.235294
1768344619.216099,1.000000,0.406462,-1.164334,0.337034,-0.069429,-0.905928,-0.096132,0.943961,2.514758,0.993553,0.049592,0.896773,-0.000183,-1.175135,0.160041,-1.151102,0.024033,0.859236,-0.000183,-0.690661,-2.025838,-0.691043,-0.000381,-0.307164,-0.033509
1768344619.218424,1.000000,0.406462,-1.164334,0.335126,-0.071336,-0.769512,-0.000183,0.943961,2.514758,0.995842,0.051881,0.925154,-0.000183,-1.175135,0.160041,-1.148814,0.026322,0.868391,-0.000183,-0.690661,-2.025838,-0.691806,-0.001144,-0.363012,-0.100160
1768344619.220468,1.000000,0.406462,-1.164334,0.333600,-0.072862,-0.834516,-0.160952,0.943961,2.514758,0.997749,0.053788,0.935225,-0.000183,-1.175135,0.160041,-1.147288,0.027848,0.839094,0.054017,-0.690661,-2.025838,-0.692569,-0.001907,-0.430762,-0.005676
1768344619.222633,1.000000,0.406462,-1.164334,0.331693,-0.074769,-0.824445,-0.214420,0.943961,2.514758,0.999657,0.055695,1.013962,-0.000183,-1.175135,0.160041,-1.145380,0.029755,0.856489,0.108217,-0.690661,-2.025838,-0.693713,-0.003052,-0.460975,-0.113344
1768344619.224681,1.000000,0.406462,-1.164334,0.330549,-0.075914,-0.773175,-0.062806,0.943961,2.514758,1.001564,0.057603,0.992905,0.011170,-1.175135,0.160041,-1.143473,0.031662,0.839094,0.033875,-0.690661,-2.025838,-0.695239,-0.004578,-0.666056,-0.056947
1768344619.226880,1.000000,0.406462,-1.164334,0.328641,-0.077821,-0.756695,-0.118105,0.943961,2.514758,1.003853,0.059892,1.037766,-0.000183,-1.175135,0.160041,-1.141947,0.033188,0.755779,-0.000183,-0.690661,-2.025838,-0.696384,-0.005722,-0.689860,-0.000183
1768344619.228853,1.000000,0.406462,-1.164334,0.327115,-0.079347,-0.752117,-0.033875,0.943961,2.514758,1.005379,0.061418,0.914168,-0.000183,-1.175135,0.160041,-1.140040,0.035096,0.837263,-0.000183,-0.690661,-2.025838,-0.697910,-0.007248,-0.756695,-0.000183
1768344619.230750,1.000000,0.406462,-1.164334,0.325971,-0.080491,-0.817121,-0.120668,0.943961,2.514758,1.007286,0.063325,1.008469,0.070863,-1.175135,0.160041,-1.138514,0.036622,0.815290,0.045594,-0.690661,-2.025838,-0.699435,-0.008774,-0.736553,-0.000183
1768344619.232806,1.000000,0.406462,-1.164334,0.324063,-0.082399,-0.771344,-0.000183,0.943961,2.514758,1.009194,0.065232,0.830854,-0.000183,-1.175135,0.160041,-1.136988,0.038148,0.816205,0.099062,-0.690661,-2.025838,-0.701343,-0.010681,-0.796063,-0.000183
1768344619.234955,1.000000,0.406462,-1.164334,0.322156,-0.084306,-0.856489,-0.010071,0.943961,2.514758,1.011101,0.067140,0.923323,-0.095033,-1.175135,0.160041,-1.135080,0.040055,0.848249,0.095399,-0.690661,-2.025838,-0.702487,-0.011826,-0.772259,-0.000183
1768344619.236802,1.000000,0.406462,-1.164334,0.320630,-0.085832,-0.856489,-0.000183,0.943961,2.514758,1.013008,0.069047,0.887617,0.068299,-1.175135,0.160041,-1.133555,0.041581,0.772259,0.039002,-0.690661,-2.025838,-0.704395,-0.013733,-0.766766,-0.000183
1768344619.238952,1.000000,0.406462,-1.164334,0.318341,-0.088121,-0.930648,-0.042298,0.943961,2.514758,1.014916,0.070954,0.855573,0.099428,-1.175135,0.160041,-1.131647,0.043488,0.802472,0.068666,-0.690661,-2.025838,-0.705539,-0.014878,-0.636759,-0.018860
1768344619.240985,1.000000,0.406462,-1.164334,0.316815,-0.089647,-0.958114,-0.000183,0.943961,2.514758,1.016060,0.072099,0.797894,-0.000183,-1.175135,0.160041,-1.130121,0.045014,0.841840,0.046326,-0.690661,-2.025838,-0.707065,-0.016403,-0.748455,-0.122499
1768344619.242898,1.000000,0.406462,-1.164334,0.314908,-0.091554,-0.934310,-0.044495,0.943961,2.514758,1.017967,0.074006,0.862898,-0.000183,-1.175135,0.160041,-1.128595,0.046540,0.808881,-0.000183,-0.690661,-2.025838,-0.708591,-0.017929,-0.734722,-0.004944
1768344619.244828,1.000000,0.406462,-1.164334,0.313382,-0.093080,-0.879377,-0.000183,0.943961,2.514758,1.019493,0.075532,0.875715,0.193912,-1.175135,0.160041,-1.126688,0.048447,0.850996,0.019226,-0.690661,-2.025838,-0.710498,-0.019837,-0.749371,-0.051087
1768344619.247258,1.000000,0.406462,-1.164334,0.311093,-0.095369,-0.802472,-0.047425,0.943961,2.514758,1.021401,0.077440,0.880293,0.106386,-1.175135,0.160041,-1.124781,0.050355,0.845502,-0.000183,-0.690661,-2.025838,-0.711643,-0.020981,-0.686198,-0.052918
1768344619.249214,1.000000,0.406462,-1.164334,0.309949,-0.096513,-0.753948,-0.038636,0.943961,2.514758,1.022927,0.078965,0.753948,0.133486,-1.175135,0.160041,-1.123255,0.051881,0.766766,0.105287,-0.690661,-2.025838,-0.713550,-0.022889,-0.814374,-0.030579
1768344619.251293,1.000000,0.406462,-1.164334,0.308423,-0.098039,-0.760357,-0.076356,0.943961,2.514758,1.024453,0.080491,0.750286,0.150332,-1.175135,0.160041,-1.121347,0.053788,0.813458,-0.000183,-0.690661,-2.025838,-0.714694,-0.024033,-0.734722,-0.071962
1768344619.253214,1.000000,0.406462,-1.164334,0.306897,-0.099565,-0.743877,-0.000183,0.943961,2.514758,1.025978,0.082017,0.677958,0.144472,-1.175135,0.160041,-1.119821,0.055314,0.805219,0.189883,-0.690661,-2.025838,-0.716602,-0.025940,-0.775921,-0.230167
1768344619.255302,1.000000,0.406462,-1.164334,0.304990,-0.101472,-0.826276,-0.209659,0.943961,2.514758,1.027504,0.083543,0.644999,0.143740,-1.175135,0.160041,-1.117914,0.057221,0.861982,-0.000183,-0.690661,-2.025838,-0.718509,-0.027848,-0.855573,-0.000183
1768344619.257381,1.000000,0.406462,-1.164334,0.303082,-0.103380,-0.882124,-0.004211,0.943961,2.514758,1.029030,0.085069,0.777752,0.068666,-1.175135,0.160041,-1.116007,0.059129,0.861982,0.036805,-0.690661,-2.025838,-0.720035,-0.029374,-0.872053,-0.000183
