timestamp,tension (N)
1768344670.751788,-0.580000
1768344670.755347,-0.580000
1768344670.758152,-0.580000
1768344670.760941,-0.580000
1768344670.764366,-0.580000
1768344670.767138,-0.580000
1768344670.769862,-0.580000
1768344670.772607,-0.580000
1768344670.775318,-0.580000
1768344670.778003,-0.580000
1768344670.780799,-0.580000
1768344670.783916,-0.580000
1768344670.786678,-0.580000
1768344670.789401,-0.580000
1768344670.792165,-0.580000
1768344670.794906,-0.580000
1768344670.797657,-0.580000
1768344670.800434,-0.580000
1768344670.803223,-0.580000
1768344670.805929,-0.580000
1768344670.808601,-0.580000
1768344670.811388,-0.580000
1768344670.814123,-0.580000
1768344670.816863,-0.580000
1768344670.819572,-0.580000
1768344670.822310,-0.580000
1768344670.825084,-0.580000
1768344670.827814,-0.580000
1768344670.830522,-0.580000
1768344670.833200,-0.580000
1768344670.835879,-0.580000
1768344670.838617,-0.580000
1768344670.841351,-0.580000
1768344670.844102,-0.580000
1768344670.846845,-0.580000
1768344670.849745,-0.580000
1768344670.852517,-0.580000
1768344670.855270,-0.580000
1768344670.857971,-0.580000
1768344670.860767,-0.580000
1768344670.863589,-0.580000
1768344670.866319,-0.580000
1768344670.869079,-0.580000
1768344670.871809,-0.580000
1768344670.874519,-0.580000
1768344670.877203,-0.580000
1768344670.879897,-0.580000
1768344670.882671,-0.580000
1768344670.885391,-0.580000
1768344670.888147,-0.580000
1768344670.890877,-0.580000
1768344670.894957,-0.580000
1768344670.897802,-0.580000
1768344670.900505,-0.580000
1768344670.904073,-0.580000
1768344670.907525,-0.580000
1768344670.910658,-0.580000
1768344670.914164,-0.580000
1768344670.916865,-0.580000
1768344670.919513,-0.580000
1768344670.922203,-0.580000
1768344670.924857,-0.580000
1768344670.928543,-0.580000
1768344670.931221,-0.580000
1768344670.933988,-0.580000
1768344670.936713,-0.580000
1768344670.939518,-0.580000
1768344670.942218,-0.580000
1768344670.944931,-0.580000
1768344670.948136,-0.580000
1768344670.950930,-0.580000
1768344670.953671,-0.580000
1768344670.957079,-0.580000
1768344670.959800,-0.580000
1768344670.962459,-0.600000
1768344670.965263,-0.820000
1768344670.968024,-0.920000
1768344670.970705,-1.020000
1768344670.973520,-1.140000
1768344670.976389,-1.220000
1768344670.979281,-1.340000
1768344670.982095,-1.440000
1768344670.984896,-1.580000
1768344670.987665,-1.680000
1768344670.990480,-1.800000
1768344670.993296,-1.900000
1768344670.996127,-2.020000
1768344670.999135,-2.180000
1768344671.001968,-2.340000
1768344671.004841,-2.500000
1768344671.007830,-2.640000
1768344671.010817,-2.820000
1768344671.013834,-2.980000
1768344671.016681,-3.120000
1768344671.019888,-3.280000
1768344671.022748,-3.380000
1768344671.025563,-3.500000
1768344671.028476,-3.540000
1768344671.031400,-3.620000
1768344671.034323,-3.660000
1768344671.037251,-3.700000
1768344671.040232,-3.740000
1768344671.043189,-3.780000
1768344671.046245,-3.800000
1768344671.049062,-3.840000
1768344671.052017,-3.880000
1768344671.054954,-3.880000
1768344671.057862,-3.920000
1768344671.060731,-3.940000
1768344671.063710,-3.940000
1768344671.066594,-3.980000
1768344671.071616,-4.000000
1768344671.074419,-4.020000
1768344671.077106,-4.000000
1768344671.079880,-4.040000
1768344671.082639,-4.020000
1768344671.086204,-4.020000
1768344671.089392,-4.040000
1768344671.093092,-4.040000
1768344671.095818,-4.040000
1768344671.098431,-4.000000
1768344671.101157,-4.040000
1768344671.103729,-4.000000
1768344671.107050,-4.020000
1768344671.109843,-3.980000
1768344671.112536,-4.000000
1768344671.115311,-3.980000
1768344671.117963,-4.000000
1768344671.120617,-4.000000
1768344671.123252,-4.000000
1768344671.126276,-4.000000
1768344671.129065,-4.020000
1768344671.131765,-4.020000
1768344671.134515,-4.040000
1768344671.137244,-4.020000
1768344671.139985,-4.040000
1768344671.142741,-4.080000
1768344671.145540,-4.040000
1768344671.148360,-4.080000
1768344671.151205,-4.040000
1768344671.153940,-4.020000
1768344671.156680,-4.060000
1768344671.159323,-4.000000
1768344671.162025,-4.020000
1768344671.164746,-4.020000
1768344671.167535,-3.760000
1768344671.170144,-4.000000
1768344671.172978,-3.780000
1768344671.175757,-3.800000
1768344671.178576,-3.800000
1768344671.181365,-3.800000
1768344671.184295,-3.800000
1768344671.187171,-3.820000
1768344671.189919,-3.820000
1768344671.192635,-3.820000
1768344671.195406,-3.820000
1768344671.198240,-3.820000
1768344671.201063,-3.840000
1768344671.203923,-3.840000
1768344671.206788,-3.840000
1768344671.209523,-3.840000
1768344671.212353,-3.840000
1768344671.215259,-3.840000
1768344671.218163,-3.840000
1768344671.223115,-3.840000
1768344671.225942,-3.840000
1768344671.228706,-3.840000
1768344671.231559,-3.840000
1768344671.234378,-3.840000
1768344671.237524,-3.840000
1768344671.240712,-3.840000
1768344671.244352,-3.840000
1768344671.247194,-3.840000
1768344671.250035,-3.840000
1768344671.252821,-3.840000
1768344671.255582,-3.840000
1768344671.258915,-3.820000
1768344671.261780,-3.820000
1768344671.264582,-3.820000
1768344671.267318,-3.820000
1768344671.270157,-3.820000
1768344671.272921,-3.800000
1768344671.275691,-3.800000
1768344671.279083,-3.800000
1768344671.281862,-3.780000
1768344671.284615,-3.780000
1768344671.287410,-3.780000
1768344671.290211,-3.780000
1768344671.292971,-3.780000
1768344671.295758,-3.760000
1768344671.298589,-3.760000
1768344671.301317,-3.760000
1768344671.304082,-3.740000
1768344671.306929,-3.740000
1768344671.309676,-3.740000
1768344671.312522,-3.740000
1768344671.315391,-3.740000
1768344671.318242,-3.720000
1768344671.321079,-3.720000
1768344671.323936,-3.720000
1768344671.326741,-3.720000
1768344671.329530,-3.700000
1768344671.332307,-3.700000
1768344671.335083,-3.700000
1768344671.337848,-3.700000
1768344671.340616,-3.700000
1768344671.343401,-3.680000
1768344671.346232,-3.680000
1768344671.349124,-3.680000
1768344671.351879,-3.660000
1768344671.354646,-3.660000
1768344671.357535,-3.660000
1768344671.360379,-3.660000
1768344671.363289,-3.660000
1768344671.366170,-3.640000
1768344671.368956,-3.640000
1768344671.371767,-3.640000
1768344671.374718,-3.640000
1768344671.377622,-3.640000
1768344671.380538,-3.640000
1768344671.383385,-3.640000
1768344671.386313,-3.640000
1768344671.389114,-3.620000
1768344671.391883,-3.620000
1768344671.394668,-3.620000
1768344671.397466,-3.620000
1768344671.402359,-3.620000
1768344671.405195,-3.620000
1768344671.407935,-3.620000
1768344671.410749,-3.620000
1768344671.413521,-3.620000
1768344671.416749,-3.620000
1768344671.419987,-3.640000
1768344671.423719,-3.640000
1768344671.426561,-3.640000
1768344671.429322,-3.640000
1768344671.432095,-3.640000
1768344671.434886,-3.640000
1768344671.438210,-3.640000
1768344671.440992,-3.640000
1768344671.443808,-3.640000
1768344671.446636,-3.640000
1768344671.449409,-3.640000
1768344671.452260,-3.660000
1768344671.455120,-3.660000
1768344671.458315,-3.680000
1768344671.461132,-3.940000
1768344671.463980,-3.980000
1768344671.466819,-3.960000
1768344671.469630,-3.980000
1768344671.472395,-3.980000
1768344671.475192,-3.740000
1768344671.477810,-4.000000
1768344671.480644,-3.980000
1768344671.483529,-3.780000
1768344671.486224,-4.040000
1768344671.488937,-4.040000
1768344671.491626,-4.080000
1768344671.494412,-4.100000
1768344671.497173,-4.100000
1768344671.499973,-4.140000
1768344671.502787,-4.120000
1768344671.505601,-3.880000
1768344671.508337,-4.120000
1768344671.511050,-3.900000
1768344671.513870,-4.140000
1768344671.516657,-4.180000
1768344671.519521,-4.160000
1768344671.522358,-4.160000
1768344671.525206,-4.200000
1768344671.527975,-4.200000
1768344671.530778,-4.260000
1768344671.533518,-4.300000
1768344671.536271,-4.280000
1768344671.539065,-4.340000
1768344671.541890,-4.340000
1768344671.544672,-4.340000
1768344671.547527,-4.380000
1768344671.550328,-4.380000
1768344671.553149,-4.380000
1768344671.557238,-4.380000
1768344671.560059,-4.380000
1768344671.562936,-4.360000
1768344671.566639,-4.140000
1768344671.569984,-4.380000
1768344671.573324,-4.460000
1768344671.576727,-4.560000
1768344671.579525,-4.620000
1768344671.583085,-4.660000
1768344671.586704,-4.640000
1768344671.589517,-4.600000
1768344671.592342,-4.560000
1768344671.595949,-4.580000
1768344671.598751,-4.600000
1768344671.601530,-4.600000
1768344671.604304,-4.620000
1768344671.607088,-4.620000
1768344671.609814,-4.620000
1768344671.612626,-4.680000
1768344671.615922,-4.740000
1768344671.618705,-4.780000
1768344671.621400,-4.800000
1768344671.624309,-4.760000
1768344671.627130,-4.740000
1768344671.629901,-4.700000
1768344671.632719,-4.480000
1768344671.635557,-4.480000
1768344671.638315,-4.500000
1768344671.641012,-4.500000
1768344671.643681,-4.500000
1768344671.646558,-4.520000
1768344671.649449,-4.520000
1768344671.652254,-4.540000
1768344671.655005,-4.540000
1768344671.657793,-4.560000
1768344671.660603,-4.860000
1768344671.663310,-4.800000
1768344671.666101,-4.860000
1768344671.668869,-4.860000
1768344671.671632,-4.600000
1768344671.674402,-4.620000
1768344671.677241,-4.620000
1768344671.680046,-4.640000
1768344671.682822,-4.880000
1768344671.685594,-4.660000
1768344671.688364,-4.660000
1768344671.691170,-4.920000
1768344671.693981,-4.680000
1768344671.696804,-4.920000
1768344671.699639,-4.700000
1768344671.702530,-4.700000
1768344671.705296,-4.720000
1768344671.708107,-4.720000
1768344671.710896,-4.720000
1768344671.713703,-4.720000
1768344671.716533,-4.740000
