timestamp,tension (N)
1768344670.718718,-0.420000
1768344670.721431,-0.420000
1768344670.724198,-0.420000
1768344670.726884,-0.420000
1768344670.729582,-0.420000
1768344670.732300,-0.420000
1768344670.735004,-0.420000
1768344670.739338,-0.420000
1768344670.742239,-0.420000
1768344670.745158,-0.420000
1768344670.748887,-0.420000
1768344670.751925,-0.420000
1768344670.755067,-0.420000
1768344670.758612,-0.420000
1768344670.761361,-0.420000
1768344670.764088,-0.420000
1768344670.766871,-0.420000
1768344670.769577,-0.420000
1768344670.772815,-0.420000
1768344670.775568,-0.420000
1768344670.778274,-0.420000
1768344670.781014,-0.420000
1768344670.783725,-0.420000
1768344670.786661,-0.420000
1768344670.789487,-0.420000
1768344670.792531,-0.420000
1768344670.795426,-0.420000
1768344670.798227,-0.420000
1768344670.801569,-0.420000
1768344670.804417,-0.420000
1768344670.807223,-0.420000
1768344670.810115,-0.420000
1768344670.812879,-0.420000
1768344670.815696,-0.420000
1768344670.818510,-0.420000
1768344670.821239,-0.440000
1768344670.823941,-0.420000
1768344670.826669,-0.420000
1768344670.829470,-0.420000
1768344670.832226,-0.440000
1768344670.834941,-0.440000
1768344670.837679,-0.440000
1768344670.840437,-0.440000
1768344670.843237,-0.440000
1768344670.846189,-0.440000
1768344670.849026,-0.440000
1768344670.851851,-0.420000
1768344670.854601,-0.420000
1768344670.857382,-0.420000
1768344670.860123,-0.420000
1768344670.862900,-0.420000
1768344670.865709,-0.420000
1768344670.868486,-0.420000
1768344670.871289,-0.420000
1768344670.873996,-0.420000
1768344670.876829,-0.420000
1768344670.879529,-0.420000
1768344670.882243,-0.420000
1768344670.884991,-0.420000
1768344670.887889,-0.420000
1768344670.890701,-0.420000
1768344670.895604,-0.420000
1768344670.898316,-0.420000
1768344670.900993,-0.420000
1768344670.903977,-0.420000
1768344670.906738,-0.420000
1768344670.909589,-0.420000
1768344670.912872,-0.420000
1768344670.916311,-0.420000
1768344670.919014,-0.420000
1768344670.921682,-0.420000
1768344670.924369,-0.420000
1768344670.927241,-0.420000
1768344670.930637,-0.420000
1768344670.933445,-0.420000
1768344670.936172,-0.420000
1768344670.939698,-0.420000
1768344670.942387,-0.420000
1768344670.945302,-0.420000
1768344670.948730,-0.420000
1768344670.951537,-0.420000
1768344670.954354,-0.420000
1768344670.957833,-0.420000
1768344670.960582,-0.420000
1768344670.963312,-0.420000
1768344670.966091,-0.420000
1768344670.968795,-0.420000
1768344670.971627,-0.420000
1768344670.974386,-0.420000
1768344670.977236,-0.420000
1768344670.979969,-0.420000
1768344670.982706,-0.420000
