timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1768344281.160711,-0.008753,0.000286,-1.887532,-0.001320,0.000055,0.015924
1768344281.176203,-0.010016,0.001325,-0.833547,-0.000592,0.000266,0.007077
1768344281.176428,-0.028073,0.042835,0.646266,0.000127,0.001231,-0.005680
1768344281.176507,0.005451,-0.020107,-1.501770,-0.001173,-0.000265,0.012714
1768344281.191262,-0.015742,0.011219,-1.349611,-0.001079,0.000320,0.011340
1768344281.191689,-0.008155,0.006021,-0.092604,-0.000065,0.000167,0.000993
1768344281.191935,-0.009016,0.004375,-0.242576,-0.000543,-0.000105,0.001998
1768344281.192131,-0.014462,0.002784,-1.692657,-0.001153,0.000310,0.014175
1768344281.206831,-0.017268,0.018627,-0.589717,-0.000685,0.000394,0.005013
1768344281.207026,0.002583,-0.003422,0.624762,0.000437,-0.000174,-0.005002
1768344281.207095,0.001150,-0.016884,-1.858995,-0.001207,-0.000241,0.015575
1768344281.222738,-0.013262,0.008667,-0.830846,-0.000635,0.000324,0.007115
1768344281.222922,-0.026442,0.033753,0.527767,0.000097,0.000763,-0.004592
1768344281.222992,0.002824,-0.019061,-1.391806,-0.000888,0.000071,0.011947
1768344281.238789,-0.014043,0.003086,-1.349538,-0.000921,0.000293,0.011375
1768344281.238991,0.002131,-0.000796,-0.063404,0.000216,0.000177,0.000758
1768344281.239078,0.003710,0.004839,-0.160211,0.000193,0.000588,0.001271
1768344281.254425,-0.008752,-0.001675,-1.694629,-0.001106,0.000211,0.014172
1768344281.254776,-0.010487,0.005244,-0.574893,-0.000383,0.000155,0.004881
1768344281.254894,0.001212,0.019162,0.665477,0.000403,0.000349,-0.005563
1768344281.270320,-0.001318,-0.010675,-1.848208,-0.001274,-0.000155,0.015479
1768344281.270497,-0.000968,-0.011690,-0.844104,-0.000424,0.000028,0.007244
1768344281.270566,-0.014466,0.029231,0.469164,0.000196,0.000822,-0.004027
1768344281.286324,-0.001169,0.006754,-1.426038,-0.001199,0.000421,0.011799
1768344281.286532,-0.014693,0.011001,-1.375320,-0.001026,0.000540,0.011551
1768344281.286624,-0.007934,0.001584,-0.051826,-0.000035,-0.000056,0.000714
1768344281.301846,0.005709,0.002148,-0.177315,-0.000059,0.000240,0.001869
1768344281.302068,-0.014450,0.003282,-1.690545,-0.001160,0.000294,0.014198
1768344281.302158,-0.010130,0.008399,-0.546104,-0.000370,0.000337,0.004769
1768344281.302227,0.011658,-0.007757,0.705097,0.000772,0.000056,-0.005532
1768344281.317431,-0.002539,-0.013456,-1.758736,-0.001018,-0.000227,0.014851
1768344281.317629,-0.005969,0.002571,-0.845704,-0.000473,0.000346,0.007229
1768344281.317711,-0.019860,0.020125,0.433704,0.000248,0.000347,-0.003703
1768344281.333405,-0.010066,0.007760,-1.498968,-0.001041,0.000465,0.012433
1768344281.333588,-0.009268,0.005275,-1.358857,-0.000885,0.000408,0.011505
1768344281.333657,-0.009380,0.006800,-0.046976,-0.000149,0.000227,0.000647
1768344281.348967,0.000598,0.003864,-0.119404,-0.000147,0.000151,0.000903
1768344281.349163,-0.012516,0.009390,-1.690674,-0.001146,0.000483,0.014143
1768344281.349232,-0.011818,0.011867,-0.576993,-0.000451,0.000314,0.004868
1768344281.364913,-0.006046,0.008512,0.661450,0.000357,0.000206,-0.005539
1768344281.365122,-0.004645,-0.008632,-1.706403,-0.001017,0.000092,0.014447
1768344281.365216,-0.002692,-0.000158,-0.823116,-0.000508,0.000259,0.007074
1768344281.380955,-0.003791,-0.001616,0.444118,0.000400,-0.000196,-0.003514
1768344281.381202,-0.010864,0.007351,-1.549049,-0.001394,0.000516,0.012684
1768344281.381342,-0.008919,0.003496,-1.376038,-0.000957,0.000350,0.011495
1768344281.397106,0.001799,-0.002833,0.008029,0.000119,0.000139,0.000187
1768344281.397321,0.011723,-0.010218,-0.119375,0.000099,-0.000096,0.001507
1768344281.397419,-0.017368,0.027939,-1.746623,-0.001258,0.000995,0.014502
1768344281.397506,-0.016132,0.010789,-0.546708,-0.000352,0.000317,0.004909
1768344281.412164,-0.004795,-0.012030,0.657871,0.000649,0.000268,-0.005343
1768344281.412438,-0.010678,0.002000,-1.717592,-0.001322,0.000405,0.014288
1768344281.412599,-0.015254,0.009359,-0.842780,-0.000591,0.000322,0.007083
1768344281.428251,-0.006781,0.017485,0.496777,0.000230,0.000182,-0.004048
1768344281.428438,-0.017894,0.017841,-1.528882,-0.001041,0.000150,0.012600
1768344281.428508,-0.001154,0.006143,-1.354733,-0.000819,0.000412,0.011464
1768344281.444192,-0.000370,-0.010861,0.004947,0.000176,0.000358,-0.000043
1768344281.444366,-0.002502,0.008439,-0.138029,-0.000023,0.000101,0.001081
1768344281.444441,-0.034824,0.027814,-1.888132,-0.001630,0.001002,0.015442
1768344281.459671,0.000106,0.017709,-0.576922,-0.000696,0.000316,0.005011
1768344281.460208,-0.017852,0.018794,0.569350,0.000159,0.000614,-0.005011
1768344281.460457,-0.009192,-0.002470,-1.851774,-0.001234,0.000911,0.014388
1768344281.475675,-0.007853,0.019326,-1.046209,-0.000621,0.000265,0.006953
1768344281.476634,-0.002483,-0.013447,0.145362,0.000333,-0.000043,-0.003886
1768344281.477135,-0.003598,0.009470,-1.948414,-0.001374,0.000172,0.012692
1768344281.491165,-0.003692,0.009443,-1.879630,-0.001472,0.000409,0.011486
1768344281.491471,-0.000278,0.024975,-0.605933,-0.000417,0.000797,-0.000253
1768344281.491576,-0.005394,0.025542,-0.858164,-0.000119,0.000302,0.001337
1768344281.491658,-0.022575,0.009155,-2.783614,-0.001075,0.000825,0.016039
1768344281.506594,0.011371,0.011117,-1.483157,0.000323,0.000453,0.004497
1768344281.506777,-0.015304,0.008564,-0.544416,0.001111,0.000489,-0.004319
1768344281.506850,-0.000780,0.025662,-2.941031,-0.000342,0.001404,0.014427
1768344281.522749,-0.005387,0.020217,-2.089497,0.000341,0.000562,0.007035
1768344281.522975,0.011515,0.012996,-0.726681,0.001350,0.000610,-0.004693
1768344281.523071,0.018322,-0.013260,-2.770021,0.000278,0.000213,0.012161
1768344281.538606,0.001416,-0.001200,-2.661367,0.000255,0.000572,0.011488
1768344281.538851,-0.007089,0.025162,-1.378893,0.001036,0.001103,0.000317
1768344281.538926,0.005251,0.022981,-1.484858,0.000920,0.000292,0.001136
1768344281.554152,-0.012279,0.007518,-3.308029,-0.000260,0.000715,0.016393
1768344281.554346,-0.001472,0.012516,-1.868311,0.000635,0.000420,0.004658
1768344281.554416,0.017195,0.004251,-0.722875,0.001677,0.000255,-0.004705
1768344281.570119,0.011019,-0.008390,-3.083527,0.000233,0.000611,0.015056
1768344281.570262,-0.008570,0.002927,-2.096922,0.001079,0.000565,0.007098
1768344281.570329,0.005602,-0.020544,-0.658175,0.002559,-0.000144,-0.004314
1768344281.586158,0.024694,-0.028795,-2.500873,0.001780,0.000165,0.011479
1768344281.586300,-0.004285,-0.018084,-2.518482,0.002065,0.000520,0.011486
1768344281.586374,0.000283,-0.004916,-1.267949,0.002929,0.001252,0.000606
1768344281.601893,0.006088,0.003035,-1.188777,0.002617,0.000357,-0.000085
1768344281.602041,-0.015676,-0.016083,-3.185261,0.001407,0.000553,0.016518
1768344281.602114,0.004179,-0.007896,-1.717284,0.002612,0.000436,0.004524
1768344281.602175,0.008516,-0.041747,-0.562596,0.003680,-0.000145,-0.005033
1768344281.617904,-0.007364,-0.031979,-2.957869,0.001749,0.000423,0.014985
1768344281.618053,-0.001951,-0.015090,-1.955395,0.002126,0.000484,0.006833
1768344281.618132,0.014848,-0.012080,-0.504056,0.002883,0.000718,-0.005259
1768344281.633999,0.007693,-0.033173,-2.419392,0.001157,-0.000215,0.010672
1768344281.634144,0.007488,-0.007399,-2.458676,0.000306,0.000428,0.011250
1768344281.634210,-0.021911,0.054046,-1.275649,0.000150,0.001651,0.001179
1768344281.649415,0.015108,-0.008703,-0.967936,0.000653,-0.000453,-0.000747
1768344281.649558,-0.008895,-0.029389,-2.994552,-0.000697,0.000400,0.016362
1768344281.649643,0.008181,0.003348,-1.552788,0.000031,0.000440,0.004335
1768344281.665056,0.010529,-0.032386,-0.335897,0.000894,-0.000260,-0.005617
1768344281.665204,-0.001966,-0.005476,-2.878293,-0.001656,0.000322,0.015439
1768344281.665278,0.000258,0.000738,-1.882861,-0.001472,0.000024,0.006803
1768344281.680687,-0.008046,-0.002358,-0.461949,-0.000861,0.000154,-0.004865
1768344281.680844,0.021160,-0.016169,-2.289867,-0.002140,-0.000160,0.010436
1768344281.680911,-0.001352,-0.013844,-2.363935,-0.002642,0.000207,0.011478
1768344281.696619,-0.029467,0.023056,-1.374477,-0.002506,0.000905,0.002969
1768344281.696754,0.020810,-0.013956,-0.830933,-0.002070,-0.000380,-0.000531
1768344281.696836,-0.000286,-0.002763,-2.951306,-0.004087,0.000252,0.016618
1768344281.712701,-0.018447,0.017863,-1.525149,-0.003782,0.000550,0.004936
1768344281.712841,0.002716,0.002568,-0.200407,-0.003484,-0.000133,-0.006249
1768344281.712911,0.005340,0.021070,-2.864546,-0.005998,0.000362,0.015489
1768344281.712978,-0.004578,0.004036,-1.844856,-0.005885,0.000497,0.007246
1768344281.728774,0.011632,0.018930,-0.421415,-0.005437,0.000694,-0.004700
1768344281.728919,0.019426,-0.014835,-2.136220,-0.007402,-0.000170,0.009931
1768344281.728987,0.004623,0.029152,-2.356151,-0.008658,0.000450,0.011708
1768344281.744287,-0.032972,0.057829,-1.436004,-0.008887,0.000807,0.003599
1768344281.744445,-0.008801,0.054876,-0.860431,-0.008858,0.000582,-0.001280
1768344281.744585,0.001042,0.022835,-2.989988,-0.010731,0.000444,0.016574
1768344281.759742,-0.005498,0.041644,-1.576326,-0.010247,0.000374,0.005251
1768344281.759895,0.008479,0.005357,-0.117996,-0.009030,-0.000394,-0.006644
1768344281.759982,0.006249,0.032613,-2.767918,-0.011523,0.000247,0.015710
1768344281.775744,0.008108,0.040191,-1.689565,-0.011091,0.000390,0.006825
1768344281.775899,-0.006785,0.034376,-0.310808,-0.010730,0.000331,-0.004918
1768344281.775978,0.016649,0.004985,-1.907100,-0.012169,-0.000081,0.008719
1768344281.791156,0.008320,0.031451,-2.224603,-0.012946,0.000010,0.011550
1768344281.791307,-0.022032,0.044425,-1.326713,-0.012938,0.000414,0.004220
1768344281.791390,0.002401,0.081907,-0.701555,-0.012993,0.000208,-0.001000
1768344281.806630,-0.023167,0.024537,-2.766030,-0.014779,0.000076,0.016426
1768344281.806767,-0.005614,0.048276,-1.326878,-0.014562,-0.000088,0.005063
1768344281.806847,0.019294,0.014476,0.199117,-0.014026,-0.000333,-0.007162
