timestamp,phase_index,home1,target1_rad,abs_angle1_rad,rel_angle1_rad,velocity1_rad_s,torque1_Nm,home2,target2_rad,abs_angle2_rad,rel_angle2_rad,velocity2_rad_s,torque2_Nm,home3,target3_rad,abs_angle3_rad,rel_angle3_rad,velocity3_rad_s,torque3_Nm,home4,target4_rad,abs_angle4_rad,rel_angle4_rad,velocity4_rad_s,torque4_Nm
1768344281.491863,1.000000,0.695239,0.695239,0.694858,-0.000381,0.015106,0.097597,0.944343,2.515139,0.987831,0.043488,0.819867,0.061341,-0.868048,-0.868048,-0.868048,0.000000,0.016022,-0.000183,-0.689899,-2.025075,-0.691043,-0.001144,-0.307164,-0.247013
1768344281.495260,1.000000,0.695239,0.695239,0.694858,-0.000381,-0.102998,-0.000183,0.944343,2.515139,0.989738,0.045396,0.995651,0.001648,-0.868048,-0.868048,-0.868048,0.000000,0.007782,-0.000183,-0.689899,-2.025075,-0.692187,-0.002289,-0.437171,-0.168276
1768344281.497303,1.000000,0.695239,0.695239,0.694858,-0.000381,0.031586,-0.000183,0.944343,2.515139,0.991646,0.047303,0.901350,-0.000183,-0.868048,-0.868048,-0.868048,0.000000,0.016938,-0.000183,-0.689899,-2.025075,-0.692950,-0.003052,-0.473793,-0.080751
1768344281.499399,1.000000,0.695239,0.695239,0.694858,-0.000381,0.057221,-0.000183,0.944343,2.515139,0.993172,0.048829,0.787823,-0.000183,-0.868048,-0.868048,-0.868429,-0.000381,0.002289,-0.000183,-0.689899,-2.025075,-0.694095,-0.004196,-0.500343,-0.082582
1768344281.501669,1.000000,0.695239,0.695239,0.694858,-0.000381,-0.002289,-0.000183,0.944343,2.515139,0.995079,0.050736,0.753033,0.043397,-0.868048,-0.868048,-0.868048,0.000000,0.005951,-0.000183,-0.689899,-2.025075,-0.695239,-0.005341,-0.687114,-0.037171
1768344281.503705,1.000000,0.695239,0.695239,0.694858,-0.000381,-0.074617,-0.000183,0.944343,2.515139,0.996605,0.052262,0.763104,0.039734,-0.868048,-0.868048,-0.868048,0.000000,-0.048066,-0.000183,-0.689899,-2.025075,-0.696765,-0.006867,-0.813458,-0.026184
1768344281.505712,1.000000,0.695239,0.695239,0.694858,-0.000381,-0.037995,-0.000183,0.944343,2.515139,0.998512,0.054170,0.887617,0.066835,-0.868048,-0.868048,-0.868048,0.000000,-0.002289,-0.000183,-0.689899,-2.025075,-0.698672,-0.008774,-0.771344,-0.033509
1768344281.507857,1.000000,0.695239,0.695239,0.694858,-0.000381,-0.020600,-0.000183,0.944343,2.515139,1.000038,0.055695,0.753948,-0.000183,-0.868048,-0.868048,-0.868048,0.000000,-0.048981,-0.000183,-0.689899,-2.025075,-0.700198,-0.010300,-0.825360,-0.074159
1768344281.509952,1.000000,0.695239,0.695239,0.694858,-0.000381,0.030671,-0.000183,0.944343,2.515139,1.001946,0.057603,0.887617,0.014466,-0.868048,-0.868048,-0.868048,0.000000,0.024262,-0.000183,-0.689899,-2.025075,-0.702106,-0.012207,-0.843671,-0.000183
1768344281.512067,1.000000,0.695239,0.695239,0.695239,0.000000,0.056306,-0.000183,0.944343,2.515139,1.003853,0.059510,0.823529,-0.000183,-0.868048,-0.868048,-0.868048,0.000000,0.020600,-0.000183,-0.689899,-2.025075,-0.703632,-0.013733,-0.713664,-0.113344
