timestamp,tension (N)
1768344340.495473,-0.860000
1768344340.498300,-0.860000
1768344340.501253,-0.860000
1768344340.504125,-0.860000
1768344340.507055,-0.860000
1768344340.509932,-0.860000
1768344340.512787,-0.860000
1768344340.515672,-0.860000
1768344340.520100,-0.860000
1768344340.523002,-0.860000
1768344340.525908,-0.860000
1768344340.529345,-0.860000
1768344340.532498,-0.860000
1768344340.535867,-0.860000
1768344340.539283,-0.860000
1768344340.542105,-0.860000
1768344340.545027,-0.860000
1768344340.548497,-0.860000
1768344340.551909,-0.860000
1768344340.554820,-0.860000
1768344340.557715,-0.860000
1768344340.561090,-0.860000
1768344340.563999,-0.860000
1768344340.566852,-0.860000
1768344340.570046,-0.860000
1768344340.572938,-0.860000
1768344340.575752,-0.860000
1768344340.578977,-0.860000
1768344340.581760,-0.860000
1768344340.584705,-0.860000
1768344340.587562,-0.860000
1768344340.590418,-0.860000
1768344340.593196,-0.860000
1768344340.596127,-0.860000
1768344340.598960,-0.860000
1768344340.601770,-0.860000
1768344340.604605,-0.860000
1768344340.607505,-0.860000
1768344340.610353,-0.860000
1768344340.613248,-0.860000
1768344340.616137,-0.860000
1768344340.619088,-0.860000
1768344340.622055,-0.860000
1768344340.624894,-0.860000
1768344340.627773,-0.860000
1768344340.630567,-0.860000
1768344340.633281,-0.860000
1768344340.636161,-0.860000
1768344340.639121,-0.860000
1768344340.641980,-0.860000
1768344340.644894,-0.860000
1768344340.647767,-0.860000
1768344340.650663,-0.860000
1768344340.653558,-0.860000
1768344340.656468,-0.860000
1768344340.659278,-0.860000
1768344340.662199,-0.860000
1768344340.665150,-0.860000
1768344340.668058,-0.860000
1768344340.670939,-0.860000
1768344340.673743,-0.860000
1768344340.676709,-0.860000
1768344340.679609,-0.860000
1768344340.684798,-0.860000
1768344340.687649,-0.860000
1768344340.690431,-0.860000
1768344340.693888,-0.860000
1768344340.697164,-0.860000
1768344340.700471,-0.860000
1768344340.703893,-0.860000
1768344340.706654,-0.860000
1768344340.709408,-0.860000
1768344340.713130,-0.860000
1768344340.716632,-0.860000
1768344340.719378,-0.860000
1768344340.722296,-0.860000
1768344340.725660,-0.860000
1768344340.728497,-0.860000
1768344340.731308,-0.860000
1768344340.734670,-0.860000
1768344340.737408,-0.860000
1768344340.740252,-0.860000
1768344340.743571,-0.860000
1768344340.746464,-0.860000
1768344340.749235,-0.860000
1768344340.752109,-0.860000
1768344340.754971,-0.860000
1768344340.757713,-0.860000
1768344340.760596,-0.860000
1768344340.763453,-0.860000
1768344340.766276,-0.860000
1768344340.769123,-0.860000
1768344340.771942,-0.860000
1768344340.774666,-0.860000
1768344340.777483,-0.860000
1768344340.780279,-0.860000
1768344340.782968,-0.860000
1768344340.785712,-0.860000
1768344340.788592,-0.860000
1768344340.791421,-0.860000
1768344340.794272,-0.860000
1768344340.797020,-0.860000
1768344340.799731,-0.860000
1768344340.802559,-0.860000
1768344340.805262,-0.860000
1768344340.808033,-0.860000
1768344340.810774,-0.860000
1768344340.813465,-0.860000
1768344340.816211,-0.860000
1768344340.818938,-0.860000
1768344340.821790,-0.860000
1768344340.824767,-0.860000
1768344340.827574,-0.860000
1768344340.832397,-0.860000
1768344340.835147,-0.860000
1768344340.837858,-0.860000
1768344340.840580,-0.860000
1768344340.843402,-0.860000
1768344340.846384,-0.860000
1768344340.849614,-0.860000
1768344340.853070,-0.860000
1768344340.855824,-0.860000
1768344340.858631,-0.860000
1768344340.862237,-0.860000
1768344340.865904,-0.860000
