timestamp,tension (N)
1768344340.752246,-0.720000
1768344340.754947,-0.720000
1768344340.757721,-0.720000
1768344340.760619,-0.720000
1768344340.763407,-0.720000
1768344340.766243,-0.720000
1768344340.768965,-0.720000
1768344340.771702,-0.720000
1768344340.774413,-0.720000
1768344340.777180,-0.720000
1768344340.779959,-0.720000
1768344340.782643,-0.720000
1768344340.785354,-0.720000
1768344340.788318,-0.720000
1768344340.791116,-0.720000
1768344340.793846,-0.720000
1768344340.796564,-0.720000
1768344340.799357,-0.720000
1768344340.802074,-0.720000
1768344340.804817,-0.720000
1768344340.807518,-0.720000
1768344340.810227,-0.720000
1768344340.812934,-0.720000
1768344340.815633,-0.720000
1768344340.818383,-0.720000
1768344340.822369,-0.720000
1768344340.825122,-0.720000
1768344340.827879,-0.720000
1768344340.830570,-0.720000
1768344340.833403,-0.720000
1768344340.836522,-0.720000
1768344340.839749,-0.720000
1768344340.843212,-0.720000
1768344340.845942,-0.720000
1768344340.848658,-0.720000
1768344340.851386,-0.720000
1768344340.854231,-0.720000
1768344340.857519,-0.720000
1768344340.860237,-0.720000
1768344340.863018,-0.720000
1768344340.865811,-0.720000
1768344340.868603,-0.720000
1768344340.871361,-0.720000
1768344340.874171,-0.720000
1768344340.877193,-0.720000
1768344340.879868,-0.720000
1768344340.882741,-0.720000
1768344340.885436,-0.720000
1768344340.888139,-0.720000
1768344340.890902,-0.720000
1768344340.893586,-0.720000
1768344340.896381,-0.720000
1768344340.899140,-0.720000
1768344340.901872,-0.720000
1768344340.904593,-0.720000
1768344340.907373,-0.720000
1768344340.910114,-0.720000
1768344340.912912,-0.720000
1768344340.915599,-0.720000
1768344340.918322,-0.720000
1768344340.921017,-0.720000
1768344340.923752,-0.720000
1768344340.926524,-0.720000
1768344340.929242,-0.720000
1768344340.931941,-0.720000
1768344340.934711,-0.720000
1768344340.937425,-0.720000
1768344340.940097,-0.720000
1768344340.942890,-0.720000
1768344340.945527,-0.700000
1768344340.948215,-0.720000
1768344340.950994,-0.720000
1768344340.953667,-0.720000
1768344340.956370,-0.720000
1768344340.959086,-0.700000
1768344340.961694,-0.700000
1768344340.964324,-0.700000
1768344340.967066,-0.700000
1768344340.969777,-0.700000
1768344340.972423,-0.700000
1768344340.975146,-0.700000
1768344340.977744,-0.700000
1768344340.980556,-0.700000
1768344340.983265,-0.700000
1768344340.985863,-0.700000
1768344340.988533,-0.700000
1768344340.991234,-0.700000
1768344340.993921,-0.700000
1768344340.996599,-0.700000
1768344341.001206,-0.700000
1768344341.003816,-0.700000
1768344341.006445,-0.700000
1768344341.009015,-0.700000
1768344341.011654,-0.700000
1768344341.014948,-0.700000
1768344341.018136,-0.720000
1768344341.021631,-0.980000
1768344341.024333,-1.060000
1768344341.027159,-1.160000
1768344341.029918,-1.260000
1768344341.032766,-1.380000
1768344341.035980,-1.500000
1768344341.038737,-1.640000
1768344341.041541,-1.740000
1768344341.044393,-1.860000
1768344341.047129,-2.000000
1768344341.049926,-2.120000
1768344341.052773,-2.240000
1768344341.055681,-2.400000
1768344341.058560,-2.540000
1768344341.061400,-2.660000
1768344341.064289,-2.840000
1768344341.067635,-3.020000
1768344341.070459,-3.120000
1768344341.073379,-3.260000
1768344341.076365,-3.380000
1768344341.079302,-3.460000
1768344341.082098,-3.500000
1768344341.084984,-3.540000
1768344341.088008,-3.600000
1768344341.091114,-3.620000
1768344341.094053,-3.640000
