timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1765917534.147396,0.003491,-0.000224,0.008550,0.000041,-0.000034,-0.000042
1765917534.163509,0.002355,0.002652,0.037080,0.000034,-0.000047,-0.000223
1765917534.163725,0.003458,0.001933,-0.004286,0.000041,-0.000004,0.000106
1765917534.178832,0.001016,0.002518,-0.015261,0.000035,0.000005,0.000165
1765917534.179016,0.002720,0.001485,0.037124,0.000037,0.000001,-0.000230
1765917534.179093,0.003510,0.001756,0.010611,0.000062,-0.000017,-0.000018
1765917534.194376,0.001840,0.003597,-0.021297,0.000048,-0.000015,0.000265
1765917534.194593,0.003546,0.002603,0.028343,0.000070,-0.000007,-0.000112
1765917534.194664,0.004437,0.003959,0.030333,0.000086,-0.000097,-0.000112
1765917534.194727,0.005476,0.003747,-0.017860,0.000046,-0.000025,0.000224
1765917534.209121,0.004777,0.003948,0.018117,0.000123,0.000003,-0.000018
1765917534.209321,0.002871,0.004868,0.043189,0.000134,-0.000067,-0.000188
1765917534.209394,0.005949,0.002935,-0.002282,0.000142,0.000015,0.000117
1765917534.225241,0.003524,0.006878,-0.007710,0.000087,-0.000015,0.000201
1765917534.225458,0.006115,0.004838,0.039765,0.000160,-0.000080,-0.000188
1765917534.225533,0.004811,0.004966,0.013360,0.000138,-0.000036,0.000047
1765917534.240354,0.007616,0.006936,-0.018010,0.000190,-0.000021,0.000254
1765917534.240537,0.004870,0.006715,0.031703,0.000141,-0.000054,-0.000070
1765917534.240612,0.006097,0.005913,0.033723,0.000145,-0.000078,-0.000106
1765917534.256261,0.004342,0.005498,-0.016584,0.000126,-0.000025,0.000254
1765917534.256403,0.005646,0.005351,0.016704,0.000140,-0.000063,0.000000
1765917534.256470,0.008178,0.007564,0.044562,0.000233,-0.000036,-0.000165
1765917534.271630,0.006064,0.006329,0.003193,0.000191,-0.000058,0.000176
1765917534.271805,0.008034,0.007221,-0.004172,0.000202,0.000005,0.000264
