timestamp,tension (N)
1765917534.017875,-0.020000
1765917534.020729,-0.020000
1765917534.023635,-0.020000
1765917534.026409,-0.020000
1765917534.029244,-0.020000
1765917534.032073,-0.020000
1765917534.034941,-0.020000
1765917534.037796,-0.020000
1765917534.040696,-0.020000
1765917534.043553,-0.020000
1765917534.046437,-0.020000
1765917534.049213,-0.020000
1765917534.052065,-0.020000
1765917534.054863,-0.020000
1765917534.057796,-0.020000
1765917534.060627,-0.020000
1765917534.063491,-0.020000
1765917534.066232,-0.020000
1765917534.069140,-0.020000
1765917534.071934,-0.020000
1765917534.074758,-0.020000
1765917534.077590,-0.020000
1765917534.080395,-0.020000
1765917534.083260,-0.020000
1765917534.086116,-0.020000
1765917534.088941,-0.020000
1765917534.091784,-0.020000
1765917534.094555,-0.020000
1765917534.097406,-0.020000
1765917534.101693,-0.020000
1765917534.104515,-0.020000
1765917534.107221,-0.020000
1765917534.110722,-0.020000
1765917534.113864,-0.020000
1765917534.117128,-0.020000
1765917534.120648,-0.020000
1765917534.123475,-0.020000
1765917534.126239,-0.020000
1765917534.129594,-0.020000
1765917534.132966,-0.020000
1765917534.135784,-0.020000
1765917534.138554,-0.020000
1765917534.142021,-0.020000
1765917534.144892,-0.020000
1765917534.147910,-0.020000
1765917534.150732,-0.020000
1765917534.153399,-0.020000
1765917534.156178,-0.020000
1765917534.159526,-0.020000
1765917534.162192,-0.020000
1765917534.164949,-0.020000
1765917534.167577,-0.020000
1765917534.170259,-0.020000
1765917534.172958,-0.020000
1765917534.175702,-0.020000
1765917534.178428,-0.020000
1765917534.181208,-0.020000
1765917534.183890,-0.020000
1765917534.186621,-0.020000
1765917534.189434,-0.020000
1765917534.192143,-0.020000
1765917534.194862,-0.020000
1765917534.197603,-0.020000
1765917534.200338,-0.020000
1765917534.203009,-0.020000
1765917534.205761,-0.020000
1765917534.208459,-0.020000
1765917534.211160,-0.020000
1765917534.213831,-0.020000
1765917534.216569,-0.020000
1765917534.219275,-0.020000
1765917534.221963,-0.020000
1765917534.224790,-0.020000
1765917534.227524,-0.020000
1765917534.230325,-0.020000
1765917534.233052,-0.020000
1765917534.235770,-0.020000
1765917534.238551,-0.020000
1765917534.241351,-0.020000
1765917534.244045,-0.020000
1765917534.246783,-0.020000
1765917534.249505,-0.020000
1765917534.252298,-0.020000
1765917534.255116,-0.020000
1765917534.259702,-0.020000
1765917534.262457,-0.020000
1765917534.265220,-0.020000
1765917534.268685,-0.020000
1765917534.271947,-0.020000
1765917534.275143,-0.020000
1765917534.278614,-0.020000
1765917534.281409,-0.020000
1765917534.284156,-0.020000
1765917534.287743,-0.020000
1765917534.291105,-0.020000
1765917534.293896,-0.020000
1765917534.296627,-0.020000
1765917534.300046,-0.020000
1765917534.303228,-0.020000
1765917534.306043,-0.020000
1765917534.308906,-0.020000
1765917534.311605,-0.020000
1765917534.314381,-0.020000
1765917534.317717,-0.020000
1765917534.320454,-0.020000
1765917534.323239,-0.020000
1765917534.326009,-0.020000
1765917534.328764,-0.020000
1765917534.331554,-0.020000
1765917534.334847,-0.020000
1765917534.337597,-0.020000
1765917534.340336,-0.020000
1765917534.343092,-0.020000
1765917534.345829,-0.020000
1765917534.348627,-0.020000
1765917534.351386,-0.020000
1765917534.354165,-0.020000
1765917534.356995,-0.020000
1765917534.359773,-0.020000
1765917534.362403,-0.020000
1765917534.365220,-0.020000
1765917534.367944,-0.020000
1765917534.370724,-0.020000
1765917534.373534,-0.020000
1765917534.376430,-0.020000
1765917534.379204,-0.020000
1765917534.382192,-0.020000
1765917534.385065,-0.020000
1765917534.387995,-0.020000
1765917534.390797,-0.020000
1765917534.393589,-0.020000
1765917534.396955,-0.020000
1765917534.399824,-0.020000
1765917534.402649,-0.020000
1765917534.405490,-0.020000
1765917534.408299,-0.020000
1765917534.411230,-0.020000
1765917534.413886,-0.020000
1765917534.416720,-0.020000
1765917534.421535,-0.020000
1765917534.424438,-0.020000
1765917534.427176,-0.020000
1765917534.430456,-0.020000
1765917534.433760,-0.020000
1765917534.436883,-0.020000
1765917534.440378,-0.040000
1765917534.443169,-0.040000
1765917534.445853,-0.040000
1765917534.449367,-0.040000
1765917534.452841,-0.060000
1765917534.455698,-0.060000
1765917534.458476,-0.060000
1765917534.461769,-0.080000
1765917534.464521,-0.080000
1765917534.467207,-0.100000
1765917534.470495,-0.100000
1765917534.473329,-0.100000
1765917534.476140,-0.120000
1765917534.479456,-0.120000
1765917534.482234,-0.120000
1765917534.485047,-0.140000
1765917534.487896,-0.140000
1765917534.490737,-0.160000
1765917534.493527,-0.160000
1765917534.496362,-0.160000
1765917534.499078,-0.180000
1765917534.501889,-0.180000
1765917534.504746,-0.180000
1765917534.507508,-0.200000
1765917534.510207,-0.200000
1765917534.512873,-0.200000
1765917534.515619,-0.200000
1765917534.518474,-0.220000
1765917534.521356,-0.220000
1765917534.524307,-0.220000
1765917534.527136,-0.240000
1765917534.529977,-0.240000
1765917534.532733,-0.260000
1765917534.535497,-0.260000
1765917534.538337,-0.280000
1765917534.541121,-0.280000
1765917534.543833,-0.300000
1765917534.546570,-0.300000
1765917534.549852,-0.540000
1765917534.552670,-0.560000
1765917534.555794,-0.560000
1765917534.558546,-0.600000
1765917534.561307,-0.580000
1765917534.564057,-0.600000
1765917534.566693,-0.600000
1765917534.569377,-0.400000
1765917534.572212,-0.640000
1765917534.574997,-0.420000
1765917534.577884,-0.420000
1765917534.580715,-0.440000
1765917534.585088,-0.440000
1765917534.587866,-0.460000
1765917534.590608,-0.460000
1765917534.594194,-0.460000
1765917534.597583,-0.480000
1765917534.600826,-0.480000
1765917534.604223,-0.480000
1765917534.607004,-0.500000
1765917534.609631,-0.500000
1765917534.613137,-0.500000
1765917534.616510,-0.500000
1765917534.619292,-0.520000
1765917534.622140,-0.520000
1765917534.625585,-0.520000
1765917534.628433,-0.520000
1765917534.631227,-0.520000
1765917534.634562,-0.540000
1765917534.637306,-0.540000
1765917534.640144,-0.540000
1765917534.643481,-0.540000
1765917534.646265,-0.560000
1765917534.649033,-0.560000
1765917534.651838,-0.560000
1765917534.654628,-0.560000
1765917534.657357,-0.580000
1765917534.660130,-0.580000
1765917534.662904,-0.580000
1765917534.665583,-0.600000
1765917534.668319,-0.600000
1765917534.671016,-0.600000
1765917534.673863,-0.600000
1765917534.676833,-0.620000
1765917534.679609,-0.620000
1765917534.682437,-0.620000
1765917534.685170,-0.620000
1765917534.687971,-0.640000
1765917534.690750,-0.640000
1765917534.693595,-0.640000
