timestamp,tension (N)
1765917533.997603,-0.700000
1765917534.000388,-0.700000
1765917534.003072,-0.700000
1765917534.005913,-0.700000
1765917534.008658,-0.700000
1765917534.011518,-0.700000
1765917534.014385,-0.700000
1765917534.017106,-0.700000
1765917534.020133,-0.700000
1765917534.023061,-0.700000
1765917534.025850,-0.700000
1765917534.028667,-0.700000
1765917534.031495,-0.700000
1765917534.034327,-0.700000
1765917534.037004,-0.700000
1765917534.039770,-0.700000
1765917534.042619,-0.700000
1765917534.045492,-0.700000
1765917534.050429,-0.700000
1765917534.053215,-0.700000
1765917534.055988,-0.700000
1765917534.059245,-0.700000
1765917534.062280,-0.700000
1765917534.065515,-0.700000
1765917534.068799,-0.700000
1765917534.071543,-0.700000
1765917534.074326,-0.700000
1765917534.077656,-0.700000
1765917534.081047,-0.700000
1765917534.083752,-0.700000
1765917534.086358,-0.700000
1765917534.089775,-0.700000
1765917534.092455,-0.700000
1765917534.095153,-0.700000
1765917534.098448,-0.700000
1765917534.101151,-0.700000
1765917534.103874,-0.700000
1765917534.107076,-0.700000
1765917534.109888,-0.700000
1765917534.112697,-0.700000
1765917534.115435,-0.700000
1765917534.118156,-0.700000
1765917534.120861,-0.700000
1765917534.123543,-0.700000
1765917534.126273,-0.700000
1765917534.128894,-0.700000
1765917534.131650,-0.700000
1765917534.134428,-0.700000
1765917534.137194,-0.700000
1765917534.139982,-0.700000
1765917534.142779,-0.700000
1765917534.145573,-0.700000
1765917534.148291,-0.700000
1765917534.151048,-0.700000
1765917534.153743,-0.700000
1765917534.156491,-0.700000
1765917534.159158,-0.700000
1765917534.161918,-0.700000
1765917534.164568,-0.700000
1765917534.167232,-0.700000
1765917534.169911,-0.700000
1765917534.172520,-0.700000
1765917534.175261,-0.700000
1765917534.177963,-0.700000
1765917534.180560,-0.700000
1765917534.183288,-0.700000
1765917534.185968,-0.700000
1765917534.188627,-0.700000
1765917534.191239,-0.700000
1765917534.193941,-0.700000
1765917534.196568,-0.700000
1765917534.199250,-0.700000
1765917534.201889,-0.700000
1765917534.204617,-0.700000
1765917534.209380,-0.700000
1765917534.212031,-0.700000
1765917534.214649,-0.700000
1765917534.218178,-0.700000
1765917534.221382,-0.700000
1765917534.224527,-0.700000
1765917534.227837,-0.700000
1765917534.230450,-0.700000
1765917534.233124,-0.700000
1765917534.236660,-0.700000
1765917534.240092,-0.700000
1765917534.242742,-0.700000
1765917534.245489,-0.700000
1765917534.248883,-0.700000
1765917534.251524,-0.700000
1765917534.254209,-0.700000
1765917534.257458,-0.700000
1765917534.260080,-0.700000
1765917534.262699,-0.700000
1765917534.266142,-0.700000
1765917534.268928,-0.700000
1765917534.271521,-0.700000
1765917534.274175,-0.700000
1765917534.276891,-0.700000
1765917534.279519,-0.700000
1765917534.282197,-0.700000
1765917534.284914,-0.700000
1765917534.287655,-0.700000
1765917534.290366,-0.700000
1765917534.293098,-0.700000
1765917534.295753,-0.700000
1765917534.298454,-0.700000
1765917534.301150,-0.700000
1765917534.303906,-0.700000
1765917534.306627,-0.700000
1765917534.309274,-0.700000
1765917534.311908,-0.700000
1765917534.314657,-0.700000
1765917534.317378,-0.700000
1765917534.320109,-0.700000
1765917534.322955,-0.700000
1765917534.325715,-0.700000
1765917534.328402,-0.700000
1765917534.331136,-0.700000
1765917534.333928,-0.700000
1765917534.336659,-0.700000
1765917534.339411,-0.700000
1765917534.342086,-0.700000
1765917534.344872,-0.700000
1765917534.347432,-0.700000
1765917534.350208,-0.700000
1765917534.352933,-0.700000
1765917534.355594,-0.700000
1765917534.358260,-0.700000
1765917534.360974,-0.700000
1765917534.363662,-0.700000
1765917534.368689,-0.700000
1765917534.371426,-0.700000
1765917534.374157,-0.700000
1765917534.377657,-0.700000
1765917534.380800,-0.700000
1765917534.383952,-0.700000
1765917534.387254,-0.700000
1765917534.390001,-0.700000
1765917534.392738,-0.700000
1765917534.396096,-0.700000
1765917534.399480,-0.700000
1765917534.402186,-0.700000
1765917534.404916,-0.700000
1765917534.408099,-0.700000
1765917534.410950,-0.700000
1765917534.413548,-0.700000
1765917534.416802,-0.700000
1765917534.419455,-0.700000
1765917534.422142,-0.700000
1765917534.425465,-0.700000
1765917534.428169,-0.700000
1765917534.430974,-0.700000
1765917534.433777,-0.700000
1765917534.436442,-0.700000
1765917534.439185,-0.700000
1765917534.441856,-0.700000
1765917534.444638,-0.720000
1765917534.447492,-0.720000
1765917534.450206,-0.980000
1765917534.453015,-0.740000
1765917534.455743,-1.000000
1765917534.458513,-1.080000
1765917534.461473,-1.180000
1765917534.464258,-1.280000
1765917534.467135,-1.300000
1765917534.469993,-1.440000
1765917534.473155,-1.480000
1765917534.476078,-1.580000
1765917534.478828,-1.620000
1765917534.481745,-1.780000
1765917534.484643,-1.800000
1765917534.487574,-1.920000
1765917534.490463,-1.940000
1765917534.493315,-2.060000
1765917534.496195,-2.140000
1765917534.499177,-2.180000
1765917534.502112,-2.300000
1765917534.504979,-2.400000
1765917534.507835,-2.380000
1765917534.510728,-2.520000
1765917534.513668,-2.660000
1765917534.516636,-2.680000
1765917534.519616,-2.720000
1765917534.522530,-2.820000
1765917534.525492,-2.860000
1765917534.528448,-2.920000
1765917534.533851,-3.100000
1765917534.536780,-3.180000
1765917534.539684,-3.180000
1765917534.543492,-3.240000
1765917534.546919,-3.340000
1765917534.550388,-3.380000
1765917534.553901,-3.380000
1765917534.556744,-3.460000
1765917534.560430,-3.460000
1765917534.564104,-3.540000
1765917534.566973,-3.580000
1765917534.569865,-3.620000
1765917534.572908,-3.660000
1765917534.575866,-3.640000
1765917534.578712,-3.700000
1765917534.581614,-3.700000
1765917534.584662,-3.760000
1765917534.587463,-3.680000
1765917534.590279,-3.740000
1765917534.593870,-3.760000
1765917534.596740,-3.780000
1765917534.599501,-3.740000
1765917534.602366,-3.740000
1765917534.605254,-3.740000
1765917534.608142,-3.740000
1765917534.610986,-3.780000
1765917534.613905,-3.680000
1765917534.616763,-3.800000
1765917534.619686,-3.840000
1765917534.622676,-3.760000
1765917534.625537,-3.740000
1765917534.628436,-3.740000
1765917534.631319,-3.760000
1765917534.634197,-3.760000
1765917534.637054,-3.780000
1765917534.639931,-3.720000
1765917534.642917,-3.720000
1765917534.645917,-3.740000
1765917534.648721,-3.680000
1765917534.651569,-3.700000
1765917534.654383,-3.760000
1765917534.657259,-3.720000
1765917534.660012,-3.700000
1765917534.662897,-3.480000
1765917534.665837,-3.760000
1765917534.668699,-3.720000
1765917534.671607,-3.760000
1765917534.674504,-3.520000
1765917534.679076,-3.520000
1765917534.681920,-3.540000
1765917534.684767,-3.540000
1765917534.688341,-3.540000
1765917534.691723,-3.560000
1765917534.694986,-3.560000
1765917534.698543,-3.560000
1765917534.701411,-3.580000
1765917534.704274,-3.580000
1765917534.707846,-3.580000
1765917534.711410,-3.580000
1765917534.714330,-3.580000
1765917534.717180,-3.600000
1765917534.720588,-3.600000
1765917534.723504,-3.600000
1765917534.726301,-3.600000
1765917534.729762,-3.600000
1765917534.732623,-3.600000
1765917534.735471,-3.600000
1765917534.738985,-3.600000
1765917534.741894,-3.600000
1765917534.744715,-3.600000
1765917534.747638,-3.600000
1765917534.750470,-3.600000
1765917534.753417,-3.600000
1765917534.756305,-3.600000
1765917534.759161,-3.600000
1765917534.761988,-3.600000
1765917534.764729,-3.600000
1765917534.767609,-3.620000
1765917534.770537,-3.620000
1765917534.773343,-3.620000
1765917534.776109,-3.620000
1765917534.778971,-3.620000
1765917534.781880,-3.620000
1765917534.784832,-3.620000
1765917534.787704,-3.620000
1765917534.790562,-3.620000
1765917534.793459,-3.620000
1765917534.796310,-3.620000
1765917534.799190,-3.620000
1765917534.802090,-3.620000
1765917534.804866,-3.620000
1765917534.807693,-3.620000
1765917534.810612,-3.620000
1765917534.813522,-3.620000
1765917534.816345,-3.620000
1765917534.819129,-3.640000
1765917534.822119,-3.640000
1765917534.824891,-3.640000
1765917534.827977,-3.640000
1765917534.830961,-3.640000
1765917534.833816,-3.640000
1765917534.836639,-3.640000
1765917534.839497,-3.640000
1765917534.842342,-3.640000
1765917534.847257,-3.640000
1765917534.850085,-3.640000
1765917534.852885,-3.640000
1765917534.855690,-3.660000
1765917534.859022,-3.660000
1765917534.861990,-3.660000
1765917534.864825,-3.660000
1765917534.868407,-3.660000
1765917534.871223,-3.660000
1765917534.874084,-3.660000
1765917534.877724,-3.660000
1765917534.881287,-3.680000
1765917534.884108,-3.680000
1765917534.886948,-3.680000
1765917534.890455,-3.680000
1765917534.893343,-3.680000
1765917534.896212,-3.680000
1765917534.899638,-3.680000
1765917534.902454,-3.680000
1765917534.905420,-3.680000
1765917534.908845,-3.680000
1765917534.911712,-3.680000
1765917534.914563,-3.680000
1765917534.917432,-3.680000
1765917534.920314,-3.680000
1765917534.923271,-3.680000
1765917534.926126,-3.680000
1765917534.928941,-3.680000
1765917534.931701,-3.680000
1765917534.934494,-3.680000
1765917534.937313,-3.680000
1765917534.940271,-3.680000
1765917534.943141,-3.680000
1765917534.946031,-3.680000
1765917534.948846,-3.700000
1765917534.951696,-3.680000
1765917534.954610,-3.680000
1765917534.957538,-3.680000
1765917534.960453,-3.680000
1765917534.963285,-3.680000
1765917534.966133,-3.680000
1765917534.968968,-3.700000
1765917534.971843,-3.700000
1765917534.974659,-3.700000
1765917534.977433,-3.700000
1765917534.980224,-3.700000
1765917534.983232,-3.700000
1765917534.986012,-3.700000
1765917534.988801,-3.700000
1765917534.993258,-3.700000
1765917534.996054,-3.700000
1765917534.998799,-3.700000
1765917535.002463,-3.700000
1765917535.005812,-3.700000
1765917535.009009,-3.700000
1765917535.012414,-3.700000
1765917535.015227,-3.700000
1765917535.017977,-3.700000
1765917535.021620,-3.700000
1765917535.025165,-3.700000
1765917535.028023,-3.700000
1765917535.030847,-3.700000
1765917535.034253,-3.700000
1765917535.037052,-3.700000
1765917535.039894,-3.700000
1765917535.043282,-3.700000
1765917535.046055,-3.700000
1765917535.048813,-3.700000
1765917535.052341,-3.700000
1765917535.055105,-3.700000
1765917535.057908,-3.700000
1765917535.060820,-3.700000
1765917535.063740,-3.700000
1765917535.066610,-3.700000
1765917535.069458,-3.680000
1765917535.072276,-3.680000
1765917535.075152,-3.680000
1765917535.078031,-3.680000
1765917535.080961,-3.680000
1765917535.083824,-3.680000
1765917535.086859,-3.680000
1765917535.089624,-3.680000
1765917535.092542,-3.680000
1765917535.095386,-3.680000
1765917535.098218,-3.680000
1765917535.101093,-3.680000
1765917535.103970,-3.680000
1765917535.106740,-3.700000
1765917535.109554,-3.680000
1765917535.112457,-3.680000
1765917535.115360,-3.680000
1765917535.118193,-3.680000
1765917535.121026,-3.680000
1765917535.124374,-3.680000
1765917535.127255,-3.680000
1765917535.130180,-3.680000
1765917535.133072,-3.680000
1765917535.135939,-3.700000
1765917535.138678,-3.700000
1765917535.141423,-3.700000
1765917535.144241,-3.700000
1765917535.147032,-3.700000
1765917535.149912,-3.700000
1765917535.152687,-3.700000
1765917535.155549,-3.700000
1765917535.160237,-3.700000
1765917535.163209,-3.700000
1765917535.166116,-3.700000
1765917535.169336,-3.700000
1765917535.172683,-3.700000
1765917535.175934,-3.700000
1765917535.179433,-3.700000
1765917535.182264,-3.700000
1765917535.185022,-3.700000
1765917535.188554,-3.700000
1765917535.192095,-3.700000
1765917535.194960,-3.700000
1765917535.197806,-3.700000
1765917535.201156,-3.700000
1765917535.203919,-3.700000
1765917535.206812,-3.700000
1765917535.210223,-3.700000
1765917535.212997,-3.700000
1765917535.215835,-3.680000
1765917535.219329,-3.680000
1765917535.222273,-3.680000
1765917535.225147,-3.680000
1765917535.227959,-3.680000
1765917535.230800,-3.680000
1765917535.233680,-3.660000
1765917535.236633,-3.660000
1765917535.239427,-3.660000
1765917535.242284,-3.660000
1765917535.245223,-3.660000
1765917535.248099,-3.640000
1765917535.250934,-3.640000
1765917535.253795,-3.640000
1765917535.256581,-3.640000
1765917535.259463,-3.640000
1765917535.262344,-3.620000
1765917535.265313,-3.620000
1765917535.268238,-3.620000
1765917535.271095,-3.620000
1765917535.273916,-3.620000
1765917535.276838,-3.620000
1765917535.279685,-3.600000
1765917535.282553,-3.600000
1765917535.285392,-3.600000
1765917535.288236,-3.600000
1765917535.291054,-3.600000
1765917535.293853,-3.600000
1765917535.296658,-3.600000
1765917535.299514,-3.580000
1765917535.304183,-3.580000
1765917535.307073,-3.580000
1765917535.309810,-3.580000
1765917535.313477,-3.580000
1765917535.316866,-3.560000
1765917535.320071,-3.560000
1765917535.323681,-3.560000
1765917535.326538,-3.560000
1765917535.329399,-3.560000
1765917535.333074,-3.560000
1765917535.336601,-3.540000
1765917535.339504,-3.540000
1765917535.342706,-3.540000
1765917535.345861,-3.540000
1765917535.348711,-3.540000
1765917535.351530,-3.540000
1765917535.354983,-3.520000
1765917535.357887,-3.520000
1765917535.360841,-3.520000
1765917535.364118,-3.520000
1765917535.366938,-3.520000
1765917535.369792,-3.520000
1765917535.372578,-3.520000
1765917535.375461,-3.520000
1765917535.378265,-3.500000
1765917535.380936,-3.500000
1765917535.383757,-3.500000
1765917535.386656,-3.500000
1765917535.389434,-3.500000
1765917535.392209,-3.500000
1765917535.395014,-3.500000
1765917535.397805,-3.500000
1765917535.400536,-3.500000
1765917535.403225,-3.500000
1765917535.405941,-3.500000
1765917535.408834,-3.500000
1765917535.411619,-3.500000
1765917535.414446,-3.500000
1765917535.417514,-3.500000
1765917535.420493,-3.500000
1765917535.423401,-3.500000
1765917535.426247,-3.480000
1765917535.429126,-3.480000
1765917535.431974,-3.480000
1765917535.434822,-3.480000
1765917535.437610,-3.480000
1765917535.440611,-3.480000
1765917535.443475,-3.480000
1765917535.446275,-3.480000
1765917535.449129,-3.480000
1765917535.452005,-3.480000
1765917535.454855,-3.480000
1765917535.457808,-3.480000
1765917535.460625,-3.480000
1765917535.463547,-3.480000
1765917535.466394,-3.480000
1765917535.470916,-3.480000
1765917535.473865,-3.480000
1765917535.476643,-3.480000
1765917535.480153,-3.480000
1765917535.483485,-3.460000
1765917535.486838,-3.460000
1765917535.490371,-3.460000
1765917535.493211,-3.460000
1765917535.495993,-3.460000
1765917535.499672,-3.460000
1765917535.503368,-3.460000
1765917535.506145,-3.460000
1765917535.508933,-3.460000
1765917535.512464,-3.460000
1765917535.515324,-3.460000
1765917535.518209,-3.460000
1765917535.521646,-3.460000
1765917535.524517,-3.460000
1765917535.527359,-3.460000
1765917535.530863,-3.440000
1765917535.533794,-3.460000
1765917535.536587,-3.440000
1765917535.539490,-3.440000
1765917535.542347,-3.440000
1765917535.545162,-3.440000
1765917535.548066,-3.440000
1765917535.550891,-3.440000
1765917535.553744,-3.440000
1765917535.556689,-3.440000
1765917535.559540,-3.440000
1765917535.562755,-3.440000
1765917535.565702,-3.420000
1765917535.568544,-3.420000
1765917535.571543,-3.420000
1765917535.574389,-3.420000
1765917535.577268,-3.420000
1765917535.580100,-3.420000
1765917535.582939,-3.420000
1765917535.585799,-3.420000
1765917535.588682,-3.420000
1765917535.591458,-3.400000
1765917535.594244,-3.400000
1765917535.597086,-3.400000
1765917535.599939,-3.400000
1765917535.602798,-3.400000
1765917535.605631,-3.400000
1765917535.608571,-3.400000
1765917535.611419,-3.380000
1765917535.614235,-3.380000
1765917535.617116,-3.380000
1765917535.620022,-3.380000
1765917535.622922,-3.380000
1765917535.625857,-3.380000
1765917535.628848,-3.380000
1765917535.631608,-3.380000
1765917535.634430,-3.380000
1765917535.639196,-3.380000
1765917535.642038,-3.380000
1765917535.644881,-3.380000
1765917535.648480,-3.360000
1765917535.651838,-3.360000
1765917535.655095,-3.360000
1765917535.658745,-3.360000
1765917535.661540,-3.360000
1765917535.664305,-3.360000
1765917535.667969,-3.360000
1765917535.671876,-3.360000
1765917535.674717,-3.360000
1765917535.677478,-3.360000
1765917535.680826,-3.360000
1765917535.683789,-3.360000
1765917535.686638,-3.360000
1765917535.689996,-3.360000
1765917535.692865,-3.360000
1765917535.695665,-3.380000
1765917535.699039,-3.380000
1765917535.701845,-3.380000
1765917535.704750,-3.380000
1765917535.707660,-3.380000
1765917535.710505,-3.380000
1765917535.713381,-3.380000
1765917535.716156,-3.380000
1765917535.718961,-3.380000
1765917535.721895,-3.380000
1765917535.724892,-3.380000
1765917535.727788,-3.380000
1765917535.730730,-3.380000
1765917535.733949,-3.380000
1765917535.736890,-3.380000
1765917535.739705,-3.380000
1765917535.742541,-3.380000
1765917535.745417,-3.380000
1765917535.748252,-3.380000
1765917535.751168,-3.380000
1765917535.753985,-3.380000
1765917535.756881,-3.380000
1765917535.759838,-3.380000
1765917535.762707,-3.380000
1765917535.765579,-3.380000
1765917535.768463,-3.380000
1765917535.771338,-3.380000
1765917535.774148,-3.380000
1765917535.776961,-3.380000
1765917535.779794,-3.380000
1765917535.782616,-3.380000
1765917535.785477,-3.380000
1765917535.788301,-3.380000
1765917535.791084,-3.380000
1765917535.793939,-3.380000
1765917535.796901,-3.380000
1765917535.799802,-3.380000
1765917535.802626,-3.380000
1765917535.805459,-3.380000
1765917535.810142,-3.360000
1765917535.812989,-3.360000
