timestamp,tension (N)
1765917534.180489,0.000000
1765917534.182944,0.000000
1765917534.185305,0.000000
1765917534.187695,0.000000
1765917534.190107,0.000000
1765917534.192454,0.000000
1765917534.194871,0.000000
1765917534.197286,0.000000
1765917534.201083,0.000000
1765917534.203493,0.000000
1765917534.205897,0.000000
1765917534.208275,0.000000
1765917534.210932,0.000000
1765917534.214091,0.000000
1765917534.217007,0.000000
1765917534.220330,0.000000
1765917534.222699,0.000000
1765917534.225086,0.000000
1765917534.227495,0.000000
1765917534.230201,0.000000
1765917534.233516,0.000000
1765917534.235929,0.000000
1765917534.238344,0.000000
1765917534.240811,0.000000
1765917534.243196,0.000000
1765917534.245714,0.000000
1765917534.248095,0.000000
1765917534.250489,0.000000
1765917534.252887,0.000000
1765917534.255315,0.000000
1765917534.257706,0.000000
1765917534.260160,0.000000
1765917534.262531,0.000000
1765917534.264850,0.000000
1765917534.267292,0.000000
1765917534.269638,0.000000
1765917534.272026,0.000000
1765917534.274445,0.000000
1765917534.276796,0.000000
1765917534.279206,0.000000
1765917534.281619,0.000000
1765917534.283977,0.000000
1765917534.286369,0.000000
1765917534.288821,0.000000
1765917534.291237,0.000000
1765917534.293618,0.000000
1765917534.296043,0.000000
1765917534.298500,0.000000
1765917534.300930,0.000000
1765917534.303329,0.000000
1765917534.305825,0.000000
1765917534.308233,0.000000
1765917534.310658,0.000000
1765917534.313117,0.000000
1765917534.315517,0.000000
1765917534.317945,0.000000
1765917534.320385,0.000000
1765917534.322840,0.000000
1765917534.325259,0.000000
1765917534.327646,0.000000
1765917534.330056,0.000000
1765917534.332407,0.000000
1765917534.334926,0.000000
1765917534.337384,0.000000
1765917534.339796,0.000000
1765917534.342285,0.000000
1765917534.344660,0.000000
1765917534.347145,0.000000
1765917534.349577,0.000000
1765917534.352005,0.000000
1765917534.354492,0.000000
1765917534.356888,0.000000
1765917534.359309,0.000000
1765917534.361819,0.000000
1765917534.366068,0.000000
1765917534.368470,0.000000
1765917534.370879,0.000000
1765917534.373256,0.000000
1765917534.375952,0.000000
1765917534.379093,0.000000
1765917534.382088,0.000000
1765917534.385395,0.000000
1765917534.387911,0.000000
1765917534.390385,0.000000
1765917534.392876,0.000000
1765917534.395324,0.000000
1765917534.398553,0.000000
1765917534.401031,0.000000
1765917534.403439,0.000000
1765917534.405805,0.000000
1765917534.408201,0.000000
1765917534.410573,0.000000
1765917534.412933,0.000000
1765917534.415373,0.000000
1765917534.417894,0.000000
1765917534.420281,0.000000
1765917534.422930,-0.020000
1765917534.425550,-0.020000
1765917534.428217,-0.020000
1765917534.430867,-0.020000
1765917534.433565,-0.020000
1765917534.436219,-0.020000
1765917534.438860,-0.020000
1765917534.441567,-0.020000
1765917534.444240,-0.020000
1765917534.446975,-0.020000
1765917534.449641,-0.040000
1765917534.452309,-0.040000
1765917534.455504,-0.060000
1765917534.458144,-0.300000
1765917534.460869,-0.340000
1765917534.463608,-0.420000
1765917534.466420,-0.520000
1765917534.469154,-0.560000
1765917534.471884,-0.620000
1765917534.474571,-0.720000
1765917534.477283,-0.740000
1765917534.480000,-0.860000
1765917534.482686,-0.920000
1765917534.485490,-0.980000
1765917534.488364,-1.080000
1765917534.491081,-1.160000
1765917534.493882,-1.220000
1765917534.496690,-1.300000
1765917534.499482,-1.400000
1765917534.502372,-1.440000
1765917534.505218,-1.520000
1765917534.508019,-1.600000
1765917534.510871,-1.660000
1765917534.513698,-1.740000
1765917534.516535,-1.820000
1765917534.521109,-1.940000
1765917534.523981,-1.980000
1765917534.526860,-2.040000
1765917534.529808,-2.120000
1765917534.532608,-2.180000
1765917534.536064,-2.240000
1765917534.539485,-2.300000
1765917534.543266,-2.380000
1765917534.546097,-2.440000
1765917534.548899,-2.500000
1765917534.551719,-2.540000
1765917534.554615,-2.600000
1765917534.558456,-2.660000
1765917534.561358,-2.680000
1765917534.564198,-2.700000
1765917534.567090,-2.740000
1765917534.569950,-2.760000
1765917534.572967,-2.800000
1765917534.575815,-2.860000
1765917534.579255,-2.880000
1765917534.582081,-2.920000
1765917534.584876,-2.940000
1765917534.587645,-2.940000
1765917534.590432,-2.940000
1765917534.593203,-2.980000
1765917534.596092,-2.980000
1765917534.598810,-3.000000
1765917534.601457,-3.000000
1765917534.604266,-3.020000
1765917534.607026,-3.040000
1765917534.609803,-3.040000
1765917534.612626,-3.040000
1765917534.615331,-3.060000
1765917534.618104,-3.060000
1765917534.620966,-3.080000
1765917534.623727,-3.080000
1765917534.626471,-3.080000
1765917534.629200,-3.100000
1765917534.631919,-3.080000
1765917534.634680,-3.100000
1765917534.637470,-3.100000
1765917534.640302,-3.100000
1765917534.643007,-3.100000
1765917534.645813,-3.100000
1765917534.648553,-3.100000
1765917534.651397,-3.100000
1765917534.654111,-3.080000
1765917534.656814,-3.080000
1765917534.659616,-3.100000
1765917534.662433,-3.100000
1765917534.665143,-3.100000
1765917534.667956,-3.100000
1765917534.670717,-3.100000
1765917534.675894,-3.080000
1765917534.678647,-3.080000
1765917534.681453,-2.860000
1765917534.684207,-2.880000
1765917534.686975,-2.880000
1765917534.690239,-2.880000
1765917534.693499,-2.900000
1765917534.697110,-2.900000
1765917534.699886,-2.920000
1765917534.702705,-2.920000
1765917534.705547,-2.920000
1765917534.708344,-2.920000
1765917534.711716,-2.940000
1765917534.714546,-2.940000
1765917534.717404,-2.940000
1765917534.720189,-2.960000
1765917534.722957,-2.960000
1765917534.725807,-2.960000
1765917534.728570,-2.960000
1765917534.731946,-2.960000
1765917534.734808,-2.960000
1765917534.737637,-2.980000
1765917534.741184,-2.980000
1765917534.743973,-2.980000
1765917534.746802,-2.980000
1765917534.749633,-2.980000
1765917534.752498,-2.980000
1765917534.755230,-2.980000
1765917534.757976,-2.980000
1765917534.760795,-2.980000
1765917534.763601,-2.980000
1765917534.766401,-2.980000
1765917534.769209,-2.980000
1765917534.772026,-2.980000
1765917534.774803,-2.980000
1765917534.777577,-2.960000
1765917534.780398,-2.960000
1765917534.783221,-2.960000
1765917534.786051,-2.960000
1765917534.788825,-2.960000
1765917534.791635,-2.960000
1765917534.794393,-2.960000
1765917534.797153,-2.960000
1765917534.799963,-2.940000
1765917534.802812,-2.940000
1765917534.805696,-2.940000
1765917534.808608,-2.940000
1765917534.811445,-2.940000
1765917534.814356,-2.940000
1765917534.817192,-2.920000
1765917534.820017,-2.920000
1765917534.822918,-2.920000
1765917534.825804,-2.920000
1765917534.830270,-2.920000
1765917534.833038,-2.920000
1765917534.835853,-2.920000
1765917534.838840,-2.920000
1765917534.841636,-2.900000
1765917534.844678,-2.900000
1765917534.847895,-2.900000
1765917534.851464,-2.900000
1765917534.854242,-2.900000
1765917534.857000,-2.900000
1765917534.859800,-2.900000
1765917534.862541,-2.900000
1765917534.865911,-2.900000
1765917534.868631,-2.900000
1765917534.871339,-2.900000
1765917534.874324,-2.900000
1765917534.877144,-2.900000
1765917534.879900,-2.900000
1765917534.882588,-2.900000
1765917534.885799,-2.900000
1765917534.888691,-2.900000
1765917534.891453,-2.900000
1765917534.894891,-2.900000
1765917534.897646,-2.900000
1765917534.900414,-2.880000
1765917534.903184,-2.880000
1765917534.906005,-2.880000
1765917534.908808,-2.880000
1765917534.911627,-2.880000
1765917534.914460,-2.880000
1765917534.917355,-2.880000
1765917534.920156,-2.880000
1765917534.922973,-2.880000
1765917534.925802,-2.880000
1765917534.928565,-2.880000
1765917534.931324,-2.880000
1765917534.934155,-2.880000
1765917534.937006,-2.880000
1765917534.939828,-2.880000
1765917534.942687,-2.880000
1765917534.945459,-2.880000
1765917534.948237,-2.880000
1765917534.951076,-2.880000
1765917534.953846,-2.880000
1765917534.956692,-2.880000
1765917534.959535,-2.880000
1765917534.962399,-2.880000
1765917534.965215,-2.880000
1765917534.968040,-2.880000
1765917534.970804,-2.880000
1765917534.973619,-2.880000
1765917534.976404,-2.880000
1765917534.979272,-2.880000
1765917534.983884,-2.900000
1765917534.986585,-2.900000
1765917534.989343,-2.900000
1765917534.992151,-2.900000
1765917534.995011,-2.900000
1765917534.998071,-2.900000
1765917535.001342,-2.900000
1765917535.004935,-2.900000
1765917535.007696,-2.920000
1765917535.010608,-2.920000
1765917535.013387,-2.920000
1765917535.016155,-2.920000
1765917535.019700,-2.920000
1765917535.022538,-2.920000
1765917535.025365,-2.920000
1765917535.028103,-2.920000
1765917535.030941,-2.920000
1765917535.033834,-2.920000
1765917535.036679,-2.920000
1765917535.039884,-2.940000
1765917535.042687,-2.940000
1765917535.045585,-2.940000
1765917535.049088,-2.940000
1765917535.051886,-2.940000
1765917535.054646,-2.940000
1765917535.057444,-2.940000
1765917535.060262,-2.940000
1765917535.063036,-2.940000
1765917535.065905,-2.940000
1765917535.068640,-2.960000
1765917535.071515,-2.960000
1765917535.074320,-2.960000
1765917535.077066,-2.960000
1765917535.079899,-2.960000
1765917535.082688,-2.960000
1765917535.085503,-2.960000
1765917535.088320,-2.960000
1765917535.091144,-2.960000
1765917535.093968,-2.960000
1765917535.096794,-2.960000
1765917535.099589,-2.960000
1765917535.102402,-2.960000
1765917535.105271,-2.960000
1765917535.108181,-2.980000
1765917535.111015,-2.980000
1765917535.113840,-2.980000
1765917535.116710,-2.980000
1765917535.119575,-2.980000
1765917535.122443,-2.980000
1765917535.125309,-2.980000
1765917535.128067,-2.980000
1765917535.130903,-2.980000
1765917535.133800,-2.980000
1765917535.136621,-2.980000
1765917535.139413,-2.980000
1765917535.142202,-2.980000
1765917535.145028,-2.980000
1765917535.147859,-2.980000
1765917535.150653,-2.980000
1765917535.153547,-2.980000
1765917535.156344,-2.980000
1765917535.159125,-2.960000
1765917535.161863,-2.960000
1765917535.166249,-2.960000
1765917535.169072,-2.960000
1765917535.171885,-2.960000
1765917535.174856,-2.960000
1765917535.177638,-2.960000
1765917535.180649,-2.960000
1765917535.184016,-2.940000
1765917535.187652,-2.940000
1765917535.190498,-2.940000
1765917535.193241,-2.940000
1765917535.195963,-2.940000
1765917535.198792,-2.940000
1765917535.202320,-2.920000
1765917535.205095,-2.920000
1765917535.207822,-2.920000
1765917535.210610,-2.920000
1765917535.213459,-2.920000
1765917535.216248,-2.920000
1765917535.219000,-2.920000
1765917535.222608,-2.920000
1765917535.225460,-2.920000
1765917535.228240,-2.920000
1765917535.231052,-2.920000
1765917535.233866,-2.920000
1765917535.236597,-2.920000
1765917535.239346,-2.900000
1765917535.242094,-2.900000
1765917535.244862,-2.900000
1765917535.247649,-2.900000
1765917535.250375,-2.900000
1765917535.253111,-2.900000
1765917535.255856,-2.900000
1765917535.258589,-2.900000
1765917535.261444,-2.900000
1765917535.264300,-2.880000
1765917535.267033,-2.880000
1765917535.269869,-2.880000
1765917535.272655,-2.880000
1765917535.275453,-2.880000
1765917535.278313,-2.880000
1765917535.281085,-2.880000
1765917535.283911,-2.860000
1765917535.286707,-2.860000
1765917535.289527,-2.860000
1765917535.292332,-2.860000
1765917535.295118,-2.860000
1765917535.297873,-2.860000
1765917535.300703,-2.860000
1765917535.303466,-2.840000
1765917535.306242,-2.840000
1765917535.309029,-2.840000
1765917535.311826,-2.840000
1765917535.314633,-2.840000
1765917535.317568,-2.840000
1765917535.321981,-2.820000
1765917535.324793,-2.820000
1765917535.327600,-2.820000
1765917535.330412,-2.820000
1765917535.333201,-2.820000
1765917535.336406,-2.800000
1765917535.339794,-2.800000
1765917535.343336,-2.800000
1765917535.346063,-2.800000
1765917535.348953,-2.800000
1765917535.351726,-2.800000
1765917535.354475,-2.800000
1765917535.357998,-2.800000
1765917535.360801,-2.800000
1765917535.363564,-2.800000
1765917535.366419,-2.780000
1765917535.369237,-2.780000
1765917535.372057,-2.780000
1765917535.374912,-2.780000
1765917535.378080,-2.780000
1765917535.380859,-2.780000
1765917535.383689,-2.780000
1765917535.386591,-2.780000
1765917535.389400,-2.780000
1765917535.392217,-2.760000
1765917535.394956,-2.760000
1765917535.397709,-2.760000
1765917535.400488,-2.760000
1765917535.403316,-2.760000
1765917535.406208,-2.760000
1765917535.409009,-2.760000
1765917535.411794,-2.760000
1765917535.414614,-2.740000
1765917535.417484,-2.740000
1765917535.420283,-2.740000
1765917535.423090,-2.740000
1765917535.425875,-2.740000
1765917535.428797,-2.740000
1765917535.431698,-2.740000
1765917535.434505,-2.720000
1765917535.437324,-2.720000
1765917535.440131,-2.720000
1765917535.442946,-2.720000
1765917535.445837,-2.720000
1765917535.448681,-2.720000
1765917535.451443,-2.720000
1765917535.454208,-2.720000
1765917535.457125,-2.720000
1765917535.459844,-2.700000
1765917535.462578,-2.700000
1765917535.465290,-2.700000
1765917535.468040,-2.700000
1765917535.470839,-2.700000
1765917535.473583,-2.700000
1765917535.477856,-2.700000
1765917535.480588,-2.700000
1765917535.483321,-2.700000
1765917535.486080,-2.700000
1765917535.488798,-2.700000
1765917535.491978,-2.700000
1765917535.495286,-2.700000
1765917535.498781,-2.700000
1765917535.501584,-2.700000
1765917535.504410,-2.700000
1765917535.508038,-2.700000
1765917535.511610,-2.700000
1765917535.514433,-2.700000
1765917535.517171,-2.700000
1765917535.519948,-2.680000
1765917535.522779,-2.680000
1765917535.525563,-2.680000
1765917535.528400,-2.680000
1765917535.531823,-2.680000
1765917535.534606,-2.680000
1765917535.537408,-2.680000
1765917535.540946,-2.680000
1765917535.543787,-2.680000
1765917535.546564,-2.680000
1765917535.549346,-2.680000
1765917535.552138,-2.680000
1765917535.554953,-2.680000
1765917535.557796,-2.680000
1765917535.560627,-2.680000
1765917535.563419,-2.680000
1765917535.566279,-2.680000
1765917535.569079,-2.680000
1765917535.571908,-2.680000
1765917535.574781,-2.680000
1765917535.577555,-2.680000
1765917535.580378,-2.680000
1765917535.583186,-2.680000
1765917535.586048,-2.680000
1765917535.588823,-2.680000
1765917535.591691,-2.680000
1765917535.594568,-2.680000
1765917535.597357,-2.660000
1765917535.600187,-2.660000
1765917535.602954,-2.660000
1765917535.605776,-2.660000
1765917535.608525,-2.660000
1765917535.611344,-2.660000
1765917535.614172,-2.660000
1765917535.617009,-2.660000
1765917535.619861,-2.660000
1765917535.622681,-2.660000
1765917535.625453,-2.660000
1765917535.628251,-2.660000
1765917535.631067,-2.660000
1765917535.633866,-2.660000
1765917535.636785,-2.660000
1765917535.639629,-2.660000
1765917535.642446,-2.660000
1765917535.645251,-2.640000
1765917535.649414,-2.640000
1765917535.652256,-2.640000
1765917535.655003,-2.640000
1765917535.657776,-2.640000
1765917535.660619,-2.640000
1765917535.663879,-2.640000
1765917535.667175,-2.640000
1765917535.670862,-2.640000
1765917535.673621,-2.640000
1765917535.676417,-2.620000
1765917535.679181,-2.620000
1765917535.681947,-2.620000
1765917535.685391,-2.620000
1765917535.688183,-2.620000
1765917535.690951,-2.620000
1765917535.693782,-2.620000
1765917535.696569,-2.620000
1765917535.699362,-2.620000
1765917535.702379,-2.620000
1765917535.705564,-2.620000
1765917535.708300,-2.600000
1765917535.711076,-2.600000
1765917535.713904,-2.600000
1765917535.716696,-2.600000
1765917535.719423,-2.600000
1765917535.722200,-2.600000
1765917535.724979,-2.600000
1765917535.727780,-2.600000
1765917535.730633,-2.600000
1765917535.733489,-2.600000
1765917535.736318,-2.600000
1765917535.739088,-2.600000
1765917535.741946,-2.600000
1765917535.744779,-2.580000
1765917535.747548,-2.580000
1765917535.750322,-2.580000
1765917535.753165,-2.580000
1765917535.756014,-2.580000
1765917535.758896,-2.580000
1765917535.761779,-2.580000
1765917535.764662,-2.580000
1765917535.767515,-2.580000
1765917535.770236,-2.580000
1765917535.773340,-2.580000
1765917535.776141,-2.580000
1765917535.778938,-2.580000
1765917535.781774,-2.580000
1765917535.784539,-2.580000
1765917535.787340,-2.600000
1765917535.790116,-2.600000
1765917535.793066,-2.600000
1765917535.796180,-2.600000
1765917535.798998,-2.600000
1765917535.803615,-2.600000
1765917535.806373,-2.600000
1765917535.809206,-2.600000
1765917535.812057,-2.600000
1765917535.814836,-2.600000
1765917535.818039,-2.600000
1765917535.821366,-2.600000
1765917535.824986,-2.600000
1765917535.827787,-2.600000
1765917535.830566,-2.600000
1765917535.833343,-2.600000
1765917535.836084,-2.600000
1765917535.839620,-2.600000
1765917535.842375,-2.600000
1765917535.845190,-2.600000
1765917535.848015,-2.600000
1765917535.850860,-2.620000
1765917535.853616,-2.600000
1765917535.856455,-2.620000
1765917535.859770,-2.620000
1765917535.862517,-2.620000
1765917535.865376,-2.620000
1765917535.868205,-2.620000
1765917535.871109,-2.620000
1765917535.873902,-2.620000
1765917535.876793,-2.620000
1765917535.879651,-2.620000
1765917535.882526,-2.620000
1765917535.885365,-2.620000
1765917535.888161,-2.620000
1765917535.890969,-2.620000
1765917535.893769,-2.620000
1765917535.896564,-2.620000
1765917535.899322,-2.620000
1765917535.902143,-2.620000
1765917535.904881,-2.620000
1765917535.907725,-2.600000
1765917535.910446,-2.600000
1765917535.913200,-2.600000
1765917535.916009,-2.600000
1765917535.918887,-2.600000
1765917535.921647,-2.600000
1765917535.924480,-2.600000
1765917535.927292,-2.600000
1765917535.930057,-2.600000
1765917535.932891,-2.600000
1765917535.935803,-2.600000
1765917535.938599,-2.600000
1765917535.941428,-2.600000
1765917535.944201,-2.600000
1765917535.947056,-2.600000
1765917535.949871,-2.600000
1765917535.952648,-2.600000
1765917535.955493,-2.600000
1765917535.959956,-2.600000
1765917535.962873,-2.600000
1765917535.965679,-2.600000
1765917535.969393,-2.600000
1765917535.972827,-2.580000
1765917535.976095,-2.580000
1765917535.979705,-2.580000
1765917535.982478,-2.580000
1765917535.985235,-2.580000
1765917535.988007,-2.580000
1765917535.990831,-2.580000
1765917535.994303,-2.580000
1765917535.997067,-2.580000
1765917535.999843,-2.580000
1765917536.002603,-2.580000
1765917536.005368,-2.580000
1765917536.008126,-2.580000
1765917536.010967,-2.580000
1765917536.014426,-2.580000
1765917536.017211,-2.580000
1765917536.020042,-2.580000
1765917536.022768,-2.580000
1765917536.025524,-2.580000
1765917536.028268,-2.580000
1765917536.031109,-2.580000
1765917536.033974,-2.580000
1765917536.036772,-2.580000
1765917536.039551,-2.580000
1765917536.042362,-2.580000
1765917536.045176,-2.580000
1765917536.047992,-2.580000
1765917536.050769,-2.580000
1765917536.053605,-2.580000
1765917536.056347,-2.580000
1765917536.059151,-2.580000
1765917536.061949,-2.580000
1765917536.064778,-2.600000
1765917536.067523,-2.600000
1765917536.070426,-2.600000
1765917536.073304,-2.600000
1765917536.076196,-2.600000
1765917536.079057,-2.600000
1765917536.081860,-2.600000
1765917536.084627,-2.620000
1765917536.087438,-2.620000
1765917536.090180,-2.620000
1765917536.092983,-2.620000
1765917536.095772,-2.620000
1765917536.098595,-2.620000
1765917536.101374,-2.620000
1765917536.104232,-2.640000
1765917536.107061,-2.640000
1765917536.109849,-2.640000
1765917536.112660,-2.640000
1765917536.115476,-2.640000
1765917536.120069,-2.640000
1765917536.122880,-2.660000
1765917536.125613,-2.660000
1765917536.128376,-2.660000
1765917536.131200,-2.660000
1765917536.134447,-2.660000
1765917536.137850,-2.660000
1765917536.141443,-2.660000
1765917536.144233,-2.680000
1765917536.147056,-2.660000
1765917536.149851,-2.680000
1765917536.152642,-2.680000
1765917536.155993,-2.680000
1765917536.158777,-2.680000
1765917536.161561,-2.680000
1765917536.164365,-2.680000
1765917536.167187,-2.680000
1765917536.170047,-2.680000
1765917536.172836,-2.680000
1765917536.176185,-2.680000
1765917536.178925,-2.680000
1765917536.181724,-2.680000
1765917536.184500,-2.680000
1765917536.187359,-2.680000
1765917536.190206,-2.680000
1765917536.192996,-2.680000
1765917536.195771,-2.680000
1765917536.198616,-2.680000
1765917536.201505,-2.680000
1765917536.204362,-2.680000
1765917536.207163,-2.680000
1765917536.209989,-2.680000
1765917536.212787,-2.680000
1765917536.215651,-2.680000
1765917536.218786,-2.680000
1765917536.221613,-2.680000
