timestamp,home_angle_rad,angle_deg
2025-10-24 17:59:09.383,0.0000,0.0000
2025-10-24 17:59:09.394,0.0084,0.4809
2025-10-24 17:59:09.406,0.0282,1.6174
2025-10-24 17:59:09.417,0.0526,3.0163
2025-10-24 17:59:09.428,0.0790,4.5244
2025-10-24 17:59:09.440,0.1080,6.1855
2025-10-24 17:59:09.450,0.1362,7.8029
2025-10-24 17:59:09.462,0.1663,9.5296
2025-10-24 17:59:09.473,0.1972,11.3000
2025-10-24 17:59:09.485,0.2281,13.0704
2025-10-24 17:59:09.496,0.2590,14.8409
2025-10-24 17:59:09.507,0.2895,16.5894
2025-10-24 17:59:09.518,0.3201,18.3380
2025-10-24 17:59:09.529,0.3498,20.0428
2025-10-24 17:59:09.540,0.3807,21.8132
2025-10-24 17:59:09.551,0.4116,23.5836
2025-10-24 17:59:09.562,0.4429,25.3759
2025-10-24 17:59:09.574,0.4738,27.1463
2025-10-24 17:59:09.585,0.5055,28.9604
2025-10-24 17:59:09.596,0.5375,30.7964
2025-10-24 17:59:09.607,0.5692,32.6106
2025-10-24 17:59:09.619,0.6020,34.4902
2025-10-24 17:59:09.630,0.6336,36.3044
2025-10-24 17:59:09.641,0.6641,38.0529
2025-10-24 17:59:09.652,0.6954,39.8452
2025-10-24 17:59:09.663,0.7259,41.5938
2025-10-24 17:59:09.674,0.7561,43.3205
2025-10-24 17:59:09.685,0.7893,45.2220
2025-10-24 17:59:09.697,0.8217,47.0798
2025-10-24 17:59:09.708,0.8530,48.8721
2025-10-24 17:59:09.719,0.8854,50.7300
2025-10-24 17:59:09.730,0.9167,52.5222
2025-10-24 17:59:09.742,0.9499,54.4238
2025-10-24 17:59:09.753,0.9808,56.1942
2025-10-24 17:59:09.765,1.0079,57.7460
2025-10-24 17:59:09.776,1.0285,58.9263
2025-10-24 17:59:09.787,1.0407,59.6257
2025-10-24 17:59:09.798,1.0468,59.9754
2025-10-24 17:59:09.809,1.0483,60.0629
2025-10-24 17:59:09.820,1.0479,60.0410
2025-10-24 17:59:09.830,1.0472,59.9973
2025-10-24 17:59:09.842,1.0472,59.9973
2025-10-24 17:59:09.853,1.0468,59.9754
2025-10-24 17:59:09.864,1.0468,59.9754
2025-10-24 17:59:09.875,1.0468,59.9754
2025-10-24 17:59:09.886,1.0468,59.9754
2025-10-24 17:59:09.897,1.0464,59.9536
2025-10-24 17:59:09.909,1.0468,59.9754
2025-10-24 17:59:09.920,1.0468,59.9754
2025-10-24 17:59:09.931,1.0468,59.9754
2025-10-24 17:59:09.942,1.0468,59.9754
2025-10-24 17:59:09.953,1.0468,59.9754
2025-10-24 17:59:09.964,1.0468,59.9754
2025-10-24 17:59:09.975,1.0468,59.9754
2025-10-24 17:59:09.986,1.0468,59.9754
2025-10-24 17:59:09.998,1.0468,59.9754
2025-10-24 17:59:10.009,1.0468,59.9754
2025-10-24 17:59:10.020,1.0472,59.9973
2025-10-24 17:59:10.031,1.0468,59.9754
2025-10-24 17:59:10.042,1.0472,59.9973
2025-10-24 17:59:10.054,1.0468,59.9754
2025-10-24 17:59:10.064,1.0468,59.9754
2025-10-24 17:59:10.076,1.0464,59.9536
2025-10-24 17:59:10.087,1.0468,59.9754
2025-10-24 17:59:10.098,1.0468,59.9754
2025-10-24 17:59:10.109,1.0468,59.9754
2025-10-24 17:59:10.120,1.0468,59.9754
2025-10-24 17:59:10.131,1.0464,59.9536
2025-10-24 17:59:10.142,1.0468,59.9754
2025-10-24 17:59:10.153,1.0464,59.9536
2025-10-24 17:59:10.164,1.0464,59.9536
2025-10-24 17:59:10.175,1.0464,59.9536
2025-10-24 17:59:10.186,1.0464,59.9536
2025-10-24 17:59:10.197,1.0464,59.9536
2025-10-24 17:59:10.207,1.0464,59.9536
2025-10-24 17:59:10.218,1.0464,59.9536
2025-10-24 17:59:10.229,1.0468,59.9754
2025-10-24 17:59:10.240,1.0464,59.9536
2025-10-24 17:59:10.251,1.0468,59.9754
2025-10-24 17:59:10.262,1.0468,59.9754
2025-10-24 17:59:10.273,1.0468,59.9754
2025-10-24 17:59:10.284,1.0468,59.9754
2025-10-24 17:59:10.295,1.0468,59.9754
2025-10-24 17:59:10.306,1.0464,59.9536
2025-10-24 17:59:10.317,1.0464,59.9536
2025-10-24 17:59:10.328,1.0468,59.9754
2025-10-24 17:59:10.339,1.0468,59.9754
2025-10-24 17:59:10.350,1.0468,59.9754
2025-10-24 17:59:10.360,1.0468,59.9754
2025-10-24 17:59:10.371,1.0468,59.9754
2025-10-24 17:59:10.382,1.0468,59.9754
