time (us),x(mdps),y(mdps),z(mdps)
1772577253295027,-910,52.5,-253.75,
1772577253296185,0,0,0,
1772577253395738,446.25,35,-70,
1772577253396783,0,0,0,
1772577253495626,-12950,-5503.75,4515,
1772577253496857,0,0,0,
1772577253595661,1907.5,-411.25,262.5,
1772577253596853,0,0,0,
1772577253695558,787.5,236.25,-52.5,
1772577253696585,0,0,0,
1772577253795443,612.5,-43.75,-218.75,
1772577253796573,0,0,0,
1772577253894978,1583.75,-1408.75,-87.5,
1772577253896081,0,0,0,
1772577253994994,-140,-105,-315,
1772577253996156,0,0,0,
1772577254095180,507.5,-472.5,-96.25,
1772577254096253,0,0,0,
1772577254195215,105,341.25,-192.5,
1772577254196249,0,0,0,
1772577254295293,638.75,-901.25,-166.25,
1772577254296304,0,0,0,
1772577254394995,-586.25,498.75,-140,
1772577254396071,0,0,0,
1772577254494838,-17.5,87.5,-533.75,
1772577254496000,0,0,0,
1772577254594699,848.75,-166.25,-271.25,
1772577254595873,0,0,0,
1772577254694911,1023.75,-542.5,-332.5,
1772577254696008,0,0,0,
1772577254795347,1260,-848.75,52.5,
1772577254796463,0,0,0,
1772577254895012,-122.5,918.75,-323.75,
1772577254896114,0,0,0,
1772577254995248,227.5,87.5,-323.75,
1772577254996338,0,0,0,
1772577255095188,726.25,-673.75,-218.75,
1772577255096263,0,0,0,
1772577255195014,1076.25,-262.5,-393.75,
1772577255196233,0,0,0,
1772577255295025,848.75,-43.75,-52.5,
1772577255296086,0,0,0,
1772577255395002,901.25,-105,-490,
1772577255396090,0,0,0,
1772577255494977,691.25,-183.75,-218.75,
1772577255496035,0,0,0,
1772577255595199,918.75,35,-245,
1772577255596259,0,0,0,
1772577255695112,778.75,-26.25,-420,
1772577255696189,0,0,0,
1772577255795140,1041.25,-402.5,-192.5,
1772577255796213,0,0,0,
1772577255895227,752.5,-393.75,-131.25,
1772577255896322,0,0,0,
1772577255995156,848.75,-210,-210,
1772577255996294,0,0,0,
1772577256095180,997.5,-201.25,-245,
1772577256096288,0,0,0,
1772577256195043,892.5,-183.75,17.5,
1772577256196119,0,0,0,
1772577256295572,490,-201.25,-218.75,
1772577256296727,0,0,0,
1772577256394917,778.75,-315,-297.5,
1772577256396069,0,0,0,
1772577256495121,997.5,61.25,-17.5,
1772577256496162,0,0,0,
1772577256594809,901.25,-52.5,-288.75,
1772577256595896,0,0,0,
1772577256694933,8.75,0,-113.75,
1772577256696062,0,0,0,
1772577256795536,787.5,-166.25,-131.25,
1772577256796727,0,0,0,
1772577256895251,507.5,-175,-61.25,
1772577256896335,0,0,0,
1772577256994940,883.75,52.5,-70,
1772577256996086,0,0,0,
1772577257095189,848.75,-691.25,-166.25,
1772577257096345,0,0,0,
1772577257195096,761.25,-805,-157.5,
1772577257196161,0,0,0,
1772577257295261,481.25,-280,-472.5,
1772577257296361,0,0,0,
1772577257395182,192.5,-271.25,-358.75,
1772577257396267,0,0,0,
1772577257494840,700,113.75,-61.25,
1772577257495965,0,0,0,
1772577257595166,-131.25,1312.5,-288.75,
1772577257596308,0,0,0,
1772577257694910,1076.25,-455,-148.75,
1772577257696098,0,0,0,
1772577257794722,1058.75,516.25,288.75,
1772577257795825,0,0,0,
1772577257895450,-3920,3552.5,4042.5,
1772577257896559,0,0,0,
1772577257995205,-560,-43.75,2791.25,
1772577257996286,0,0,0,
1772577258095232,288.75,-341.25,-271.25,
1772577258096408,0,0,0,
1772577258194926,-315,-78.75,-455,
1772577258196126,0,0,0,
1772577258295120,-621.25,-840,-43.75,
1772577258296206,0,0,0,
