timestamp,tension (N)
1763418485.420058,-4.080000
1763418485.423020,-4.080000
1763418485.425883,-4.080000
1763418485.428811,-4.080000
1763418485.432752,-4.080000
1763418485.435584,-4.080000
1763418485.438435,-4.080000
1763418485.442017,-4.080000
1763418485.445386,-4.080000
1763418485.448611,-4.080000
1763418485.452101,-4.080000
1763418485.454853,-4.080000
1763418485.457625,-4.080000
1763418485.461357,-4.080000
1763418485.464906,-4.080000
1763418485.467720,-4.080000
1763418485.470481,-4.080000
1763418485.473196,-4.080000
1763418485.475950,-4.080000
1763418485.478741,-4.080000
1763418485.481518,-4.080000
1763418485.484655,-4.080000
1763418485.487466,-4.080000
1763418485.490268,-4.080000
1763418485.493740,-4.080000
1763418485.496531,-4.080000
1763418485.499343,-4.080000
1763418485.502154,-4.080000
1763418485.504964,-4.080000
1763418485.507741,-4.080000
1763418485.510649,-4.080000
1763418485.513529,-4.080000
1763418485.516440,-4.080000
1763418485.519310,-4.080000
1763418485.522271,-4.080000
1763418485.525203,-4.080000
1763418485.528320,-4.080000
1763418485.531209,-4.080000
1763418485.534123,-4.080000
1763418485.536940,-4.080000
1763418485.539837,-4.080000
1763418485.542961,-4.080000
1763418485.545913,-4.080000
1763418485.548731,-4.080000
1763418485.551556,-4.080000
1763418485.554489,-4.080000
1763418485.557369,-4.080000
1763418485.560308,-4.080000
1763418485.563222,-4.080000
1763418485.566105,-4.080000
1763418485.569033,-4.080000
1763418485.571947,-4.080000
1763418485.574862,-4.080000
1763418485.578089,-4.080000
1763418485.581093,-4.080000
1763418485.584048,-4.080000
1763418485.588366,-4.080000
1763418485.591318,-4.080000
1763418485.594485,-4.080000
1763418485.597472,-4.080000
1763418485.600806,-4.080000
1763418485.604090,-4.080000
1763418485.607608,-4.080000
1763418485.610732,-4.080000
1763418485.613608,-4.080000
1763418485.616936,-4.080000
1763418485.620450,-4.080000
1763418485.623299,-4.080000
1763418485.626238,-4.080000
1763418485.629596,-4.080000
1763418485.632791,-4.080000
1763418485.635756,-4.080000
1763418485.638815,-4.080000
1763418485.641855,-4.080000
1763418485.644845,-4.080000
1763418485.647802,-4.080000
1763418485.650743,-4.080000
1763418485.653620,-4.080000
1763418485.656359,-4.080000
1763418485.659190,-4.080000
1763418485.661987,-4.080000
1763418485.664706,-4.080000
1763418485.667560,-4.080000
1763418485.670315,-4.080000
1763418485.673069,-4.080000
1763418485.675903,-4.080000
1763418485.678758,-4.080000
1763418485.681597,-4.080000
1763418485.684397,-4.080000
