timestamp,tension (N)
1763418630.947361,-7.660000
1763418630.950272,-7.660000
1763418630.953241,-7.660000
1763418630.956111,-7.660000
1763418630.959006,-7.660000
1763418630.961856,-7.660000
1763418630.964705,-7.660000
1763418630.967653,-7.660000
1763418630.970560,-7.660000
1763418630.973386,-7.660000
1763418630.976178,-7.660000
1763418630.979028,-7.660000
1763418630.981906,-7.660000
1763418630.984735,-7.660000
1763418630.987582,-7.660000
1763418630.990390,-7.660000
1763418630.993273,-7.660000
1763418630.996182,-7.660000
1763418630.999141,-7.660000
1763418631.003514,-7.660000
1763418631.006365,-7.660000
1763418631.009280,-7.660000
1763418631.012813,-7.660000
1763418631.016432,-7.660000
1763418631.019442,-7.660000
1763418631.022952,-7.660000
1763418631.025823,-7.660000
1763418631.028745,-7.660000
1763418631.032456,-7.660000
1763418631.035875,-7.660000
1763418631.038749,-7.660000
1763418631.041648,-7.660000
1763418631.045194,-7.660000
1763418631.048185,-7.660000
1763418631.051257,-7.660000
1763418631.054214,-7.660000
1763418631.057221,-7.660000
1763418631.060152,-7.660000
1763418631.063463,-7.660000
1763418631.066517,-7.660000
1763418631.069532,-7.660000
1763418631.072500,-7.660000
1763418631.075499,-7.660000
1763418631.078556,-7.660000
1763418631.081583,-7.660000
1763418631.084762,-7.660000
1763418631.087772,-7.660000
1763418631.090624,-7.660000
1763418631.093621,-7.660000
1763418631.096640,-7.660000
1763418631.100034,-7.660000
1763418631.103002,-7.660000
1763418631.105981,-7.660000
1763418631.108877,-7.660000
1763418631.111683,-7.660000
1763418631.114486,-7.660000
1763418631.117265,-7.660000
1763418631.120378,-7.660000
1763418631.123315,-7.660000
1763418631.126201,-7.660000
1763418631.129080,-7.660000
1763418631.132029,-7.660000
1763418631.135023,-7.660000
1763418631.138055,-7.660000
1763418631.140987,-7.660000
1763418631.143929,-7.660000
1763418631.146947,-7.660000
1763418631.150099,-7.660000
1763418631.153034,-7.660000
1763418631.155960,-7.660000
1763418631.158972,-7.660000
1763418631.161888,-7.660000
1763418631.164956,-7.660000
1763418631.170154,-7.660000
1763418631.173005,-7.660000
1763418631.175865,-7.660000
1763418631.179452,-7.660000
1763418631.182968,-7.660000
1763418631.186136,-7.660000
1763418631.189696,-7.660000
1763418631.192707,-7.660000
1763418631.195707,-7.660000
1763418631.199180,-7.660000
1763418631.202682,-7.660000
1763418631.205705,-7.660000
1763418631.208803,-7.660000
1763418631.211818,-7.660000
1763418631.214872,-7.660000
1763418631.217911,-7.660000
1763418631.220968,-7.660000
1763418631.223973,-7.660000
1763418631.226967,-7.660000
1763418631.230110,-7.660000
1763418631.233183,-7.660000
1763418631.236187,-7.660000
1763418631.239185,-7.660000
1763418631.242182,-7.660000
1763418631.245263,-7.660000
1763418631.248306,-7.660000
1763418631.251574,-7.660000
1763418631.254548,-7.660000
1763418631.257494,-7.660000
1763418631.260463,-7.660000
1763418631.263590,-7.660000
1763418631.266747,-7.660000
1763418631.270041,-7.660000
1763418631.273002,-7.660000
1763418631.275899,-7.660000
1763418631.278987,-7.660000
1763418631.281854,-7.660000
1763418631.284921,-7.660000
1763418631.287890,-7.660000
1763418631.290864,-7.660000
1763418631.293812,-7.660000
1763418631.296856,-7.660000
1763418631.300313,-7.660000
1763418631.303346,-7.660000
1763418631.306264,-7.660000
1763418631.309229,-7.660000
1763418631.312059,-7.660000
1763418631.314987,-7.660000
1763418631.317878,-7.660000
1763418631.320806,-7.660000
1763418631.323642,-7.660000
1763418631.326520,-7.660000
1763418631.329423,-7.660000
1763418631.334257,-7.660000
1763418631.337140,-7.660000
1763418631.340078,-7.660000
1763418631.343656,-7.660000
1763418631.347135,-7.660000
1763418631.350666,-7.660000
1763418631.353770,-7.660000
1763418631.356763,-7.660000
1763418631.359720,-7.660000
1763418631.363228,-7.660000
1763418631.366803,-7.660000
1763418631.369726,-7.660000
1763418631.372662,-7.660000
1763418631.375837,-7.660000
1763418631.378737,-7.660000
1763418631.381680,-7.660000
1763418631.385003,-7.660000
1763418631.387959,-7.660000
1763418631.390795,-7.660000
1763418631.394136,-7.660000
1763418631.397068,-7.660000
1763418631.400102,-7.660000
1763418631.402971,-7.660000
1763418631.405850,-7.660000
1763418631.408717,-7.660000
1763418631.411602,-7.660000
1763418631.414597,-7.660000
1763418631.417549,-7.660000
1763418631.420500,-7.660000
1763418631.423429,-7.660000
1763418631.426373,-7.660000
1763418631.429342,-7.660000
1763418631.432315,-7.660000
1763418631.435434,-7.660000
1763418631.438314,-7.660000
1763418631.441367,-7.660000
1763418631.444362,-7.660000
1763418631.447367,-7.660000
1763418631.450595,-7.660000
1763418631.453586,-7.660000
1763418631.456558,-7.660000
1763418631.459424,-7.660000
1763418631.462308,-7.660000
1763418631.465278,-7.660000
1763418631.468159,-7.660000
1763418631.471061,-7.660000
1763418631.473946,-7.660000
1763418631.476943,-7.660000
1763418631.479786,-7.660000
1763418631.482742,-7.660000
1763418631.485625,-7.660000
1763418631.488770,-7.660000
1763418631.491687,-7.660000
1763418631.494637,-7.660000
1763418631.499815,-7.660000
1763418631.502743,-7.660000
1763418631.505729,-7.660000
1763418631.509082,-7.660000
1763418631.512433,-7.660000
1763418631.515728,-7.660000
1763418631.519458,-7.660000
1763418631.522317,-7.660000
1763418631.525161,-7.660000
1763418631.528559,-7.660000
1763418631.532224,-7.660000
1763418631.535164,-7.660000
1763418631.538066,-7.660000
1763418631.541360,-7.660000
1763418631.544315,-7.660000
1763418631.547297,-7.660000
1763418631.550727,-7.660000
1763418631.553639,-7.660000
1763418631.556551,-7.660000
1763418631.559681,-7.660000
1763418631.562613,-7.660000
1763418631.565880,-7.660000
1763418631.568981,-7.660000
1763418631.571879,-7.660000
1763418631.574791,-7.660000
1763418631.577719,-7.660000
1763418631.580693,-7.660000
1763418631.583761,-7.660000
1763418631.586655,-7.660000
1763418631.589524,-7.660000
1763418631.592391,-7.660000
1763418631.595176,-7.660000
1763418631.597995,-7.660000
1763418631.600776,-7.660000
1763418631.603620,-7.660000
1763418631.606507,-7.660000
1763418631.609302,-7.660000
1763418631.612178,-7.660000
1763418631.614982,-7.660000
1763418631.617787,-7.660000
1763418631.620695,-7.660000
1763418631.623573,-7.660000
1763418631.626333,-7.660000
1763418631.629117,-7.660000
1763418631.631917,-7.660000
1763418631.634833,-7.660000
1763418631.637748,-7.660000
1763418631.640662,-7.660000
1763418631.645399,-7.660000
1763418631.648261,-7.660000
1763418631.651107,-7.660000
