timestamp,tension (N)
1763418070.789392,-10.000000
1763418070.792711,-10.000000
1763418070.796278,-10.000000
1763418070.799437,-10.000000
1763418070.803204,-10.000000
1763418070.806522,-10.000000
1763418070.810210,-10.000000
1763418070.813993,-10.000000
1763418070.817411,-10.000000
1763418070.820914,-10.000000
1763418070.824447,-10.000000
1763418070.828002,-10.000000
1763418070.831501,-10.000000
1763418070.834554,-10.000000
1763418070.837630,-10.000000
1763418070.840773,-10.000000
1763418070.844181,-10.000000
1763418070.847367,-10.000000
1763418070.850340,-10.000000
1763418070.853284,-10.000000
1763418070.856278,-10.000000
1763418070.861807,-10.000000
1763418070.864803,-10.000000
1763418070.867791,-10.000000
1763418070.870944,-10.000000
1763418070.874064,-10.000000
1763418070.877128,-10.000000
1763418070.880337,-10.000000
1763418070.883647,-10.000000
1763418070.886684,-10.000000
1763418070.890157,-10.000000
1763418070.892939,-10.000000
1763418070.895785,-10.000000
1763418070.899291,-10.000000
1763418070.902821,-10.000000
1763418070.905667,-10.000000
1763418070.908542,-10.000000
1763418070.911865,-10.000000
1763418070.914690,-10.000000
1763418070.917643,-10.000000
1763418070.920869,-10.000000
1763418070.923679,-10.000000
1763418070.926523,-10.000000
1763418070.929320,-10.000000
1763418070.932196,-10.000000
1763418070.935089,-10.000000
1763418070.937972,-10.000000
1763418070.940774,-10.000000
1763418070.943622,-10.000000
1763418070.946537,-10.000000
1763418070.949499,-10.000000
1763418070.952507,-10.000000
1763418070.955388,-10.000000
1763418070.958258,-10.000000
1763418070.961177,-10.000000
1763418070.964201,-10.000000
1763418070.967236,-10.000000
1763418070.970247,-10.000000
1763418070.973253,-10.000000
1763418070.976308,-10.000000
1763418070.979387,-10.000000
1763418070.982371,-10.000000
1763418070.985417,-10.000000
1763418070.988507,-10.000000
1763418070.991487,-10.000000
1763418070.994369,-10.000000
1763418070.997301,-10.000000
1763418071.000153,-10.000000
1763418071.002993,-10.000000
1763418071.005805,-10.000000
1763418071.008637,-10.000000
1763418071.011474,-10.000000
1763418071.014303,-10.000000
1763418071.018197,-10.000000
1763418071.021132,-10.000000
1763418071.024326,-10.000000
1763418071.027886,-10.000000
1763418071.030777,-10.000000
1763418071.033692,-10.000000
1763418071.037091,-10.000000
1763418071.040417,-10.000000
1763418071.043597,-10.000000
1763418071.047187,-10.000000
1763418071.050115,-10.000000
1763418071.052991,-10.000000
1763418071.056352,-10.000000
1763418071.059803,-10.000000
1763418071.062748,-10.000000
1763418071.065641,-10.000000
1763418071.068879,-10.000000
1763418071.071650,-10.000000
1763418071.074551,-10.000000
1763418071.077895,-10.000000
1763418071.080806,-10.000000
1763418071.084355,-10.000000
