timestamp,tension (N)
1763418171.556568,-1.920000
1763418171.559599,-1.920000
1763418171.562796,-1.920000
1763418171.565747,-1.920000
1763418171.570056,-1.920000
1763418171.573025,-1.920000
1763418171.576430,-1.920000
1763418171.579809,-1.920000
1763418171.583016,-1.920000
1763418171.586544,-1.920000
1763418171.589429,-1.920000
1763418171.592393,-1.920000
1763418171.595959,-1.920000
1763418171.599515,-1.920000
1763418171.602444,-1.920000
1763418171.605548,-1.920000
1763418171.608735,-1.920000
1763418171.611813,-1.920000
1763418171.614890,-1.920000
1763418171.617955,-1.920000
1763418171.620944,-1.920000
1763418171.623919,-1.920000
1763418171.626998,-1.920000
1763418171.630121,-1.920000
1763418171.633065,-1.920000
1763418171.636199,-1.920000
1763418171.639328,-1.920000
1763418171.642516,-1.920000
1763418171.645513,-1.920000
1763418171.648463,-1.920000
1763418171.651392,-1.920000
1763418171.654287,-1.920000
1763418171.657202,-1.920000
1763418171.660113,-1.920000
1763418171.663042,-1.920000
1763418171.665949,-1.920000
1763418171.668870,-1.920000
1763418171.671848,-1.920000
1763418171.674804,-1.920000
1763418171.677809,-1.920000
1763418171.680845,-1.920000
1763418171.683813,-1.920000
1763418171.686817,-1.920000
1763418171.689936,-1.920000
1763418171.693032,-1.920000
1763418171.696364,-1.920000
1763418171.699444,-1.920000
1763418171.702441,-1.920000
1763418171.705444,-1.920000
1763418171.708459,-1.920000
1763418171.711790,-1.920000
1763418171.714905,-1.920000
1763418171.718018,-1.920000
1763418171.721083,-1.920000
1763418171.724135,-1.920000
1763418171.727131,-1.920000
1763418171.732046,-1.920000
1763418171.735135,-1.920000
1763418171.738334,-1.920000
1763418171.741680,-1.920000
1763418171.744867,-1.920000
1763418171.748588,-1.920000
1763418171.751675,-1.920000
1763418171.754728,-1.920000
1763418171.757854,-1.920000
1763418171.761418,-1.920000
1763418171.764550,-1.920000
1763418171.767613,-1.920000
1763418171.770578,-1.920000
1763418171.773587,-1.920000
1763418171.776637,-1.920000
1763418171.779771,-1.920000
1763418171.782775,-1.920000
1763418171.785804,-1.920000
1763418171.788889,-1.920000
1763418171.791861,-1.920000
1763418171.794923,-1.920000
1763418171.797986,-1.920000
1763418171.801135,-1.920000
1763418171.804213,-1.920000
1763418171.807158,-1.920000
1763418171.810157,-1.920000
1763418171.813182,-1.920000
1763418171.816211,-1.920000
1763418171.819256,-1.920000
1763418171.822226,-1.920000
1763418171.825222,-1.920000
1763418171.828546,-1.920000
1763418171.831715,-1.920000
1763418171.834770,-1.920000
1763418171.837807,-1.920000
1763418171.840876,-1.920000
1763418171.843867,-1.920000
1763418171.846961,-1.920000
1763418171.850069,-1.920000
1763418171.853118,-1.920000
1763418171.856148,-1.920000
1763418171.859218,-1.920000
1763418171.862393,-1.920000
1763418171.865447,-1.920000
1763418171.868491,-1.920000
1763418171.871516,-1.920000
1763418171.874537,-1.920000
1763418171.877590,-1.920000
1763418171.880632,-1.920000
1763418171.883650,-1.920000
1763418171.886747,-1.920000
1763418171.890087,-1.920000
1763418171.893805,-1.920000
1763418171.896893,-1.920000
1763418171.899976,-1.920000
1763418171.903368,-1.920000
1763418171.906715,-1.920000
1763418171.910265,-1.920000
1763418171.913337,-1.920000
1763418171.916403,-1.920000
1763418171.919631,-1.920000
1763418171.923163,-1.920000
1763418171.926176,-1.920000
1763418171.929238,-1.920000
1763418171.932340,-1.920000
1763418171.935504,-1.920000
1763418171.938505,-1.920000
1763418171.941521,-1.920000
1763418171.944648,-1.920000
1763418171.947641,-1.920000
1763418171.950690,-1.920000
1763418171.953694,-1.920000
1763418171.956708,-1.920000
1763418171.959732,-1.920000
1763418171.962743,-1.920000
1763418171.965880,-1.920000
1763418171.968877,-1.920000
1763418171.971919,-1.920000
1763418171.974948,-1.920000
1763418171.977986,-1.920000
1763418171.981037,-1.920000
1763418171.984082,-1.920000
1763418171.987205,-1.920000
1763418171.990169,-1.920000
1763418171.993148,-1.920000
1763418171.996328,-1.920000
1763418171.999476,-1.920000
1763418172.002562,-1.920000
