timestamp,tension (N)
1763418406.030835,-2.220000
1763418406.033732,-2.220000
1763418406.036799,-2.220000
1763418406.039686,-2.220000
1763418406.042652,-2.220000
1763418406.045542,-2.220000
1763418406.048334,-2.220000
1763418406.051150,-2.220000
1763418406.054017,-2.220000
1763418406.057044,-2.220000
1763418406.059975,-2.220000
1763418406.065121,-2.220000
1763418406.068030,-2.220000
1763418406.071028,-2.220000
1763418406.074543,-2.220000
1763418406.078058,-2.220000
1763418406.081150,-2.220000
1763418406.084780,-2.220000
1763418406.087686,-2.220000
1763418406.090744,-2.220000
1763418406.094241,-2.220000
1763418406.097810,-2.220000
1763418406.100770,-2.220000
1763418406.103675,-2.220000
1763418406.107127,-2.220000
1763418406.110334,-2.220000
1763418406.113679,-2.220000
1763418406.116665,-2.220000
1763418406.119564,-2.220000
1763418406.122466,-2.220000
1763418406.125550,-2.220000
1763418406.128513,-2.220000
1763418406.131465,-2.220000
1763418406.134417,-2.220000
1763418406.137416,-2.220000
1763418406.140300,-2.220000
1763418406.143192,-2.220000
1763418406.146006,-2.220000
1763418406.148813,-2.220000
1763418406.151685,-2.220000
1763418406.154522,-2.220000
1763418406.157324,-2.200000
1763418406.160184,-2.220000
1763418406.163053,-2.220000
1763418406.165920,-2.220000
1763418406.168748,-2.220000
1763418406.171785,-2.220000
1763418406.174832,-2.220000
1763418406.177710,-2.220000
1763418406.180717,-2.220000
1763418406.183657,-2.220000
1763418406.186497,-2.220000
1763418406.189389,-2.220000
1763418406.192144,-2.200000
1763418406.195104,-2.200000
1763418406.198021,-2.220000
1763418406.201020,-2.220000
1763418406.204021,-2.200000
1763418406.207019,-2.220000
1763418406.210052,-2.220000
1763418406.213023,-2.220000
1763418406.215895,-2.200000
1763418406.218799,-2.200000
1763418406.222853,-2.200000
1763418406.225928,-2.200000
1763418406.228848,-2.200000
1763418406.232049,-2.200000
1763418406.235417,-2.200000
1763418406.238661,-2.200000
1763418406.242184,-2.200000
1763418406.245089,-2.200000
1763418406.247979,-2.200000
1763418406.251409,-2.200000
1763418406.255018,-2.200000
1763418406.257904,-2.200000
1763418406.260831,-2.200000
1763418406.264162,-2.200000
1763418406.267048,-2.200000
1763418406.269957,-2.200000
1763418406.273268,-2.200000
1763418406.276446,-2.200000
1763418406.279368,-2.200000
1763418406.282442,-2.200000
1763418406.285324,-2.200000
1763418406.288209,-2.200000
1763418406.291168,-2.200000
1763418406.294109,-2.200000
1763418406.297111,-2.200000
1763418406.300052,-2.200000
1763418406.303008,-2.200000
1763418406.306011,-2.200000
1763418406.309136,-2.200000
1763418406.312229,-2.200000
1763418406.315248,-2.200000
1763418406.318254,-2.200000
1763418406.321208,-2.200000
1763418406.324234,-2.200000
1763418406.327445,-2.200000
1763418406.330576,-2.200000
1763418406.333612,-2.200000
1763418406.336638,-2.200000
1763418406.339665,-2.220000
1763418406.342729,-2.200000
1763418406.345902,-2.200000
1763418406.348833,-2.200000
1763418406.351691,-2.200000
1763418406.354637,-2.200000
1763418406.357660,-2.200000
1763418406.360655,-2.200000
1763418406.363692,-2.200000
1763418406.366667,-2.200000
1763418406.369622,-2.200000
1763418406.372726,-2.200000
1763418406.377727,-2.200000
1763418406.380728,-2.200000
1763418406.383662,-2.200000
1763418406.387050,-2.200000
1763418406.390243,-2.200000
1763418406.393510,-2.200000
1763418406.397269,-2.200000
1763418406.400307,-2.200000
1763418406.403302,-2.200000
1763418406.406373,-2.200000
1763418406.410186,-2.200000
1763418406.413153,-2.200000
1763418406.416128,-2.200000
1763418406.419098,-2.200000
1763418406.422127,-2.200000
1763418406.425124,-2.200000
1763418406.428101,-2.200000
1763418406.431041,-2.200000
1763418406.433897,-2.200000
1763418406.437158,-2.200000
1763418406.440112,-2.200000
1763418406.443074,-2.200000
1763418406.446020,-2.200000
1763418406.448861,-2.200000
1763418406.451609,-2.200000
1763418406.454674,-2.200000
1763418406.457573,-2.200000
1763418406.460454,-2.200000
1763418406.463360,-2.200000
1763418406.466183,-2.200000
1763418406.469024,-2.200000
1763418406.471901,-2.200000
1763418406.474754,-2.200000
1763418406.477695,-2.200000
1763418406.480654,-2.200000
1763418406.483625,-2.200000
1763418406.486598,-2.200000
1763418406.489511,-2.200000
1763418406.492443,-2.200000
1763418406.495408,-2.200000
1763418406.498364,-2.200000
1763418406.501405,-2.200000
1763418406.504395,-2.200000
1763418406.507332,-2.200000
1763418406.510228,-2.200000
1763418406.513012,-2.200000
1763418406.515809,-2.200000
1763418406.518626,-2.200000
1763418406.521369,-2.200000
1763418406.524153,-2.200000
1763418406.527024,-2.200000
1763418406.529772,-2.200000
1763418406.533827,-2.200000
1763418406.536851,-2.200000
1763418406.539613,-2.200000
1763418406.543096,-2.200000
1763418406.546446,-2.200000
1763418406.549684,-2.200000
1763418406.553298,-2.200000
1763418406.556112,-2.200000
1763418406.559026,-2.200000
1763418406.562576,-2.200000
1763418406.566132,-2.200000
1763418406.569054,-2.200000
1763418406.572042,-2.200000
1763418406.575275,-2.200000
1763418406.578207,-2.200000
1763418406.581158,-2.200000
1763418406.584451,-2.200000
1763418406.587342,-2.200000
1763418406.590389,-2.200000
1763418406.593634,-2.200000
1763418406.596615,-2.200000
1763418406.599516,-2.200000
1763418406.602373,-2.200000
1763418406.605150,-2.200000
1763418406.607974,-2.200000
1763418406.610810,-2.200000
1763418406.613584,-2.200000
1763418406.616373,-2.200000
