timestamp,tension (N)
1763418406.063517,-2.400000
1763418406.066381,-2.400000
1763418406.069294,-2.400000
1763418406.072094,-2.400000
1763418406.075039,-2.400000
1763418406.078188,-2.400000
1763418406.081016,-2.400000
1763418406.084024,-2.400000
1763418406.086925,-2.400000
1763418406.089882,-2.400000
1763418406.092851,-2.400000
1763418406.095746,-2.400000
1763418406.098671,-2.400000
1763418406.101555,-2.400000
1763418406.104520,-2.400000
1763418406.107493,-2.400000
1763418406.110463,-2.400000
1763418406.113373,-2.400000
1763418406.116268,-2.400000
1763418406.119218,-2.400000
1763418406.122077,-2.400000
1763418406.125059,-2.400000
1763418406.128108,-2.400000
1763418406.131021,-2.400000
1763418406.133861,-2.400000
1763418406.136718,-2.400000
1763418406.139594,-2.400000
1763418406.142536,-2.400000
1763418406.145445,-2.400000
1763418406.148235,-2.400000
1763418406.151021,-2.400000
1763418406.153822,-2.400000
1763418406.156589,-2.400000
1763418406.159418,-2.400000
1763418406.162281,-2.400000
1763418406.165115,-2.400000
1763418406.167935,-2.400000
1763418406.172284,-2.400000
1763418406.175027,-2.400000
1763418406.177801,-2.400000
1763418406.180661,-2.400000
1763418406.183447,-2.400000
1763418406.186386,-2.400000
1763418406.189534,-2.400000
1763418406.193126,-2.400000
1763418406.195947,-2.400000
1763418406.198682,-2.400000
1763418406.202353,-2.400000
1763418406.205903,-2.400000
1763418406.208870,-2.400000
1763418406.211805,-2.400000
1763418406.215012,-2.400000
1763418406.217847,-2.400000
1763418406.220753,-2.400000
1763418406.224050,-2.400000
1763418406.227029,-2.400000
1763418406.229912,-2.400000
1763418406.233001,-2.400000
1763418406.235835,-2.400000
1763418406.238754,-2.400000
1763418406.241650,-2.400000
1763418406.244730,-2.400000
1763418406.247657,-2.400000
1763418406.250576,-2.400000
1763418406.253483,-2.400000
1763418406.256359,-2.400000
1763418406.259410,-2.400000
1763418406.262329,-2.400000
1763418406.265224,-2.400000
1763418406.268215,-2.400000
1763418406.271205,-2.400000
1763418406.274111,-2.400000
1763418406.277239,-2.400000
1763418406.280183,-2.400000
1763418406.283099,-2.400000
1763418406.285946,-2.400000
1763418406.288877,-2.400000
1763418406.291790,-2.400000
1763418406.294720,-2.400000
1763418406.297695,-2.400000
1763418406.300630,-2.400000
1763418406.303560,-2.400000
1763418406.306495,-2.400000
1763418406.309605,-2.400000
1763418406.312582,-2.400000
1763418406.315586,-2.400000
1763418406.318652,-2.400000
1763418406.321641,-2.400000
1763418406.324639,-2.400000
1763418406.327605,-2.400000
1763418406.330754,-2.400000
1763418406.333754,-2.400000
1763418406.336891,-2.400000
1763418406.341244,-2.400000
1763418406.344373,-2.400000
1763418406.347300,-2.400000
1763418406.350373,-2.400000
1763418406.353714,-2.400000
1763418406.357023,-2.400000
1763418406.360400,-2.400000
1763418406.363301,-2.400000
1763418406.366216,-2.400000
1763418406.369694,-2.400000
1763418406.373201,-2.400000
1763418406.376117,-2.400000
1763418406.379120,-2.400000
1763418406.382318,-2.400000
1763418406.385212,-2.400000
1763418406.388142,-2.400000
1763418406.391279,-2.400000
1763418406.394195,-2.400000
1763418406.397181,-2.400000
1763418406.400407,-2.400000
1763418406.403383,-2.400000
1763418406.406332,-2.400000
1763418406.409421,-2.400000
1763418406.412448,-2.400000
1763418406.415455,-2.400000
1763418406.418443,-2.400000
1763418406.421436,-2.400000
1763418406.424428,-2.400000
1763418406.427503,-2.400000
1763418406.430425,-2.400000
1763418406.433311,-2.400000
1763418406.436264,-2.400000
1763418406.439269,-2.400000
1763418406.442222,-2.400000
1763418406.445087,-2.400000
1763418406.447995,-2.400000
1763418406.450868,-2.400000
1763418406.453728,-2.400000
1763418406.456623,-2.400000
1763418406.459602,-2.400000
1763418406.462520,-2.400000
1763418406.465396,-2.400000
1763418406.468322,-2.400000
1763418406.471209,-2.400000
1763418406.474058,-2.400000
1763418406.477039,-2.400000
1763418406.480014,-2.400000
1763418406.482868,-2.400000
1763418406.485814,-2.400000
1763418406.488788,-2.400000
1763418406.491813,-2.400000
1763418406.494790,-2.400000
1763418406.497731,-2.400000
1763418406.500721,-2.400000
1763418406.504909,-2.400000
1763418406.507748,-2.400000
1763418406.510560,-2.400000
1763418406.513978,-2.400000
1763418406.517210,-2.400000
1763418406.520468,-2.400000
1763418406.523993,-2.400000
1763418406.526744,-2.400000
1763418406.529569,-2.400000
1763418406.533151,-2.400000
1763418406.536897,-2.400000
1763418406.539700,-2.400000
1763418406.542575,-2.400000
1763418406.545810,-2.400000
1763418406.548596,-2.400000
1763418406.551502,-2.400000
1763418406.554892,-2.400000
1763418406.557716,-2.400000
1763418406.560660,-2.400000
1763418406.563834,-2.400000
1763418406.566618,-2.400000
1763418406.569452,-2.400000
1763418406.572304,-2.400000
1763418406.575197,-2.400000
1763418406.578092,-2.400000
1763418406.581085,-2.400000
1763418406.584104,-2.400000
1763418406.587071,-2.400000
1763418406.590146,-2.400000
1763418406.593110,-2.400000
1763418406.596081,-2.400000
1763418406.599028,-2.400000
1763418406.601886,-2.400000
1763418406.604789,-2.400000
1763418406.607581,-2.400000
1763418406.610412,-2.400000
1763418406.613225,-2.400000
1763418406.616053,-2.400000
1763418406.618899,-2.400000
1763418406.621754,-2.400000
1763418406.624729,-2.400000
1763418406.628136,-2.400000
1763418406.631137,-2.400000
1763418406.634051,-2.400000
1763418406.637036,-2.400000
1763418406.639973,-2.400000
1763418406.642974,-2.400000
1763418406.645980,-2.400000
1763418406.648941,-2.400000
1763418406.651986,-2.400000
1763418406.654943,-2.400000
1763418406.657982,-2.400000
1763418406.661045,-2.400000
1763418406.664152,-2.400000
1763418406.668369,-2.400000
1763418406.671293,-2.400000
1763418406.674251,-2.400000
1763418406.677555,-2.400000
1763418406.680831,-2.400000
1763418406.684092,-2.400000
1763418406.687706,-2.400000
1763418406.690725,-2.400000
1763418406.693739,-2.400000
1763418406.696772,-2.400000
1763418406.700270,-2.400000
1763418406.703175,-2.400000
1763418406.706148,-2.400000
1763418406.709393,-2.400000
1763418406.712348,-2.400000
1763418406.715290,-2.400000
1763418406.718377,-2.400000
1763418406.721375,-2.400000
1763418406.724360,-2.400000
1763418406.727405,-2.400000
1763418406.730365,-2.400000
1763418406.733292,-2.400000
1763418406.736273,-2.400000
1763418406.739190,-2.400000
1763418406.742083,-2.400000
1763418406.744873,-2.400000
1763418406.747715,-2.400000
1763418406.750522,-2.400000
1763418406.753234,-2.400000
1763418406.756001,-2.400000
1763418406.758776,-2.400000
1763418406.761514,-2.400000
1763418406.764285,-2.400000
1763418406.767080,-2.400000
1763418406.769928,-2.400000
1763418406.772722,-2.400000
1763418406.775585,-2.400000
1763418406.778488,-2.400000
1763418406.781326,-2.400000
1763418406.784140,-2.400000
1763418406.787007,-2.400000
1763418406.789852,-2.400000
1763418406.792715,-2.400000
1763418406.795692,-2.400000
1763418406.798705,-2.400000
1763418406.801654,-2.400000
1763418406.804600,-2.400000
1763418406.807786,-2.400000
1763418406.810703,-2.400000
1763418406.813672,-2.400000
1763418406.816628,-2.400000
1763418406.819569,-2.400000
1763418406.822535,-2.400000
1763418406.825462,-2.400000
1763418406.828521,-2.400000
1763418406.831545,-2.400000
1763418406.836291,-2.400000
1763418406.839179,-2.400000
1763418406.842158,-2.400000
1763418406.845630,-2.400000
1763418406.848786,-2.400000
1763418406.852068,-2.400000
1763418406.855504,-2.400000
1763418406.858389,-2.400000
1763418406.861327,-2.400000
1763418406.864692,-2.400000
1763418406.868206,-2.400000
1763418406.871146,-2.400000
1763418406.874078,-2.400000
1763418406.877456,-2.400000
1763418406.880330,-2.400000
1763418406.883143,-2.400000
1763418406.886242,-2.400000
1763418406.889115,-2.400000
1763418406.892090,-2.400000
1763418406.895249,-2.400000
1763418406.898140,-2.400000
1763418406.901034,-2.400000
1763418406.903889,-2.400000
1763418406.906841,-2.400000
1763418406.909745,-2.400000
1763418406.912690,-2.400000
1763418406.915719,-2.400000
1763418406.918702,-2.400000
1763418406.921847,-2.400000
1763418406.924896,-2.400000
1763418406.927916,-2.400000
1763418406.930827,-2.400000
1763418406.933707,-2.400000
1763418406.936616,-2.400000
1763418406.939524,-2.400000
1763418406.942466,-2.400000
1763418406.945364,-2.400000
1763418406.948286,-2.400000
1763418406.951257,-2.400000
1763418406.954169,-2.400000
1763418406.957167,-2.400000
1763418406.960133,-2.400000
1763418406.963108,-2.400000
1763418406.966034,-2.400000
1763418406.968927,-2.400000
1763418406.971872,-2.400000
1763418406.974804,-2.400000
1763418406.977742,-2.400000
1763418406.980749,-2.400000
1763418406.983824,-2.400000
1763418406.986860,-2.400000
1763418406.989832,-2.400000
1763418406.992753,-2.400000
1763418406.995824,-2.400000
1763418407.000625,-2.400000
1763418407.003445,-2.400000
1763418407.006368,-2.400000
1763418407.009639,-2.400000
1763418407.012955,-2.400000
1763418407.016154,-2.400000
1763418407.019714,-2.400000
1763418407.022754,-2.400000
1763418407.025679,-2.400000
1763418407.028895,-2.400000
1763418407.032404,-2.400000
1763418407.035382,-2.400000
1763418407.038273,-2.400000
1763418407.041499,-2.400000
1763418407.044597,-2.400000
1763418407.047519,-2.400000
1763418407.050449,-2.400000
1763418407.053350,-2.400000
1763418407.056301,-2.400000
1763418407.059526,-2.400000
1763418407.062391,-2.400000
1763418407.065349,-2.400000
1763418407.068323,-2.400000
1763418407.071327,-2.400000
1763418407.074287,-2.400000
1763418407.077534,-2.400000
1763418407.080490,-2.400000
1763418407.083450,-2.400000
1763418407.086348,-2.400000
1763418407.089334,-2.400000
1763418407.092261,-2.400000
1763418407.095268,-2.400000
1763418407.098200,-2.400000
1763418407.101157,-2.400000
1763418407.104060,-2.400000
1763418407.106968,-2.400000
1763418407.109956,-2.400000
1763418407.112915,-2.400000
1763418407.115858,-2.400000
1763418407.118755,-2.400000
1763418407.121663,-2.400000
1763418407.124567,-2.400000
1763418407.127560,-2.400000
1763418407.130478,-2.400000
1763418407.133391,-2.400000
1763418407.136319,-2.400000
1763418407.139202,-2.400000
1763418407.142153,-2.400000
1763418407.145357,-2.400000
1763418407.148288,-2.400000
1763418407.151249,-2.400000
1763418407.154306,-2.400000
1763418407.157386,-2.400000
1763418407.162555,-2.400000
1763418407.165567,-2.400000
1763418407.168503,-2.400000
1763418407.171746,-2.400000
1763418407.174922,-2.400000
1763418407.178157,-2.400000
1763418407.181632,-2.400000
1763418407.184459,-2.400000
1763418407.187275,-2.400000
1763418407.190762,-2.400000
1763418407.194473,-2.400000
1763418407.197356,-2.400000
1763418407.200244,-2.400000
1763418407.203434,-2.400000
1763418407.206308,-2.400000
1763418407.209215,-2.400000
1763418407.212526,-2.400000
1763418407.215337,-2.400000
1763418407.218172,-2.400000
1763418407.221490,-2.400000
1763418407.224336,-2.400000
1763418407.227243,-2.400000
1763418407.230220,-2.400000
1763418407.233070,-2.400000
1763418407.235900,-2.400000
1763418407.238807,-2.400000
1763418407.241673,-2.400000
1763418407.244625,-2.400000
1763418407.247538,-2.400000
1763418407.250332,-2.400000
1763418407.253090,-2.400000
1763418407.255951,-2.400000
1763418407.258808,-2.400000
1763418407.261633,-2.400000
1763418407.264444,-2.400000
1763418407.267263,-2.400000
