timestamp,tension (N)
1763417898.933084,-5.960000
1763417898.935884,-5.960000
1763417898.938766,-5.960000
1763417898.941599,-5.960000
1763417898.944433,-5.960000
1763417898.947316,-5.960000
1763417898.950187,-5.960000
1763417898.953086,-5.960000
1763417898.956047,-5.960000
1763417898.958910,-5.960000
1763417898.961982,-5.960000
1763417898.965066,-5.960000
1763417898.968014,-5.960000
1763417898.970911,-5.960000
1763417898.973853,-5.960000
1763417898.976774,-5.960000
1763417898.979739,-5.960000
1763417898.982860,-5.960000
1763417898.985763,-5.960000
1763417898.988685,-5.960000
1763417898.991636,-5.960000
1763417898.994637,-5.960000
1763417898.998000,-5.960000
1763417899.001992,-5.960000
1763417899.004910,-5.960000
1763417899.007786,-5.960000
1763417899.011266,-5.960000
1763417899.014574,-5.960000
1763417899.017865,-5.960000
1763417899.021625,-5.960000
1763417899.024563,-5.960000
1763417899.027524,-5.960000
1763417899.030938,-5.960000
1763417899.034619,-5.960000
1763417899.037595,-5.960000
1763417899.040623,-5.960000
1763417899.043846,-5.960000
1763417899.046959,-5.960000
1763417899.050011,-5.960000
1763417899.053018,-5.960000
1763417899.055895,-5.960000
1763417899.058812,-5.960000
1763417899.062176,-5.960000
1763417899.064975,-5.960000
1763417899.067832,-5.960000
1763417899.070625,-5.960000
1763417899.073459,-5.960000
1763417899.076363,-5.960000
1763417899.079211,-5.960000
1763417899.082072,-5.960000
1763417899.084908,-5.960000
1763417899.087744,-5.960000
1763417899.090600,-5.960000
1763417899.093554,-5.960000
1763417899.096373,-5.960000
1763417899.099171,-5.960000
1763417899.102049,-5.960000
1763417899.104936,-5.960000
1763417899.107934,-5.960000
1763417899.110925,-5.960000
1763417899.113876,-5.960000
1763417899.116736,-5.960000
1763417899.119636,-5.960000
1763417899.122619,-5.960000
1763417899.125590,-5.960000
1763417899.128568,-5.960000
1763417899.131561,-5.960000
1763417899.134492,-5.960000
1763417899.137544,-5.960000
1763417899.140572,-5.960000
1763417899.143557,-5.960000
1763417899.146461,-5.960000
1763417899.149313,-5.960000
1763417899.152184,-5.960000
1763417899.155017,-5.960000
1763417899.159247,-5.960000
1763417899.162300,-5.960000
1763417899.165295,-5.960000
1763417899.168711,-5.960000
1763417899.172052,-5.960000
1763417899.175344,-5.960000
1763417899.178975,-5.960000
1763417899.182253,-5.960000
1763417899.185401,-5.960000
1763417899.188470,-5.960000
1763417899.192029,-5.960000
1763417899.195045,-5.960000
1763417899.198126,-5.960000
1763417899.201346,-5.960000
1763417899.204356,-5.960000
1763417899.207380,-5.960000
1763417899.210472,-5.960000
1763417899.213531,-5.960000
1763417899.216771,-5.960000
1763417899.219765,-5.960000
1763417899.222725,-5.960000
1763417899.225745,-5.960000
1763417899.228773,-5.960000
1763417899.231954,-5.960000
1763417899.234896,-5.960000
1763417899.237812,-5.960000
1763417899.240736,-5.960000
1763417899.243685,-5.960000
1763417899.246702,-5.960000
1763417899.249758,-5.960000
1763417899.252737,-5.960000
1763417899.255863,-5.960000
1763417899.258882,-5.960000
1763417899.262193,-5.960000
1763417899.265232,-5.960000
1763417899.268267,-5.960000
1763417899.271369,-5.960000
1763417899.274356,-5.960000
1763417899.277328,-5.960000
1763417899.280297,-5.960000
1763417899.283359,-5.960000
1763417899.286313,-5.960000
1763417899.289297,-5.960000
1763417899.292366,-5.960000
1763417899.295482,-5.960000
1763417899.298475,-5.960000
1763417899.301549,-5.960000
1763417899.304565,-5.960000
1763417899.307701,-5.960000
1763417899.310846,-5.960000
1763417899.314951,-5.960000
1763417899.318038,-5.960000
1763417899.321206,-5.960000
1763417899.324502,-5.960000
1763417899.327873,-5.960000
1763417899.331219,-5.960000
1763417899.334651,-5.960000
1763417899.337823,-5.960000
1763417899.340942,-5.960000
1763417899.344058,-5.960000
1763417899.347627,-5.960000
1763417899.350711,-5.960000
1763417899.353765,-5.960000
1763417899.356955,-5.960000
1763417899.359973,-5.960000
1763417899.363064,-5.960000
1763417899.366201,-5.940000
1763417899.369214,-5.960000
1763417899.372424,-5.960000
1763417899.375475,-5.940000
1763417899.378471,-5.940000
1763417899.381463,-5.940000
1763417899.384611,-5.960000
1763417899.387834,-5.960000
1763417899.390846,-5.960000
1763417899.393930,-5.940000
1763417899.396956,-5.940000
1763417899.400083,-5.940000
1763417899.403063,-5.940000
1763417899.406105,-5.940000
1763417899.409108,-5.940000
1763417899.412145,-5.960000
1763417899.415161,-5.960000
1763417899.418141,-5.940000
1763417899.421109,-5.940000
1763417899.424093,-5.960000
1763417899.426995,-5.960000
1763417899.429857,-5.960000
1763417899.432662,-5.940000
1763417899.435548,-5.960000
1763417899.438428,-5.960000
1763417899.441323,-5.940000
1763417899.444287,-5.940000
1763417899.447312,-5.960000
1763417899.450259,-5.960000
1763417899.453121,-5.960000
1763417899.455975,-5.960000
1763417899.458845,-5.960000
1763417899.461716,-5.960000
1763417899.464600,-5.960000
1763417899.467522,-5.960000
1763417899.471661,-5.940000
1763417899.474609,-5.960000
1763417899.477558,-5.960000
1763417899.481121,-5.960000
1763417899.484681,-5.960000
1763417899.487847,-5.960000
1763417899.491427,-5.960000
1763417899.494475,-5.960000
1763417899.497669,-5.960000
1763417899.500898,-5.960000
1763417899.504477,-5.960000
1763417899.507519,-5.940000
1763417899.510529,-5.940000
1763417899.513784,-5.940000
1763417899.516783,-5.940000
1763417899.519891,-5.940000
1763417899.522999,-5.940000
1763417899.526031,-5.940000
1763417899.529019,-5.940000
1763417899.532385,-5.940000
1763417899.535425,-5.940000
1763417899.538347,-5.940000
1763417899.541276,-5.940000
1763417899.544304,-5.940000
1763417899.547266,-5.940000
1763417899.550294,-5.940000
1763417899.553304,-5.940000
1763417899.556323,-5.940000
1763417899.559363,-5.940000
1763417899.562572,-5.940000
1763417899.565676,-5.940000
1763417899.568790,-5.940000
1763417899.571834,-5.940000
1763417899.574848,-5.940000
1763417899.577848,-5.940000
1763417899.580892,-5.940000
1763417899.584226,-5.940000
1763417899.587354,-5.940000
1763417899.590355,-5.940000
1763417899.593303,-5.940000
1763417899.596316,-5.940000
1763417899.599338,-5.940000
1763417899.602267,-5.940000
1763417899.605245,-5.940000
1763417899.608239,-5.940000
1763417899.611137,-5.940000
1763417899.614097,-5.940000
1763417899.617222,-5.940000
1763417899.620355,-5.940000
1763417899.623322,-5.940000
1763417899.626307,-5.940000
1763417899.629267,-5.940000
1763417899.632245,-5.940000
1763417899.635252,-5.940000
1763417899.638215,-5.940000
1763417899.641228,-5.940000
1763417899.644241,-5.940000
1763417899.649116,-5.940000
1763417899.652040,-5.940000
1763417899.654934,-5.940000
1763417899.658015,-5.940000
1763417899.661396,-5.940000
1763417899.664676,-5.940000
1763417899.668301,-5.940000
1763417899.671112,-5.940000
1763417899.673943,-5.940000
1763417899.676846,-5.960000
1763417899.679639,-5.960000
1763417899.682941,-5.960000
1763417899.685883,-5.960000
1763417899.688723,-5.960000
1763417899.692206,-5.960000
1763417899.695009,-5.960000
1763417899.697894,-5.960000
1763417899.701459,-5.960000
1763417899.704325,-5.960000
1763417899.707188,-5.960000
1763417899.710723,-5.960000
1763417899.713666,-5.960000
1763417899.716680,-5.960000
1763417899.719593,-5.960000
1763417899.722510,-5.940000
1763417899.725460,-5.940000
1763417899.728423,-5.940000
1763417899.731376,-5.940000
1763417899.734288,-5.940000
1763417899.737205,-5.940000
1763417899.740197,-5.940000
1763417899.743120,-5.940000
1763417899.746120,-5.940000
1763417899.749281,-5.940000
1763417899.752279,-5.940000
1763417899.755217,-5.940000
1763417899.758449,-5.940000
1763417899.761438,-5.940000
1763417899.764404,-5.940000
1763417899.767341,-5.940000
1763417899.770279,-5.940000
1763417899.773415,-5.940000
1763417899.776416,-5.940000
1763417899.779379,-5.940000
1763417899.782381,-5.940000
1763417899.785324,-5.940000
1763417899.788296,-5.940000
1763417899.791225,-5.940000
1763417899.794122,-5.940000
1763417899.798346,-5.940000
1763417899.801378,-5.940000
1763417899.804292,-5.940000
1763417899.807715,-5.940000
1763417899.811159,-5.940000
1763417899.814471,-5.940000
1763417899.818058,-5.940000
1763417899.820924,-5.940000
1763417899.823903,-5.940000
1763417899.827457,-5.940000
1763417899.831054,-5.940000
1763417899.834035,-5.940000
1763417899.837075,-5.940000
1763417899.840288,-5.940000
1763417899.843255,-5.940000
1763417899.846189,-5.940000
1763417899.849647,-5.940000
1763417899.852618,-5.940000
1763417899.855561,-5.940000
1763417899.858775,-5.940000
1763417899.861712,-5.940000
1763417899.864632,-5.940000
1763417899.867584,-5.940000
1763417899.870528,-5.940000
1763417899.873523,-5.940000
1763417899.876508,-5.940000
1763417899.879459,-5.940000
1763417899.882693,-5.940000
1763417899.885807,-5.940000
1763417899.888862,-5.940000
1763417899.891992,-5.940000
1763417899.895061,-5.940000
1763417899.898141,-5.940000
1763417899.901235,-5.940000
1763417899.904268,-5.940000
1763417899.907254,-5.940000
1763417899.910264,-5.940000
1763417899.913274,-5.940000
1763417899.916256,-5.940000
1763417899.919249,-5.940000
1763417899.922280,-5.940000
1763417899.925361,-5.940000
1763417899.928463,-5.940000
1763417899.931600,-5.940000
1763417899.934651,-5.940000
1763417899.937575,-5.940000
1763417899.940543,-5.940000
1763417899.943609,-5.940000
1763417899.946614,-5.940000
1763417899.949573,-5.940000
1763417899.954631,-5.940000
1763417899.957648,-5.940000
1763417899.960602,-5.940000
1763417899.964000,-5.940000
1763417899.967406,-5.940000
1763417899.970697,-5.940000
1763417899.974320,-5.940000
1763417899.977346,-5.940000
1763417899.980310,-5.940000
1763417899.983752,-5.940000
1763417899.987300,-5.940000
1763417899.990259,-5.940000
1763417899.993367,-5.940000
1763417899.996543,-5.940000
1763417899.999559,-5.940000
1763417900.002613,-5.940000
1763417900.005805,-5.940000
1763417900.008794,-5.940000
1763417900.011757,-5.940000
1763417900.015062,-5.940000
1763417900.018040,-5.940000
1763417900.021079,-5.940000
1763417900.024068,-5.940000
1763417900.027033,-5.940000
1763417900.030087,-5.940000
1763417900.033077,-5.940000
1763417900.036045,-5.940000
1763417900.039057,-5.940000
1763417900.041971,-5.940000
1763417900.044974,-5.940000
1763417900.047905,-5.940000
1763417900.050885,-5.940000
1763417900.053814,-5.940000
1763417900.056750,-5.940000
1763417900.059717,-5.940000
1763417900.062734,-5.940000
1763417900.065671,-5.940000
1763417900.068630,-5.940000
1763417900.071633,-5.940000
1763417900.074621,-5.940000
1763417900.077637,-5.940000
1763417900.080595,-5.940000
1763417900.083677,-5.940000
1763417900.086819,-5.940000
1763417900.089764,-5.940000
1763417900.092715,-5.940000
1763417900.095684,-5.940000
1763417900.098646,-5.940000
1763417900.101671,-5.940000
1763417900.104712,-5.940000
1763417900.107632,-5.940000
1763417900.111841,-5.940000
1763417900.114792,-5.940000
1763417900.117592,-5.940000
1763417900.121132,-5.940000
1763417900.124637,-5.940000
1763417900.127976,-5.940000
1763417900.131606,-5.940000
1763417900.134680,-5.940000
1763417900.137613,-5.940000
1763417900.140953,-5.940000
1763417900.144502,-5.940000
1763417900.147445,-5.940000
1763417900.150370,-5.940000
1763417900.153903,-5.940000
1763417900.156962,-5.940000
1763417900.160013,-5.940000
1763417900.163099,-5.940000
1763417900.166257,-5.940000
1763417900.169326,-5.940000
1763417900.172371,-5.940000
1763417900.175315,-5.940000
1763417900.178294,-5.940000
1763417900.181331,-5.940000
1763417900.184400,-5.940000
1763417900.187440,-5.940000
1763417900.190454,-5.940000
1763417900.193461,-5.940000
1763417900.196476,-5.940000
1763417900.199538,-5.940000
1763417900.202665,-5.940000
1763417900.205628,-5.940000
1763417900.208618,-5.940000
1763417900.211622,-5.940000
1763417900.214630,-5.940000
1763417900.217743,-5.940000
1763417900.220709,-5.940000
1763417900.223678,-5.940000
1763417900.226604,-5.940000
1763417900.229604,-5.940000
1763417900.232946,-5.940000
1763417900.236022,-5.940000
1763417900.239001,-5.940000
1763417900.241985,-5.940000
1763417900.244941,-5.940000
1763417900.247919,-5.940000
1763417900.250801,-5.940000
1763417900.253697,-5.940000
1763417900.256655,-5.940000
1763417900.259626,-5.940000
1763417900.262604,-5.940000
1763417900.267135,-5.940000
1763417900.270100,-5.940000
1763417900.273080,-5.940000
1763417900.276488,-5.940000
1763417900.279976,-5.940000
1763417900.283203,-5.940000
1763417900.286785,-5.940000
1763417900.289699,-5.940000
1763417900.292633,-5.940000
1763417900.296305,-5.940000
1763417900.299954,-5.940000
1763417900.303011,-5.940000
1763417900.305984,-5.940000
1763417900.309059,-5.940000
1763417900.312051,-5.940000
1763417900.315024,-5.940000
1763417900.318384,-5.940000
1763417900.321505,-5.940000
1763417900.324557,-5.940000
1763417900.327560,-5.940000
1763417900.330541,-5.940000
1763417900.333619,-5.940000
1763417900.336694,-5.940000
1763417900.339708,-5.940000
1763417900.342696,-5.940000
1763417900.345683,-5.940000
1763417900.348650,-5.940000
1763417900.351991,-5.940000
1763417900.355047,-5.940000
1763417900.358081,-5.940000
1763417900.361021,-5.940000
1763417900.363979,-5.940000
1763417900.366987,-5.940000
1763417900.369992,-5.940000
1763417900.373095,-5.940000
1763417900.376095,-5.940000
1763417900.379056,-5.940000
1763417900.382044,-5.940000
1763417900.385181,-5.940000
1763417900.388170,-5.940000
1763417900.391168,-5.940000
1763417900.394188,-5.940000
1763417900.397306,-5.940000
1763417900.400466,-5.940000
1763417900.403470,-5.940000
1763417900.406376,-5.940000
1763417900.409357,-5.940000
1763417900.412392,-5.940000
1763417900.415348,-5.940000
1763417900.418319,-5.940000
1763417900.423400,-5.940000
1763417900.426348,-5.940000
1763417900.429307,-5.940000
1763417900.432789,-5.940000
1763417900.436083,-5.940000
1763417900.439408,-5.940000
1763417900.443014,-5.940000
1763417900.445932,-5.940000
1763417900.448910,-5.940000
1763417900.452484,-5.940000
1763417900.456071,-5.940000
1763417900.459004,-5.940000
1763417900.461993,-5.940000
1763417900.465350,-5.940000
1763417900.468280,-5.940000
1763417900.471299,-5.940000
1763417900.474581,-5.940000
1763417900.477770,-5.940000
1763417900.480785,-5.940000
1763417900.483814,-5.940000
1763417900.486736,-5.940000
1763417900.489633,-5.940000
1763417900.492580,-5.940000
1763417900.495538,-5.940000
1763417900.498522,-5.940000
1763417900.501699,-5.940000
1763417900.504588,-5.940000
1763417900.507440,-5.940000
1763417900.510260,-5.940000
1763417900.513170,-5.940000
1763417900.516271,-5.940000
1763417900.519197,-5.940000
1763417900.522087,-5.940000
1763417900.525008,-5.940000
1763417900.527861,-5.940000
1763417900.530838,-5.940000
1763417900.533929,-5.940000
1763417900.536889,-5.940000
1763417900.539797,-5.940000
1763417900.542773,-5.940000
1763417900.545704,-5.940000
1763417900.548799,-5.940000
1763417900.551785,-5.940000
1763417900.554642,-5.940000
1763417900.557566,-5.940000
1763417900.560479,-5.940000
1763417900.563402,-5.940000
1763417900.566391,-5.940000
1763417900.569341,-5.940000
1763417900.572433,-5.940000
1763417900.575346,-5.940000
1763417900.579720,-5.940000
1763417900.582706,-5.940000
1763417900.585620,-5.940000
1763417900.589092,-5.940000
1763417900.592497,-5.940000
1763417900.595757,-5.940000
1763417900.599440,-5.940000
1763417900.602430,-5.940000
1763417900.605311,-5.940000
1763417900.608756,-5.940000
1763417900.612425,-5.940000
1763417900.615335,-5.940000
1763417900.618254,-5.940000
1763417900.621579,-5.940000
1763417900.624499,-5.940000
1763417900.627434,-5.940000
1763417900.630842,-5.940000
1763417900.633795,-5.940000
1763417900.636722,-5.940000
1763417900.640162,-5.940000
1763417900.643070,-5.940000
1763417900.645968,-5.940000
1763417900.648914,-5.940000
1763417900.651870,-5.940000
1763417900.654794,-5.940000
1763417900.657660,-5.940000
1763417900.660617,-5.940000
1763417900.663595,-5.940000
1763417900.666586,-5.940000
1763417900.669526,-5.940000
1763417900.672396,-5.940000
1763417900.675344,-5.940000
1763417900.678223,-5.940000
1763417900.681115,-5.940000
1763417900.684060,-5.940000
1763417900.686912,-5.940000
1763417900.689812,-5.940000
1763417900.692743,-5.940000
1763417900.695660,-5.940000
1763417900.698626,-5.940000
1763417900.701562,-5.940000
1763417900.704556,-5.940000
1763417900.707490,-5.940000
1763417900.710402,-5.940000
1763417900.713298,-5.940000
1763417900.716485,-5.940000
1763417900.719324,-5.940000
1763417900.722208,-5.940000
1763417900.725021,-5.940000
1763417900.727886,-5.940000
1763417900.730749,-5.940000
1763417900.735900,-5.940000
1763417900.738757,-5.940000
1763417900.741587,-5.940000
1763417900.745267,-5.940000
1763417900.748649,-5.940000
1763417900.751957,-5.940000
1763417900.755585,-5.940000
1763417900.758516,-5.940000
1763417900.761424,-5.940000
1763417900.764942,-5.940000
1763417900.768551,-5.940000
1763417900.771477,-5.940000
1763417900.774400,-5.940000
