timestamp,tension (N)
1763418212.668355,-3.880000
1763418212.671223,-3.880000
1763418212.674056,-3.880000
1763418212.676842,-3.880000
1763418212.679763,-3.880000
1763418212.682594,-3.880000
1763418212.685446,-3.880000
1763418212.688367,-3.880000
1763418212.691305,-3.880000
1763418212.694173,-3.880000
1763418212.697092,-3.880000
1763418212.700024,-3.880000
1763418212.702909,-3.880000
1763418212.705779,-3.880000
1763418212.708694,-3.880000
1763418212.711638,-3.880000
1763418212.714594,-3.880000
1763418212.717473,-3.880000
1763418212.720368,-3.880000
1763418212.723291,-3.880000
1763418212.726232,-3.880000
1763418212.729170,-3.880000
1763418212.732127,-3.880000
1763418212.735207,-3.880000
1763418212.738090,-3.880000
1763418212.742656,-3.880000
1763418212.745500,-3.880000
1763418212.748439,-3.880000
1763418212.752046,-3.880000
1763418212.755400,-3.880000
1763418212.758612,-3.880000
1763418212.762281,-3.880000
1763418212.765213,-3.880000
1763418212.768090,-3.880000
1763418212.771578,-3.880000
1763418212.775228,-3.880000
1763418212.778118,-3.880000
1763418212.781083,-3.880000
1763418212.784422,-3.880000
1763418212.787268,-3.880000
1763418212.790091,-3.880000
1763418212.793546,-3.880000
1763418212.796439,-3.880000
1763418212.799373,-3.880000
1763418212.802750,-3.880000
1763418212.805658,-3.880000
1763418212.808583,-3.880000
1763418212.811486,-3.880000
1763418212.814654,-3.880000
1763418212.817570,-3.880000
1763418212.820504,-3.880000
1763418212.823386,-3.880000
1763418212.826238,-3.880000
1763418212.829106,-3.880000
1763418212.832021,-3.880000
1763418212.834922,-3.880000
1763418212.837837,-3.880000
1763418212.840729,-3.880000
1763418212.843603,-3.880000
1763418212.846358,-3.880000
1763418212.849198,-3.880000
1763418212.852097,-3.880000
1763418212.854913,-3.880000
1763418212.857740,-3.880000
1763418212.860636,-3.880000
1763418212.863561,-3.880000
1763418212.866428,-3.880000
1763418212.869267,-3.880000
1763418212.872149,-3.880000
1763418212.875030,-3.880000
1763418212.877943,-3.860000
1763418212.880835,-3.860000
1763418212.883754,-3.860000
1763418212.886588,-3.860000
1763418212.889486,-3.860000
1763418212.892397,-3.860000
1763418212.895385,-3.860000
1763418212.898398,-3.860000
1763418212.901300,-3.860000
1763418212.904149,-3.860000
1763418212.907055,-3.860000
1763418212.909919,-3.860000
1763418212.914541,-3.860000
