Subset,Recording,Pairing,Label,Lag_ms,CorrelationR
quasi_static,static_bend_x_100,Motor->Mocap,M+x vs px,-14.1085685118305,0.143190050999628
quasi_static,static_bend_x_100,Motor->FBG,M+x vs px,-31.3921632505098,0.109372087643275
quasi_static,static_bend_x_100,Motor->Mocap,M+x vs py,-13.8659927661713,-0.146057460870943
quasi_static,static_bend_x_100,Motor->FBG,M+x vs py,-31.3921780359191,0.109372166816557
quasi_static,static_bend_x_100,Motor->Mocap,M+x vs pz,-13.9704195323303,-0.144260091517406
quasi_static,static_bend_x_100,Motor->FBG,M+x vs pz,-31.3921599169613,-0.109372150453445
quasi_static,static_bend_x_100,Motor->Mocap,M+y vs px,-156.07597159006,0.0892613737228834
quasi_static,static_bend_x_100,Motor->FBG,M+y vs px,-156.359463148498,0.0832642180247122
quasi_static,static_bend_x_100,Motor->Mocap,M+y vs py,-156.076005001953,-0.0892659849838327
quasi_static,static_bend_x_100,Motor->FBG,M+y vs py,-156.359463975562,0.0832641983510039
quasi_static,static_bend_x_100,Motor->Mocap,M+y vs pz,-156.075555786407,-0.0892694911458863
quasi_static,static_bend_x_100,Motor->FBG,M+y vs pz,-156.359463196791,-0.0832642167156947
quasi_static,static_bend_x_100,Mocap->FBG,px,-0.0460683016325303,0.999903722705106
quasi_static,static_bend_x_100,Mocap->FBG,py,-0.42777425644092,0.977473025425781
quasi_static,static_bend_x_100,Mocap->FBG,pz,-0.0246284256892098,0.999923678637407
quasi_static,static_bend_x_150,Motor->Mocap,M+x vs px,-0.779348934614754,0.573137609592382
quasi_static,static_bend_x_150,Motor->FBG,M+x vs px,-0.875118469484995,0.231858516162881
quasi_static,static_bend_x_150,Motor->Mocap,M+x vs py,-0.779617908130586,-0.57312322279089
quasi_static,static_bend_x_150,Motor->FBG,M+x vs py,-0.875151082203953,0.231856671479949
quasi_static,static_bend_x_150,Motor->Mocap,M+x vs pz,-0.780740367411672,-0.569913799807774
quasi_static,static_bend_x_150,Motor->FBG,M+x vs pz,-0.875118091531094,-0.231858562359598
quasi_static,static_bend_x_150,Motor->Mocap,M+y vs px,-143.098095345517,0.171187043960323
quasi_static,static_bend_x_150,Motor->FBG,M+y vs px,-155.666532282093,0.0918034905070938
quasi_static,static_bend_x_150,Motor->Mocap,M+y vs py,-143.099330156071,-0.171529852141865
quasi_static,static_bend_x_150,Motor->FBG,M+y vs py,-155.666533350897,0.0918033211679949
quasi_static,static_bend_x_150,Motor->Mocap,M+y vs pz,-143.101156625222,-0.170191584156055
quasi_static,static_bend_x_150,Motor->FBG,M+y vs pz,-155.666532287317,-0.0918035151903805
quasi_static,static_bend_x_150,Mocap->FBG,px,3.81836959553907,0.623749416523605
quasi_static,static_bend_x_150,Mocap->FBG,py,32.8260255922935,0.0721462472135853
quasi_static,static_bend_x_150,Mocap->FBG,pz,0.738502614771441,0.998952529957257
quasi_static,static_bend_x_180,Motor->Mocap,M+x vs px,-0.805909374530814,0.656445044783063
quasi_static,static_bend_x_180,Motor->FBG,M+x vs px,-0.893196837949133,0.503473838949572
quasi_static,static_bend_x_180,Motor->Mocap,M+x vs py,-0.806162538659148,-0.655805847540287
quasi_static,static_bend_x_180,Motor->FBG,M+x vs py,-0.893196256050959,0.503474990642344
quasi_static,static_bend_x_180,Motor->Mocap,M+x vs pz,-0.807686583542939,-0.653665171293868
quasi_static,static_bend_x_180,Motor->FBG,M+x vs pz,-0.893196084135438,-0.50347538586246
quasi_static,static_bend_x_180,Motor->Mocap,M+y vs px,-196.598805791677,-0.061866510707493
quasi_static,static_bend_x_180,Motor->FBG,M+y vs px,-196.636055020751,-0.0626329075503404
quasi_static,static_bend_x_180,Motor->Mocap,M+y vs py,-196.599134732076,0.061725679318253
quasi_static,static_bend_x_180,Motor->FBG,M+y vs py,-196.636054567099,-0.0626328231370031
quasi_static,static_bend_x_180,Motor->Mocap,M+y vs pz,-196.599737679976,0.0618137249763002
quasi_static,static_bend_x_180,Motor->FBG,M+y vs pz,-196.636054368325,0.0626328059353726
quasi_static,static_bend_x_180,Mocap->FBG,px,-0.0809724417658022,0.999896434624285
quasi_static,static_bend_x_180,Mocap->FBG,py,-0.27014983309742,0.976022097253192
quasi_static,static_bend_x_180,Mocap->FBG,pz,-0.0668585774875999,0.99991817986557
quasi_static,static_bend_x_200,Motor->Mocap,M+x vs px,-0.809195468925363,0.653886679904913
quasi_static,static_bend_x_200,Motor->FBG,M+x vs px,-0.894063441223506,-0.502489137549754
quasi_static,static_bend_x_200,Motor->Mocap,M+x vs py,-0.805682157668024,0.657193945641619
quasi_static,static_bend_x_200,Motor->FBG,M+x vs py,-0.894077535787368,-0.502462567679389
quasi_static,static_bend_x_200,Motor->Mocap,M+x vs pz,-0.807444708137208,0.654547901302578
quasi_static,static_bend_x_200,Motor->FBG,M+x vs pz,-0.894070141409731,-0.502474787221756
quasi_static,static_bend_x_200,Motor->Mocap,M+y vs px,0.808617636254493,-0.164265968233982
quasi_static,static_bend_x_200,Motor->FBG,M+y vs px,0.556569328512717,0.162553378411073
quasi_static,static_bend_x_200,Motor->Mocap,M+y vs py,0.813756081771943,-0.164135792661237
quasi_static,static_bend_x_200,Motor->FBG,M+y vs py,0.556535011261859,0.162552180780051
quasi_static,static_bend_x_200,Motor->Mocap,M+y vs pz,0.809032951948658,-0.164223027746246
quasi_static,static_bend_x_200,Motor->FBG,M+y vs pz,0.556551381271779,0.162552492578965
quasi_static,static_bend_x_200,Mocap->FBG,px,-0.180420106707893,0.992445195342352
quasi_static,static_bend_x_200,Mocap->FBG,py,-0.267599609818059,-0.999152858715117
quasi_static,static_bend_x_200,Mocap->FBG,pz,-0.0272797808628663,0.999940371171561
quasi_static,static_bend_x_n100,Motor->Mocap,M+x vs px,49.654542129272,-0.112396335118389
quasi_static,static_bend_x_n100,Motor->FBG,M+x vs px,-32.721736496001,0.117283574515343
quasi_static,static_bend_x_n100,Motor->Mocap,M+x vs py,-17.41253478612,-0.148051861561465
quasi_static,static_bend_x_n100,Motor->FBG,M+x vs py,-32.7219418837448,-0.117282591749296
quasi_static,static_bend_x_n100,Motor->Mocap,M+x vs pz,-18.8950890485574,0.134496668891978
quasi_static,static_bend_x_n100,Motor->FBG,M+x vs pz,-32.7219691897406,0.117282589904852
quasi_static,static_bend_x_n100,Motor->Mocap,M+y vs px,47.1060350568826,0.0562317466880193
quasi_static,static_bend_x_n100,Motor->FBG,M+y vs px,-155.713839706532,-0.08483123176407
quasi_static,static_bend_x_n100,Motor->Mocap,M+y vs py,-155.441744617469,0.0896426612985457
quasi_static,static_bend_x_n100,Motor->FBG,M+y vs py,-155.713840367999,0.0848307701821664
quasi_static,static_bend_x_n100,Motor->Mocap,M+y vs pz,-155.445891371238,-0.0839522733871003
