Subset,Recording,DiskNumber,NumberOfSamples,NumberOfValidSamples,NumberOfInvalidSamples
quasi_static,static_bend_x_100,0,3773,3773,0
quasi_static,static_bend_x_100,1,3773,3773,0
quasi_static,static_bend_x_100,2,3773,3773,0
quasi_static,static_bend_x_100,3,3773,3773,0
quasi_static,static_bend_x_100,4,3773,3772,0
quasi_static,static_bend_x_150,0,3773,3773,0
quasi_static,static_bend_x_150,1,3773,3773,0
quasi_static,static_bend_x_150,2,3773,3773,0
quasi_static,static_bend_x_150,3,3773,3773,0
quasi_static,static_bend_x_150,4,3773,3772,0
quasi_static,static_bend_x_180,0,3773,3773,0
quasi_static,static_bend_x_180,1,3773,3773,0
quasi_static,static_bend_x_180,2,3773,3773,0
quasi_static,static_bend_x_180,3,3773,3772,0
quasi_static,static_bend_x_180,4,3773,3772,0
quasi_static,static_bend_x_200,0,3773,3773,0
quasi_static,static_bend_x_200,1,3773,3773,0
quasi_static,static_bend_x_200,2,3773,3773,0
quasi_static,static_bend_x_200,3,3773,3773,0
quasi_static,static_bend_x_200,4,3773,3772,0
quasi_static,static_bend_x_n100,0,3773,3773,0
quasi_static,static_bend_x_n100,1,3773,3773,0
quasi_static,static_bend_x_n100,2,3773,3773,0
quasi_static,static_bend_x_n100,3,3773,3773,0
quasi_static,static_bend_x_n100,4,3773,3773,0
quasi_static,static_bend_x_n150,0,3773,3773,0
quasi_static,static_bend_x_n150,1,3773,3773,0
quasi_static,static_bend_x_n150,2,3773,3773,0
quasi_static,static_bend_x_n150,3,3773,3772,0
quasi_static,static_bend_x_n150,4,3773,3772,0
quasi_static,static_bend_x_n180,0,3773,3773,0
quasi_static,static_bend_x_n180,1,3773,3773,0
quasi_static,static_bend_x_n180,2,3773,3773,0
quasi_static,static_bend_x_n180,3,3773,3772,0
quasi_static,static_bend_x_n180,4,3773,3772,0
quasi_static,static_bend_x_n200,0,3773,3773,0
quasi_static,static_bend_x_n200,1,3773,3773,0
quasi_static,static_bend_x_n200,2,3773,3773,0
quasi_static,static_bend_x_n200,3,3773,3772,0
quasi_static,static_bend_x_n200,4,3773,3772,0
quasi_static,static_bend_y_100,0,3773,3773,0
quasi_static,static_bend_y_100,1,3773,3773,0
quasi_static,static_bend_y_100,2,3773,3773,0
quasi_static,static_bend_y_100,3,3773,3773,0
